ID,Date,Element,Data_Value
CO000080259,2005-12-16,TMIN,188
CO000080259,2006-07-20,TMAX,318
CO000080259,2015-08-03,TMIN,178
CO000080259,2015-09-26,TMIN,178
CO000080259,2013-01-17,TMAX,314
CO000080259,2015-09-26,TMAX,348
CO000080259,2005-01-12,TMIN,198
CO000080259,2006-07-05,TMAX,306
CO000080259,2010-06-08,TMAX,304
CO000080259,2014-11-28,TMIN,198
CO000080259,2011-06-01,TMAX,305
CO000080259,2013-10-17,TMIN,180
CO000080259,2015-07-09,TMAX,324
CO000080259,2006-07-20,TMIN,200
CO000080259,2010-06-08,TMIN,206
CO000080259,2005-06-09,TMIN,192
CO000080259,2005-07-11,TMAX,320
CO000080259,2015-08-26,TMIN,189
CO000080259,2005-07-11,TMIN,176
CO000080259,2012-07-14,TMIN,195
CO000080259,2013-01-17,TMIN,194
CO000080259,2012-04-16,TMAX,293
CO000080259,2014-03-05,TMIN,200
CO000080259,2007-08-18,TMIN,176
CO000080259,2007-07-18,TMAX,300
CO000080259,2014-01-25,TMAX,322
CO000080259,2014-01-25,TMIN,199
CO000080259,2012-03-17,TMAX,290
CO000080259,2014-04-15,TMAX,333
CO000080259,2012-10-26,TMIN,182
CO000080259,2005-11-22,TMAX,292
CO000080259,2005-11-22,TMIN,186
CO000080259,2015-03-14,TMAX,332
CO000080259,2008-01-16,TMIN,194
CO000080259,2015-02-25,TMAX,326
CO000080259,2014-04-15,TMIN,190
CO000080259,2012-04-16,TMIN,188
CO000080259,2015-02-25,TMIN,208
CO000080259,2007-01-06,TMIN,180
CO000080259,2014-01-12,TMIN,195
CO000080259,2015-06-26,TMIN,196
CO000080259,2011-04-03,TMIN,190
CO000080259,2010-06-02,TMAX,286
CO000080259,2010-06-02,TMIN,198
CO000080259,2012-11-19,TMIN,184
CO000080259,2013-04-03,TMIN,200
CO000080259,2005-07-21,TMIN,196
CO000080259,2012-01-30,TMAX,305
CO000080259,2013-08-25,TMIN,152
CO000080259,2014-01-12,TMAX,294
CO000080259,2007-11-30,TMIN,192
CO000080259,2014-03-05,TMAX,306
CO000080259,2011-06-11,TMAX,328
CO000080259,2015-08-15,TMIN,200
CO000080259,2011-06-06,TMIN,200
CO000080259,2012-10-22,TMAX,320
CO000080259,2013-10-19,TMIN,188
CO000080259,2013-10-19,TMAX,314
CO000080259,2014-06-27,TMAX,294
CO000080259,2007-11-12,TMIN,189
CO000080259,2013-03-18,TMIN,184
CO000080259,2007-10-02,TMIN,158
CO000080259,2015-01-06,TMAX,332
CO000080259,2008-01-24,TMAX,313
CO000080259,2015-05-25,TMAX,310
CO000080259,2014-05-25,TMAX,316
CO000080259,2014-05-25,TMIN,204
CO000080259,2007-04-25,TMAX,297
CO000080259,2005-04-09,TMAX,310
CO000080259,2006-05-27,TMAX,303
CO000080259,2008-04-05,TMIN,171
CO000080259,2015-06-11,TMIN,180
CO000080259,2013-06-23,TMIN,200
CO000080259,2011-11-12,TMAX,288
CO000080259,2005-04-09,TMIN,200
CO000080259,2008-04-05,TMAX,308
CO000080259,2015-10-08,TMIN,177
CO000080259,2010-12-27,TMIN,190
CO000080259,2007-04-16,TMIN,204
CO000080259,2007-03-23,TMIN,188
CO000080259,2010-08-11,TMAX,320
CO000080259,2012-06-30,TMAX,295
CO000080259,2007-05-22,TMIN,184
CO000080259,2007-10-11,TMAX,284
CO000080259,2005-02-09,TMAX,310
CO000080259,2011-11-20,TMAX,294
CO000080259,2015-04-07,TMAX,332
CO000080259,2006-08-11,TMIN,198
CO000080259,2013-09-12,TMIN,194
CO000080259,2011-04-08,TMIN,200
CO000080259,2013-02-26,TMIN,188
CO000080259,2006-01-10,TMIN,188
CO000080259,2010-04-05,TMIN,204
CO000080259,2013-02-26,TMAX,320
CO000080259,2012-09-16,TMAX,354
