ID,Date,Element,Data_Value
AR000087078,2010-11-12,TMIN,130
AR000087078,2009-06-13,TMAX,240
AR000087078,2010-12-03,TMAX,376
AR000087078,2010-11-29,TMIN,200
AR000087078,2010-11-29,TMAX,292
AR000087078,2011-02-05,TMIN,230
AR000087078,2010-02-12,TMAX,395
AR000087078,2009-10-05,TMIN,265
AR000087078,2010-06-10,TMIN,106
AR000087078,2010-12-09,TMIN,200
AR000087078,2011-06-14,TMIN,144
AR000087078,2009-09-19,TMIN,94
AR000087078,2009-09-19,TMAX,265
AR000087078,2011-05-04,TMIN,65
AR000087078,2011-01-06,TMIN,185
AR000087078,2010-06-28,TMIN,103
AR000087078,2010-10-03,TMIN,92
AR000087078,2010-06-10,TMAX,238
AR000087078,2010-12-03,TMIN,246
AR000087078,2009-07-10,TMAX,196
AR000087078,2011-05-02,TMIN,65
AR000087078,2010-12-09,TMAX,348
AR000087078,2009-06-13,TMIN,60
AR000087078,2011-02-05,TMAX,334
AR000087078,2011-06-19,TMIN,225
AR000087078,2009-10-23,TMIN,196
AR000087078,2010-06-20,TMAX,207
AR000087078,2010-11-11,TMIN,136
AR000087078,2010-06-20,TMIN,156
AR000087078,2011-06-10,TMIN,50
AR000087078,2009-07-11,TMIN,60
AR000087078,2010-08-16,TMIN,62
AR000087078,2011-05-29,TMIN,102
AR000087078,2010-08-13,TMAX,252
AR000087078,2010-02-21,TMAX,396
AR000087078,2011-03-02,TMIN,220
AR000087078,2009-09-01,TMAX,371
AR000087078,2010-01-22,TMIN,177
AR000087078,2010-10-13,TMIN,236
AR000087078,2009-12-03,TMAX,278
AR000087078,2010-02-21,TMIN,298
AR000087078,2009-12-03,TMIN,225
AR000087078,2011-05-09,TMAX,225
AR000087078,2011-06-04,TMAX,282
AR000087078,2011-05-09,TMIN,195
AR000087078,2009-12-05,TMIN,268
AR000087078,2010-09-04,TMIN,92
AR000087078,2009-07-23,TMIN,40
AR000087078,2010-12-02,TMIN,234
AR000087078,2010-05-02,TMIN,170
AR000087078,2011-08-15,TMIN,115
AR000087078,2011-06-04,TMIN,149
AR000087078,2009-07-11,TMAX,195
AR000087078,2010-02-12,TMIN,253
AR000087078,2010-10-30,TMIN,155
AR000087078,2009-07-23,TMAX,165
AR000087078,2010-01-28,TMIN,220
AR000087078,2009-09-01,TMIN,226
AR000087078,2009-06-29,TMIN,150
AR000087078,2010-08-23,TMIN,196
AR000087078,2009-07-10,TMIN,98
AR000087078,2009-06-21,TMAX,307
AR000087078,2011-03-31,TMIN,220
AR000087078,2010-08-13,TMIN,70
AR000087078,2010-07-19,TMIN,14
AR000087078,2010-01-28,TMAX,380
AR000087078,2010-08-21,TMIN,125
AR000087078,2009-06-21,TMIN,175
AR000087078,2009-06-29,TMAX,278
AR000087078,2009-12-18,TMAX,343
AR000087078,2011-03-18,TMAX,312
AR000087078,2010-10-18,TMIN,75
AR000087078,2010-09-16,TMIN,116
AR000087078,2011-03-06,TMIN,204
AR000087078,2009-09-09,TMIN,126
AR000087078,2010-09-07,TMIN,80
AR000087078,2011-02-23,TMAX,323
AR000087078,2011-02-23,TMIN,225
AR000087078,2010-08-03,TMAX,195
AR000087078,2009-10-29,TMIN,256
AR000087078,2010-06-19,TMAX,250
AR000087078,2009-12-19,TMIN,254
AR000087078,2010-07-22,TMIN,38
AR000087078,2010-12-07,TMIN,210
AR000087078,2010-07-07,TMAX,327
AR000087078,2010-07-07,TMIN,206
AR000087078,2010-06-19,TMIN,184
AR000087078,2011-07-09,TMIN,70
AR000087078,2009-12-09,TMAX,330
AR000087078,2009-12-09,TMIN,242
AR000087078,2011-01-23,TMIN,250
AR000087078,2009-11-14,TMIN,293
AR000087078,2009-09-14,TMIN,115
AR000087078,2009-08-20,TMIN,75
AR000087078,2009-08-26,TMIN,156
AR000087078,2010-02-11,TMAX,400
AR000087078,2009-12-20,TMAX,360
AR000087078,2010-02-11,TMIN,230
AR000087078,2011-04-08,TMIN,165
AR000087078,2011-04-08,TMAX,333
AR000087078,2010-03-02,TMAX,345
AR000087078,2010-03-02,TMIN,244
AR000087078,2009-12-20,TMIN,260
AR000087078,2010-08-03,TMIN,92
AR000087078,2011-08-25,TMIN,102
AR000087078,2011-07-15,TMIN,218
AR000087078,2011-06-02,TMIN,152
AR000087078,2009-06-24,TMIN,75
AR000087078,2011-04-23,TMAX,348
AR000087078,2011-04-23,TMIN,235
AR000087078,2010-11-04,TMIN,175
AR000087078,2009-11-10,TMAX,340
AR000087078,2009-08-06,TMAX,360
AR000087078,2009-08-06,TMIN,195
AR000087078,2011-03-15,TMIN,160
AR000087078,2011-04-25,TMAX,242
AR000087078,2010-05-01,TMIN,137
AR000087078,2011-04-19,TMIN,175
AR000087078,2009-11-10,TMIN,256
AR000087078,2011-01-25,TMIN,248
AR000087078,2011-02-10,TMIN,210
AR000087078,2011-03-18,TMIN,195
AR000087078,2011-04-25,TMIN,174
AR000087078,2010-09-21,TMIN,200
AR000087078,2011-02-02,TMIN,220
AR000087078,2010-10-06,TMIN,190
AR000087078,2010-03-20,TMAX,385
AR000087078,2011-05-12,TMIN,185
AR000087078,2011-05-12,TMAX,270
AR000087078,2011-03-12,TMIN,234
AR000087078,2010-03-27,TMIN,220
AR000087078,2010-05-27,TMAX,218
AR000087078,2010-05-27,TMIN,160
AR000087078,2011-01-20,TMIN,206
AR000087078,2010-05-07,TMAX,310
AR000087078,2011-01-20,TMAX,402
AR000087078,2009-10-09,TMIN,155
AR000087078,2010-03-11,TMIN,225
AR000087078,2010-03-11,TMAX,335
AR000087078,2010-10-27,TMIN,138
AR000087078,2009-07-15,TMIN,110
AR000087078,2011-01-23,TMAX,348
AR000087078,2011-07-18,TMIN,152
AR000087078,2010-06-18,TMIN,180
AR000087078,2009-08-31,TMIN,222
AR000087078,2010-08-18,TMIN,154
AR000087078,2011-08-04,TMIN,10
AR000087078,2011-06-21,TMAX,298
AR000087078,2011-06-21,TMIN,146
AR000087078,2011-08-04,TMAX,204
AR000087078,2010-06-09,TMAX,234
AR000087078,2010-08-11,TMIN,94
AR000087078,2010-06-09,TMIN,92
AR000087078,2010-08-06,TMIN,16
AR000087078,2011-06-07,TMIN,125
AR000087078,2011-04-04,TMIN,205
AR000087078,2009-08-16,TMAX,375
AR000087078,2011-04-16,TMAX,271
