ID,Date,Element,Data_Value
FGM00081415,2008-12-25,TMAX,323
FGM00081415,2009-03-03,TMIN,226
FGM00081415,2013-06-16,TMAX,331
FGM00081415,2014-11-20,TMIN,228
FGM00081415,2008-11-28,TMIN,220
FGM00081415,2012-05-27,TMIN,224
FGM00081415,2006-05-29,TMIN,232
FGM00081415,2010-11-23,TMAX,335
FGM00081415,2008-12-25,TMIN,231
FGM00081415,2015-11-27,TMIN,230
FGM00081415,2013-06-16,TMIN,238
FGM00081415,2010-11-23,TMIN,232
FGM00081415,2009-05-26,TMIN,225
FGM00081415,2015-11-27,TMAX,336
FGM00081415,2009-05-26,TMAX,320
FGM00081415,2014-11-20,TMAX,343
FGM00081415,2014-08-19,TMAX,328
FGM00081415,2012-12-13,TMIN,223
FGM00081415,2011-05-03,TMAX,316
FGM00081415,2011-05-03,TMIN,242
FGM00081415,2015-08-18,TMAX,309
FGM00081415,2015-12-02,TMIN,239
FGM00081415,2015-12-02,TMAX,339
FGM00081415,2012-12-03,TMAX,348
FGM00081415,2012-03-30,TMAX,328
FGM00081415,2015-06-02,TMIN,233
FGM00081415,2011-02-15,TMAX,319
FGM00081415,2012-07-22,TMAX,336
FGM00081415,2012-07-22,TMIN,237
FGM00081415,2015-08-18,TMIN,235
FGM00081415,2011-02-15,TMIN,228
FGM00081415,2012-10-08,TMIN,214
FGM00081415,2011-01-11,TMIN,210
FGM00081415,2012-04-03,TMAX,284
FGM00081415,2012-04-03,TMIN,226
FGM00081415,2013-03-23,TMIN,237
FGM00081415,2013-02-01,TMIN,232
FGM00081415,2013-02-01,TMAX,323
FGM00081415,2013-03-23,TMAX,332
FGM00081415,2011-05-09,TMIN,239
FGM00081415,2011-05-09,TMAX,316
FGM00081415,2013-07-18,TMAX,335
FGM00081415,2015-02-26,TMIN,232
FGM00081415,2014-10-21,TMAX,339
FGM00081415,2012-12-03,TMIN,235
FGM00081415,2011-03-05,TMAX,324
FGM00081415,2012-12-25,TMAX,313
FGM00081415,2012-12-25,TMIN,228
FGM00081415,2012-04-08,TMAX,320
FGM00081415,2005-11-03,TMAX,346
FGM00081415,2013-02-12,TMIN,217
FGM00081415,2012-04-08,TMIN,226
FGM00081415,2009-03-08,TMIN,232
FGM00081415,2010-01-31,TMIN,238
FGM00081415,2009-03-08,TMAX,330
FGM00081415,2015-11-01,TMAX,367
FGM00081415,2015-08-19,TMAX,280
FGM00081415,2012-03-30,TMIN,222
FGM00081415,2010-04-27,TMAX,322
FGM00081415,2015-08-19,TMIN,238
FGM00081415,2005-11-03,TMIN,225
FGM00081415,2009-04-08,TMAX,325
FGM00081415,2015-10-29,TMIN,216
FGM00081415,2013-06-08,TMIN,224
FGM00081415,2012-05-20,TMIN,226
FGM00081415,2012-05-20,TMAX,324
FGM00081415,2013-06-08,TMAX,348
FGM00081415,2010-11-13,TMIN,232
FGM00081415,2010-11-13,TMAX,339
FGM00081415,2011-03-05,TMIN,230
FGM00081415,2010-04-27,TMIN,240
FGM00081415,2015-11-10,TMAX,362
FGM00081415,2015-07-18,TMIN,231
FGM00081415,2013-07-18,TMIN,225
FGM00081415,2014-11-13,TMIN,231
FGM00081415,2012-07-18,TMAX,323
FGM00081415,2011-04-29,TMAX,339
FGM00081415,2013-06-18,TMIN,211
FGM00081415,2010-03-29,TMIN,230
FGM00081415,2013-06-18,TMAX,333
FGM00081415,2015-04-04,TMAX,324
FGM00081415,2015-04-04,TMIN,214
FGM00081415,2011-04-29,TMIN,236
FGM00081415,2008-12-07,TMAX,350
FGM00081415,2008-12-07,TMIN,226
FGM00081415,2014-11-13,TMAX,350
FGM00081415,2015-05-08,TMIN,232
FGM00081415,2011-02-26,TMAX,319
FGM00081415,2011-02-26,TMIN,228
FGM00081415,2008-10-26,TMIN,221
FGM00081415,2012-12-16,TMIN,232
FGM00081415,2012-12-16,TMAX,332
FGM00081415,2011-03-13,TMIN,223
