ID,Date,Element,Data_Value
CA002101030,2008-02-29,TMIN,-270
CA002101030,2007-01-23,TMAX,-70
CA002101030,2008-01-03,TMIN,-200
CA002101030,2006-06-26,TMIN,70
CA002101030,2005-05-06,TMIN,-20
CA002101030,2005-10-14,TMIN,-30
CA002101030,2005-12-23,TMIN,-150
CA002101030,2007-09-18,TMIN,20
CA002101030,2007-12-26,TMAX,-100
CA002101030,2007-09-30,TMAX,80
CA002101030,2006-06-26,TMAX,155
CA002101030,2005-05-15,TMAX,200
CA002101030,2007-03-05,TMAX,-180
CA002101030,2008-02-28,TMIN,-300
CA002101030,2006-03-09,TMIN,-130
CA002101030,2008-01-03,TMAX,-80
CA002101030,2005-06-25,TMAX,240
CA002101030,2006-04-27,TMAX,75
CA002101030,2008-02-28,TMAX,-120
CA002101030,2005-06-25,TMIN,35
CA002101030,2005-04-24,TMAX,160
CA002101030,2005-10-14,TMAX,45
CA002101030,2007-01-23,TMIN,-225
CA002101030,2006-03-09,TMAX,-110
CA002101030,2005-12-23,TMAX,-70
CA002101030,2008-01-11,TMIN,-230
CA002101030,2007-09-18,TMAX,100
CA002101030,2006-05-24,TMAX,200
CA002101030,2007-10-04,TMIN,-30
CA002101030,2007-07-09,TMAX,250
CA002101030,2007-10-04,TMAX,10
CA002101030,2007-06-13,TMAX,215
CA002101030,2007-09-20,TMAX,125
CA002101030,2005-01-10,TMAX,-190
CA002101030,2005-01-10,TMIN,-230
CA002101030,2007-09-20,TMIN,20
CA002101030,2008-07-14,TMAX,190
CA002101030,2007-03-25,TMAX,10
CA002101030,2007-08-07,TMAX,195
CA002101030,2005-01-03,TMAX,-130
CA002101030,2007-03-20,TMIN,-300
CA002101030,2005-04-03,TMIN,-125
CA002101030,2005-04-03,TMAX,50
CA002101030,2007-10-28,TMAX,-5
CA002101030,2006-02-20,TMIN,-220
CA002101030,2006-02-20,TMAX,-45
CA002101030,2005-06-04,TMAX,200
CA002101030,2006-05-22,TMAX,180
CA002101030,2007-12-10,TMAX,-40
CA002101030,2007-06-13,TMIN,70
CA002101030,2006-05-24,TMIN,35
CA002101030,2005-10-01,TMAX,110
CA002101030,2005-10-01,TMIN,-35
CA002101030,2005-09-27,TMAX,80
CA002101030,2005-09-27,TMIN,-10
CA002101030,2005-04-10,TMAX,60
CA002101030,2005-11-04,TMIN,-220
CA002101030,2005-11-04,TMAX,-110
CA002101030,2007-05-31,TMIN,100
CA002101030,2007-11-29,TMAX,-120
CA002101030,2005-12-28,TMIN,-220
CA002101030,2007-02-13,TMIN,-220
CA002101030,2005-12-28,TMAX,-80
CA002101030,2007-05-31,TMAX,215
CA002101030,2007-02-13,TMAX,-90
CA002101030,2005-05-29,TMAX,235
CA002101030,2005-05-29,TMIN,55
CA002101030,2005-09-07,TMIN,30
CA002101030,2005-09-07,TMAX,160
CA002101030,2005-08-15,TMAX,240
CA002101030,2005-08-24,TMIN,65
CA002101030,2005-08-24,TMAX,210
CA002101030,2007-02-07,TMIN,-350
CA002101030,2007-04-05,TMIN,-180
CA002101030,2007-02-07,TMAX,-205
CA002101030,2005-06-03,TMIN,5
CA002101030,2006-06-29,TMAX,195
CA002101030,2007-05-03,TMIN,0
CA002101030,2007-05-03,TMAX,160
CA002101030,2008-07-31,TMIN,20
CA002101030,2007-08-21,TMIN,70
CA002101030,2007-06-01,TMIN,50
CA002101030,2005-06-19,TMAX,220
CA002101030,2005-09-13,TMAX,100
CA002101030,2005-09-13,TMIN,70
CA002101030,2007-12-04,TMIN,-410
CA002101030,2007-09-23,TMAX,55
CA002101030,2005-05-27,TMIN,100
CA002101030,2005-08-31,TMIN,70
CA002101030,2007-06-14,TMAX,220
CA002101030,2007-03-18,TMAX,-80
CA002101030,2007-03-04,TMAX,-220
CA002101030,2005-06-10,TMAX,275
CA002101030,2005-04-29,TMIN,-10
CA002101030,2007-12-04,TMAX,-260
CA002101030,2007-06-14,TMIN,90
CA002101030,2005-11-22,TMAX,90
CA002101030,2006-04-27,TMIN,-55
CA002101030,2005-11-22,TMIN,-90
CA002101030,2008-03-10,TMIN,-55
CA002101030,2008-03-10,TMAX,60
CA002101030,2007-09-03,TMAX,195
CA002101030,2007-10-12,TMIN,-180
CA002101030,2007-08-21,TMAX,145
CA002101030,2005-06-19,TMIN,65
CA002101030,2007-05-21,TMAX,200
CA002101030,2006-03-28,TMIN,-170
CA002101030,2007-07-12,TMIN,100
CA002101030,2005-08-26,TMIN,60
CA002101030,2007-08-07,TMIN,100
CA002101030,2008-06-10,TMAX,165
CA002101030,2008-06-10,TMIN,70
CA002101030,2006-06-29,TMIN,80
CA002101030,2007-11-21,TMIN,-160
CA002101030,2007-06-06,TMAX,170
CA002101030,2007-12-10,TMIN,-325
CA002101030,2007-03-20,TMAX,-60
CA002101030,2007-01-02,TMIN,-110
CA002101030,2006-01-13,TMAX,-120
CA002101030,2007-11-21,TMAX,-55
CA002101030,2005-06-13,TMAX,255
CA002101030,2007-04-27,TMIN,-30
CA002101030,2007-01-02,TMAX,-110
CA002101030,2005-06-13,TMIN,80
CA002101030,2007-07-12,TMAX,190
CA002101030,2005-08-01,TMAX,165
CA002101030,2005-08-01,TMIN,30
CA002101030,2005-08-12,TMIN,55
CA002101030,2006-04-23,TMAX,100
CA002101030,2006-03-28,TMAX,5
CA002101030,2007-10-21,TMAX,25
CA002101030,2006-01-13,TMIN,-120
CA002101030,2007-07-16,TMAX,235
CA002101030,2007-05-29,TMAX,190
CA002101030,2005-12-18,TMAX,-90
CA002101030,2006-03-29,TMAX,-80
CA002101030,2005-01-27,TMIN,-235
CA002101030,2008-05-29,TMAX,170
CA002101030,2005-04-01,TMIN,-80
CA002101030,2008-05-29,TMIN,10
