ID,Date,Element,Data_Value
TU000017240,2010-11-23,TMAX,150
TU000017240,2006-08-07,TMIN,184
TU000017240,2009-03-27,TMAX,74
TU000017240,2009-08-06,TMIN,158
TU000017240,2006-10-17,TMAX,143
TU000017240,2015-08-15,TMIN,164
TU000017240,2009-08-06,TMAX,326
TU000017240,2014-01-02,TMAX,103
TU000017240,2005-08-15,TMAX,322
TU000017240,2007-04-11,TMAX,169
TU000017240,2007-05-03,TMIN,73
TU000017240,2007-11-26,TMAX,138
TU000017240,2007-05-23,TMIN,77
TU000017240,2011-07-06,TMIN,137
TU000017240,2015-08-07,TMAX,316
TU000017240,2005-08-15,TMIN,149
TU000017240,2015-07-23,TMIN,177
TU000017240,2011-07-06,TMAX,280
TU000017240,2006-03-16,TMIN,20
TU000017240,2013-02-12,TMAX,87
TU000017240,2015-07-01,TMIN,118
TU000017240,2012-09-29,TMIN,97
TU000017240,2015-05-28,TMAX,231
TU000017240,2008-10-20,TMIN,65
TU000017240,2005-10-26,TMIN,60
TU000017240,2007-06-27,TMAX,357
TU000017240,2009-12-15,TMIN,-15
TU000017240,2006-06-12,TMAX,252
TU000017240,2007-11-12,TMAX,132
TU000017240,2006-06-12,TMIN,96
TU000017240,2013-08-25,TMIN,131
TU000017240,2006-08-01,TMIN,150
TU000017240,2006-03-12,TMAX,83
TU000017240,2011-12-24,TMAX,36
TU000017240,2012-09-29,TMAX,311
TU000017240,2009-03-28,TMAX,85
TU000017240,2007-07-06,TMIN,156
TU000017240,2013-10-10,TMIN,22
TU000017240,2014-02-08,TMIN,-36
TU000017240,2008-10-20,TMAX,221
TU000017240,2012-11-04,TMIN,65
TU000017240,2015-05-28,TMIN,95
TU000017240,2007-12-30,TMAX,67
TU000017240,2010-10-25,TMAX,206
TU000017240,2007-07-18,TMIN,204
TU000017240,2015-07-23,TMAX,344
TU000017240,2005-10-26,TMAX,234
TU000017240,2006-10-17,TMIN,93
TU000017240,2012-11-02,TMAX,179
TU000017240,2008-05-23,TMAX,267
TU000017240,2014-10-19,TMAX,143
TU000017240,2010-08-26,TMAX,315
TU000017240,2007-06-06,TMAX,260
TU000017240,2013-10-08,TMIN,3
TU000017240,2015-10-22,TMAX,176
TU000017240,2015-09-12,TMIN,154
TU000017240,2006-05-25,TMAX,306
TU000017240,2015-04-22,TMIN,19
TU000017240,2009-06-01,TMIN,115
TU000017240,2013-04-30,TMIN,98
TU000017240,2005-12-01,TMAX,181
TU000017240,2013-04-30,TMAX,277
TU000017240,2010-04-14,TMIN,20
TU000017240,2005-03-03,TMAX,91
TU000017240,2009-11-19,TMAX,162
TU000017240,2009-09-01,TMAX,309
TU000017240,2005-06-28,TMAX,307
TU000017240,2005-06-28,TMIN,140
TU000017240,2010-05-26,TMAX,250
TU000017240,2006-03-12,TMIN,44
TU000017240,2007-02-10,TMIN,-46
TU000017240,2007-02-10,TMAX,93
TU000017240,2009-10-01,TMAX,255
TU000017240,2008-04-30,TMIN,28
TU000017240,2007-04-30,TMIN,33
TU000017240,2007-04-30,TMAX,199
TU000017240,2009-07-01,TMAX,315
TU000017240,2011-04-28,TMAX,169
TU000017240,2011-05-06,TMAX,140
TU000017240,2007-06-06,TMIN,149
TU000017240,2010-11-23,TMIN,23
TU000017240,2007-04-17,TMAX,118
TU000017240,2015-10-13,TMAX,229
TU000017240,2011-05-25,TMAX,264
TU000017240,2013-12-09,TMAX,29
TU000017240,2007-04-17,TMIN,5
TU000017240,2007-04-11,TMIN,16
TU000017240,2005-10-05,TMIN,99
TU000017240,2008-05-23,TMIN,99
TU000017240,2015-08-15,TMAX,311
TU000017240,2013-10-10,TMAX,248
TU000017240,2005-12-21,TMIN,-91
TU000017240,2007-11-20,TMIN,36
TU000017240,2007-05-03,TMAX,234
TU000017240,2006-08-07,TMAX,347
TU000017240,2014-06-07,TMAX,215
TU000017240,2008-07-16,TMAX,347
TU000017240,2006-03-10,TMAX,79
TU000017240,2014-01-02,TMIN,4
TU000017240,2009-06-01,TMAX,293
TU000017240,2015-02-19,TMAX,-9
