ID,Date,Element,Data_Value
MX000076393,2015-04-02,TMAX,310
MX000076393,2012-09-15,TMIN,180
MX000076393,2013-04-05,TMIN,140
MX000076393,2013-01-30,TMAX,332
MX000076393,2005-09-22,TMAX,356
MX000076393,2010-08-25,TMAX,397
MX000076393,2015-01-11,TMAX,138
MX000076393,2012-09-15,TMAX,270
MX000076393,2011-01-24,TMIN,70
MX000076393,2015-01-11,TMIN,36
MX000076393,2015-04-15,TMIN,180
MX000076393,2011-09-11,TMAX,360
MX000076393,2012-02-07,TMAX,167
MX000076393,2012-03-27,TMAX,284
MX000076393,2005-02-20,TMAX,208
MX000076393,2010-06-11,TMIN,250
MX000076393,2014-02-23,TMIN,120
MX000076393,2009-05-16,TMAX,346
MX000076393,2015-11-18,TMIN,140
MX000076393,2013-04-05,TMAX,292
MX000076393,2015-11-18,TMAX,268
MX000076393,2010-10-01,TMAX,335
MX000076393,2012-04-12,TMAX,282
MX000076393,2015-08-08,TMAX,390
MX000076393,2011-01-24,TMAX,260
MX000076393,2011-05-01,TMAX,404
MX000076393,2014-02-23,TMAX,234
MX000076393,2008-08-11,TMIN,244
MX000076393,2005-02-20,TMIN,122
MX000076393,2008-08-11,TMAX,394
MX000076393,2005-12-24,TMIN,84
MX000076393,2011-05-01,TMIN,210
MX000076393,2010-06-11,TMAX,378
MX000076393,2009-04-23,TMAX,354
MX000076393,2009-05-16,TMIN,224
MX000076393,2012-02-07,TMIN,64
MX000076393,2010-08-25,TMIN,238
MX000076393,2012-03-27,TMIN,198
MX000076393,2013-01-30,TMIN,120
MX000076393,2009-06-14,TMIN,242
MX000076393,2013-01-03,TMAX,106
MX000076393,2012-01-09,TMIN,122
MX000076393,2015-04-03,TMIN,184
MX000076393,2005-12-12,TMIN,82
MX000076393,2012-01-09,TMAX,236
MX000076393,2005-12-12,TMAX,205
MX000076393,2007-06-25,TMAX,334
MX000076393,2015-03-23,TMIN,170
MX000076393,2015-04-15,TMAX,244
MX000076393,2012-04-12,TMIN,188
MX000076393,2007-06-25,TMIN,222
MX000076393,2015-03-23,TMAX,302
MX000076393,2008-10-23,TMIN,163
MX000076393,2008-06-19,TMAX,394
MX000076393,2011-03-17,TMAX,318
MX000076393,2008-06-10,TMAX,362
MX000076393,2006-01-23,TMAX,210
MX000076393,2007-10-28,TMAX,286
MX000076393,2006-08-28,TMAX,380
MX000076393,2008-06-10,TMIN,220
MX000076393,2012-03-18,TMIN,186
MX000076393,2008-10-23,TMAX,300
MX000076393,2006-08-28,TMIN,244
MX000076393,2011-03-20,TMAX,318
MX000076393,2012-03-18,TMAX,264
