ID,Date,Element,Data_Value
CHM00054324,2007-03-17,TMAX,94
CHM00054324,2010-12-19,TMIN,-107
CHM00054324,2005-12-26,TMIN,-177
CHM00054324,2013-11-19,TMAX,39
CHM00054324,2005-03-09,TMIN,-85
CHM00054324,2007-04-04,TMIN,-49
CHM00054324,2011-05-16,TMAX,235
CHM00054324,2012-03-02,TMAX,1
CHM00054324,2014-03-01,TMAX,49
CHM00054324,2010-05-19,TMIN,122
CHM00054324,2008-09-09,TMIN,165
CHM00054324,2008-02-05,TMAX,-15
CHM00054324,2006-06-21,TMIN,185
CHM00054324,2010-06-04,TMAX,284
CHM00054324,2011-01-02,TMAX,-57
CHM00054324,2012-05-01,TMAX,249
CHM00054324,2007-04-10,TMIN,-19
CHM00054324,2007-03-22,TMIN,-14
CHM00054324,2013-04-07,TMIN,-61
CHM00054324,2010-10-03,TMIN,54
CHM00054324,2007-04-10,TMAX,165
CHM00054324,2006-08-20,TMIN,178
CHM00054324,2012-10-02,TMAX,249
CHM00054324,2007-01-06,TMAX,-32
CHM00054324,2010-06-04,TMIN,156
CHM00054324,2010-02-02,TMIN,-217
CHM00054324,2015-11-01,TMIN,-26
CHM00054324,2014-12-06,TMAX,-17
CHM00054324,2010-04-18,TMAX,216
CHM00054324,2014-12-06,TMIN,-142
CHM00054324,2008-07-18,TMIN,192
CHM00054324,2007-01-06,TMIN,-95
CHM00054324,2015-09-06,TMAX,278
CHM00054324,2008-12-03,TMAX,50
CHM00054324,2009-05-23,TMIN,80
CHM00054324,2014-06-13,TMAX,282
CHM00054324,2010-04-18,TMIN,61
CHM00054324,2013-04-07,TMAX,103
CHM00054324,2012-11-22,TMAX,7
CHM00054324,2012-07-03,TMIN,184
CHM00054324,2011-09-04,TMIN,147
CHM00054324,2009-12-06,TMAX,-30
CHM00054324,2009-12-06,TMIN,-175
CHM00054324,2010-07-07,TMIN,167
CHM00054324,2012-04-14,TMIN,117
CHM00054324,2010-02-02,TMAX,-62
CHM00054324,2012-07-03,TMAX,295
CHM00054324,2009-03-28,TMIN,-31
CHM00054324,2011-06-25,TMIN,117
CHM00054324,2013-01-11,TMAX,-63
CHM00054324,2015-07-20,TMAX,293
CHM00054324,2009-03-28,TMAX,52
CHM00054324,2008-09-09,TMAX,244
CHM00054324,2006-08-20,TMAX,261
CHM00054324,2007-03-04,TMAX,15
CHM00054324,2014-05-13,TMIN,106
CHM00054324,2010-05-19,TMAX,287
CHM00054324,2005-11-30,TMIN,-88
CHM00054324,2015-05-21,TMIN,111
CHM00054324,2007-05-23,TMIN,150
CHM00054324,2015-06-29,TMAX,232
CHM00054324,2013-05-27,TMAX,219
CHM00054324,2012-10-02,TMIN,54
CHM00054324,2012-05-01,TMIN,165
CHM00054324,2009-05-23,TMAX,292
CHM00054324,2006-08-03,TMAX,314
CHM00054324,2013-09-21,TMAX,291
