ID,Date,Element,Data_Value
JOM00040260,2011-05-30,TMAX,316
JOM00040260,2010-11-15,TMIN,120
JOM00040260,2011-12-23,TMAX,166
JOM00040260,2013-10-20,TMAX,246
JOM00040260,2015-10-07,TMIN,150
JOM00040260,2012-10-07,TMIN,170
JOM00040260,2005-01-19,TMAX,115
JOM00040260,2008-02-16,TMIN,28
JOM00040260,2006-08-28,TMIN,170
JOM00040260,2006-01-19,TMAX,136
JOM00040260,2011-05-26,TMIN,190
JOM00040260,2015-12-24,TMIN,18
JOM00040260,2005-12-04,TMAX,276
JOM00040260,2014-01-09,TMAX,115
JOM00040260,2013-12-31,TMAX,135
JOM00040260,2005-12-04,TMIN,110
JOM00040260,2015-12-24,TMAX,182
JOM00040260,2015-07-01,TMAX,374
JOM00040260,2008-05-07,TMAX,256
JOM00040260,2008-09-12,TMAX,346
JOM00040260,2012-06-29,TMIN,240
JOM00040260,2015-10-29,TMAX,226
JOM00040260,2011-03-29,TMIN,76
JOM00040260,2007-06-14,TMIN,206
JOM00040260,2009-09-22,TMIN,140
JOM00040260,2009-03-21,TMIN,65
JOM00040260,2015-10-29,TMIN,138
JOM00040260,2006-02-09,TMIN,22
JOM00040260,2011-07-25,TMIN,200
JOM00040260,2006-04-13,TMIN,118
JOM00040260,2008-11-16,TMAX,204
JOM00040260,2006-02-09,TMAX,102
JOM00040260,2013-03-18,TMAX,168
JOM00040260,2007-12-14,TMIN,60
JOM00040260,2013-02-14,TMAX,192
JOM00040260,2011-09-04,TMIN,210
JOM00040260,2006-01-19,TMIN,24
JOM00040260,2014-02-03,TMAX,120
JOM00040260,2006-01-11,TMIN,35
JOM00040260,2015-10-07,TMAX,280
JOM00040260,2005-01-19,TMIN,-11
JOM00040260,2013-10-20,TMIN,97
JOM00040260,2007-12-16,TMAX,160
JOM00040260,2008-06-20,TMAX,388
JOM00040260,2007-12-14,TMAX,160
JOM00040260,2011-05-30,TMIN,160
JOM00040260,2007-12-16,TMIN,40
JOM00040260,2008-02-16,TMAX,148
JOM00040260,2008-11-16,TMIN,86
JOM00040260,2011-04-25,TMAX,255
JOM00040260,2014-02-15,TMAX,158
JOM00040260,2008-09-12,TMIN,170
JOM00040260,2008-06-20,TMIN,200
JOM00040260,2013-09-14,TMAX,404
JOM00040260,2008-04-05,TMIN,65
JOM00040260,2012-06-29,TMAX,394
JOM00040260,2015-07-30,TMIN,220
JOM00040260,2009-05-17,TMIN,190
JOM00040260,2007-01-03,TMAX,132
JOM00040260,2007-06-21,TMAX,384
JOM00040260,2006-04-13,TMAX,294
JOM00040260,2007-01-03,TMIN,-16
JOM00040260,2009-05-17,TMAX,348
JOM00040260,2015-07-01,TMIN,180
JOM00040260,2007-06-14,TMAX,372
JOM00040260,2014-02-03,TMIN,30
JOM00040260,2010-07-22,TMIN,184
JOM00040260,2006-08-28,TMAX,370
JOM00040260,2008-05-07,TMIN,99
JOM00040260,2010-12-04,TMIN,30
JOM00040260,2015-07-30,TMAX,374
JOM00040260,2007-03-02,TMAX,175
JOM00040260,2006-04-21,TMIN,166
JOM00040260,2009-12-31,TMIN,54
JOM00040260,2006-01-11,TMAX,116
JOM00040260,2008-05-25,TMIN,170
JOM00040260,2015-09-25,TMIN,202
JOM00040260,2009-09-26,TMIN,188
JOM00040260,2008-04-10,TMIN,92
JOM00040260,2015-02-20,TMAX,46
JOM00040260,2015-02-20,TMIN,4
JOM00040260,2013-01-29,TMAX,130
JOM00040260,2007-06-07,TMAX,358
JOM00040260,2007-01-06,TMIN,50
JOM00040260,2008-04-26,TMAX,372
JOM00040260,2013-10-29,TMAX,265
JOM00040260,2008-04-26,TMIN,204
