ID,Date,Element,Data_Value
ECM00084226,2015-07-06,TMAX,172
ECM00084226,2015-04-23,TMIN,96
ECM00084226,2014-07-02,TMAX,189
ECM00084226,2011-11-02,TMAX,200
ECM00084226,2015-09-29,TMAX,196
ECM00084226,2014-07-02,TMIN,80
ECM00084226,2013-07-01,TMAX,178
ECM00084226,2015-06-10,TMIN,90
ECM00084226,2013-08-13,TMIN,50
ECM00084226,2013-10-31,TMIN,74
ECM00084226,2014-08-14,TMIN,72
ECM00084226,2015-07-19,TMAX,158
ECM00084226,2014-07-28,TMAX,167
ECM00084226,2015-03-14,TMAX,188
ECM00084226,2014-01-09,TMAX,181
ECM00084226,2013-02-16,TMIN,90
ECM00084226,2012-08-13,TMIN,68
ECM00084226,2015-09-23,TMAX,188
ECM00084226,2015-07-29,TMIN,96
ECM00084226,2015-03-18,TMIN,78
ECM00084226,2013-07-01,TMIN,73
ECM00084226,2014-07-28,TMIN,84
ECM00084226,2012-08-13,TMAX,164
ECM00084226,2013-10-31,TMAX,169
ECM00084226,2013-02-22,TMIN,85
ECM00084226,2013-10-08,TMIN,89
ECM00084226,2015-10-29,TMIN,86
ECM00084226,2013-01-07,TMIN,100
ECM00084226,2013-02-22,TMAX,186
ECM00084226,2013-11-14,TMIN,89
ECM00084226,2013-01-07,TMAX,180
ECM00084226,2013-09-19,TMIN,88
ECM00084226,2014-12-05,TMAX,168
ECM00084226,2013-01-19,TMAX,200
ECM00084226,2015-10-06,TMIN,86
ECM00084226,2013-11-18,TMIN,88
ECM00084226,2013-12-31,TMAX,187
ECM00084226,2013-08-13,TMAX,185
ECM00084226,2013-03-06,TMAX,192
ECM00084226,2015-03-17,TMIN,91
ECM00084226,2014-12-05,TMIN,94
ECM00084226,2013-09-19,TMAX,174
ECM00084226,2015-03-18,TMAX,172
ECM00084226,2013-04-11,TMAX,192
ECM00084226,2013-05-03,TMIN,70
ECM00084226,2014-01-27,TMAX,183
ECM00084226,2013-04-11,TMIN,100
ECM00084226,2013-08-18,TMIN,70
ECM00084226,2012-02-27,TMIN,60
ECM00084226,2015-03-14,TMIN,88
