ID,Date,Element,Data_Value
BR037041370,2006-11-13,TMIN,266
BR037041370,2010-03-06,TMAX,358
BR037041370,2006-01-19,TMAX,320
BR037041370,2013-02-08,TMAX,361
BR037041370,2010-12-22,TMAX,360
BR037041370,2005-05-18,TMAX,322
BR037041370,2009-11-23,TMAX,390
BR037041370,2013-02-03,TMIN,256
BR037041370,2006-03-03,TMAX,314
BR037041370,2007-10-25,TMAX,400
BR037041370,2005-01-18,TMIN,236
BR037041370,2006-12-31,TMIN,248
BR037041370,2011-02-04,TMIN,247
BR037041370,2006-12-31,TMAX,353
BR037041370,2011-04-19,TMAX,330
BR037041370,2011-10-11,TMAX,381
BR037041370,2011-10-11,TMIN,256
BR037041370,2005-05-13,TMAX,322
BR037041370,2014-01-01,TMIN,239
BR037041370,2005-05-11,TMIN,244
BR037041370,2007-10-31,TMAX,391
BR037041370,2009-11-05,TMIN,255
BR037041370,2011-10-25,TMAX,372
BR037041370,2008-03-27,TMIN,239
BR037041370,2005-05-06,TMIN,237
BR037041370,2009-09-04,TMIN,235
BR037041370,2005-10-12,TMAX,372
BR037041370,2014-09-22,TMAX,392
BR037041370,2006-06-23,TMAX,334
BR037041370,2011-02-04,TMAX,338
BR037041370,2012-08-20,TMAX,373
BR037041370,2015-03-30,TMAX,330
BR037041370,2013-08-02,TMIN,237
BR037041370,2006-12-19,TMAX,364
BR037041370,2009-11-23,TMIN,260
BR037041370,2006-01-19,TMIN,219
BR037041370,2005-05-13,TMIN,245
BR037041370,2006-05-28,TMAX,334
BR037041370,2009-02-04,TMIN,225
BR037041370,2012-06-29,TMAX,349
BR037041370,2012-06-29,TMIN,248
BR037041370,2007-10-30,TMAX,406
BR037041370,2011-12-10,TMIN,239
BR037041370,2007-09-21,TMAX,388
BR037041370,2012-10-10,TMIN,259
BR037041370,2009-10-06,TMIN,248
BR037041370,2010-06-27,TMAX,358
BR037041370,2011-12-21,TMIN,260
BR037041370,2005-02-02,TMIN,250
BR037041370,2006-12-15,TMIN,230
BR037041370,2006-01-18,TMAX,352
BR037041370,2014-08-10,TMAX,362
BR037041370,2011-12-21,TMAX,372
BR037041370,2015-04-28,TMAX,340
BR037041370,2012-04-27,TMAX,344
BR037041370,2012-12-14,TMIN,256
BR037041370,2008-03-16,TMAX,314
BR037041370,2011-11-28,TMIN,238
BR037041370,2008-08-06,TMAX,356
BR037041370,2012-10-10,TMAX,385
BR037041370,2011-01-11,TMIN,236
BR037041370,2005-10-03,TMIN,259
BR037041370,2007-06-23,TMAX,347
BR037041370,2005-04-09,TMAX,336
BR037041370,2009-03-20,TMIN,248
BR037041370,2011-05-20,TMAX,311
BR037041370,2015-02-05,TMIN,226
BR037041370,2009-10-19,TMAX,364
BR037041370,2012-05-12,TMIN,245
BR037041370,2008-09-21,TMAX,382
BR037041370,2010-03-10,TMAX,361
BR037041370,2011-09-25,TMIN,258
BR037041370,2006-05-28,TMIN,248
BR037041370,2015-07-13,TMIN,225
BR037041370,2007-10-19,TMAX,399
BR037041370,2014-01-26,TMIN,229
BR037041370,2010-03-10,TMIN,269
BR037041370,2011-04-19,TMIN,240
BR037041370,2012-02-25,TMIN,230
BR037041370,2008-12-31,TMIN,246
BR037041370,2006-01-02,TMIN,239
BR037041370,2015-03-30,TMIN,239
BR037041370,2009-07-27,TMAX,344
BR037041370,2008-03-16,TMIN,226
BR037041370,2008-12-29,TMIN,258
BR037041370,2007-02-24,TMIN,233
BR037041370,2006-02-18,TMAX,332
BR037041370,2006-09-05,TMAX,368
BR037041370,2011-10-16,TMAX,366
BR037041370,2007-10-30,TMIN,258
BR037041370,2015-09-04,TMIN,249
BR037041370,2009-07-27,TMIN,218
BR037041370,2007-01-26,TMIN,258
BR037041370,2010-04-19,TMIN,257
BR037041370,2007-01-26,TMAX,381
BR037041370,2010-04-19,TMAX,337
BR037041370,2011-06-21,TMAX,334
BR037041370,2010-06-27,TMIN,200
BR037041370,2013-12-07,TMIN,259
BR037041370,2010-12-22,TMIN,260
BR037041370,2008-10-22,TMIN,258
BR037041370,2007-05-20,TMAX,340
BR037041370,2007-12-24,TMIN,260
BR037041370,2011-07-01,TMAX,342
BR037041370,2011-07-01,TMIN,230
BR037041370,2015-06-14,TMAX,340
BR037041370,2007-07-31,TMIN,236
BR037041370,2015-06-14,TMIN,230
BR037041370,2014-01-14,TMIN,227
BR037041370,2006-06-19,TMIN,238
BR037041370,2011-05-08,TMAX,334
BR037041370,2006-06-19,TMAX,331
BR037041370,2005-11-19,TMAX,401
BR037041370,2007-04-11,TMAX,346
BR037041370,2008-10-24,TMIN,237
BR037041370,2011-03-15,TMIN,245
BR037041370,2015-07-05,TMAX,329
BR037041370,2014-06-07,TMIN,248
BR037041370,2015-07-05,TMIN,248
BR037041370,2005-09-06,TMIN,230
BR037041370,2008-10-24,TMAX,393
BR037041370,2007-07-14,TMIN,255
BR037041370,2009-07-25,TMIN,220
BR037041370,2010-10-02,TMIN,250
BR037041370,2009-07-28,TMIN,230
BR037041370,2005-08-03,TMAX,346
BR037041370,2009-08-19,TMIN,230
BR037041370,2008-10-18,TMAX,374
BR037041370,2011-07-04,TMIN,246
BR037041370,2008-12-07,TMIN,255
BR037041370,2007-12-24,TMAX,377
BR037041370,2011-01-09,TMIN,230
BR037041370,2015-12-22,TMAX,381
BR037041370,2007-06-25,TMAX,348
BR037041370,2006-07-22,TMIN,235
BR037041370,2009-09-17,TMIN,255
BR037041370,2009-09-17,TMAX,369
BR037041370,2006-07-22,TMAX,354
BR037041370,2006-07-26,TMIN,232
BR037041370,2014-02-23,TMIN,248
BR037041370,2010-01-18,TMIN,257
BR037041370,2013-03-14,TMAX,363
BR037041370,2013-03-14,TMIN,270
BR037041370,2008-09-05,TMIN,250
BR037041370,2011-11-18,TMIN,250
BR037041370,2012-05-30,TMIN,250
BR037041370,2012-05-30,TMAX,356
BR037041370,2009-04-25,TMIN,246
BR037041370,2009-04-10,TMAX,340
BR037041370,2010-10-04,TMIN,260
BR037041370,2008-06-26,TMIN,226
BR037041370,2011-08-03,TMAX,351
BR037041370,2014-12-21,TMIN,250
BR037041370,2011-01-24,TMAX,316
BR037041370,2013-02-05,TMAX,367
BR037041370,2007-01-22,TMIN,258
BR037041370,2014-08-09,TMAX,360
BR037041370,2006-07-09,TMIN,239
BR037041370,2008-08-22,TMAX,366
BR037041370,2005-12-05,TMAX,361
BR037041370,2012-08-30,TMIN,248
BR037041370,2009-11-21,TMIN,239
BR037041370,2010-09-03,TMIN,240
BR037041370,2007-06-30,TMIN,225
BR037041370,2007-02-12,TMIN,256
BR037041370,2007-11-02,TMIN,260
BR037041370,2007-11-02,TMAX,394
BR037041370,2011-12-14,TMAX,329
BR037041370,2015-12-21,TMIN,266
BR037041370,2010-09-03,TMAX,364
BR037041370,2006-08-12,TMAX,352
BR037041370,2007-02-12,TMAX,351
BR037041370,2006-08-12,TMIN,226
BR037041370,2015-08-09,TMIN,219
BR037041370,2007-02-17,TMAX,319
BR037041370,2007-04-02,TMAX,356
BR037041370,2006-02-16,TMIN,228
BR037041370,2006-02-16,TMAX,324
BR037041370,2006-11-06,TMAX,379
BR037041370,2014-12-15,TMIN,246
BR037041370,2006-11-06,TMIN,260
BR037041370,2012-12-21,TMIN,256
BR037041370,2014-06-14,TMAX,345
BR037041370,2012-12-21,TMAX,382
BR037041370,2005-07-05,TMIN,229
BR037041370,2008-02-12,TMIN,235
BR037041370,2015-05-18,TMAX,329
BR037041370,2007-04-07,TMIN,257
BR037041370,2006-02-09,TMIN,238
BR037041370,2015-05-18,TMIN,238
BR037041370,2007-04-29,TMAX,334
BR037041370,2012-03-28,TMIN,230
BR037041370,2006-06-13,TMAX,342
BR037041370,2009-04-10,TMIN,237
BR037041370,2006-09-07,TMIN,225
BR037041370,2015-12-22,TMIN,260
BR037041370,2007-10-16,TMAX,393
BR037041370,2008-07-05,TMIN,218
BR037041370,2010-03-15,TMIN,265
BR037041370,2015-11-25,TMIN,250
BR037041370,2006-05-31,TMAX,324
BR037041370,2015-02-11,TMAX,332
BR037041370,2006-08-21,TMIN,236
BR037041370,2013-01-20,TMIN,246
BR037041370,2013-01-20,TMAX,347
BR037041370,2012-11-13,TMIN,257
BR037041370,2010-04-18,TMIN,240
BR037041370,2012-12-24,TMAX,397
BR037041370,2007-02-17,TMIN,240
BR037041370,2015-02-15,TMIN,240
BR037041370,2012-10-07,TMIN,245
BR037041370,2010-07-28,TMIN,220
BR037041370,2012-10-07,TMAX,399
BR037041370,2012-01-05,TMAX,348
BR037041370,2010-01-28,TMAX,337
BR037041370,2005-03-01,TMIN,250
BR037041370,2011-01-09,TMAX,317
BR037041370,2013-03-30,TMIN,239
BR037041370,2014-11-28,TMAX,377
BR037041370,2015-04-04,TMAX,330
BR037041370,2006-10-23,TMIN,248
BR037041370,2011-05-15,TMAX,332
BR037041370,2012-07-09,TMIN,255
BR037041370,2014-10-01,TMAX,385
BR037041370,2015-05-26,TMIN,245
BR037041370,2009-01-11,TMIN,239
BR037041370,2009-01-11,TMAX,332
BR037041370,2005-04-18,TMIN,250
BR037041370,2011-12-28,TMIN,257
BR037041370,2009-06-11,TMAX,322
BR037041370,2009-06-11,TMIN,258
BR037041370,2011-07-12,TMIN,259
BR037041370,2011-07-12,TMAX,334
BR037041370,2011-12-28,TMAX,366
BR037041370,2015-06-01,TMIN,240
BR037041370,2012-06-23,TMAX,354
BR037041370,2012-06-23,TMIN,227
BR037041370,2007-07-17,TMIN,253
BR037041370,2009-06-25,TMAX,335
BR037041370,2013-03-11,TMIN,248
BR037041370,2008-07-08,TMIN,239
BR037041370,2013-03-11,TMAX,361
BR037041370,2011-04-04,TMAX,342
BR037041370,2007-12-10,TMAX,352
BR037041370,2007-08-18,TMAX,361
BR037041370,2006-04-22,TMAX,327
BR037041370,2012-09-10,TMAX,390
BR037041370,2011-08-06,TMAX,362
BR037041370,2006-01-07,TMIN,245
BR037041370,2008-04-08,TMIN,240
BR037041370,2007-05-20,TMIN,250
BR037041370,2007-06-23,TMIN,216
BR037041370,2010-01-24,TMIN,257
BR037041370,2010-01-24,TMAX,356
BR037041370,2008-10-23,TMIN,235
BR037041370,2014-06-20,TMIN,250
BR037041370,2015-02-12,TMIN,238
BR037041370,2014-06-20,TMAX,342
BR037041370,2011-05-20,TMIN,234
BR037041370,2012-04-18,TMAX,324
BR037041370,2012-04-18,TMIN,240
BR037041370,2005-05-18,TMIN,247
BR037041370,2009-12-04,TMIN,268
BR037041370,2008-11-30,TMAX,374
BR037041370,2005-11-10,TMAX,387
BR037041370,2007-03-19,TMAX,340
