ID,Date,Element,Data_Value
RSM00034336,2011-10-17,TMAX,60
RSM00034344,2013-09-07,TMIN,107
RSM00034336,2010-08-21,TMAX,200
RSM00034344,2015-11-08,TMAX,91
RSM00034336,2008-02-14,TMAX,-27
RSM00034336,2007-01-01,TMIN,-16
RSM00034344,2012-11-13,TMAX,68
RSM00034336,2012-04-07,TMAX,181
RSM00034336,2008-04-18,TMIN,63
RSM00034336,2009-01-11,TMIN,-168
RSM00034336,2012-06-19,TMAX,270
RSM00034344,2015-12-20,TMAX,52
RSM00034344,2012-08-30,TMIN,148
RSM00034336,2009-12-26,TMIN,10
RSM00034336,2012-04-07,TMIN,60
RSM00034336,2006-06-27,TMIN,177
RSM00034336,2006-06-27,TMAX,301
RSM00034336,2013-12-02,TMIN,10
RSM00034336,2011-08-31,TMIN,117
RSM00034336,2010-06-27,TMAX,369
RSM00034344,2012-08-30,TMAX,252
RSM00034336,2010-06-25,TMAX,334
RSM00034344,2012-11-13,TMIN,-14
RSM00034336,2013-08-11,TMIN,135
RSM00034336,2012-08-11,TMIN,161
RSM00034336,2011-09-13,TMIN,126
RSM00034336,2011-07-04,TMIN,168
RSM00034344,2014-10-30,TMIN,-33
RSM00034336,2011-10-17,TMIN,-8
RSM00034336,2007-07-20,TMIN,200
RSM00034336,2008-04-25,TMIN,-12
RSM00034336,2012-10-25,TMAX,55
RSM00034344,2012-08-07,TMAX,374
RSM00034336,2011-01-23,TMIN,-87
RSM00034336,2014-12-14,TMIN,-25
RSM00034344,2013-03-02,TMAX,31
RSM00034336,2005-12-04,TMAX,5
RSM00034336,2007-07-20,TMAX,328
RSM00034336,2006-08-19,TMIN,177
RSM00034336,2014-12-04,TMAX,-101
RSM00034336,2014-10-26,TMIN,-118
RSM00034336,2007-08-01,TMIN,206
RSM00034336,2012-08-11,TMAX,305
RSM00034336,2005-04-26,TMIN,28
RSM00034336,2007-08-09,TMAX,276
RSM00034336,2005-08-31,TMAX,243
RSM00034336,2007-06-29,TMIN,182
RSM00034336,2008-02-12,TMAX,-10
RSM00034336,2012-08-07,TMAX,379
RSM00034336,2006-02-06,TMAX,-210
RSM00034344,2015-12-20,TMIN,21
RSM00034336,2006-06-20,TMIN,146
RSM00034336,2006-06-20,TMAX,277
RSM00034344,2015-11-08,TMIN,-41
RSM00034336,2014-04-18,TMAX,229
RSM00034336,2013-05-19,TMIN,164
RSM00034336,2015-02-19,TMIN,-177
RSM00034336,2014-07-18,TMIN,208
RSM00034336,2008-04-25,TMAX,189
RSM00034336,2011-07-03,TMIN,168
RSM00034336,2013-08-11,TMAX,319
RSM00034336,2007-08-02,TMAX,339
RSM00034336,2014-04-18,TMIN,78
RSM00034336,2008-10-29,TMAX,140
RSM00034336,2012-08-07,TMIN,196
RSM00034336,2006-10-13,TMAX,116
RSM00034336,2007-09-06,TMAX,292
RSM00034336,2013-08-10,TMIN,142
RSM00034336,2007-01-13,TMAX,63
RSM00034336,2012-02-08,TMIN,-215
RSM00034344,2015-12-12,TMIN,-54
RSM00034336,2009-09-24,TMIN,84
RSM00034344,2015-12-12,TMAX,18
RSM00034344,2014-07-31,TMIN,137
RSM00034336,2014-08-22,TMIN,134
RSM00034336,2010-10-19,TMIN,35
RSM00034336,2012-12-31,TMAX,-47
RSM00034336,2012-02-08,TMAX,-161
RSM00034336,2013-05-17,TMIN,177
RSM00034336,2005-10-20,TMAX,55
RSM00034336,2008-08-05,TMAX,321
RSM00034344,2013-08-20,TMIN,153
RSM00034336,2007-08-20,TMAX,388
RSM00034336,2008-08-05,TMIN,165
RSM00034336,2009-02-02,TMIN,-56
RSM00034336,2012-02-01,TMIN,-247
RSM00034336,2008-06-25,TMAX,255
RSM00034344,2014-08-19,TMIN,163
RSM00034336,2015-02-10,TMIN,-45
RSM00034336,2009-04-09,TMAX,67
RSM00034336,2015-02-10,TMAX,-23
RSM00034336,2015-09-28,TMAX,299
RSM00034336,2008-06-26,TMIN,110
RSM00034336,2010-05-14,TMAX,234
RSM00034344,2012-11-11,TMAX,48
RSM00034336,2014-11-05,TMAX,93
RSM00034336,2010-11-13,TMAX,153
RSM00034336,2009-05-01,TMIN,107
RSM00034336,2008-01-29,TMIN,-83
RSM00034336,2008-01-29,TMAX,-27
RSM00034336,2009-09-07,TMAX,295
RSM00034336,2009-01-25,TMAX,22
RSM00034336,2015-08-05,TMIN,150
RSM00034344,2012-11-02,TMAX,96
RSM00034336,2010-05-06,TMIN,92
RSM00034336,2009-01-09,TMAX,-99
RSM00034336,2015-12-19,TMIN,-11
RSM00034336,2011-05-08,TMAX,218
RSM00034344,2013-05-22,TMIN,153
RSM00034336,2006-04-22,TMAX,207
RSM00034336,2009-04-09,TMIN,-30
RSM00034336,2012-05-29,TMIN,116
RSM00034336,2010-07-26,TMIN,225
RSM00034336,2010-10-19,TMAX,70
RSM00034336,2010-02-09,TMAX,-57
RSM00034336,2007-08-01,TMAX,362
RSM00034336,2009-03-24,TMAX,61
RSM00034344,2015-04-04,TMIN,-10
RSM00034336,2015-10-02,TMIN,20
RSM00034336,2006-07-29,TMIN,102
RSM00034336,2009-03-24,TMIN,2
RSM00034336,2011-05-08,TMIN,85
RSM00034336,2011-08-31,TMAX,312
RSM00034336,2010-02-09,TMIN,-101
RSM00034336,2012-05-18,TMIN,154
RSM00034336,2009-11-05,TMAX,62
RSM00034336,2011-08-03,TMIN,182
RSM00034336,2014-08-22,TMAX,314
RSM00034336,2007-09-06,TMIN,137
RSM00034336,2015-10-02,TMAX,195
RSM00034336,2014-04-19,TMIN,107
RSM00034336,2010-06-27,TMIN,173
RSM00034336,2008-10-29,TMIN,11
RSM00034344,2013-02-02,TMIN,4
RSM00034336,2014-09-12,TMIN,135
RSM00034336,2010-12-07,TMAX,-14
RSM00034336,2014-08-25,TMAX,310
RSM00034336,2008-06-26,TMAX,245
RSM00034336,2006-04-22,TMIN,87
RSM00034336,2014-05-26,TMIN,193
RSM00034336,2014-11-05,TMIN,-62
RSM00034336,2009-10-05,TMAX,173
RSM00034336,2010-03-28,TMAX,92
RSM00034336,2015-03-07,TMAX,33
RSM00034336,2013-05-17,TMAX,336
RSM00034336,2007-08-20,TMIN,171
RSM00034336,2009-09-24,TMAX,252
RSM00034336,2010-03-28,TMIN,-19
RSM00034336,2007-06-29,TMAX,331
RSM00034336,2013-02-09,TMIN,-6
RSM00034336,2015-07-24,TMIN,118
RSM00034336,2015-07-24,TMAX,305
RSM00034336,2014-08-25,TMIN,135
RSM00034344,2012-08-07,TMIN,180
RSM00034336,2006-03-15,TMAX,47
RSM00034336,2010-03-19,TMAX,-9
RSM00034336,2006-03-21,TMIN,-36
RSM00034336,2009-02-26,TMIN,-80
RSM00034336,2008-06-02,TMIN,55
RSM00034336,2009-08-15,TMIN,106
RSM00034344,2013-02-01,TMAX,10
RSM00034336,2015-06-19,TMIN,176
RSM00034336,2012-03-21,TMAX,34
RSM00034336,2011-01-02,TMIN,-29
RSM00034336,2009-03-09,TMAX,23
RSM00034336,2011-07-12,TMIN,179
RSM00034336,2011-01-02,TMAX,26
RSM00034336,2006-03-21,TMAX,16
RSM00034336,2009-09-18,TMAX,236
RSM00034336,2011-06-30,TMIN,186
RSM00034336,2013-04-28,TMIN,115
RSM00034344,2013-02-01,TMIN,-46
RSM00034336,2006-10-05,TMIN,103
RSM00034344,2015-12-19,TMIN,-9
RSM00034336,2005-08-30,TMAX,260
RSM00034336,2010-02-22,TMAX,35
RSM00034344,2015-12-17,TMAX,12
RSM00034336,2011-04-18,TMIN,63
RSM00034336,2012-09-28,TMAX,287
RSM00034336,2012-07-25,TMAX,312
