ID,Date,Element,Data_Value
MX000003035,2013-12-20,TMAX,285
MX000003035,2011-11-16,TMIN,140
MX000003035,2008-09-17,TMIN,250
MX000003035,2014-10-26,TMAX,356
MX000003035,2013-03-24,TMIN,125
MX000003035,2011-09-27,TMAX,380
MX000003035,2007-11-24,TMAX,257
MX000003035,2005-12-25,TMIN,110
MX000003035,2011-08-31,TMAX,381
MX000003035,2013-01-07,TMIN,110
MX000003035,2012-12-13,TMIN,100
MX000003035,2006-03-02,TMIN,195
MX000003035,2007-06-22,TMAX,392
MX000003035,2013-03-24,TMAX,270
MX000003035,2011-12-30,TMIN,80
MX000003035,2014-05-08,TMIN,150
MX000003035,2014-07-03,TMAX,372
MX000003035,2010-07-05,TMIN,230
MX000003035,2010-10-09,TMAX,336
MX000003035,2011-12-30,TMAX,270
MX000003035,2014-03-03,TMIN,138
MX000003035,2008-03-16,TMIN,135
MX000003035,2011-11-05,TMIN,190
MX000003035,2006-10-06,TMIN,267
MX000003035,2007-11-24,TMIN,149
MX000003035,2006-07-07,TMIN,258
MX000003035,2006-01-22,TMAX,214
MX000003035,2006-01-22,TMIN,115
MX000003035,2009-09-01,TMIN,270
MX000003035,2013-08-19,TMIN,260
MX000003035,2007-07-24,TMAX,342
MX000003035,2011-02-16,TMAX,292
MX000003035,2012-02-05,TMAX,247
MX000003035,2006-01-15,TMAX,267
MX000003035,2006-07-28,TMAX,343
MX000003035,2007-07-01,TMAX,358
MX000003035,2006-03-02,TMAX,306
MX000003035,2009-02-14,TMIN,102
MX000003035,2013-08-19,TMAX,392
MX000003035,2011-11-16,TMAX,272
MX000003035,2013-06-11,TMIN,230
MX000003035,2007-03-16,TMAX,326
MX000003035,2007-12-22,TMAX,235
MX000003035,2012-05-07,TMIN,200
MX000003035,2008-04-19,TMAX,302
MX000003035,2011-08-18,TMIN,295
MX000003035,2010-07-05,TMAX,329
MX000003035,2014-03-09,TMAX,262
MX000003035,2007-07-01,TMIN,259
MX000003035,2015-11-21,TMIN,150
MX000003035,2009-09-23,TMIN,255
MX000003035,2008-08-11,TMAX,370
MX000003035,2006-10-06,TMAX,376
MX000003035,2011-04-05,TMIN,168
MX000003035,2006-07-07,TMAX,375
MX000003035,2015-04-08,TMIN,200
MX000003035,2014-08-27,TMIN,265
MX000003035,2013-07-18,TMIN,261
MX000003035,2013-06-11,TMAX,360
MX000003035,2013-12-27,TMIN,160
MX000003035,2005-09-15,TMIN,238
MX000003035,2013-07-18,TMAX,350
MX000003035,2007-02-12,TMAX,265
MX000003035,2012-12-13,TMAX,250
MX000003035,2006-08-02,TMIN,266
MX000003035,2014-08-27,TMAX,372
MX000003035,2009-10-03,TMIN,220
MX000003035,2011-11-05,TMAX,323
MX000003035,2010-08-30,TMIN,280
MX000003035,2009-09-01,TMAX,365
MX000003035,2008-07-02,TMIN,260
MX000003035,2011-07-18,TMIN,270
MX000003035,2015-11-04,TMAX,332
MX000003035,2010-11-07,TMAX,340
MX000003035,2010-12-02,TMIN,105
MX000003035,2007-05-02,TMIN,173
MX000003035,2014-09-22,TMAX,340
MX000003035,2007-02-12,TMIN,130
MX000003035,2008-10-23,TMIN,197
MX000003035,2012-03-10,TMIN,120
MX000003035,2008-11-16,TMIN,153
MX000003035,2009-10-03,TMAX,330
MX000003035,2014-11-10,TMIN,179
MX000003035,2013-03-17,TMIN,141
MX000003035,2015-04-08,TMAX,302
MX000003035,2014-01-06,TMIN,140
MX000003035,2007-05-02,TMAX,322
MX000003035,2014-09-22,TMIN,255
MX000003035,2012-05-07,TMAX,350
MX000003035,2013-03-15,TMIN,132
MX000003035,2015-11-21,TMAX,287
MX000003035,2008-04-19,TMIN,144
MX000003035,2014-05-08,TMAX,280
MX000003035,2009-10-12,TMAX,320
MX000003035,2015-02-25,TMIN,140
MX000003035,2007-06-11,TMAX,336
MX000003035,2013-01-07,TMAX,235
MX000003035,2006-08-24,TMAX,358
MX000003035,2015-12-07,TMIN,191
MX000003035,2007-03-01,TMAX,258
MX000003035,2011-06-24,TMIN,245
MX000003035,2006-06-15,TMAX,374
MX000003035,2010-11-23,TMAX,250
MX000003035,2010-03-15,TMAX,270
MX000003035,2008-03-25,TMIN,122
MX000003035,2010-11-23,TMIN,135
MX000003035,2010-07-20,TMAX,386
MX000003035,2011-03-16,TMAX,310
MX000003035,2013-03-17,TMAX,350
MX000003035,2006-06-15,TMIN,232
MX000003035,2005-09-20,TMAX,390
MX000003035,2010-07-20,TMIN,296
MX000003035,2014-03-08,TMAX,290
MX000003035,2006-05-04,TMIN,132
MX000003035,2005-12-01,TMIN,149
MX000003035,2006-08-02,TMAX,365
MX000003035,2013-01-13,TMAX,190
MX000003035,2011-03-16,TMIN,130
MX000003035,2007-02-19,TMAX,270
MX000003035,2006-05-04,TMAX,371
MX000003035,2009-03-05,TMIN,140
MX000003035,2010-03-15,TMIN,120
