ID,Date,Element,Data_Value
PPM00092044,2012-07-06,TMAX,301
PPM00092044,2006-08-25,TMAX,311
PPM00092044,2007-08-14,TMIN,241
PPM00092044,2010-12-02,TMIN,261
PPM00092044,2005-11-25,TMAX,300
PPM00092044,2010-04-13,TMAX,303
PPM00092044,2008-08-03,TMIN,244
PPM00092044,2009-08-02,TMAX,307
PPM00092044,2010-11-02,TMIN,256
PPM00092044,2009-03-31,TMIN,237
PPM00092044,2008-08-03,TMAX,309
PPM00092044,2013-08-28,TMIN,250
PPM00092044,2005-07-18,TMAX,288
PPM00092044,2010-06-03,TMAX,326
PPM00092044,2007-08-08,TMIN,241
PPM00092044,2006-06-06,TMAX,321
PPM00092044,2007-08-08,TMAX,303
PPM00092044,2010-02-24,TMIN,240
PPM00092044,2005-12-23,TMAX,309
PPM00092044,2008-07-31,TMIN,234
PPM00092044,2009-12-22,TMIN,242
PPM00092044,2007-03-11,TMIN,236
PPM00092044,2009-01-01,TMIN,242
PPM00092044,2006-10-19,TMAX,317
PPM00092044,2008-10-15,TMIN,244
PPM00092044,2008-10-15,TMAX,317
PPM00092044,2010-10-02,TMAX,318
PPM00092044,2010-12-02,TMAX,324
PPM00092044,2008-06-01,TMAX,310
PPM00092044,2006-01-07,TMAX,319
PPM00092044,2010-05-23,TMAX,319
PPM00092044,2010-05-04,TMAX,324
PPM00092044,2006-08-10,TMAX,301
PPM00092044,2009-02-22,TMIN,230
PPM00092044,2009-06-28,TMIN,237
PPM00092044,2010-06-03,TMIN,273
PPM00092044,2006-06-28,TMAX,308
PPM00092044,2009-08-02,TMIN,269
PPM00092044,2006-08-07,TMAX,300
PPM00092044,2010-05-04,TMIN,253
PPM00092044,2008-12-08,TMAX,323
PPM00092044,2009-06-28,TMAX,310
PPM00092044,2011-07-19,TMAX,300
PPM00092044,2013-11-29,TMAX,318
PPM00092044,2010-06-11,TMAX,330
PPM00092044,2005-09-19,TMAX,303
PPM00092044,2010-12-12,TMAX,314
PPM00092044,2011-07-31,TMAX,310
PPM00092044,2008-08-07,TMIN,246
PPM00092044,2010-10-02,TMIN,265
PPM00092044,2007-03-21,TMAX,313
PPM00092044,2008-09-14,TMIN,245
PPM00092044,2009-05-19,TMAX,308
PPM00092044,2007-09-03,TMAX,308
PPM00092044,2008-08-07,TMAX,309
PPM00092044,2006-06-10,TMAX,309
