ID,Date,Element,Data_Value
USW00093116,2009-12-17,TMAX,206
USW00093116,2009-11-01,TMAX,244
USW00093116,2007-04-13,TMAX,244
USW00093116,2008-01-28,TMAX,139
USW00093116,2008-06-14,TMIN,122
USW00093116,2007-09-09,TMIN,156
USW00093116,2007-09-09,TMAX,250
USW00093116,2008-01-01,TMAX,200
USW00093116,2007-07-31,TMAX,250
USW00093116,2009-09-12,TMAX,228
USW00093116,2008-03-25,TMAX,250
USW00093116,2008-03-28,TMAX,167
USW00093116,2007-05-04,TMIN,122
USW00093116,2007-08-24,TMAX,228
USW00093116,2008-12-23,TMAX,144
USW00093116,2008-09-28,TMIN,156
USW00093116,2009-11-01,TMIN,128
USW00093116,2007-08-06,TMAX,228
USW00093116,2008-02-03,TMIN,94
USW00093116,2008-04-27,TMIN,183
USW00093116,2009-09-12,TMIN,161
USW00093116,2008-09-28,TMAX,256
USW00093116,2008-08-28,TMAX,250
USW00093116,2008-04-23,TMAX,183
USW00093116,2008-12-09,TMIN,100
USW00093116,2007-05-21,TMIN,106
USW00093116,2009-09-09,TMIN,150
USW00093116,2008-11-24,TMAX,200
USW00093116,2008-02-11,TMAX,244
USW00093116,2009-09-09,TMAX,256
USW00093116,2007-09-10,TMIN,161
USW00093116,2008-03-18,TMAX,189
USW00093116,2008-02-03,TMAX,139
USW00093116,2009-12-28,TMAX,167
USW00093116,2008-11-24,TMIN,139
USW00093116,2009-12-09,TMAX,122
USW00093116,2008-01-14,TMIN,144
USW00093116,2009-12-09,TMIN,56
USW00093116,2007-04-09,TMIN,122
USW00093116,2009-12-28,TMIN,89
USW00093116,2007-06-24,TMIN,117
USW00093116,2007-10-15,TMAX,189
USW00093116,2007-06-24,TMAX,222
USW00093116,2008-05-04,TMIN,111
USW00093116,2007-07-31,TMIN,144
USW00093116,2008-09-02,TMIN,139
USW00093116,2008-07-18,TMIN,144
USW00093116,2008-09-02,TMAX,228
USW00093116,2008-04-23,TMIN,111
USW00093116,2008-03-25,TMIN,111
USW00093116,2007-10-15,TMIN,144
USW00093116,2008-07-18,TMAX,206
USW00093116,2008-06-14,TMAX,206
USW00093116,2007-09-10,TMAX,250
USW00093116,2009-08-24,TMIN,161
USW00093116,2008-05-04,TMAX,150
USW00093116,2008-02-11,TMIN,111
USW00093116,2008-01-22,TMIN,100
USW00093116,2008-06-22,TMAX,339
USW00093116,2007-05-21,TMAX,189
USW00093116,2007-10-29,TMAX,256
USW00093116,2008-03-18,TMIN,83
USW00093116,2008-01-14,TMAX,239
USW00093116,2007-04-09,TMAX,200
USW00093116,2009-10-25,TMAX,228
USW00093116,2008-12-10,TMAX,211
USW00093116,2008-01-22,TMAX,144
USW00093116,2008-01-01,TMIN,133
USW00093116,2008-12-19,TMIN,83
USW00093116,2008-01-05,TMAX,156
USW00093116,2008-01-21,TMIN,83
USW00093116,2008-09-14,TMIN,156
USW00093116,2008-10-30,TMAX,200
USW00093116,2008-10-30,TMIN,156
USW00093116,2008-09-14,TMAX,217
USW00093116,2009-11-10,TMAX,200
USW00093116,2008-10-21,TMIN,133
USW00093116,2007-07-06,TMIN,144
USW00093116,2007-07-06,TMAX,239
USW00093116,2008-07-06,TMAX,228
USW00093116,2008-11-17,TMAX,317
USW00093116,2008-11-17,TMIN,183
USW00093116,2009-11-10,TMIN,106
USW00093116,2008-09-15,TMAX,244
USW00093116,2008-01-16,TMIN,78
USW00093116,2008-09-15,TMIN,150
USW00093116,2007-10-27,TMIN,139
USW00093116,2008-01-16,TMAX,156
USW00093116,2008-07-06,TMIN,128
USW00093116,2008-11-11,TMIN,117
USW00093116,2008-10-21,TMAX,256
USW00093116,2007-06-11,TMAX,189
USW00093116,2007-08-11,TMIN,128
USW00093116,2009-12-27,TMIN,78
USW00093116,2007-06-30,TMIN,144
USW00093116,2009-12-27,TMAX,133
USW00093116,2008-10-23,TMAX,322
USW00093116,2007-05-15,TMAX,172
USW00093116,2008-11-19,TMAX,250
USW00093116,2007-06-06,TMAX,189
USW00093116,2007-06-11,TMIN,139
USW00093116,2007-06-06,TMIN,128
USW00093116,2007-12-16,TMAX,167
USW00093116,2008-11-11,TMAX,211
USW00093116,2007-04-08,TMIN,122
USW00093116,2008-10-23,TMIN,194
USW00093116,2007-03-07,TMIN,122
USW00093116,2007-03-07,TMAX,239
USW00093116,2008-04-07,TMIN,100
USW00093116,2008-04-07,TMAX,161
USW00093116,2007-04-08,TMAX,178
USW00093116,2007-07-15,TMIN,150
USW00093116,2008-12-15,TMAX,139
USW00093116,2008-07-13,TMAX,250
USW00093116,2008-07-13,TMIN,156
USW00093116,2007-04-20,TMIN,94
USW00093116,2009-12-21,TMIN,111
USW00093116,2009-12-21,TMAX,189
USW00093116,2008-11-23,TMIN,139
USW00093116,2008-11-23,TMAX,178
USW00093116,2008-08-17,TMAX,244
USW00093116,2008-03-09,TMAX,250
