ID,Date,Element,Data_Value
RSM00034123,2012-07-12,TMAX,306
RSM00034123,2012-03-17,TMIN,-130
RSM00034123,2012-03-31,TMAX,68
RSM00034123,2009-08-14,TMAX,275
RSM00034123,2007-06-14,TMIN,165
RSM00034123,2014-09-07,TMIN,90
RSM00034123,2015-12-11,TMIN,-27
RSM00034123,2007-11-28,TMAX,6
RSM00034123,2008-02-27,TMAX,70
RSM00034123,2012-07-12,TMIN,182
RSM00034123,2012-03-17,TMAX,14
RSM00034123,2006-05-05,TMIN,104
RSM00034123,2011-07-07,TMIN,182
RSM00034123,2014-05-20,TMAX,275
RSM00034123,2013-10-09,TMAX,134
RSM00034123,2006-08-07,TMAX,334
RSM00034123,2007-11-28,TMIN,-14
RSM00034123,2012-11-21,TMIN,21
RSM00034123,2014-07-03,TMIN,130
RSM00034123,2010-10-11,TMIN,70
RSM00034123,2011-01-02,TMAX,-8
RSM00034123,2010-12-08,TMAX,13
RSM00034123,2010-12-08,TMIN,-14
RSM00034123,2014-01-16,TMIN,-59
RSM00034123,2013-09-18,TMIN,106
RSM00034123,2008-10-02,TMAX,198
RSM00034123,2013-03-03,TMAX,-12
RSM00034123,2008-11-30,TMAX,17
RSM00034123,2007-05-25,TMIN,175
RSM00034123,2008-04-24,TMAX,128
RSM00034123,2009-08-14,TMIN,144
RSM00034123,2009-08-17,TMAX,274
RSM00034123,2011-09-29,TMAX,130
RSM00034123,2015-07-30,TMIN,180
RSM00034123,2015-07-30,TMAX,284
RSM00034123,2011-04-03,TMIN,-32
RSM00034123,2015-12-11,TMAX,-5
RSM00034123,2009-10-11,TMIN,23
RSM00034123,2006-09-09,TMIN,127
RSM00034123,2008-03-18,TMIN,27
RSM00034123,2005-01-15,TMIN,5
RSM00034123,2006-07-10,TMIN,176
RSM00034123,2008-10-30,TMAX,122
RSM00034123,2014-05-20,TMIN,125
RSM00034123,2005-10-20,TMIN,27
RSM00034123,2009-11-24,TMIN,29
RSM00034123,2006-08-07,TMIN,192
RSM00034123,2013-01-13,TMIN,-100
RSM00034123,2009-10-24,TMAX,122
RSM00034123,2008-10-13,TMIN,82
RSM00034123,2006-07-10,TMAX,300
RSM00034123,2006-10-25,TMAX,124
RSM00034123,2006-10-21,TMAX,61
RSM00034123,2009-10-07,TMAX,128
RSM00034123,2013-01-13,TMAX,-50
RSM00034123,2009-05-29,TMIN,95
RSM00034123,2009-05-22,TMIN,90
RSM00034123,2007-12-10,TMAX,-27
RSM00034123,2014-11-27,TMAX,-43
RSM00034123,2011-12-04,TMAX,35
RSM00034123,2011-12-04,TMIN,-2
RSM00034123,2009-05-22,TMAX,220
RSM00034123,2012-09-16,TMAX,237
RSM00034123,2014-11-27,TMIN,-116
RSM00034123,2009-05-29,TMAX,223
RSM00034123,2013-03-03,TMIN,-67
RSM00034123,2009-03-28,TMAX,41
RSM00034123,2014-07-16,TMIN,185
RSM00034123,2014-11-01,TMIN,5
RSM00034123,2012-11-21,TMAX,59
RSM00034123,2009-07-21,TMAX,329
RSM00034123,2009-03-11,TMIN,13
RSM00034123,2010-08-13,TMIN,235
RSM00034123,2009-05-24,TMIN,107
RSM00034123,2013-04-02,TMIN,72
RSM00034123,2005-08-24,TMIN,137
RSM00034123,2009-03-22,TMIN,-13
RSM00034123,2006-04-24,TMIN,25
RSM00034123,2008-02-27,TMIN,3
RSM00034123,2014-07-16,TMAX,306
RSM00034123,2009-11-24,TMAX,65
RSM00034123,2012-06-01,TMIN,75
RSM00034123,2013-07-09,TMAX,248
RSM00034123,2011-11-25,TMIN,-91
RSM00034123,2011-01-02,TMIN,-28
RSM00034123,2006-05-22,TMAX,212
RSM00034123,2009-03-11,TMAX,34
RSM00034123,2006-09-09,TMAX,235
RSM00034123,2005-10-20,TMAX,56
RSM00034123,2005-01-31,TMAX,-81
RSM00034123,2008-04-24,TMIN,38
RSM00034123,2006-05-22,TMIN,162
RSM00034123,2012-06-01,TMAX,184
RSM00034123,2012-04-15,TMAX,223
RSM00034123,2006-10-21,TMIN,27
RSM00034123,2008-08-30,TMIN,150
RSM00034123,2008-12-21,TMAX,-74
RSM00034123,2014-11-13,TMAX,45
RSM00034123,2007-10-02,TMIN,80
RSM00034123,2011-06-11,TMAX,257
RSM00034123,2007-02-25,TMAX,-71
RSM00034123,2011-08-14,TMAX,330
RSM00034123,2005-11-26,TMAX,25
RSM00034123,2005-02-01,TMIN,-86
RSM00034123,2005-12-03,TMAX,-13
RSM00034123,2010-07-23,TMIN,192
RSM00034123,2006-03-13,TMIN,-22
RSM00034123,2011-04-06,TMIN,27
RSM00034123,2009-01-15,TMIN,-15
RSM00034123,2014-05-22,TMAX,290
RSM00034123,2010-01-22,TMAX,-172
RSM00034123,2010-03-20,TMIN,-20
RSM00034123,2010-01-22,TMIN,-253
RSM00034123,2011-04-06,TMAX,70
RSM00034123,2008-08-30,TMAX,268
RSM00034123,2008-05-12,TMAX,218
RSM00034123,2015-12-22,TMIN,35
RSM00034123,2009-01-07,TMIN,-212
RSM00034123,2008-11-17,TMAX,80
RSM00034123,2007-12-04,TMIN,1
RSM00034123,2010-09-26,TMAX,225
RSM00034123,2013-04-06,TMAX,164
RSM00034123,2005-02-01,TMAX,-67
RSM00034123,2006-12-01,TMAX,51
RSM00034123,2010-09-24,TMAX,169
RSM00034123,2011-08-14,TMIN,210
RSM00034123,2008-01-04,TMIN,-218
RSM00034123,2007-02-23,TMAX,-174
RSM00034123,2015-08-01,TMAX,225
RSM00034123,2010-07-31,TMIN,187
RSM00034123,2010-10-11,TMAX,118
RSM00034123,2009-01-10,TMAX,-22
RSM00034123,2010-07-31,TMAX,392
RSM00034123,2006-12-01,TMIN,28
RSM00034123,2008-01-04,TMAX,-154
RSM00034123,2008-01-29,TMAX,-40
RSM00034123,2005-12-03,TMIN,-43
RSM00034123,2010-11-19,TMIN,12
RSM00034123,2012-06-12,TMIN,190
RSM00034123,2011-01-15,TMAX,-20
RSM00034123,2011-12-27,TMIN,-13
RSM00034123,2014-07-24,TMIN,123
RSM00034123,2015-11-08,TMAX,64
RSM00034123,2009-02-27,TMIN,-60
RSM00034123,2009-01-12,TMIN,-75
RSM00034123,2013-05-27,TMIN,145
RSM00034123,2007-07-20,TMAX,311
RSM00034123,2012-01-06,TMIN,16
RSM00034123,2010-04-13,TMIN,7
RSM00034123,2009-06-24,TMAX,270
RSM00034123,2009-06-24,TMIN,192
RSM00034123,2010-04-13,TMAX,161
RSM00034123,2006-06-03,TMIN,167
RSM00034123,2009-06-23,TMAX,300
RSM00034123,2005-12-17,TMIN,-34
RSM00034123,2009-10-10,TMIN,30
RSM00034123,2010-11-12,TMIN,63
RSM00034123,2008-10-16,TMAX,137
RSM00034123,2014-05-22,TMIN,144
RSM00034123,2014-10-30,TMAX,108
RSM00034123,2013-05-16,TMIN,166
RSM00034123,2012-06-12,TMAX,325
RSM00034123,2010-03-20,TMAX,62
RSM00034123,2007-07-20,TMIN,190
RSM00034123,2011-01-15,TMIN,-66
RSM00034123,2006-01-07,TMIN,-219
RSM00034123,2005-08-01,TMAX,328
RSM00034123,2010-04-28,TMIN,53
RSM00034123,2005-08-01,TMIN,207
RSM00034123,2007-03-28,TMAX,147
RSM00034123,2012-01-06,TMAX,25
RSM00034123,2013-08-11,TMIN,180
RSM00034123,2013-08-11,TMAX,306
RSM00034123,2010-11-15,TMIN,68
RSM00034123,2013-07-29,TMAX,231
RSM00034123,2007-03-28,TMIN,0
RSM00034123,2015-03-05,TMIN,-60
RSM00034123,2009-02-24,TMIN,-120
RSM00034123,2015-11-08,TMIN,-21
RSM00034123,2011-12-27,TMAX,51
RSM00034123,2006-06-03,TMAX,292
RSM00034123,2008-11-17,TMIN,42
RSM00034123,2009-01-07,TMAX,-110
RSM00034123,2008-03-19,TMAX,100
RSM00034123,2012-03-28,TMIN,-45
RSM00034123,2007-02-12,TMAX,-51
RSM00034123,2008-04-30,TMIN,100
RSM00034123,2008-04-30,TMAX,186
RSM00034123,2012-01-05,TMIN,8
RSM00034123,2009-10-11,TMAX,126
RSM00034123,2006-12-23,TMAX,30
RSM00034123,2008-06-23,TMIN,125
RSM00034123,2013-10-09,TMIN,95
RSM00034123,2007-06-16,TMIN,200
RSM00034123,2009-07-19,TMIN,187
RSM00034123,2005-08-12,TMIN,157
RSM00034123,2012-01-24,TMAX,-121
RSM00034123,2010-04-11,TMIN,36
RSM00034123,2007-02-23,TMIN,-230
RSM00034123,2012-01-24,TMIN,-195
RSM00034123,2011-06-11,TMIN,131
RSM00034123,2012-01-05,TMAX,23
RSM00034123,2011-11-25,TMAX,-22
RSM00034123,2008-09-08,TMAX,312
RSM00034123,2013-10-28,TMIN,85
RSM00034123,2007-06-16,TMAX,310
RSM00034123,2012-02-07,TMIN,-247
RSM00034123,2010-04-11,TMAX,140
RSM00034123,2012-02-07,TMAX,-140
RSM00034123,2005-12-08,TMIN,4
RSM00034123,2010-05-19,TMAX,184
RSM00034123,2009-06-20,TMIN,154
RSM00034123,2011-09-30,TMIN,60
RSM00034123,2015-08-05,TMIN,153
RSM00034123,2011-09-30,TMAX,126
RSM00034123,2007-07-21,TMAX,276
RSM00034123,2006-12-23,TMIN,0
RSM00034123,2008-09-08,TMIN,110
RSM00034123,2007-07-21,TMIN,132
RSM00034123,2013-04-06,TMIN,68
RSM00034123,2008-07-14,TMIN,178
RSM00034123,2008-01-29,TMIN,-51
RSM00034123,2013-10-28,TMAX,116
RSM00034123,2012-01-14,TMIN,-23
RSM00034123,2008-07-14,TMAX,317
RSM00034123,2010-12-21,TMIN,-66
RSM00034123,2009-02-24,TMAX,-48
RSM00034123,2015-12-22,TMAX,56
RSM00034123,2008-04-27,TMAX,196
RSM00034123,2008-04-27,TMIN,41
RSM00034123,2006-03-13,TMAX,22
RSM00034123,2009-03-31,TMIN,75
RSM00034123,2009-12-15,TMAX,-57
RSM00034123,2013-02-25,TMAX,-2
RSM00034123,2006-01-13,TMAX,-17
RSM00034123,2009-03-31,TMAX,132
RSM00034123,2008-03-19,TMIN,4
RSM00034123,2014-05-31,TMIN,135
