ID,Date,Element,Data_Value
COM00080094,2011-09-17,TMAX,260
COM00080094,2011-09-07,TMIN,187
COM00080094,2007-03-10,TMIN,186
COM00080094,2011-10-01,TMIN,187
COM00080094,2011-09-07,TMAX,275
COM00080094,2007-03-10,TMAX,260
COM00080094,2007-12-18,TMIN,184
COM00080094,2013-04-21,TMIN,186
COM00080094,2015-11-11,TMIN,182
COM00080094,2011-08-25,TMAX,266
COM00080094,2014-12-04,TMIN,186
COM00080094,2013-05-27,TMAX,256
COM00080094,2011-08-25,TMIN,174
COM00080094,2010-01-29,TMIN,200
COM00080094,2007-04-25,TMAX,263
COM00080094,2011-11-16,TMIN,187
COM00080094,2012-04-11,TMIN,180
COM00080094,2005-10-05,TMIN,184
COM00080094,2006-01-10,TMAX,244
COM00080094,2005-10-05,TMAX,265
COM00080094,2005-09-23,TMIN,180
COM00080094,2010-05-16,TMAX,285
COM00080094,2006-01-10,TMIN,180
COM00080094,2012-02-16,TMAX,264
COM00080094,2014-09-10,TMAX,266
COM00080094,2011-10-01,TMAX,267
COM00080094,2014-07-01,TMAX,268
COM00080094,2014-09-10,TMIN,196
COM00080094,2013-07-11,TMIN,186
COM00080094,2005-12-27,TMIN,173
COM00080094,2014-02-03,TMIN,182
COM00080094,2015-06-21,TMAX,266
COM00080094,2011-05-30,TMIN,190
COM00080094,2006-06-25,TMIN,188
COM00080094,2013-04-21,TMAX,254
COM00080094,2007-05-23,TMIN,186
COM00080094,2015-12-12,TMIN,194
COM00080094,2011-11-17,TMIN,187
COM00080094,2010-05-16,TMIN,203
COM00080094,2013-05-27,TMIN,204
COM00080094,2014-12-30,TMAX,273
COM00080094,2011-06-25,TMIN,188
COM00080094,2014-07-01,TMIN,190
COM00080094,2011-11-17,TMAX,240
COM00080094,2012-08-20,TMAX,268
COM00080094,2012-01-19,TMAX,256
COM00080094,2012-01-29,TMAX,252
COM00080094,2012-04-08,TMIN,178
COM00080094,2014-05-31,TMAX,252
COM00080094,2012-06-12,TMAX,267
COM00080094,2006-09-29,TMAX,280
COM00080094,2007-06-07,TMIN,193
COM00080094,2014-09-24,TMIN,176
COM00080094,2010-12-13,TMAX,254
COM00080094,2013-03-01,TMIN,188
COM00080094,2006-09-29,TMIN,197
COM00080094,2011-06-18,TMIN,192
COM00080094,2011-06-18,TMAX,250
COM00080094,2006-01-18,TMAX,250
COM00080094,2012-08-26,TMAX,264
COM00080094,2006-01-18,TMIN,172
COM00080094,2012-04-08,TMAX,266
COM00080094,2010-11-20,TMIN,180
COM00080094,2012-06-12,TMIN,184
COM00080094,2014-09-23,TMIN,178
COM00080094,2015-02-08,TMIN,182
COM00080094,2012-07-20,TMAX,280
COM00080094,2014-10-13,TMIN,180
COM00080094,2015-02-16,TMIN,190
COM00080094,2013-05-10,TMAX,262
COM00080094,2011-01-23,TMAX,260
COM00080094,2011-01-23,TMIN,172
COM00080094,2014-10-13,TMAX,267
COM00080094,2013-05-14,TMIN,194
COM00080094,2012-07-20,TMIN,179
COM00080094,2010-12-13,TMIN,189
COM00080094,2013-12-28,TMIN,184
COM00080094,2015-04-23,TMIN,192
COM00080094,2014-04-27,TMAX,261
COM00080094,2013-05-10,TMIN,184
COM00080094,2014-09-24,TMAX,281
COM00080094,2005-03-13,TMIN,188
COM00080094,2005-03-15,TMAX,265
COM00080094,2015-09-20,TMIN,177
COM00080094,2012-09-01,TMIN,182
COM00080094,2011-11-16,TMAX,263
COM00080094,2007-07-07,TMAX,282
COM00080094,2014-12-04,TMAX,278
COM00080094,2007-04-25,TMIN,195
COM00080094,2005-03-15,TMIN,198
COM00080094,2010-04-16,TMIN,200
COM00080094,2015-12-30,TMIN,197
COM00080094,2012-02-28,TMAX,274
COM00080094,2013-08-04,TMAX,270
COM00080094,2005-10-24,TMAX,240
COM00080094,2005-10-24,TMIN,180
COM00080094,2005-04-13,TMIN,184
COM00080094,2011-01-07,TMIN,179
COM00080094,2014-01-30,TMAX,264
COM00080094,2011-01-07,TMAX,260
COM00080094,2012-02-28,TMIN,186
COM00080094,2011-07-28,TMAX,255
COM00080094,2006-12-04,TMIN,195
COM00080094,2011-09-25,TMIN,188
COM00080094,2012-03-19,TMAX,268
COM00080094,2011-06-11,TMAX,277
COM00080094,2012-01-28,TMAX,257
COM00080094,2015-12-12,TMAX,288
COM00080094,2012-02-29,TMAX,266
COM00080094,2013-10-18,TMIN,184
COM00080094,2012-01-28,TMIN,188
COM00080094,2006-06-19,TMAX,260
COM00080094,2014-05-31,TMIN,194
COM00080094,2013-05-14,TMAX,264
COM00080094,2006-06-19,TMIN,189
COM00080094,2010-06-20,TMIN,180
COM00080094,2010-12-09,TMIN,176
COM00080094,2014-11-28,TMIN,186
COM00080094,2012-03-19,TMIN,188
COM00080094,2010-07-18,TMIN,179
COM00080094,2012-01-19,TMIN,180
COM00080094,2006-12-04,TMAX,256
COM00080094,2005-09-09,TMAX,278
COM00080094,2012-07-10,TMIN,190
COM00080094,2015-03-10,TMIN,206
COM00080094,2007-04-07,TMIN,184
COM00080094,2005-08-22,TMIN,186
COM00080094,2014-05-22,TMIN,177
COM00080094,2012-05-20,TMAX,248
COM00080094,2012-05-20,TMIN,190
COM00080094,2015-03-10,TMAX,280
COM00080094,2010-04-29,TMIN,196
COM00080094,2010-10-21,TMAX,248
COM00080094,2015-07-04,TMAX,298
COM00080094,2013-06-09,TMAX,264
COM00080094,2011-12-04,TMIN,187
COM00080094,2014-01-14,TMAX,260
COM00080094,2014-01-14,TMIN,200
COM00080094,2015-07-04,TMIN,214
COM00080094,2005-06-02,TMIN,193
COM00080094,2005-08-22,TMAX,268
COM00080094,2014-06-23,TMAX,270
COM00080094,2015-09-06,TMAX,294
COM00080094,2013-04-28,TMIN,188
COM00080094,2006-03-17,TMAX,247
COM00080094,2005-10-21,TMIN,188
COM00080094,2007-05-27,TMAX,258
COM00080094,2007-05-27,TMIN,186
COM00080094,2013-04-28,TMAX,262
COM00080094,2006-03-17,TMIN,189
COM00080094,2011-09-05,TMIN,177
COM00080094,2011-06-12,TMAX,274
COM00080094,2011-06-12,TMIN,194
COM00080094,2005-06-02,TMAX,259
COM00080094,2007-03-26,TMAX,240
COM00080094,2010-10-21,TMIN,184
COM00080094,2014-06-23,TMIN,199
COM00080094,2010-09-23,TMIN,178
COM00080094,2014-01-16,TMAX,266
COM00080094,2007-03-07,TMAX,266
COM00080094,2011-10-16,TMAX,240
COM00080094,2011-11-08,TMAX,275
COM00080094,2014-07-25,TMAX,287
COM00080094,2015-09-03,TMAX,278
COM00080094,2007-01-30,TMAX,272
COM00080094,2011-04-22,TMIN,178
COM00080094,2011-04-22,TMAX,236
COM00080094,2013-11-05,TMIN,180
