ID,Date,Element,Data_Value
RSM00027225,2007-07-12,TMAX,255
RSM00027225,2012-12-06,TMAX,-41
RSM00027316,2013-10-27,TMIN,58
RSM00027225,2013-01-11,TMAX,-103
RSM00027225,2008-11-16,TMAX,74
RSM00027225,2006-11-21,TMIN,10
RSM00027316,2013-04-17,TMAX,154
RSM00027225,2011-06-24,TMAX,224
RSM00027225,2012-05-06,TMAX,203
RSM00027225,2007-07-28,TMAX,230
RSM00027225,2010-04-07,TMIN,-12
RSM00027225,2010-04-07,TMAX,146
RSM00027316,2013-02-19,TMIN,-162
RSM00027225,2006-08-04,TMIN,135
RSM00027225,2008-04-09,TMIN,52
RSM00027225,2005-05-15,TMIN,55
RSM00027225,2007-10-04,TMIN,70
RSM00027316,2013-11-08,TMIN,13
RSM00027225,2012-11-03,TMAX,13
RSM00027225,2008-04-16,TMAX,116
RSM00027225,2011-09-12,TMIN,106
RSM00027316,2013-06-25,TMIN,161
RSM00027225,2011-11-27,TMAX,18
RSM00027316,2012-09-02,TMAX,103
RSM00027225,2011-12-26,TMIN,-46
RSM00027225,2006-08-04,TMAX,178
RSM00027225,2011-02-24,TMIN,-160
RSM00027225,2009-10-01,TMIN,14
RSM00027225,2005-04-03,TMIN,11
RSM00027225,2007-06-15,TMIN,146
RSM00027316,2013-01-20,TMIN,-237
RSM00027225,2008-12-23,TMAX,-55
RSM00027225,2012-12-06,TMIN,-87
RSM00027225,2013-02-08,TMAX,-4
RSM00027225,2008-04-24,TMIN,-22
RSM00027225,2009-01-13,TMIN,6
RSM00027225,2012-09-08,TMIN,79
RSM00027316,2014-11-19,TMAX,-36
RSM00027225,2005-02-06,TMIN,-182
RSM00027225,2012-11-01,TMAX,14
RSM00027225,2010-02-13,TMAX,-79
RSM00027225,2007-07-11,TMIN,171
RSM00027225,2007-06-15,TMAX,254
RSM00027316,2012-06-08,TMIN,131
RSM00027225,2007-11-03,TMIN,10
RSM00027225,2011-09-12,TMAX,152
RSM00027225,2006-11-21,TMAX,20
RSM00027225,2009-12-09,TMAX,-46
RSM00027225,2006-12-25,TMAX,-19
RSM00027225,2009-07-14,TMAX,298
RSM00027225,2008-09-30,TMAX,96
RSM00027225,2006-12-25,TMIN,-52
RSM00027225,2007-02-02,TMAX,-180
RSM00027225,2009-09-04,TMIN,110
RSM00027225,2007-12-02,TMAX,-76
RSM00027225,2008-09-30,TMIN,27
RSM00027316,2012-09-02,TMIN,32
RSM00027225,2011-12-03,TMAX,15
RSM00027316,2013-02-19,TMAX,-79
RSM00027316,2012-06-08,TMAX,192
RSM00027225,2007-02-02,TMIN,-263
RSM00027225,2006-06-30,TMAX,201
RSM00027225,2005-11-04,TMIN,-44
RSM00027225,2009-01-18,TMIN,-97
RSM00027225,2005-11-04,TMAX,72
RSM00027225,2006-06-30,TMIN,148
RSM00027225,2012-08-15,TMAX,197
RSM00027225,2010-01-05,TMAX,-97
RSM00027225,2009-12-09,TMIN,-75
RSM00027316,2012-12-02,TMIN,-91
RSM00027225,2008-11-15,TMAX,38
RSM00027225,2009-07-14,TMIN,180
RSM00027225,2012-08-15,TMIN,158
RSM00027225,2013-01-11,TMIN,-166
RSM00027225,2010-02-13,TMIN,-143
RSM00027225,2012-09-03,TMAX,168
RSM00027316,2014-02-03,TMIN,-96
RSM00027225,2007-02-11,TMIN,-216
RSM00027225,2011-12-26,TMAX,20
RSM00027225,2009-11-05,TMAX,0
RSM00027225,2011-01-08,TMIN,-95
RSM00027316,2013-03-06,TMIN,-221
RSM00027225,2012-09-16,TMIN,99
RSM00027225,2005-12-07,TMAX,-40
RSM00027225,2009-06-05,TMAX,162
RSM00027225,2011-03-09,TMIN,-51
