ID,Date,Element,Data_Value
RSM00030439,2013-02-14,TMAX,-192
RSM00030439,2015-03-08,TMIN,-270
RSM00030439,2014-05-13,TMAX,29
RSM00030439,2015-03-08,TMAX,-178
RSM00030439,2015-12-25,TMAX,-149
RSM00030439,2013-05-15,TMAX,45
RSM00030439,2012-07-26,TMIN,127
RSM00030439,2013-02-28,TMIN,-255
RSM00030439,2013-03-13,TMAX,-134
RSM00030439,2015-12-31,TMIN,-101
RSM00030439,2012-10-08,TMAX,66
RSM00030439,2014-02-05,TMIN,-183
RSM00030439,2014-11-24,TMAX,2
RSM00030439,2012-10-08,TMIN,-15
RSM00030439,2015-07-15,TMAX,146
RSM00030439,2013-02-28,TMAX,-163
RSM00030439,2013-03-13,TMIN,-255
RSM00030439,2012-08-08,TMAX,142
RSM00030439,2015-04-01,TMAX,20
RSM00030439,2014-11-24,TMIN,-74
RSM00030439,2013-12-25,TMIN,-160
RSM00030439,2013-04-21,TMAX,12
RSM00030439,2013-04-21,TMIN,-25
RSM00030439,2014-06-05,TMAX,74
RSM00030439,2013-10-01,TMAX,24
RSM00030439,2014-06-05,TMIN,0
RSM00030439,2013-04-23,TMAX,48
RSM00030439,2013-12-25,TMAX,-101
RSM00030439,2012-09-07,TMAX,158
RSM00030439,2012-10-26,TMAX,-10
RSM00030439,2013-04-23,TMIN,-33
RSM00030439,2012-11-09,TMAX,-23
RSM00030439,2013-06-29,TMIN,34
RSM00030439,2013-05-18,TMIN,-28
RSM00030439,2013-07-31,TMIN,120
RSM00030439,2014-07-01,TMIN,101
RSM00030439,2014-07-01,TMAX,186
RSM00030439,2014-03-17,TMIN,-155
RSM00030439,2012-09-10,TMIN,6
RSM00030439,2013-03-22,TMIN,-240
RSM00030439,2013-08-28,TMAX,182
RSM00030439,2013-01-05,TMIN,-265
RSM00030439,2012-06-17,TMAX,159
RSM00030439,2013-08-28,TMIN,82
RSM00030439,2015-09-21,TMIN,-14
RSM00030439,2015-01-08,TMIN,-152
RSM00030439,2015-09-21,TMAX,102
RSM00030439,2013-07-01,TMIN,56
RSM00030439,2014-02-06,TMAX,-153
RSM00030439,2013-04-13,TMAX,-53
RSM00030439,2014-02-06,TMIN,-196
RSM00030439,2013-07-01,TMAX,196
RSM00030439,2015-01-08,TMAX,-96
RSM00030439,2015-06-01,TMIN,35
RSM00030439,2015-10-12,TMAX,113
RSM00030439,2012-11-25,TMIN,-150
RSM00030439,2014-03-31,TMAX,-20
RSM00030439,2012-06-04,TMIN,25
RSM00030439,2012-06-04,TMAX,107
RSM00030439,2015-06-01,TMAX,80
RSM00030439,2012-09-07,TMIN,54
RSM00030439,2013-04-13,TMIN,-185
RSM00030439,2012-11-13,TMIN,-157
RSM00030439,2012-10-18,TMAX,10
RSM00030439,2013-12-01,TMAX,36
RSM00030439,2015-07-27,TMAX,292
RSM00030439,2015-07-27,TMIN,111
RSM00030439,2012-09-16,TMAX,221
RSM00030439,2015-04-22,TMIN,-15
RSM00030439,2012-09-16,TMIN,50
RSM00030439,2014-04-08,TMIN,-48
RSM00030439,2015-07-26,TMIN,121
RSM00030439,2015-09-10,TMAX,131
RSM00030439,2014-04-08,TMAX,63
RSM00030439,2013-10-29,TMAX,44
RSM00030439,2015-06-07,TMIN,35
RSM00030439,2015-07-26,TMAX,206
RSM00030439,2013-10-29,TMIN,-25
RSM00030439,2014-05-09,TMIN,-33
RSM00030439,2015-06-08,TMIN,33
RSM00030439,2012-04-04,TMAX,14
RSM00030439,2014-05-09,TMAX,39
RSM00030439,2012-04-26,TMIN,-42
RSM00030439,2014-03-13,TMIN,-170
RSM00030439,2013-12-01,TMIN,20
RSM00030439,2012-11-13,TMAX,-64
RSM00030439,2014-03-17,TMAX,-10
RSM00030439,2013-07-31,TMAX,224
RSM00030439,2013-01-15,TMAX,-207
RSM00030439,2014-01-23,TMAX,-140
RSM00030439,2013-03-26,TMAX,-54
RSM00030439,2013-02-24,TMAX,-101
RSM00030439,2013-02-24,TMIN,-183
RSM00030439,2012-04-16,TMIN,12
RSM00030439,2013-11-22,TMIN,-61
RSM00030439,2013-11-22,TMAX,-2
RSM00030439,2014-03-13,TMAX,-85
RSM00030439,2013-05-31,TMAX,80
RSM00030439,2015-06-08,TMAX,95
RSM00030439,2013-05-18,TMAX,70
RSM00030439,2012-08-10,TMAX,194
RSM00030439,2012-04-16,TMAX,42
RSM00030439,2012-08-10,TMIN,98
RSM00030439,2013-05-31,TMIN,-20
RSM00030439,2013-12-18,TMAX,-94
RSM00030439,2015-11-05,TMIN,-120
RSM00030439,2015-11-05,TMAX,-18
RSM00030439,2013-05-15,TMIN,-20
RSM00030439,2014-01-04,TMIN,-150
RSM00030439,2014-06-04,TMAX,40
RSM00030439,2014-04-03,TMAX,44
RSM00030439,2013-06-27,TMAX,94
RSM00030439,2014-04-03,TMIN,-99
RSM00030439,2012-10-12,TMIN,-22
RSM00030439,2012-10-12,TMAX,74
RSM00030439,2013-01-26,TMIN,-320
RSM00030439,2014-01-04,TMAX,-80
RSM00030439,2013-08-11,TMAX,205
RSM00030439,2012-04-22,TMIN,-74
RSM00030439,2013-03-16,TMAX,-44
RSM00030439,2012-09-27,TMIN,20
RSM00030439,2015-09-16,TMAX,130
RSM00030439,2015-09-16,TMIN,-3
RSM00030439,2015-11-22,TMIN,-198
RSM00030439,2015-01-18,TMAX,-156
RSM00030439,2013-05-22,TMAX,72
RSM00030439,2015-01-18,TMIN,-231
RSM00030439,2015-07-29,TMIN,168
RSM00030439,2014-04-30,TMAX,25
RSM00030439,2013-08-29,TMIN,70
RSM00030439,2012-05-16,TMIN,32
RSM00030439,2015-12-25,TMIN,-245
RSM00030439,2013-06-02,TMAX,134
RSM00030439,2012-07-26,TMAX,172
RSM00030439,2013-08-29,TMAX,187
RSM00030439,2015-05-20,TMIN,20
RSM00030439,2012-11-28,TMAX,-104
RSM00030439,2014-03-27,TMAX,2
RSM00030439,2013-05-08,TMIN,8
RSM00030439,2014-11-25,TMAX,-45
RSM00030439,2013-06-02,TMIN,0
RSM00030439,2014-02-03,TMIN,-247
RSM00030439,2013-06-25,TMAX,149
RSM00030439,2013-01-29,TMAX,-130
RSM00030439,2014-02-03,TMAX,-195
RSM00030439,2013-05-08,TMAX,126
RSM00030439,2012-10-17,TMAX,6
RSM00030439,2013-03-10,TMIN,-211
RSM00030439,2013-08-25,TMIN,69
RSM00030439,2013-03-10,TMAX,-138
RSM00030439,2015-11-22,TMAX,-65
RSM00030439,2015-10-08,TMAX,72
RSM00030439,2014-05-11,TMIN,7
RSM00030439,2014-12-21,TMIN,-107
RSM00030439,2012-11-25,TMAX,-80
RSM00030439,2013-01-05,TMAX,-180
RSM00030439,2015-11-04,TMIN,-104
RSM00030439,2014-02-15,TMIN,-280
RSM00030439,2014-04-05,TMIN,-74
RSM00030439,2014-12-21,TMAX,-18
RSM00030439,2015-05-07,TMIN,-45
RSM00030439,2014-04-07,TMAX,92
RSM00030439,2015-04-09,TMAX,-63
RSM00030439,2012-04-26,TMAX,-10
RSM00030439,2012-10-19,TMIN,-92
RSM00030439,2014-02-15,TMAX,-173
RSM00030439,2015-09-15,TMAX,112
RSM00030439,2012-05-27,TMAX,83
RSM00030439,2015-04-09,TMIN,-176
RSM00030439,2012-09-10,TMAX,114
RSM00030439,2013-08-11,TMIN,154
RSM00030439,2014-04-05,TMAX,7
RSM00030439,2013-07-26,TMIN,115
RSM00030439,2013-12-04,TMAX,-52
RSM00030439,2015-05-20,TMAX,113
RSM00030439,2013-01-18,TMIN,-255
RSM00030439,2013-07-26,TMAX,152
RSM00030439,2015-11-10,TMAX,25
RSM00030439,2015-11-10,TMIN,-60
RSM00030439,2015-10-22,TMAX,59
RSM00030439,2012-04-22,TMAX,28
RSM00030439,2013-09-23,TMAX,58
RSM00030439,2013-06-29,TMAX,126
RSM00030439,2013-09-23,TMIN,11
RSM00030439,2012-09-27,TMAX,78
RSM00030439,2015-11-04,TMAX,-33
RSM00030439,2015-10-08,TMIN,-49
RSM00030439,2013-06-27,TMIN,56
RSM00030439,2014-02-11,TMAX,-214
RSM00030439,2014-03-27,TMIN,-51
RSM00030439,2013-08-25,TMAX,156
RSM00030439,2012-10-19,TMAX,-12
RSM00030439,2013-04-09,TMIN,-215
RSM00030439,2015-07-15,TMIN,90
RSM00030439,2014-12-29,TMAX,-77
RSM00030439,2012-07-19,TMAX,186
RSM00030439,2013-03-30,TMIN,-239
RSM00030439,2013-03-30,TMAX,-33
RSM00030439,2013-05-02,TMAX,124
RSM00030439,2012-06-26,TMAX,102
RSM00030439,2012-07-19,TMIN,70
RSM00030439,2014-07-20,TMAX,244
RSM00030439,2015-09-02,TMIN,95
RSM00030439,2012-10-13,TMAX,67
RSM00030439,2013-01-16,TMIN,-320
RSM00030439,2012-04-27,TMAX,-2
RSM00030439,2015-10-17,TMIN,-48
RSM00030439,2012-06-26,TMIN,80
RSM00030439,2015-09-02,TMAX,194
RSM00030439,2012-11-01,TMIN,-22
RSM00030439,2012-07-02,TMAX,180
RSM00030439,2015-02-16,TMAX,-68
RSM00030439,2012-06-18,TMIN,100
RSM00030439,2013-01-12,TMIN,-345
RSM00030439,2015-12-19,TMIN,-89
RSM00030439,2015-05-21,TMAX,130
RSM00030439,2012-08-27,TMAX,160
RSM00030439,2015-09-05,TMIN,103
RSM00030439,2015-02-16,TMIN,-180
RSM00030439,2012-09-22,TMIN,5
RSM00030439,2014-03-25,TMIN,-69
RSM00030439,2013-04-12,TMAX,-25
RSM00030439,2013-05-02,TMIN,15
RSM00030439,2014-05-31,TMIN,78
RSM00030439,2012-11-01,TMAX,8
RSM00030439,2014-05-31,TMAX,168
RSM00030439,2012-08-27,TMIN,100
RSM00030439,2013-01-16,TMAX,-222
RSM00030439,2012-12-04,TMAX,-148
RSM00030439,2012-09-28,TMIN,25
RSM00030439,2013-03-04,TMAX,-46
RSM00030439,2013-02-12,TMAX,-175
RSM00030439,2014-01-02,TMIN,-175
RSM00030439,2013-06-13,TMAX,228
RSM00030439,2014-01-02,TMAX,-97
RSM00030439,2012-08-20,TMIN,25
RSM00030439,2013-03-04,TMIN,-141
RSM00030439,2012-08-20,TMAX,124
RSM00030439,2014-03-25,TMAX,44
RSM00030439,2014-03-02,TMAX,-150
RSM00030439,2015-04-17,TMIN,-62
RSM00030439,2015-09-22,TMAX,118
RSM00030439,2012-07-23,TMIN,85
RSM00030439,2012-07-23,TMAX,168
RSM00030439,2015-03-19,TMAX,-37
RSM00030439,2015-11-16,TMIN,-205
RSM00030439,2013-02-12,TMIN,-258
RSM00030439,2014-07-07,TMAX,136
RSM00030439,2014-07-20,TMIN,104
RSM00030439,2013-08-08,TMIN,89
RSM00030439,2015-04-20,TMAX,38
RSM00030439,2013-08-08,TMAX,188
RSM00030439,2014-06-13,TMIN,46
RSM00030439,2015-11-18,TMIN,-196
RSM00030439,2014-03-04,TMAX,-142
RSM00030439,2015-05-28,TMIN,5
RSM00030439,2015-03-07,TMAX,-151
RSM00030439,2015-10-05,TMIN,0
RSM00030439,2014-06-13,TMAX,175
RSM00030439,2015-11-16,TMAX,-99
RSM00030439,2015-04-20,TMIN,-45
RSM00030439,2015-09-22,TMIN,-2
