ID,Date,Element,Data_Value
NZ000093012,2005-09-01,TMIN,64
NZ000093012,2005-01-02,TMAX,219
NZ000093012,2005-06-06,TMAX,170
NZ000093012,2005-08-16,TMIN,60
NZ000093012,2005-11-11,TMAX,242
NZ000093012,2005-09-13,TMIN,122
NZ000093012,2005-10-17,TMAX,198
NZ000093012,2005-05-17,TMIN,170
NZ000093012,2005-03-16,TMAX,249
NZ000093012,2005-08-18,TMIN,106
NZ000093012,2005-08-18,TMAX,143
NZ000093012,2005-06-11,TMAX,184
NZ000093012,2006-07-10,TMAX,140
NZ000093012,2005-06-20,TMAX,175
NZ000093012,2005-11-02,TMIN,113
NZ000093012,2005-04-22,TMIN,127
NZ000093012,2005-06-06,TMIN,57
NZ000093012,2005-11-07,TMAX,203
NZ000093012,2005-11-02,TMAX,198
NZ000093012,2005-10-17,TMIN,105
NZ000093012,2005-05-26,TMIN,107
NZ000093012,2005-01-02,TMIN,106
NZ000093012,2005-04-17,TMAX,223
NZ000093012,2005-05-17,TMAX,212
NZ000093012,2005-11-22,TMAX,183
NZ000093012,2005-10-12,TMIN,108
NZ000093012,2005-02-21,TMIN,160
NZ000093012,2005-03-19,TMAX,250
NZ000093012,2005-10-12,TMAX,183
NZ000093012,2005-06-08,TMIN,41
NZ000093012,2005-11-11,TMIN,140
NZ000093012,2005-03-19,TMIN,132
NZ000093012,2005-03-10,TMIN,127
NZ000093012,2005-06-15,TMIN,46
NZ000093012,2005-03-10,TMAX,245
NZ000093012,2005-11-22,TMIN,97
NZ000093012,2005-06-08,TMAX,154
NZ000093012,2005-12-28,TMIN,103
NZ000093012,2005-03-28,TMIN,128
NZ000093012,2005-04-05,TMAX,233
NZ000093012,2005-12-07,TMIN,121
NZ000093012,2005-02-22,TMIN,159
NZ000093012,2005-06-25,TMIN,96
NZ000093012,2005-09-04,TMIN,106
NZ000093012,2005-06-20,TMIN,131
NZ000093012,2005-06-12,TMAX,187
NZ000093012,2005-04-17,TMIN,128
NZ000093012,2005-06-15,TMAX,155
NZ000093012,2005-12-28,TMAX,243
NZ000093012,2005-06-11,TMIN,79
NZ000093012,2005-08-20,TMAX,185
NZ000093012,2005-05-31,TMIN,123
NZ000093012,2005-05-31,TMAX,168
NZ000093012,2005-05-11,TMIN,64
NZ000093012,2005-07-21,TMAX,153
NZ000093012,2005-12-02,TMIN,92
NZ000093012,2005-12-02,TMAX,225
NZ000093012,2005-09-04,TMAX,193
NZ000093012,2005-08-20,TMIN,92
NZ000093012,2005-06-25,TMAX,159
NZ000093012,2005-03-28,TMAX,225
NZ000093012,2005-05-26,TMAX,191
NZ000093012,2005-07-21,TMIN,93
NZ000093012,2005-05-14,TMAX,193
NZ000093012,2005-03-02,TMAX,237
NZ000093012,2005-12-07,TMAX,218
NZ000093012,2005-06-17,TMAX,155
NZ000093012,2005-04-04,TMAX,235
NZ000093012,2005-07-16,TMAX,154
NZ000093012,2005-02-11,TMAX,235
NZ000093012,2005-01-21,TMAX,242
NZ000093012,2005-09-07,TMAX,191
NZ000093012,2005-09-07,TMIN,121
NZ000093012,2005-11-19,TMAX,221
NZ000093012,2005-04-20,TMAX,223
NZ000093012,2005-12-10,TMIN,177
NZ000093012,2005-04-20,TMIN,119
NZ000093012,2005-04-15,TMAX,219
NZ000093012,2005-09-05,TMAX,190
NZ000093012,2005-09-08,TMAX,189
NZ000093012,2005-08-26,TMAX,175
NZ000093012,2005-02-10,TMAX,257
NZ000093012,2005-09-15,TMAX,170
NZ000093012,2005-09-15,TMIN,113
NZ000093012,2005-04-04,TMIN,106
NZ000093012,2005-11-28,TMAX,196
NZ000093012,2005-11-19,TMIN,90
NZ000093012,2005-02-10,TMIN,136
NZ000093012,2005-09-05,TMIN,126
NZ000093012,2005-07-02,TMAX,168
NZ000093012,2005-07-02,TMIN,77
NZ000093012,2005-04-19,TMAX,227
NZ000093012,2005-12-29,TMAX,232
NZ000093012,2005-10-25,TMAX,190
NZ000093012,2005-07-13,TMAX,159
NZ000093012,2005-01-09,TMAX,218
NZ000093012,2005-01-09,TMIN,127
NZ000093012,2005-03-29,TMIN,142
NZ000093012,2005-07-18,TMAX,169
NZ000093012,2005-03-29,TMAX,223
NZ000093012,2005-07-18,TMIN,78
NZ000093012,2005-05-16,TMAX,217
NZ000093012,2005-04-28,TMAX,192
NZ000093012,2008-08-10,TMAX,190
NZ000093012,2005-04-27,TMIN,135
NZ000093012,2005-07-31,TMAX,163
NZ000093012,2005-07-27,TMIN,112
NZ000093012,2005-03-18,TMIN,165
NZ000093012,2005-03-18,TMAX,231
NZ000093012,2005-01-30,TMIN,184
NZ000093012,2005-04-27,TMAX,200
NZ000093012,2005-06-17,TMIN,128
NZ000093012,2005-01-30,TMAX,240
NZ000093012,2005-04-16,TMAX,224
NZ000093012,2005-12-24,TMAX,203
NZ000093012,2005-11-28,TMIN,131
NZ000093012,2005-05-16,TMIN,170
NZ000093012,2005-12-13,TMAX,228
NZ000093012,2005-01-28,TMIN,174
NZ000093012,2005-08-27,TMAX,162
NZ000093012,2005-08-27,TMIN,52
NZ000093012,2005-09-01,TMAX,193
NZ000093012,2005-01-14,TMIN,133
NZ000093012,2005-01-14,TMAX,240
NZ000093012,2005-10-28,TMAX,200
NZ000093012,2005-04-05,TMIN,150
NZ000093012,2005-03-08,TMIN,140
NZ000093012,2005-12-01,TMAX,228
NZ000093012,2005-12-24,TMIN,138
NZ000093012,2005-12-27,TMIN,132
NZ000093012,2005-05-10,TMIN,78
NZ000093012,2005-09-13,TMAX,193
NZ000093012,2005-08-16,TMAX,159
NZ000093012,2005-10-28,TMIN,107
NZ000093012,2005-12-01,TMIN,80
NZ000093012,2005-12-27,TMAX,234
NZ000093012,2005-11-07,TMIN,125
NZ000093012,2005-06-29,TMIN,117
NZ000093012,2005-12-13,TMIN,171
NZ000093012,2005-12-11,TMAX,236
NZ000093012,2005-07-20,TMIN,93
NZ000093012,2005-04-15,TMIN,89
NZ000093012,2005-07-22,TMAX,151
NZ000093012,2005-06-27,TMAX,142
NZ000093012,2005-06-27,TMIN,47
NZ000093012,2005-07-22,TMIN,63
NZ000093012,2005-05-05,TMIN,159
NZ000093012,2005-05-05,TMAX,215
NZ000093012,2005-05-10,TMAX,180
NZ000093012,2005-07-16,TMIN,114
NZ000093012,2005-05-21,TMIN,150
NZ000093012,2005-12-22,TMAX,206
NZ000093012,2005-08-26,TMIN,96
NZ000093012,2005-09-25,TMIN,82
NZ000093012,2005-07-20,TMAX,143
NZ000093012,2005-12-22,TMIN,160
NZ000093012,2005-10-15,TMAX,188
NZ000093012,2005-12-11,TMIN,158
NZ000093012,2005-09-25,TMAX,185
NZ000093012,2005-03-16,TMIN,149
NZ000093012,2005-04-30,TMAX,207
NZ000093012,2005-10-13,TMIN,120
NZ000093012,2005-04-30,TMIN,108
NZ000093012,2005-10-13,TMAX,193
NZ000093012,2005-10-15,TMIN,125
NZ000093012,2005-02-01,TMAX,247
NZ000093012,2005-02-09,TMAX,273
NZ000093012,2005-12-20,TMAX,217
NZ000093012,2005-05-29,TMAX,195
NZ000093012,2005-07-14,TMAX,179
NZ000093012,2005-09-17,TMIN,86
NZ000093012,2005-06-24,TMIN,117
NZ000093012,2005-04-12,TMAX,211
NZ000093012,2005-03-23,TMAX,260
NZ000093012,2005-04-10,TMAX,209
NZ000093012,2005-12-08,TMAX,227
NZ000093012,2005-09-22,TMAX,164
NZ000093012,2005-07-14,TMIN,119
NZ000093012,2005-09-17,TMAX,182
NZ000093012,2005-03-25,TMAX,244
NZ000093012,2005-04-12,TMIN,164
NZ000093012,2005-01-10,TMAX,230
NZ000093012,2005-01-10,TMIN,126
NZ000093012,2005-10-05,TMIN,98
NZ000093012,2005-04-25,TMIN,65
NZ000093012,2005-05-30,TMAX,143
NZ000093012,2005-11-03,TMIN,130
NZ000093012,2005-11-03,TMAX,197
NZ000093012,2005-05-30,TMIN,70
NZ000093012,2005-09-19,TMIN,75
NZ000093012,2005-10-09,TMIN,127
NZ000093012,2005-12-08,TMIN,148
NZ000093012,2005-05-08,TMAX,198
NZ000093012,2005-09-22,TMIN,91
NZ000093012,2005-09-19,TMAX,147
NZ000093012,2005-05-13,TMIN,93
NZ000093012,2005-05-29,TMIN,98
NZ000093012,2005-03-12,TMAX,232
NZ000093012,2005-10-20,TMAX,178
NZ000093012,2005-03-12,TMIN,142
NZ000093012,2005-08-02,TMAX,143
NZ000093012,2005-05-13,TMAX,216
NZ000093012,2005-10-27,TMAX,205
NZ000093012,2005-10-27,TMIN,104
NZ000093012,2005-08-08,TMIN,111
NZ000093012,2005-01-31,TMAX,264
NZ000093012,2005-07-08,TMAX,166
NZ000093012,2005-06-24,TMAX,158
NZ000093012,2005-01-31,TMIN,190
NZ000093012,2005-03-26,TMIN,160
NZ000093012,2005-03-26,TMAX,240
NZ000093012,2005-04-25,TMAX,165
NZ000093012,2005-04-09,TMIN,159
NZ000093012,2005-04-09,TMAX,254
NZ000093012,2005-08-02,TMIN,95
NZ000093012,2005-05-08,TMIN,108
NZ000093012,2005-03-25,TMIN,173
NZ000093012,2005-10-05,TMAX,162
NZ000093012,2005-05-02,TMAX,222
NZ000093012,2005-11-10,TMAX,233
NZ000093012,2005-09-24,TMAX,159
NZ000093012,2005-07-06,TMIN,131
NZ000093012,2005-08-09,TMIN,87
NZ000093012,2005-12-03,TMAX,219
NZ000093012,2005-12-03,TMIN,136
NZ000093012,2005-07-26,TMAX,177
NZ000093012,2005-07-10,TMAX,156
NZ000093012,2005-06-14,TMAX,167
NZ000093012,2005-07-26,TMIN,95
NZ000093012,2005-07-10,TMIN,74
NZ000093012,2005-10-22,TMIN,100
NZ000093012,2005-04-21,TMIN,102
NZ000093012,2005-08-24,TMAX,167
NZ000093012,2005-08-24,TMIN,90
NZ000093012,2005-11-21,TMIN,122
NZ000093012,2005-01-03,TMIN,124
NZ000093012,2005-02-19,TMIN,120
NZ000093012,2005-10-22,TMAX,173
NZ000093012,2005-02-23,TMIN,125
NZ000093012,2005-11-21,TMAX,222
NZ000093012,2005-04-24,TMAX,189
NZ000093012,2005-01-03,TMAX,211
NZ000093012,2005-06-14,TMIN,89
NZ000093012,2005-05-15,TMIN,150
NZ000093012,2005-04-24,TMIN,68
NZ000093012,2005-05-15,TMAX,180
NZ000093012,2005-09-18,TMIN,93
NZ000093012,2005-12-25,TMIN,170
NZ000093012,2005-04-21,TMAX,200
NZ000093012,2005-04-02,TMAX,238
NZ000093012,2005-09-12,TMIN,117
NZ000093012,2009-08-10,TMAX,170
NZ000093012,2005-08-30,TMAX,189
NZ000093012,2005-08-30,TMIN,66
NZ000093012,2005-03-07,TMAX,223
NZ000093012,2005-01-01,TMIN,138
NZ000093012,2005-03-07,TMIN,116
NZ000093012,2005-08-23,TMAX,189
NZ000093012,2005-07-08,TMIN,129
NZ000093012,2005-08-23,TMIN,107
NZ000093012,2005-09-12,TMAX,202
NZ000093012,2005-07-06,TMAX,158
NZ000093012,2005-01-20,TMAX,238
NZ000093012,2005-02-23,TMAX,255
NZ000093012,2005-03-06,TMAX,248
NZ000093012,2005-01-13,TMIN,111
NZ000093012,2005-01-13,TMAX,240
NZ000093012,2005-09-18,TMAX,159
NZ000093012,2005-02-19,TMAX,245
NZ000093012,2005-06-10,TMAX,177
NZ000093012,2005-03-06,TMIN,165
NZ000093012,2005-10-04,TMIN,113
NZ000093012,2005-10-04,TMAX,175
NZ000093012,2005-06-10,TMIN,81
NZ000093012,2005-08-09,TMAX,163
NZ000093012,2005-06-12,TMIN,93
