ID,Date,Element,Data_Value
CA00307288R,2005-02-08,TMIN,-44
CA00307C001,2005-03-05,TMAX,72
CA003072895,2007-07-23,TMIN,120
CA00307C001,2006-05-08,TMIN,0
CA00307C001,2006-11-29,TMAX,-39
CA003072895,2006-05-13,TMAX,125
CA003072895,2006-06-29,TMIN,55
CA003072895,2006-04-27,TMIN,-50
CA003072895,2006-01-21,TMIN,-170
CA003072895,2006-11-26,TMIN,-350
CA00307C001,2005-03-05,TMIN,28
CA003072895,2006-06-29,TMAX,230
CA003056510,2008-08-22,TMIN,35
CA003072895,2006-04-27,TMAX,140
CA003071860,2010-06-08,TMIN,5
CA00307288R,2005-02-08,TMAX,28
CA003071860,2010-06-08,TMAX,50
CA003071860,2006-07-10,TMAX,120
CA003056510,2008-08-22,TMAX,110
CA00307288R,2005-03-14,TMIN,-6
CA00307C001,2006-11-21,TMAX,-28
CA003056510,2006-09-05,TMAX,230
CA003072895,2007-06-21,TMAX,190
CA003072895,2005-09-14,TMIN,50
CA003056510,2006-06-02,TMAX,160
CA00307C001,2007-07-24,TMAX,167
CA003056510,2010-06-05,TMAX,100
CA003056510,2011-06-08,TMIN,10
CA00307C001,2007-07-24,TMIN,67
CA00307C001,2006-03-26,TMAX,39
CA00307C001,2006-03-31,TMAX,67
CA00307C001,2005-08-07,TMIN,44
CA00307C001,2006-03-31,TMIN,-61
CA003056510,2011-06-08,TMAX,140
CA00307C001,2006-01-31,TMAX,22
CA00307C001,2007-10-26,TMIN,0
CA00307C001,2007-10-26,TMAX,44
CA00307C001,2006-02-11,TMIN,-67
CA003072895,2005-09-06,TMIN,10
CA003056510,2006-06-24,TMIN,50
CA003072895,2005-11-21,TMAX,155
CA003072895,2005-11-21,TMIN,70
CA003072895,2007-06-21,TMIN,5
CA003072895,2005-09-06,TMAX,190
CA003072895,2005-09-14,TMAX,120
CA003056510,2010-06-05,TMIN,20
CA00307C001,2005-05-31,TMIN,89
CA00307C001,2007-04-22,TMIN,-11
CA00307C001,2007-04-22,TMAX,111
CA003072895,2006-03-01,TMIN,-180
CA003072895,2006-03-01,TMAX,-100
CA00307C001,2005-05-24,TMAX,122
CA00307288R,2005-01-11,TMIN,-156
CA003056510,2006-06-02,TMIN,90
CA003071860,2006-08-03,TMAX,125
CA003056510,2009-06-23,TMAX,120
CA00307288R,2005-01-11,TMAX,-78
CA003056510,2007-09-03,TMAX,120
CA003056510,2009-06-23,TMIN,40
CA00307C001,2006-12-21,TMIN,-28
CA003071860,2010-07-03,TMAX,105
CA003071860,2010-07-03,TMIN,20
CA003056510,2007-09-03,TMIN,50
CA00307C001,2007-02-20,TMIN,-67
CA003056510,2006-07-14,TMAX,130
CA003056510,2006-07-14,TMIN,25
CA003056510,2006-09-05,TMIN,150
CA00307C001,2006-02-11,TMAX,111
CA003056510,2006-06-24,TMAX,175
CA003072895,2007-06-12,TMIN,-5
CA00307C001,2005-08-07,TMAX,200
CA00307C001,2005-12-21,TMIN,-28
CA003071860,2008-09-01,TMIN,5
CA003072895,2006-08-27,TMAX,270
CA00307C001,2006-02-16,TMIN,-272
CA003072895,2005-10-27,TMIN,-50
CA00307C001,2006-05-13,TMAX,100
CA003072895,2005-10-27,TMAX,80
CA003056510,2007-08-06,TMAX,165
CA003056510,2007-08-06,TMIN,60
CA003072895,2005-07-24,TMIN,70
CA003071860,2009-07-14,TMAX,100
CA003056510,2007-08-07,TMAX,140
CA003056510,2007-08-07,TMIN,85
CA003071860,2009-07-14,TMIN,15
CA00307C001,2006-02-16,TMAX,-144
CA003072895,2005-07-24,TMAX,170
CA003056510,2007-06-16,TMAX,95
CA003056510,2007-06-16,TMIN,30
CA00307C001,2006-05-13,TMIN,-28
CA00307C001,2006-10-14,TMAX,94
CA003071860,2008-08-19,TMAX,80
CA00307C001,2007-03-03,TMIN,-6
CA003072895,2007-06-29,TMIN,80
CA00307C001,2006-07-21,TMIN,117
CA003072895,2006-07-16,TMAX,210
CA003072895,2006-06-23,TMAX,210
CA003072895,2007-06-12,TMAX,160
CA003072895,2006-06-23,TMIN,30
CA003071860,2009-07-06,TMIN,60
CA003072895,2006-09-26,TMAX,155
CA003056510,2005-07-29,TMIN,60
CA003056510,2005-07-29,TMAX,140
CA003072895,2005-11-10,TMIN,-50
CA003072895,2006-09-26,TMIN,90
CA003072895,2007-06-29,TMAX,230
CA00307C001,2006-10-14,TMIN,-17
CA003056510,2006-07-24,TMIN,135
CA003071860,2008-08-19,TMIN,70
CA003072895,2005-11-10,TMAX,80
CA00307C001,2007-05-03,TMIN,22
CA003072895,2006-07-16,TMIN,60
CA003056510,2006-07-24,TMAX,220
CA003071860,2008-08-01,TMIN,30
CA00307C001,2007-03-03,TMAX,83
CA00307C001,2006-07-21,TMAX,317
CA003072895,2006-08-27,TMIN,30
CA00307C001,2005-12-21,TMAX,72
CA00307C001,2007-05-03,TMAX,89
CA003071860,2010-06-26,TMIN,40
CA003056510,2011-06-22,TMIN,80
CA003072895,2006-05-13,TMIN,-75
CA003071860,2010-09-01,TMIN,10
CA003056510,2007-06-26,TMAX,160
CA003071860,2007-06-20,TMAX,130
CA003072895,2006-04-12,TMIN,-35
CA003056510,2005-07-14,TMIN,55
CA003072895,2006-04-12,TMAX,110
CA003071860,2007-07-30,TMIN,40
CA00307C001,2007-01-09,TMIN,-189
CA003056510,2006-08-31,TMAX,105
CA00307C001,2007-11-20,TMAX,-28
CA003071860,2005-07-19,TMAX,70
CA003072895,2007-09-26,TMAX,120
CA00307C001,2005-08-05,TMAX,222
CA00307C001,2006-12-16,TMIN,-139
