ID,Date,Element,Data_Value
CFM00064463,2015-11-15,TMIN,216
CFM00064463,2015-01-10,TMAX,318
CFM00064463,2015-05-26,TMIN,205
CFM00064463,2015-09-03,TMIN,210
CFM00064463,2013-01-13,TMAX,337
CFM00064463,2012-11-30,TMAX,335
CFM00064463,2014-01-31,TMAX,315
CFM00064463,2012-12-28,TMAX,320
CFM00064463,2015-06-11,TMIN,215
CFM00064463,2012-11-20,TMAX,278
CFM00064463,2015-04-28,TMIN,220
CFM00064463,2014-11-26,TMAX,327
CFM00064463,2015-09-26,TMIN,220
CFM00064463,2014-10-01,TMIN,200
CFM00064463,2014-02-14,TMAX,344
CFM00064463,2014-11-09,TMIN,220
CFM00064463,2015-10-11,TMIN,200
CFM00064463,2014-11-26,TMIN,200
CFM00064463,2014-05-21,TMIN,220
CFM00064463,2014-02-28,TMIN,215
CFM00064463,2015-07-04,TMIN,211
CFM00064463,2014-05-21,TMAX,325
CFM00064463,2014-01-27,TMAX,330
CFM00064463,2014-11-02,TMAX,305
CFM00064463,2015-03-13,TMIN,231
CFM00064463,2012-10-13,TMAX,305
CFM00064463,2015-05-02,TMIN,225
CFM00064463,2015-06-03,TMIN,210
CFM00064463,2014-01-26,TMIN,220
CFM00064463,2014-01-26,TMAX,320
CFM00064463,2012-11-01,TMAX,322
CFM00064463,2015-05-28,TMIN,220
CFM00064463,2014-05-13,TMIN,220
CFM00064463,2014-09-06,TMIN,210
CFM00064463,2013-01-11,TMAX,342
CFM00064463,2014-05-13,TMAX,300
CFM00064463,2015-07-13,TMIN,205
CFM00064463,2014-10-27,TMAX,325
CFM00064463,2015-02-13,TMAX,250
CFM00064463,2015-01-10,TMIN,200
CFM00064463,2014-02-07,TMAX,345
CFM00064463,2014-11-24,TMAX,315
CFM00064463,2015-02-22,TMIN,215
CFM00064463,2014-10-10,TMAX,325
CFM00064463,2012-11-02,TMAX,336
CFM00064463,2013-04-15,TMAX,332
CFM00064463,2015-01-12,TMIN,175
CFM00064463,2015-03-16,TMIN,200
CFM00064463,2015-06-22,TMIN,205
CFM00064463,2013-01-21,TMAX,355
CFM00064463,2015-11-11,TMIN,205
CFM00064463,2015-06-23,TMIN,205
CFM00064463,2015-05-22,TMIN,225
CFM00064463,2014-11-22,TMIN,215
