ID,Date,Element,Data_Value
IN005120000,2015-12-25,TMAX,272
IN005120000,2015-12-19,TMAX,270
IN005120000,2015-12-19,TMIN,36
IN005120000,2015-12-30,TMIN,106
IN005120000,2015-12-10,TMAX,272
IN005120000,2015-12-16,TMIN,32
IN005120000,2015-12-13,TMAX,266
IN005120000,2015-12-25,TMIN,40
IN005120000,2015-12-11,TMIN,90
IN005120000,2015-12-12,TMIN,68
IN005120000,2015-12-26,TMIN,94
IN005120000,2015-12-14,TMAX,266
IN005120000,2015-12-15,TMIN,26
IN005120000,2015-12-20,TMAX,274
IN005120000,2015-12-28,TMAX,319
IN005120000,2015-12-28,TMIN,112
IN005120000,2015-12-23,TMIN,114
IN005120000,2015-12-23,TMAX,264
IN005120000,2015-12-22,TMIN,60
IN005120000,2015-12-26,TMAX,284
IN005120000,2015-12-14,TMIN,60
IN005120000,2015-12-07,TMAX,316
IN005120000,2015-12-17,TMAX,272
IN005120000,2015-12-16,TMAX,276
IN005120000,2015-12-08,TMAX,322
IN005120000,2015-12-13,TMIN,44
IN005120000,2015-12-24,TMAX,246
IN005120000,2015-12-30,TMAX,334
IN005120000,2015-12-17,TMIN,106
IN005120000,2015-12-22,TMAX,276
IN005120000,2015-12-15,TMAX,276
IN005120000,2015-12-29,TMIN,128
IN005120000,2015-12-18,TMIN,94
IN005120000,2015-12-31,TMAX,320
IN005120000,2015-12-12,TMAX,262
IN005120000,2015-12-21,TMAX,274
IN005120000,2015-12-27,TMAX,304
IN005120000,2015-12-27,TMIN,104
IN005120000,2015-12-29,TMAX,346
IN005120000,2015-12-20,TMIN,56
IN005120000,2015-12-21,TMIN,52
IN005120000,2015-12-31,TMIN,123
IN005120000,2015-12-08,TMIN,134
IN005120000,2015-12-11,TMAX,260
IN005120000,2015-12-18,TMAX,264
IN005120000,2015-12-09,TMIN,140
