ID,Date,Element,Data_Value
RSM00022365,2014-08-04,TMIN,106
RSM00022365,2014-07-24,TMIN,63
RSM00022365,2015-07-17,TMIN,73
RSM00022365,2015-07-17,TMAX,101
RSM00022365,2015-08-02,TMAX,117
RSM00022365,2015-11-18,TMIN,-78
RSM00022365,2015-05-23,TMIN,37
RSM00022365,2012-10-15,TMAX,53
RSM00022365,2015-05-24,TMAX,138
RSM00022365,2013-09-02,TMIN,60
RSM00022365,2015-07-30,TMAX,145
RSM00022365,2012-12-04,TMAX,-112
RSM00022365,2013-06-08,TMIN,68
RSM00022365,2013-11-17,TMIN,-67
RSM00022365,2015-04-09,TMIN,-6
RSM00022365,2014-11-09,TMIN,-127
RSM00022365,2015-04-14,TMAX,13
RSM00022365,2014-10-01,TMIN,24
RSM00022365,2015-08-30,TMIN,54
RSM00022365,2013-10-29,TMIN,10
RSM00022365,2015-07-18,TMIN,37
RSM00022365,2013-11-03,TMIN,-47
RSM00022365,2013-09-03,TMAX,105
RSM00022365,2015-06-09,TMAX,55
RSM00022365,2014-07-31,TMIN,37
RSM00022365,2014-08-03,TMIN,89
RSM00022365,2015-05-02,TMAX,36
RSM00022365,2013-07-01,TMIN,126
RSM00022365,2015-04-25,TMIN,-54
RSM00022365,2015-06-02,TMIN,92
RSM00022365,2012-11-28,TMIN,-127
RSM00022365,2015-04-14,TMIN,-10
RSM00022365,2015-08-18,TMIN,84
RSM00022365,2013-06-24,TMIN,156
RSM00022365,2015-11-10,TMIN,-103
RSM00022365,2013-06-22,TMIN,109
RSM00022365,2015-05-29,TMAX,169
RSM00022365,2012-12-10,TMIN,-131
RSM00022365,2015-08-30,TMAX,113
RSM00022365,2012-12-10,TMAX,-91
RSM00022365,2015-11-24,TMIN,-103
RSM00022365,2015-10-24,TMIN,22
RSM00022365,2015-10-20,TMIN,-1
RSM00022365,2014-05-27,TMIN,2
RSM00022365,2014-06-28,TMIN,41
RSM00022365,2015-08-08,TMAX,147
RSM00022365,2014-12-19,TMAX,-22
RSM00022365,2015-06-21,TMIN,84
RSM00022365,2015-03-19,TMAX,23
RSM00022365,2015-01-16,TMIN,-196
RSM00022365,2015-01-07,TMAX,-46
RSM00022365,2015-09-26,TMIN,100
RSM00022365,2014-06-26,TMIN,31
RSM00022365,2013-12-17,TMIN,-163
RSM00022365,2012-05-25,TMIN,26
RSM00022365,2015-01-28,TMAX,-29
RSM00022365,2014-08-12,TMIN,104
RSM00022365,2015-09-26,TMAX,130
RSM00022365,2015-04-20,TMIN,-59
RSM00022365,2012-05-25,TMAX,179
RSM00022365,2015-04-20,TMAX,9
RSM00022365,2015-07-25,TMAX,111
RSM00022365,2015-02-25,TMIN,-5
RSM00022365,2013-04-09,TMAX,-65
RSM00022365,2015-04-09,TMAX,1
RSM00022365,2012-10-23,TMAX,47
RSM00022365,2015-01-11,TMIN,-274
RSM00022365,2014-05-06,TMIN,-36
RSM00022365,2012-12-01,TMIN,-222
RSM00022365,2014-08-18,TMIN,59
RSM00022365,2013-10-28,TMIN,-44
RSM00022365,2012-10-03,TMAX,74
RSM00022365,2014-12-20,TMIN,-66
RSM00022365,2012-10-03,TMIN,26
RSM00022365,2013-04-19,TMAX,32
RSM00022365,2014-06-22,TMIN,97
RSM00022365,2015-07-18,TMAX,131
RSM00022365,2012-09-13,TMIN,73
RSM00022365,2014-03-06,TMIN,-129
RSM00022365,2012-12-05,TMIN,-144
RSM00022365,2015-05-25,TMAX,90
RSM00022365,2012-12-05,TMAX,-63
RSM00022365,2015-07-31,TMAX,136
RSM00022365,2014-05-12,TMIN,4
RSM00022365,2012-12-04,TMIN,-157
RSM00022365,2013-10-20,TMIN,-51
RSM00022365,2015-03-19,TMIN,-39
RSM00022365,2014-10-08,TMIN,41
RSM00022365,2015-06-01,TMAX,171
RSM00022365,2014-03-14,TMIN,-105
RSM00022365,2013-05-31,TMIN,85
RSM00022365,2013-06-17,TMIN,83
RSM00022365,2015-05-25,TMIN,38
RSM00022365,2014-05-11,TMIN,8
RSM00022365,2015-02-17,TMIN,-115
RSM00022365,2015-07-31,TMIN,94
RSM00022365,2013-04-19,TMIN,-2
RSM00022365,2015-05-19,TMIN,32
RSM00022365,2015-04-25,TMAX,2
RSM00022365,2014-04-03,TMIN,-48
RSM00022365,2014-09-11,TMIN,94
RSM00022365,2014-05-09,TMIN,-25
RSM00022365,2013-04-30,TMAX,92
RSM00022365,2014-10-25,TMIN,-104
RSM00022365,2013-04-30,TMIN,-18
RSM00022365,2015-11-28,TMIN,-8
RSM00022365,2015-05-04,TMAX,32
RSM00022365,2013-04-11,TMAX,44
RSM00022365,2012-05-15,TMAX,139
RSM00022365,2014-06-16,TMIN,43
RSM00022365,2012-08-23,TMIN,74
RSM00022365,2014-06-30,TMIN,46
RSM00022365,2012-08-23,TMAX,157
RSM00022365,2013-10-09,TMIN,-10
RSM00022365,2013-07-16,TMIN,122
RSM00022365,2014-12-22,TMAX,103
RSM00022365,2015-08-21,TMIN,85
RSM00022365,2015-07-01,TMAX,83
RSM00022365,2015-03-08,TMIN,-14
RSM00022365,2014-04-07,TMIN,-75
RSM00022365,2015-04-07,TMIN,-80
RSM00022365,2015-04-07,TMAX,46
RSM00022365,2014-08-18,TMAX,133
RSM00022365,2015-03-30,TMIN,-18
RSM00022365,2014-10-20,TMIN,-102
RSM00022365,2012-06-29,TMIN,85
RSM00022365,2015-03-08,TMAX,17
RSM00022365,2012-05-15,TMIN,26
RSM00022365,2015-05-05,TMAX,30
RSM00022365,2015-03-30,TMAX,4
RSM00022365,2015-11-15,TMIN,-178
RSM00022365,2014-08-08,TMIN,139
RSM00022365,2015-02-28,TMIN,-51
RSM00022365,2012-12-11,TMIN,-107
RSM00022365,2014-10-12,TMIN,-52
RSM00022365,2012-11-14,TMAX,4
RSM00022365,2014-02-24,TMIN,-49
RSM00022365,2013-07-04,TMIN,147
RSM00022365,2015-11-26,TMAX,11
RSM00022365,2012-04-01,TMAX,-40
RSM00022365,2014-11-21,TMAX,-6
RSM00022365,2014-06-12,TMIN,80
RSM00022365,2015-02-28,TMAX,-3
RSM00022365,2012-11-27,TMIN,-114
RSM00022365,2014-12-13,TMIN,-35
RSM00022365,2013-09-06,TMIN,38
RSM00022365,2014-08-25,TMIN,51
RSM00022365,2015-02-08,TMIN,-133
RSM00022365,2015-05-19,TMAX,74
RSM00022365,2013-04-15,TMIN,6
RSM00022365,2013-10-27,TMIN,-138
RSM00022365,2014-09-02,TMIN,69
RSM00022365,2013-08-27,TMIN,72
RSM00022365,2012-09-02,TMAX,162
RSM00022365,2015-09-08,TMAX,111
RSM00022365,2014-05-03,TMIN,-66
RSM00022365,2013-09-12,TMIN,87
RSM00022365,2013-04-11,TMIN,-101
RSM00022365,2015-07-15,TMAX,85
RSM00022365,2015-07-15,TMIN,70
RSM00022365,2013-10-09,TMAX,53
RSM00022365,2015-01-23,TMIN,-229
RSM00022365,2014-05-03,TMAX,2
RSM00022365,2013-04-15,TMAX,26
RSM00022365,2012-04-01,TMIN,-145
RSM00022365,2014-10-06,TMIN,-9
RSM00022365,2014-09-02,TMAX,115
RSM00022365,2013-11-09,TMIN,-15
RSM00022365,2012-09-02,TMIN,42
RSM00022365,2014-10-12,TMAX,-6
RSM00022365,2014-03-27,TMIN,-41
RSM00022365,2015-05-29,TMIN,91
RSM00022365,2013-11-23,TMIN,-32
RSM00022365,2013-09-22,TMAX,96
RSM00022365,2013-11-02,TMIN,-73
RSM00022365,2015-06-02,TMAX,217
RSM00022365,2013-09-11,TMIN,68
RSM00022365,2015-05-23,TMAX,197
RSM00022365,2015-01-19,TMIN,-127
RSM00022365,2013-08-14,TMIN,64
RSM00022365,2014-04-13,TMIN,12
RSM00022365,2015-05-16,TMAX,76
RSM00022365,2013-09-01,TMIN,36
RSM00022365,2014-08-19,TMIN,29
RSM00022365,2015-05-11,TMIN,24
RSM00022365,2015-09-14,TMIN,33
RSM00022365,2015-03-01,TMIN,-16
RSM00022365,2013-10-15,TMIN,-32
RSM00022365,2015-11-02,TMIN,2
RSM00022365,2012-10-06,TMIN,27
RSM00022365,2015-05-02,TMIN,-12
RSM00022365,2013-07-08,TMIN,97
RSM00022365,2012-07-06,TMAX,175
RSM00022365,2015-05-24,TMIN,78
RSM00022365,2012-10-05,TMAX,115
RSM00022365,2012-07-06,TMIN,36
RSM00022365,2013-04-12,TMIN,-94
RSM00022365,2014-03-20,TMIN,-173
RSM00022365,2014-07-04,TMIN,94
RSM00022365,2014-05-19,TMIN,25
RSM00022365,2014-10-02,TMAX,48
RSM00022365,2013-10-24,TMIN,-35
RSM00022365,2012-07-12,TMIN,123
RSM00022365,2012-07-05,TMAX,109
RSM00022365,2012-07-12,TMAX,155
RSM00022365,2012-07-05,TMIN,83
RSM00022365,2015-03-12,TMAX,-21
RSM00022365,2015-03-09,TMAX,9
RSM00022365,2015-04-02,TMIN,-6
RSM00022365,2015-05-11,TMAX,162
RSM00022365,2012-09-13,TMAX,99
RSM00022365,2012-11-03,TMIN,-56
RSM00022365,2012-10-06,TMAX,80
RSM00022365,2014-03-09,TMIN,-4
RSM00022365,2015-12-20,TMIN,-167
RSM00022365,2013-08-11,TMIN,60
RSM00022365,2012-11-03,TMAX,2
RSM00022365,2012-07-18,TMAX,184
RSM00022365,2015-05-08,TMIN,15
RSM00022365,2015-06-09,TMIN,27
RSM00022365,2012-06-29,TMAX,131
RSM00022365,2012-05-23,TMIN,25
RSM00022365,2014-07-20,TMIN,83
RSM00022365,2012-05-23,TMAX,37
RSM00022365,2012-07-18,TMIN,125
RSM00022365,2014-02-27,TMIN,-12
RSM00022365,2012-10-10,TMIN,26
RSM00022365,2012-11-04,TMAX,0
RSM00022365,2015-03-01,TMAX,-4
RSM00022365,2015-07-25,TMIN,73
RSM00022365,2015-05-16,TMIN,17
RSM00022365,2014-12-08,TMAX,17
