ID,Date,Element,Data_Value
CA004013098,2007-04-14,TMIN,-10
CA004013098,2006-12-03,TMAX,-100
CA004013098,2006-04-22,TMAX,215
CA004013098,2007-01-27,TMIN,-250
CA004010570,2006-01-12,TMAX,-20
CA004013098,2008-02-21,TMAX,-65
CA004013098,2005-03-31,TMIN,-55
CA004013098,2005-07-09,TMIN,220
CA004013098,2006-03-14,TMIN,-240
CA004013098,2006-12-03,TMIN,-320
CA004013098,2006-04-22,TMIN,70
CA004013098,2007-08-24,TMIN,30
CA004013098,2007-06-03,TMAX,280
CA004013098,2007-10-16,TMAX,115
CA004010570,2005-01-25,TMAX,25
CA004010570,2005-12-18,TMIN,-260
CA004010570,2005-12-18,TMAX,-130
CA004013098,2005-09-04,TMIN,155
CA004013098,2007-09-18,TMIN,40
CA004013098,2005-04-06,TMIN,-30
CA004013098,2006-09-19,TMIN,-15
CA004013098,2007-10-16,TMIN,-5
CA004010570,2005-09-25,TMIN,10
CA004013098,2005-04-06,TMAX,185
CA004013098,2005-06-14,TMAX,210
CA004013098,2006-12-21,TMAX,-10
CA004013098,2007-04-14,TMAX,195
CA004013098,2006-04-13,TMAX,195
CA004013098,2005-03-20,TMAX,10
CA004010570,2006-01-26,TMIN,-95
CA004010570,2006-01-12,TMIN,-70
CA004013098,2006-03-28,TMAX,135
CA004010570,2006-01-26,TMAX,-20
CA004010570,2005-01-25,TMIN,-85
CA004013098,2007-06-03,TMIN,100
CA004013098,2007-02-02,TMAX,-215
CA004013098,2007-08-24,TMAX,170
CA004013098,2005-01-28,TMAX,-30
CA004013098,2006-10-04,TMAX,150
CA004013098,2005-09-04,TMAX,275
CA004013098,2006-03-08,TMIN,-55
CA004013098,2006-05-22,TMAX,285
CA004013098,2005-10-07,TMAX,40
CA004013098,2006-03-08,TMAX,0
CA004010570,2005-09-14,TMIN,30
CA004013098,2006-04-20,TMIN,15
CA004010570,2005-11-16,TMIN,-20
CA004013098,2005-10-07,TMIN,-60
CA004010570,2005-04-18,TMAX,185
CA004013098,2006-10-04,TMIN,-20
CA004013098,2007-03-28,TMIN,25
CA004010570,2006-01-01,TMAX,-20
CA004013098,2005-09-24,TMAX,160
CA004013098,2005-03-31,TMAX,50
CA004013098,2005-05-06,TMAX,145
CA004013098,2008-02-21,TMIN,-220
CA004013098,2005-09-24,TMIN,-15
CA004013098,2007-11-25,TMIN,-60
CA004010570,2006-01-01,TMIN,-45
CA004013098,2007-07-21,TMAX,290
CA004010570,2005-09-14,TMAX,195
CA004013098,2007-11-25,TMAX,0
CA004013098,2007-07-21,TMIN,180
CA004013098,2006-04-25,TMIN,-25
CA004013098,2006-04-20,TMAX,140
CA004013098,2007-03-01,TMAX,-30
CA004013098,2007-03-28,TMAX,50
CA004010570,2006-01-27,TMAX,-5
CA004010570,2005-02-06,TMIN,-245
CA004013098,2006-04-13,TMIN,50
CA004010570,2005-12-17,TMIN,-195
CA004013098,2005-03-11,TMIN,-60
CA004013098,2006-05-03,TMIN,5
CA004013098,2005-03-05,TMIN,-60
CA004010570,2005-02-02,TMAX,45
CA004013098,2006-04-06,TMIN,-20
CA004013098,2006-09-05,TMAX,300
CA004013098,2006-09-05,TMIN,100
CA004013098,2006-05-22,TMIN,80
CA004013098,2005-01-16,TMAX,-200
CA004013098,2007-10-18,TMAX,100
CA004013098,2007-07-04,TMAX,270
