ID,Date,Element,Data_Value
AYM00089606,2013-10-04,TMAX,-446
AYM00089606,2007-03-03,TMIN,-600
AYM00089606,2014-11-13,TMAX,-359
AYM00089606,2013-10-04,TMIN,-613
AYM00089606,2014-11-13,TMIN,-498
AYM00089606,2010-09-10,TMAX,-636
AYM00089606,2012-12-21,TMAX,-249
AYM00089606,2006-09-22,TMAX,-477
AYM00089606,2013-07-18,TMAX,-648
AYM00089606,2015-02-06,TMIN,-476
AYM00089606,2007-07-24,TMIN,-690
AYM00089606,2010-10-08,TMIN,-656
AYM00089606,2011-11-15,TMAX,-370
AYM00089606,2015-12-16,TMIN,-362
AYM00089606,2015-07-04,TMIN,-763
AYM00089606,2012-12-21,TMIN,-350
AYM00089606,2011-12-12,TMAX,-267
AYM00089606,2013-12-21,TMAX,-265
AYM00089606,2010-07-16,TMIN,-734
AYM00089606,2007-04-06,TMAX,-631
AYM00089606,2011-01-21,TMIN,-384
AYM00089606,2014-02-13,TMAX,-379
AYM00089606,2007-09-01,TMAX,-760
AYM00089606,2010-09-06,TMAX,-577
AYM00089606,2009-10-11,TMAX,-567
AYM00089606,2014-02-27,TMAX,-406
AYM00089606,2005-10-04,TMAX,-611
AYM00089606,2013-01-19,TMIN,-404
AYM00089606,2015-12-25,TMIN,-365
AYM00089606,2015-01-28,TMIN,-392
AYM00089606,2012-11-30,TMAX,-305
AYM00089606,2011-09-02,TMAX,-583
AYM00089606,2012-03-01,TMIN,-583
AYM00089606,2015-01-19,TMAX,-275
AYM00089606,2011-11-28,TMAX,-257
AYM00089606,2007-08-06,TMAX,-443
AYM00089606,2005-03-26,TMIN,-626
AYM00089606,2005-03-26,TMAX,-543
AYM00089606,2011-11-28,TMIN,-384
AYM00089606,2006-02-03,TMAX,-317
AYM00089606,2013-01-19,TMAX,-294
AYM00089606,2012-06-30,TMIN,-705
AYM00089606,2008-12-15,TMAX,-252
AYM00089606,2005-01-23,TMIN,-412
AYM00089606,2015-06-04,TMIN,-518
AYM00089606,2011-11-12,TMIN,-507
AYM00089606,2005-03-31,TMIN,-691
AYM00089606,2009-09-17,TMIN,-657
AYM00089606,2009-03-16,TMAX,-554
AYM00089606,2013-05-27,TMAX,-699
AYM00089606,2010-05-13,TMAX,-674
AYM00089606,2015-07-30,TMIN,-708
AYM00089606,2010-01-25,TMAX,-276
AYM00089606,2009-09-17,TMAX,-598
AYM00089606,2011-07-18,TMIN,-722
AYM00089606,2005-08-24,TMAX,-729
AYM00089606,2007-11-10,TMAX,-436
AYM00089606,2006-05-29,TMIN,-723
AYM00089606,2006-09-03,TMAX,-729
AYM00089606,2012-09-04,TMIN,-734
AYM00089606,2012-03-16,TMIN,-603
AYM00089606,2012-11-10,TMAX,-327
AYM00089606,2015-12-08,TMIN,-380
AYM00089606,2014-03-12,TMAX,-553
AYM00089606,2006-09-22,TMIN,-556
AYM00089606,2014-11-30,TMIN,-388
AYM00089606,2014-02-08,TMIN,-522
AYM00089606,2010-04-12,TMIN,-716
AYM00089606,2007-07-24,TMAX,-594
AYM00089606,2010-04-12,TMAX,-653
AYM00089606,2005-04-30,TMIN,-672
AYM00089606,2006-02-05,TMAX,-349
AYM00089606,2008-06-14,TMAX,-659
AYM00089606,2014-02-08,TMAX,-397
AYM00089606,2012-09-28,TMAX,-566
AYM00089606,2008-12-25,TMAX,-238
AYM00089606,2011-07-18,TMAX,-657
AYM00089606,2007-04-17,TMAX,-622
AYM00089606,2012-03-16,TMAX,-504
AYM00089606,2009-11-21,TMAX,-317
AYM00089606,2009-05-30,TMAX,-622
AYM00089606,2005-12-30,TMIN,-405
AYM00089606,2007-11-15,TMIN,-497
AYM00089606,2008-12-15,TMIN,-359
AYM00089606,2013-10-15,TMAX,-480
AYM00089606,2011-12-12,TMIN,-401
AYM00089606,2011-04-19,TMIN,-696
AYM00089606,2013-09-19,TMIN,-630
AYM00089606,2011-02-04,TMIN,-432
AYM00089606,2005-10-04,TMIN,-706
AYM00089606,2008-06-11,TMIN,-692
AYM00089606,2012-11-10,TMIN,-497
AYM00089606,2007-01-19,TMIN,-396
AYM00089606,2008-08-12,TMAX,-736
AYM00089606,2009-03-15,TMIN,-623
AYM00089606,2013-09-19,TMAX,-567
AYM00089606,2012-03-30,TMAX,-663
AYM00089606,2012-09-04,TMAX,-697
AYM00089606,2008-06-14,TMIN,-788
AYM00089606,2012-05-14,TMIN,-644
AYM00089606,2007-03-22,TMIN,-619
AYM00089606,2010-05-14,TMAX,-612
AYM00089606,2015-02-06,TMAX,-347
AYM00089606,2007-03-22,TMAX,-553
AYM00089606,2005-08-16,TMIN,-663
AYM00089606,2010-02-12,TMAX,-372
AYM00089606,2008-10-11,TMAX,-507
AYM00089606,2012-09-07,TMAX,-670
AYM00089606,2012-01-25,TMIN,-424
AYM00089606,2013-12-20,TMAX,-258
AYM00089606,2012-01-25,TMAX,-324
AYM00089606,2014-05-29,TMAX,-508
AYM00089606,2010-07-13,TMIN,-723
AYM00089606,2010-05-01,TMAX,-607
AYM00089606,2010-10-08,TMAX,-465
AYM00089606,2014-09-23,TMAX,-518
AYM00089606,2011-09-01,TMAX,-624
AYM00089606,2006-11-24,TMAX,-353
AYM00089606,2006-04-08,TMAX,-579
AYM00089606,2013-10-03,TMIN,-630
