ID,Date,Element,Data_Value
BOM00026774,2006-09-18,TMAX,190
BOM00026774,2012-12-03,TMAX,-39
BOM00026774,2014-07-31,TMIN,161
BOM00026774,2011-04-17,TMIN,51
BOM00026774,2008-06-04,TMAX,155
BOM00026774,2013-01-16,TMAX,-20
BOM00026774,2009-10-08,TMIN,94
BOM00026774,2010-09-02,TMIN,110
BOM00026774,2015-05-14,TMAX,168
BOM00026774,2013-02-11,TMIN,-19
BOM00026774,2007-06-14,TMIN,129
BOM00026774,2013-01-16,TMIN,-63
BOM00026774,2006-07-07,TMAX,281
BOM00026774,2015-04-24,TMAX,143
BOM00026774,2014-09-30,TMAX,142
BOM00026774,2009-01-26,TMIN,0
BOM00026774,2009-10-08,TMAX,177
BOM00026774,2006-07-03,TMAX,238
BOM00026774,2006-09-18,TMIN,33
BOM00026774,2006-06-22,TMIN,154
BOM00026774,2007-06-08,TMIN,96
BOM00026774,2007-06-14,TMAX,281
BOM00026774,2005-08-27,TMIN,132
BOM00026774,2013-02-12,TMAX,15
BOM00026774,2014-10-12,TMIN,92
BOM00026774,2010-03-27,TMAX,81
BOM00026774,2015-10-27,TMAX,69
BOM00026774,2006-03-13,TMIN,-56
BOM00026774,2008-12-22,TMIN,-79
BOM00026774,2006-10-08,TMAX,153
BOM00026774,2006-03-12,TMIN,-34
BOM00026774,2011-12-16,TMAX,53
BOM00026774,2005-12-06,TMIN,-31
BOM00026774,2009-06-03,TMIN,132
BOM00026774,2006-07-07,TMIN,122
BOM00026774,2010-02-12,TMAX,-75
BOM00026774,2015-06-14,TMIN,128
BOM00026774,2011-12-13,TMIN,-20
BOM00026774,2007-12-09,TMIN,-2
BOM00026774,2009-06-03,TMAX,170
BOM00026774,2006-12-19,TMIN,-61
BOM00026774,2005-12-06,TMAX,-13
BOM00026774,2009-03-07,TMAX,-17
BOM00026774,2006-07-03,TMIN,109
BOM00026774,2013-11-07,TMIN,46
BOM00026774,2006-02-05,TMAX,-215
BOM00026774,2015-11-16,TMAX,36
BOM00026774,2007-07-22,TMIN,122
BOM00026774,2007-06-08,TMAX,242
BOM00026774,2012-04-12,TMIN,19
BOM00026774,2006-03-12,TMAX,7
BOM00026774,2014-11-02,TMAX,-7
BOM00026774,2008-01-16,TMAX,-1
BOM00026774,2012-06-11,TMIN,142
BOM00026774,2012-12-03,TMIN,-50
BOM00026774,2007-05-31,TMIN,167
BOM00026774,2014-07-31,TMAX,310
BOM00026774,2013-11-07,TMAX,67
BOM00026774,2009-01-21,TMAX,-31
BOM00026774,2012-06-11,TMAX,250
BOM00026774,2007-07-22,TMAX,222
BOM00026774,2013-02-14,TMAX,-18
BOM00026774,2011-06-08,TMAX,274
BOM00026774,2009-01-16,TMIN,-33
BOM00026774,2006-01-29,TMAX,10
BOM00026774,2011-05-18,TMIN,96
BOM00026774,2009-04-25,TMAX,163
BOM00026774,2014-09-20,TMIN,27
BOM00026774,2011-03-07,TMIN,-125
BOM00026774,2010-03-27,TMIN,25
BOM00026774,2014-07-03,TMIN,94
BOM00026774,2007-08-16,TMAX,278
BOM00026774,2011-12-15,TMAX,52
BOM00026774,2015-03-16,TMIN,-17
BOM00026774,2007-08-27,TMAX,187
BOM00026774,2007-08-27,TMIN,118
BOM00026774,2006-11-21,TMAX,58
BOM00026774,2010-01-30,TMAX,-63
BOM00026774,2014-09-06,TMIN,87
BOM00026774,2009-04-15,TMIN,29
BOM00026774,2014-09-06,TMAX,204
BOM00026774,2007-12-03,TMIN,-61
BOM00026774,2014-12-15,TMIN,-1
BOM00026774,2007-05-14,TMIN,26
BOM00026774,2006-07-18,TMAX,234
BOM00026774,2007-12-03,TMAX,7
BOM00026774,2013-02-16,TMAX,-35
BOM00026774,2014-07-06,TMIN,126
BOM00026774,2011-06-08,TMIN,125
BOM00026774,2015-07-16,TMAX,206
BOM00026774,2007-04-16,TMAX,156
BOM00026774,2014-03-12,TMIN,-16
BOM00026774,2006-01-02,TMIN,-13
BOM00026774,2006-01-02,TMAX,6
BOM00026774,2009-01-21,TMIN,-55
BOM00026774,2008-04-21,TMIN,39
BOM00026774,2014-01-10,TMIN,28
BOM00026774,2012-06-12,TMIN,153
BOM00026774,2011-04-17,TMAX,103
BOM00026774,2014-01-10,TMAX,60
BOM00026774,2006-08-06,TMAX,202
BOM00026774,2010-12-01,TMAX,-171
BOM00026774,2007-04-16,TMIN,-19
BOM00026774,2007-08-04,TMAX,237
BOM00026774,2011-05-18,TMAX,182
BOM00026774,2005-11-15,TMAX,56
BOM00026774,2007-08-04,TMIN,142
BOM00026774,2006-12-28,TMAX,38
BOM00026774,2010-12-01,TMIN,-219
BOM00026774,2010-02-19,TMAX,4
BOM00026774,2005-11-15,TMIN,27
BOM00026774,2010-08-19,TMAX,178
BOM00026774,2015-03-09,TMAX,93
BOM00026774,2010-03-05,TMIN,-116
BOM00026774,2007-05-31,TMAX,275
BOM00026774,2006-11-21,TMIN,28
BOM00026774,2007-04-14,TMIN,7
BOM00026774,2014-07-03,TMAX,203
BOM00026774,2015-04-29,TMAX,243
BOM00026774,2013-02-18,TMAX,-53
BOM00026774,2007-11-27,TMIN,-14
BOM00026774,2010-08-19,TMIN,139
BOM00026774,2009-01-26,TMAX,2
BOM00026774,2014-10-12,TMAX,175
BOM00026774,2007-01-19,TMAX,74
BOM00026774,2013-02-18,TMIN,-123
BOM00026774,2013-02-12,TMIN,-2
BOM00026774,2012-01-14,TMAX,-10
BOM00026774,2013-02-16,TMIN,-52
BOM00026774,2014-03-12,TMAX,80
BOM00026774,2010-09-02,TMAX,183
BOM00026774,2007-09-03,TMIN,50
BOM00026774,2010-04-28,TMIN,83
BOM00026774,2006-02-11,TMAX,-122
BOM00026774,2012-12-04,TMIN,-43
BOM00026774,2012-06-12,TMAX,191
BOM00026774,2008-04-21,TMAX,98
BOM00026774,2010-03-05,TMAX,-48
BOM00026774,2015-05-22,TMAX,179
BOM00026774,2008-07-28,TMAX,206
BOM00026774,2011-03-07,TMAX,-31
BOM00026774,2010-02-19,TMIN,-31
BOM00026774,2015-10-22,TMAX,25
BOM00026774,2010-01-21,TMAX,-119
BOM00026774,2013-11-06,TMAX,138
BOM00026774,2014-07-06,TMAX,279
BOM00026774,2009-01-16,TMAX,-5
BOM00026774,2008-07-28,TMIN,112
BOM00026774,2015-10-22,TMIN,2
BOM00026774,2008-06-04,TMIN,90
BOM00026774,2012-12-04,TMAX,-23
BOM00026774,2009-10-22,TMAX,81
BOM00026774,2009-08-21,TMAX,187
BOM00026774,2007-04-14,TMAX,104
BOM00026774,2006-07-18,TMIN,89
BOM00026774,2013-12-31,TMIN,-12
BOM00026774,2006-01-08,TMIN,-55
BOM00026774,2010-08-29,TMIN,104
BOM00026774,2012-11-05,TMIN,28
BOM00026774,2008-07-03,TMAX,239
BOM00026774,2008-04-30,TMIN,87
BOM00026774,2015-03-24,TMAX,121
BOM00026774,2010-08-29,TMAX,161
BOM00026774,2015-04-05,TMIN,3
BOM00026774,2015-04-05,TMAX,61
BOM00026774,2011-02-08,TMAX,33
BOM00026774,2015-03-24,TMIN,5
BOM00026774,2007-09-16,TMAX,125
BOM00026774,2014-10-14,TMAX,170
BOM00026774,2006-09-17,TMIN,5
BOM00026774,2007-08-25,TMIN,153
BOM00026774,2007-12-19,TMAX,6
BOM00026774,2007-10-07,TMAX,111
BOM00026774,2007-03-17,TMAX,73
BOM00026774,2010-04-18,TMIN,2
BOM00026774,2014-10-14,TMIN,39
BOM00026774,2007-08-03,TMIN,135
BOM00026774,2013-11-28,TMAX,21
BOM00026774,2007-08-25,TMAX,252
BOM00026774,2014-11-08,TMAX,102
BOM00026774,2012-11-05,TMAX,110
BOM00026774,2012-12-26,TMAX,22
BOM00026774,2010-11-15,TMIN,48
BOM00026774,2010-11-08,TMIN,-21
BOM00026774,2010-09-13,TMIN,101
BOM00026774,2014-10-28,TMIN,-36
BOM00026774,2009-03-26,TMIN,-99
BOM00026774,2006-03-25,TMIN,-138
BOM00026774,2012-05-21,TMAX,262
BOM00026774,2006-04-13,TMAX,126
BOM00026774,2013-02-11,TMAX,0
BOM00026774,2014-01-22,TMIN,-181
BOM00026774,2006-10-08,TMIN,68
BOM00026774,2008-04-02,TMAX,142
BOM00026774,2010-03-11,TMAX,16
BOM00026774,2009-04-01,TMAX,82
BOM00026774,2010-03-11,TMIN,-116
BOM00026774,2014-07-05,TMAX,253
