ID,Date,Element,Data_Value
CT000004654,2011-05-06,TMIN,230
CT000004654,2012-02-04,TMIN,210
CT000004654,2012-02-04,TMAX,389
CT000004654,2011-04-17,TMAX,400
CT000004654,2011-02-26,TMIN,200
CT000004654,2011-08-22,TMAX,320
CT000004654,2009-05-29,TMAX,317
CT000004654,2009-07-19,TMAX,285
CT000004654,2011-07-30,TMIN,195
CT000004654,2010-10-24,TMIN,205
CT000004654,2011-07-16,TMIN,196
CT000004654,2011-05-06,TMAX,390
CT000004654,2011-04-17,TMIN,240
CT000004654,2012-05-30,TMAX,320
CT000004654,2009-07-19,TMIN,195
CT000004654,2011-09-09,TMAX,305
CT000004654,2009-05-29,TMIN,220
CT000004654,2009-05-07,TMIN,205
CT000004654,2012-04-16,TMAX,350
CT000004654,2010-02-09,TMIN,205
CT000004654,2008-12-25,TMAX,345
CT000004654,2009-04-13,TMIN,230
CT000004654,2012-11-05,TMAX,330
CT000004654,2012-12-08,TMIN,162
CT000004654,2009-09-20,TMAX,315
CT000004654,2011-08-02,TMAX,300
CT000004654,2012-04-02,TMIN,242
CT000004654,2009-07-07,TMAX,325
CT000004654,2009-04-24,TMIN,220
CT000004654,2009-04-23,TMAX,327
CT000004654,2012-12-03,TMAX,350
CT000004654,2009-04-24,TMAX,375
CT000004654,2009-07-11,TMIN,200
CT000004654,2012-03-02,TMIN,210
CT000004654,2012-05-30,TMIN,212
CT000004654,2011-08-02,TMIN,210
CT000004654,2009-07-20,TMIN,185
CT000004654,2012-04-16,TMIN,240
CT000004654,2011-06-26,TMIN,220
CT000004654,2009-07-06,TMIN,206
CT000004654,2010-09-16,TMAX,305
CT000004654,2010-10-23,TMIN,215
CT000004654,2009-01-14,TMIN,165
CT000004654,2009-04-21,TMAX,365
CT000004654,2011-08-17,TMIN,210
CT000004654,2011-02-26,TMAX,390
CT000004654,2011-08-17,TMAX,310
CT000004654,2009-07-06,TMAX,315
CT000004654,2009-04-06,TMIN,240
CT000004654,2010-10-23,TMAX,315
CT000004654,2012-04-05,TMIN,230
CT000004654,2009-08-02,TMIN,186
CT000004654,2009-07-20,TMAX,305
CT000004654,2010-10-13,TMAX,325
CT000004654,2009-04-06,TMAX,330
CT000004654,2012-10-26,TMIN,210
CT000004654,2009-08-06,TMIN,200
CT000004654,2009-06-04,TMAX,355
CT000004654,2010-10-13,TMIN,210
CT000004654,2012-03-02,TMAX,375
CT000004654,2009-06-04,TMIN,226
CT000004654,2012-05-08,TMAX,335
CT000004654,2009-10-24,TMIN,200
CT000004654,2012-07-07,TMAX,306
CT000004654,2009-06-01,TMAX,357
CT000004654,2010-02-22,TMAX,404
CT000004654,2010-02-22,TMIN,230
CT000004654,2010-10-10,TMAX,320
CT000004654,2011-07-09,TMIN,221
CT000004654,2011-07-09,TMAX,330
CT000004654,2009-01-13,TMIN,139
CT000004654,2009-04-20,TMIN,200
CT000004654,2010-09-16,TMIN,180
CT000004654,2010-11-11,TMAX,335
CT000004654,2012-07-07,TMIN,210
CT000004654,2009-03-13,TMIN,195
CT000004654,2009-05-24,TMIN,215
CT000004654,2008-12-25,TMIN,180
CT000004654,2009-06-06,TMAX,363
CT000004654,2010-10-10,TMIN,220
CT000004654,2011-06-26,TMAX,330
CT000004654,2010-01-16,TMIN,125
CT000004654,2009-09-26,TMAX,310
CT000004654,2010-10-05,TMIN,205
CT000004654,2009-06-06,TMIN,216
CT000004654,2012-05-08,TMIN,240
CT000004654,2009-05-30,TMIN,210
CT000004654,2009-09-26,TMIN,185
CT000004654,2011-09-27,TMAX,329
CT000004654,2011-09-27,TMIN,205
CT000004654,2010-02-09,TMAX,372
CT000004654,2012-04-05,TMAX,410
CT000004654,2009-02-02,TMAX,388
CT000004654,2009-05-03,TMIN,225
CT000004654,2009-05-30,TMAX,346
CT000004654,2009-05-03,TMAX,360
CT000004654,2010-10-05,TMAX,290
CT000004654,2012-08-06,TMIN,220
CT000004654,2011-08-18,TMIN,230
CT000004654,2009-12-18,TMIN,140
CT000004654,2009-08-31,TMIN,200
CT000004654,2009-06-01,TMIN,215
CT000004654,2009-08-31,TMAX,325
CT000004654,2011-03-11,TMIN,210
CT000004654,2011-08-18,TMAX,290
CT000004654,2011-03-11,TMAX,390
CT000004654,2011-07-15,TMAX,321
CT000004654,2011-07-15,TMIN,220
CT000004654,2011-06-11,TMIN,230
CT000004654,2009-07-28,TMAX,323
CT000004654,2011-08-15,TMIN,221
CT000004654,2009-05-24,TMAX,355
CT000004654,2009-07-28,TMIN,205
CT000004654,2009-08-15,TMAX,300
CT000004654,2011-07-20,TMIN,218
CT000004654,2011-08-27,TMIN,222
CT000004654,2009-04-20,TMAX,356
CT000004654,2011-08-27,TMAX,252
CT000004654,2011-08-15,TMAX,280
CT000004654,2009-10-24,TMAX,306
CT000004654,2011-08-10,TMAX,277
CT000004654,2010-10-24,TMAX,325
CT000004654,2009-06-16,TMAX,295
CT000004654,2012-03-23,TMAX,412
CT000004654,2012-03-23,TMIN,240
CT000004654,2011-10-09,TMIN,200
CT000004654,2011-11-19,TMAX,352
CT000004654,2009-06-16,TMIN,215
CT000004654,2011-11-19,TMIN,168
CT000004654,2011-11-13,TMIN,165
CT000004654,2011-07-03,TMAX,331
CT000004654,2012-10-23,TMAX,325
CT000004654,2011-02-18,TMIN,218
CT000004654,2009-03-20,TMIN,222
CT000004654,2009-03-06,TMIN,195
CT000004654,2011-09-03,TMIN,205
CT000004654,2012-04-07,TMAX,395
CT000004654,2011-04-07,TMAX,370
CT000004654,2012-04-07,TMIN,255
CT000004654,2009-12-01,TMIN,150
CT000004654,2012-08-30,TMAX,280
CT000004654,2011-09-03,TMAX,325
CT000004654,2009-11-17,TMIN,160
CT000004654,2009-08-07,TMAX,276
CT000004654,2011-07-03,TMIN,216
CT000004654,2012-10-28,TMIN,185
CT000004654,2011-11-13,TMAX,342
CT000004654,2011-02-18,TMAX,388
CT000004654,2010-02-13,TMIN,210
CT000004654,2010-02-13,TMAX,396
CT000004654,2010-10-28,TMIN,210
CT000004654,2009-08-14,TMIN,196
CT000004654,2012-05-06,TMAX,350
CT000004654,2009-08-27,TMAX,315
CT000004654,2011-02-23,TMIN,246
CT000004654,2011-02-25,TMIN,210
CT000004654,2011-09-15,TMAX,316
CT000004654,2011-12-14,TMAX,343
CT000004654,2011-12-14,TMIN,139
CT000004654,2011-07-24,TMIN,196
CT000004654,2009-03-30,TMAX,405
CT000004654,2011-07-24,TMAX,265
CT000004654,2009-03-30,TMIN,180
CT000004654,2011-10-11,TMIN,210
CT000004654,2011-04-03,TMAX,335
CT000004654,2011-04-11,TMIN,253
CT000004654,2011-04-11,TMAX,387
CT000004654,2011-05-30,TMAX,350
CT000004654,2009-08-07,TMIN,205
CT000004654,2012-10-23,TMIN,200
CT000004654,2011-02-25,TMAX,390
CT000004654,2011-08-25,TMAX,312
CT000004654,2011-08-25,TMIN,190
CT000004654,2009-03-06,TMAX,400
CT000004654,2011-10-11,TMAX,314
CT000004654,2011-05-22,TMIN,220
CT000004654,2011-11-17,TMIN,178
CT000004654,2011-11-17,TMAX,335
CT000004654,2009-03-23,TMAX,385
CT000004654,2011-05-22,TMAX,360
CT000004654,2009-03-10,TMAX,375
CT000004654,2009-07-21,TMIN,206
CT000004654,2009-05-19,TMIN,215
CT000004654,2010-10-15,TMAX,325
CT000004654,2011-08-29,TMAX,332
CT000004654,2011-06-02,TMAX,345
CT000004654,2011-08-29,TMIN,200
CT000004654,2011-02-27,TMIN,234
CT000004654,2011-02-27,TMAX,360
CT000004654,2011-07-23,TMIN,205
CT000004654,2009-08-08,TMIN,175
CT000004654,2009-04-16,TMAX,332
CT000004654,2012-01-12,TMAX,327
CT000004654,2011-07-23,TMAX,300
CT000004654,2011-07-10,TMIN,215
CT000004654,2009-05-19,TMAX,395
CT000004654,2011-06-17,TMIN,210
CT000004654,2011-06-17,TMAX,317
CT000004654,2009-11-10,TMAX,332
CT000004654,2011-02-23,TMAX,306
CT000004654,2011-11-20,TMIN,163
CT000004654,2012-10-30,TMIN,190
CT000004654,2011-10-07,TMAX,298
CT000004654,2009-05-28,TMIN,215
CT000004654,2009-03-14,TMIN,175
CT000004654,2009-05-28,TMAX,350
CT000004654,2009-05-31,TMIN,215
CT000004654,2009-04-18,TMIN,240
CT000004654,2009-07-15,TMAX,325
CT000004654,2012-01-10,TMIN,185
CT000004654,2012-01-10,TMAX,365
CT000004654,2011-04-06,TMAX,380
CT000004654,2011-04-06,TMIN,245
CT000004654,2009-07-15,TMIN,200
CT000004654,2010-02-11,TMIN,205
CT000004654,2011-10-16,TMIN,210
CT000004654,2011-10-16,TMAX,311
CT000004654,2009-05-17,TMIN,215
CT000004654,2009-05-17,TMAX,370
CT000004654,2009-04-22,TMAX,360
CT000004654,2012-01-12,TMIN,182
CT000004654,2009-10-06,TMIN,200
CT000004654,2011-11-20,TMAX,321
CT000004654,2009-06-02,TMIN,240
CT000004654,2009-06-02,TMAX,340
CT000004654,2009-12-10,TMIN,120
CT000004654,2009-03-20,TMAX,396
CT000004654,2011-10-09,TMAX,313
CT000004654,2012-10-28,TMAX,340
CT000004654,2012-10-14,TMAX,325
CT000004654,2012-11-29,TMAX,330
CT000004654,2011-04-01,TMIN,250
CT000004654,2011-04-14,TMIN,240
CT000004654,2011-07-20,TMAX,330
CT000004654,2008-12-26,TMIN,179
CT000004654,2008-12-26,TMAX,349
CT000004654,2012-01-01,TMAX,366
CT000004654,2012-12-09,TMIN,160
CT000004654,2011-03-08,TMAX,395
CT000004654,2012-01-01,TMIN,155
CT000004654,2011-04-14,TMAX,400
CT000004654,2011-05-24,TMIN,220
CT000004654,2010-11-19,TMAX,335
CT000004654,2009-09-08,TMIN,170
CT000004654,2010-11-19,TMIN,190
CT000004654,2009-02-07,TMIN,175
CT000004654,2011-08-20,TMIN,212
CT000004654,2009-02-07,TMAX,392
CT000004654,2011-03-07,TMIN,221
CT000004654,2011-05-24,TMAX,325
CT000004654,2011-10-13,TMAX,310
CT000004654,2011-11-02,TMAX,340
CT000004654,2009-05-15,TMAX,365
CT000004654,2012-06-25,TMAX,322
CT000004654,2011-04-01,TMAX,385
CT000004654,2011-06-29,TMAX,290
CT000004654,2012-12-09,TMAX,360
CT000004654,2009-06-09,TMAX,335
