ID,Date,Element,Data_Value
CA008402450,2015-10-04,TMAX,156
CA008402450,2015-02-15,TMAX,-27
CA008402450,2006-05-20,TMAX,86
CA008402450,2005-04-07,TMAX,54
CA008402450,2005-11-03,TMAX,67
CA008402450,2014-05-02,TMAX,58
CA008402450,2008-06-24,TMAX,135
CA008402450,2006-04-30,TMIN,-26
CA008402450,2015-12-06,TMIN,-12
CA008402450,2006-02-15,TMIN,-54
CA008402450,2005-05-22,TMIN,46
CA008402450,2007-06-30,TMIN,77
CA008402450,2006-05-20,TMIN,54
CA008402450,2006-03-09,TMIN,-19
CA008402450,2014-09-07,TMAX,225
CA008402450,2006-03-09,TMAX,34
CA008402450,2009-09-21,TMIN,70
CA008402450,2009-02-26,TMIN,-74
CA008402450,2007-11-28,TMAX,97
CA008402450,2009-04-13,TMAX,61
CA008402450,2010-07-11,TMIN,132
CA008402450,2005-04-07,TMIN,-2
CA008402450,2009-07-04,TMAX,148
CA008402450,2006-08-18,TMAX,202
CA008402450,2007-09-17,TMIN,51
CA008402450,2008-10-21,TMIN,7
CA008402450,2007-09-17,TMAX,142
CA008402450,2007-06-30,TMAX,162
CA008402450,2009-11-25,TMIN,34
CA008402450,2007-02-14,TMAX,-21
CA008402450,2010-07-08,TMAX,187
CA008402450,2009-08-18,TMAX,213
CA008402450,2007-10-04,TMAX,161
CA008402450,2015-05-27,TMAX,106
CA008402450,2009-02-26,TMAX,-11
CA008402450,2010-02-23,TMIN,-19
CA008402450,2006-08-18,TMIN,123
CA008402450,2006-04-30,TMAX,91
CA008402450,2014-10-20,TMAX,152
CA008402450,2007-10-04,TMIN,99
CA008402450,2010-01-12,TMIN,-70
CA008402450,2005-05-14,TMIN,-26
CA008402450,2006-12-14,TMIN,-13
CA008402450,2014-06-28,TMIN,115
CA008402450,2005-05-14,TMAX,84
CA008402450,2007-07-08,TMIN,113
CA008402450,2005-02-24,TMIN,-103
CA008402450,2007-07-20,TMIN,137
CA008402450,2010-08-21,TMIN,139
CA008402450,2007-05-10,TMIN,41
CA008402450,2015-10-03,TMIN,59
CA008402450,2006-09-29,TMIN,92
CA008402450,2005-12-28,TMAX,33
CA008402450,2013-06-04,TMIN,64
CA008402450,2005-12-28,TMIN,11
CA008402450,2010-01-12,TMAX,-33
CA008402450,2006-09-29,TMAX,138
CA008402450,2007-03-23,TMAX,48
CA008402450,2010-02-23,TMAX,47
CA008402450,2006-08-02,TMAX,187
CA008402450,2007-12-29,TMAX,-23
CA008402450,2015-06-26,TMIN,76
CA008402450,2006-07-11,TMAX,211
CA008402450,2006-08-02,TMIN,115
CA008402450,2008-07-04,TMAX,165
CA008402450,2014-04-20,TMAX,11
CA008402450,2007-12-10,TMIN,-80
CA008402450,2015-06-26,TMAX,123
CA008402450,2010-06-21,TMIN,77
CA008402450,2014-04-20,TMIN,-18
CA008402450,2006-07-11,TMIN,137
CA008402450,2008-08-23,TMIN,110
CA008402450,2007-07-20,TMAX,170
CA008402450,2007-03-23,TMIN,-53
CA008402450,2005-02-24,TMAX,3
CA008402450,2013-06-04,TMAX,111
CA008402450,2015-10-03,TMAX,104
CA008402450,2007-05-10,TMAX,163
CA008402450,2008-05-01,TMIN,43
CA008402450,2005-07-02,TMAX,142
CA008402450,2014-06-22,TMAX,143
CA008402450,2014-05-30,TMAX,150
CA008402450,2006-08-24,TMAX,202
CA008402450,2006-04-28,TMAX,86
CA008402450,2006-04-28,TMIN,-15
CA008402450,2014-06-05,TMIN,84
CA008402450,2013-10-19,TMIN,93
CA008402450,2015-08-06,TMAX,198
CA008402450,2014-10-20,TMIN,75
CA008402450,2010-10-27,TMIN,14
CA008402450,2009-12-20,TMIN,-54
CA008402450,2010-10-27,TMAX,75
CA008402450,2010-04-25,TMAX,101
CA008402450,2010-05-20,TMAX,110
CA008402450,2010-05-20,TMIN,52
CA008402450,2014-06-22,TMIN,38
CA008402450,2008-05-01,TMAX,76
CA008402450,2006-12-14,TMAX,59
CA008402450,2005-07-04,TMAX,184
CA008402450,2015-07-08,TMAX,131
CA008402450,2015-07-08,TMIN,107
CA008402450,2008-08-23,TMAX,204
CA008402450,2005-01-21,TMAX,12
CA008402450,2014-04-16,TMIN,5
CA008402450,2007-12-29,TMIN,-61
CA008402450,2014-04-16,TMAX,63
CA008402450,2010-08-21,TMAX,206
CA008402450,2007-07-08,TMAX,180
CA008402450,2010-06-21,TMAX,154
CA008402450,2006-06-12,TMAX,123
CA008402450,2005-07-04,TMIN,81
CA008402450,2014-05-30,TMIN,38
CA008402450,2014-06-05,TMAX,121
CA008402450,2006-06-12,TMIN,87
CA008402450,2008-07-04,TMIN,110
CA008402450,2005-06-20,TMIN,46
CA008402450,2007-12-10,TMAX,-3
CA008402450,2007-01-13,TMAX,12
CA008402450,2008-06-24,TMIN,102
CA008402450,2007-01-13,TMIN,-28
CA008402450,2015-12-15,TMAX,4
CA008402450,2013-07-11,TMIN,97
CA008402450,2007-12-04,TMAX,35
CA008402450,2005-01-08,TMAX,-3
CA008402450,2013-10-02,TMAX,162
CA008402450,2010-07-06,TMAX,183
CA008402450,2015-02-15,TMIN,-124
CA008402450,2008-06-30,TMIN,86
CA008402450,2013-10-02,TMIN,113
CA008402450,2010-07-06,TMIN,100
CA008402450,2005-07-03,TMAX,184
CA008402450,2008-06-30,TMAX,112
CA008402450,2008-06-11,TMIN,70
CA008402450,2005-01-03,TMIN,-115
CA008402450,2009-02-13,TMIN,-54
CA008402450,2006-09-11,TMIN,68
CA008402450,2013-07-25,TMAX,208
CA008402450,2014-04-02,TMIN,-34
CA008402450,2013-05-20,TMIN,-7
CA008402450,2009-11-26,TMIN,39
CA008402450,2014-04-02,TMAX,20
CA008402450,2009-11-26,TMAX,87
CA008402450,2013-07-25,TMIN,137
CA008402450,2006-09-11,TMAX,171
CA008402450,2013-07-11,TMAX,175
CA008402450,2008-06-11,TMAX,133
CA008402450,2015-10-15,TMIN,92
CA008402450,2009-03-05,TMIN,-104
CA008402450,2014-06-27,TMIN,102
CA008402450,2015-03-08,TMAX,-38
CA008402450,2014-06-27,TMAX,223
CA008402450,2005-01-03,TMAX,16
CA008402450,2013-05-20,TMAX,84
CA008402450,2005-05-22,TMAX,123
CA008402450,2014-02-28,TMAX,-15
CA008402450,2009-09-21,TMAX,160
CA008402450,2007-12-04,TMIN,-29
CA008402450,2011-11-07,TMIN,14
CA008402450,2013-08-15,TMAX,195
CA008402450,2013-12-14,TMIN,-105
CA008402450,2009-12-15,TMAX,30
CA008402450,2006-11-03,TMAX,100
CA008402450,2015-11-20,TMAX,40
CA008402450,2006-11-03,TMIN,36
CA008402450,2013-05-26,TMAX,106
CA008402450,2013-07-14,TMIN,128
CA008402450,2013-07-14,TMAX,229
CA008402450,2009-07-04,TMIN,114
CA008402450,2013-05-26,TMIN,77
CA008402450,2009-05-23,TMIN,27
CA008402450,2005-06-20,TMAX,112
CA008402450,2013-12-14,TMAX,-77
CA008402450,2013-08-15,TMIN,153
CA008402450,2015-11-20,TMIN,-16
CA008402450,2015-06-15,TMAX,142
CA008402450,2005-01-08,TMIN,-43
CA008402450,2005-01-21,TMIN,-88
CA008402450,2014-06-28,TMAX,223
CA008402450,2015-06-15,TMIN,52
CA008402450,2009-12-15,TMIN,-17
CA008402450,2011-11-07,TMAX,77
CA008402450,2005-03-27,TMIN,-105
CA008402450,2014-02-28,TMIN,-142
CA008402450,2005-03-27,TMAX,-9
CA008402450,2014-09-07,TMIN,131
CA008402450,2009-05-02,TMIN,-22
CA008402450,2009-05-02,TMAX,56
CA008402450,2008-07-21,TMIN,110
CA008402450,2008-01-17,TMIN,-50
CA008402450,2008-01-17,TMAX,0
CA008402450,2008-07-21,TMAX,204
CA008402450,2008-10-21,TMAX,106
CA008402450,2009-11-25,TMAX,71
CA008402450,2009-02-02,TMIN,-64
CA008402450,2014-05-02,TMIN,3
CA008402450,2005-07-03,TMIN,104
CA008402450,2010-07-30,TMAX,196
CA008402450,2010-01-29,TMAX,59
CA008402450,2014-08-27,TMIN,155
CA008402450,2011-10-23,TMIN,75
CA008402450,2006-07-25,TMAX,205
CA008402450,2006-07-25,TMIN,149
CA008402450,2010-01-29,TMIN,-38
CA008402450,2015-02-14,TMIN,-107
CA008402450,2010-10-01,TMAX,187
CA008402450,2013-06-12,TMIN,73
CA008402450,2010-02-01,TMAX,-57
CA008402450,2010-02-01,TMIN,-92
CA008402450,2007-05-21,TMAX,89
CA008402450,2009-08-10,TMAX,202
CA008402450,2015-01-08,TMAX,-63
CA008402450,2006-04-29,TMAX,86
CA008402450,2014-03-30,TMIN,-60
CA008402450,2008-11-23,TMAX,95
CA008402450,2014-03-30,TMAX,6
CA008402450,2013-06-12,TMAX,164
CA008402450,2015-07-20,TMIN,107
CA008402450,2013-11-19,TMIN,65
CA008402450,2013-11-19,TMAX,93
CA008402450,2010-05-07,TMIN,21
CA008402450,2008-01-12,TMAX,29
CA008402450,2008-01-12,TMIN,-37
CA008402450,2009-04-11,TMAX,42
CA008402450,2013-05-01,TMIN,58
CA008402450,2009-05-24,TMIN,-1
CA008402450,2010-06-17,TMIN,66
CA008402450,2010-05-07,TMAX,83
CA008402450,2010-06-17,TMAX,152
CA008402450,2007-10-12,TMIN,55
CA008402450,2013-05-01,TMAX,145
CA008402450,2006-04-17,TMAX,101
CA008402450,2008-10-19,TMIN,13
CA008402450,2013-06-09,TMIN,61
CA008402450,2006-04-17,TMIN,25
CA008402450,2015-01-08,TMIN,-124
CA008402450,2010-09-30,TMIN,131
CA008402450,2007-09-13,TMIN,119
CA008402450,2010-09-30,TMAX,174
CA008402450,2015-07-20,TMAX,129
CA008402450,2007-09-12,TMIN,115
CA008402450,2013-06-09,TMAX,144
CA008402450,2013-06-25,TMIN,100
CA008402450,2005-04-02,TMIN,-27
CA008402450,2005-07-06,TMIN,97
CA008402450,2008-08-21,TMIN,118
CA008402450,2014-12-09,TMIN,-107
CA008402450,2009-06-26,TMIN,116
CA008402450,2013-11-13,TMAX,75
CA008402450,2011-07-12,TMIN,106
CA008402450,2013-06-25,TMAX,144
CA008402450,2005-10-09,TMAX,151
CA008402450,2007-12-25,TMAX,57
CA008402450,2009-09-11,TMAX,160
CA008402450,2008-03-10,TMAX,14
CA008402450,2013-11-13,TMIN,-3
CA008402450,2010-10-16,TMIN,26
CA008402450,2015-03-08,TMIN,-103
CA008402450,2007-12-25,TMIN,-22
CA008402450,2005-02-17,TMAX,11
CA008402450,2010-01-14,TMAX,15
CA008402450,2005-10-09,TMIN,61
CA008402450,2005-05-02,TMAX,87
CA008402450,2010-10-16,TMAX,105
CA008402450,2013-06-08,TMAX,154
CA008402450,2005-01-30,TMIN,-142
CA008402450,2006-12-28,TMAX,6
CA008402450,2014-12-09,TMAX,-7
CA008402450,2015-02-14,TMAX,-44
CA008402450,2009-03-03,TMIN,-21
CA008402450,2013-05-31,TMAX,125
CA008402450,2015-10-14,TMAX,152
CA008402450,2013-05-31,TMIN,51
CA008402450,2007-10-12,TMAX,97
CA008402450,2008-11-23,TMIN,-11
CA008402450,2008-03-13,TMAX,-6
CA008402450,2008-03-13,TMIN,-37
CA008402450,2008-08-21,TMAX,192
CA008402450,2015-10-14,TMIN,89
CA008402450,2014-08-27,TMAX,235
CA008402450,2009-05-24,TMAX,84
CA008402450,2009-06-26,TMAX,161
CA008402450,2015-08-24,TMAX,226
CA008402450,2009-12-16,TMAX,42
CA008402450,2015-08-24,TMIN,171
CA008402450,2005-04-02,TMAX,41
CA008402450,2010-07-30,TMIN,140
CA008402450,2009-12-16,TMIN,-14
CA008402450,2011-07-12,TMAX,177
CA008402450,2008-03-10,TMIN,-85
CA008402450,2011-10-23,TMAX,130
CA008402450,2005-04-28,TMIN,-14
CA008402450,2014-12-18,TMAX,48
CA008402450,2007-03-12,TMAX,20
CA008402450,2009-12-29,TMAX,45
CA008402450,2015-01-29,TMAX,21
CA008402450,2015-01-29,TMIN,-47
CA008402450,2008-06-06,TMIN,35
CA008402450,2014-02-11,TMAX,-96
CA008402450,2008-06-06,TMAX,154
CA008402450,2009-12-29,TMIN,-3
CA008402450,2009-10-19,TMIN,22
CA008402450,2006-12-10,TMAX,41
CA008402450,2015-08-04,TMAX,226
CA008402450,2010-09-13,TMIN,55
CA008402450,2009-10-19,TMAX,76
CA008402450,2014-05-04,TMAX,56
CA008402450,2011-07-24,TMAX,169
CA008402450,2009-01-08,TMAX,45
CA008402450,2010-03-22,TMIN,-72
CA008402450,2014-02-11,TMIN,-145
CA008402450,2009-10-04,TMAX,131
CA008402450,2015-06-04,TMAX,149
CA008402450,2009-01-03,TMAX,7
CA008402450,2014-06-21,TMAX,129
CA008402450,2014-12-07,TMIN,-41
CA008402450,2014-12-07,TMAX,46
CA008402450,2011-07-24,TMIN,120
