ID,Date,Element,Data_Value
TS000060765,2011-10-21,TMIN,159
TS000060765,2007-04-28,TMIN,172
TS000060765,2008-09-26,TMAX,296
TS000060765,2010-09-08,TMIN,262
TS000060765,2006-11-21,TMAX,224
TS000060765,2008-02-25,TMAX,192
TS000060765,2006-11-06,TMIN,117
TS000060765,2007-03-09,TMAX,166
TS000060765,2007-10-13,TMAX,308
TS000060765,2012-09-12,TMAX,402
TS000060765,2007-06-22,TMIN,239
TS000060765,2007-07-03,TMAX,299
TS000060765,2006-12-07,TMAX,175
TS000060765,2006-09-26,TMIN,244
TS000060765,2007-08-02,TMAX,308
TS000060765,2005-12-10,TMIN,80
TS000060765,2006-11-21,TMIN,104
TS000060765,2006-10-20,TMAX,271
TS000060765,2009-04-13,TMAX,227
TS000060765,2007-03-16,TMAX,192
TS000060765,2011-12-06,TMAX,221
TS000060765,2009-01-03,TMAX,200
TS000060765,2012-02-09,TMAX,143
TS000060765,2008-02-19,TMAX,190
TS000060765,2008-04-04,TMAX,210
TS000060765,2006-10-20,TMIN,182
TS000060765,2007-03-30,TMAX,222
TS000060765,2007-12-19,TMAX,158
TS000060765,2006-09-01,TMAX,295
TS000060765,2007-02-17,TMIN,66
TS000060765,2006-04-01,TMAX,342
TS000060765,2006-04-01,TMIN,111
TS000060765,2006-06-04,TMIN,173
TS000060765,2005-12-31,TMAX,155
TS000060765,2009-01-27,TMAX,148
TS000060765,2011-12-30,TMAX,171
TS000060765,2006-08-19,TMIN,280
TS000060765,2011-11-23,TMAX,220
TS000060765,2006-12-25,TMIN,80
TS000060765,2006-10-14,TMIN,213
TS000060765,2007-11-19,TMIN,71
TS000060765,2009-11-07,TMAX,219
TS000060765,2006-01-21,TMAX,161
TS000060765,2006-04-24,TMAX,226
TS000060765,2005-10-22,TMAX,266
TS000060765,2005-12-10,TMAX,144
TS000060765,2006-09-12,TMIN,208
TS000060765,2007-11-04,TMAX,224
TS000060765,2007-06-17,TMIN,234
TS000060765,2006-11-27,TMIN,120
TS000060765,2012-11-15,TMAX,203
TS000060765,2005-05-08,TMIN,134
TS000060765,2007-09-15,TMIN,258
TS000060765,2005-12-21,TMAX,150
TS000060765,2006-04-13,TMIN,147
TS000060765,2008-11-15,TMAX,191
TS000060765,2006-12-13,TMAX,200
TS000060765,2007-03-16,TMIN,82
TS000060765,2006-04-23,TMIN,147
TS000060765,2006-09-26,TMAX,285
TS000060765,2006-09-01,TMIN,250
TS000060765,2012-12-22,TMAX,211
TS000060765,2011-11-05,TMAX,306
TS000060765,2009-11-11,TMAX,219
TS000060765,2007-07-06,TMIN,238
TS000060765,2008-08-19,TMAX,337
TS000060765,2007-06-22,TMAX,300
TS000060765,2006-04-28,TMAX,275
