ID,Date,Element,Data_Value
BRM00082562,2014-01-21,TMIN,216
BRM00082562,2006-02-25,TMIN,234
BRM00082562,2015-10-06,TMIN,260
BRM00082562,2013-05-09,TMIN,226
BRM00082562,2014-05-18,TMIN,220
BRM00082562,2006-04-09,TMAX,303
BRM00082562,2005-01-10,TMAX,338
BRM00082562,2006-04-28,TMAX,333
BRM00082562,2013-09-02,TMIN,228
BRM00082562,2005-12-11,TMAX,336
BRM00082562,2005-05-22,TMAX,349
BRM00082562,2013-12-12,TMIN,234
BRM00082562,2014-03-14,TMIN,227
BRM00082562,2006-05-27,TMAX,340
BRM00082562,2014-03-11,TMIN,236
BRM00082562,2006-02-17,TMAX,353
BRM00082562,2005-01-02,TMAX,323
BRM00082562,2014-01-08,TMIN,226
BRM00082562,2006-07-14,TMAX,353
BRM00082562,2005-10-22,TMIN,236
BRM00082562,2005-09-25,TMAX,365
BRM00082562,2005-04-24,TMAX,361
BRM00082562,2013-07-24,TMIN,220
BRM00082562,2015-10-22,TMIN,254
BRM00082562,2006-02-25,TMAX,335
BRM00082562,2013-07-21,TMIN,230
BRM00082562,2005-05-23,TMAX,353
BRM00082562,2015-10-15,TMAX,366
BRM00082562,2006-05-20,TMAX,333
BRM00082562,2006-06-09,TMAX,346
BRM00082562,2014-05-17,TMIN,234
BRM00082562,2013-07-29,TMIN,228
BRM00082562,2005-06-04,TMAX,357
BRM00082562,2006-03-10,TMIN,240
BRM00082562,2014-05-31,TMIN,240
BRM00082562,2015-11-15,TMAX,355
BRM00082562,2006-02-17,TMIN,224
BRM00082562,2015-09-08,TMIN,240
BRM00082562,2006-04-28,TMIN,245
BRM00082562,2005-07-15,TMAX,366
BRM00082562,2014-03-05,TMIN,227
BRM00082562,2005-02-21,TMIN,240
BRM00082562,2006-06-13,TMAX,340
BRM00082562,2005-02-22,TMAX,344
BRM00082562,2005-12-13,TMIN,238
BRM00082562,2005-06-11,TMAX,358
BRM00082562,2005-01-13,TMIN,243
BRM00082562,2006-01-04,TMIN,226
BRM00082562,2006-06-19,TMAX,343
BRM00082562,2006-06-01,TMAX,334
BRM00082562,2005-09-30,TMIN,234
BRM00082562,2006-01-04,TMAX,319
BRM00082562,2005-09-30,TMAX,323
BRM00082562,2013-08-28,TMIN,240
BRM00082562,2006-10-05,TMAX,354
BRM00082562,2013-11-25,TMIN,225
BRM00082562,2006-03-18,TMAX,325
BRM00082562,2014-03-18,TMIN,237
BRM00082562,2006-03-07,TMIN,234
BRM00082562,2013-12-20,TMIN,229
BRM00082562,2006-03-04,TMIN,244
BRM00082562,2006-03-04,TMAX,327
BRM00082562,2014-03-13,TMIN,224
BRM00082562,2006-05-02,TMIN,240
BRM00082562,2005-07-18,TMAX,369
BRM00082562,2006-04-22,TMIN,234
BRM00082562,2014-04-16,TMIN,222
BRM00082562,2014-02-02,TMIN,220
BRM00082562,2013-09-25,TMIN,235
BRM00082562,2005-10-02,TMAX,357
BRM00082562,2005-10-09,TMAX,365
BRM00082562,2006-04-12,TMIN,229
BRM00082562,2006-04-29,TMAX,332
BRM00082562,2006-03-07,TMAX,337
BRM00082562,2013-05-01,TMIN,228
BRM00082562,2005-05-24,TMIN,229
BRM00082562,2006-04-29,TMIN,239
BRM00082562,2013-05-21,TMIN,235
BRM00082562,2005-04-06,TMAX,341
BRM00082562,2015-10-24,TMAX,359
BRM00082562,2006-10-05,TMIN,257
BRM00082562,2005-01-30,TMAX,337
BRM00082562,2015-11-01,TMIN,238
BRM00082562,2014-03-07,TMIN,226
BRM00082562,2006-01-15,TMIN,238
BRM00082562,2005-03-31,TMAX,325
BRM00082562,2005-08-03,TMAX,376
BRM00082562,2014-04-29,TMIN,224
BRM00082562,2013-06-04,TMIN,230
BRM00082562,2006-01-15,TMAX,339
BRM00082562,2006-05-12,TMAX,327
BRM00082562,2014-02-08,TMIN,206
BRM00082562,2006-03-10,TMAX,319
BRM00082562,2005-02-25,TMAX,345
BRM00082562,2014-01-09,TMIN,219
BRM00082562,2005-03-06,TMAX,354
BRM00082562,2006-07-23,TMAX,355
BRM00082562,2013-06-15,TMIN,238
BRM00082562,2005-02-14,TMIN,230
BRM00082562,2013-09-18,TMIN,236
BRM00082562,2006-04-12,TMAX,325
BRM00082562,2005-11-21,TMAX,348
BRM00082562,2005-07-25,TMAX,371
BRM00082562,2005-02-25,TMIN,240
BRM00082562,2006-10-07,TMIN,250
BRM00082562,2013-11-28,TMIN,228
BRM00082562,2005-03-31,TMIN,234
BRM00082562,2013-08-27,TMIN,237
BRM00082562,2005-01-20,TMAX,336
BRM00082562,2014-02-16,TMIN,216
BRM00082562,2006-01-11,TMAX,329
BRM00082562,2005-10-18,TMAX,339
BRM00082562,2005-05-25,TMAX,336
BRM00082562,2013-06-07,TMIN,224
BRM00082562,2006-05-20,TMIN,234
BRM00082562,2005-08-19,TMAX,373
BRM00082562,2013-05-08,TMIN,235
BRM00082562,2013-12-29,TMIN,234
BRM00082562,2013-05-03,TMIN,224
BRM00082562,2005-03-14,TMIN,246
BRM00082562,2005-09-02,TMAX,372
BRM00082562,2005-07-27,TMAX,382
BRM00082562,2005-04-17,TMAX,355
BRM00082562,2006-03-08,TMAX,332
BRM00082562,2005-06-26,TMAX,369
BRM00082562,2006-05-19,TMAX,330
BRM00082562,2005-07-20,TMAX,379
BRM00082562,2005-09-07,TMAX,376
BRM00082562,2006-09-16,TMAX,370
BRM00082562,2014-01-02,TMIN,232
BRM00082562,2005-03-19,TMIN,236
BRM00082562,2006-06-06,TMAX,328
BRM00082562,2014-05-23,TMIN,220
BRM00082562,2006-04-22,TMAX,329
BRM00082562,2005-10-20,TMAX,348
BRM00082562,2006-06-05,TMAX,330
BRM00082562,2014-04-22,TMIN,230
BRM00082562,2005-09-08,TMIN,240
BRM00082562,2014-02-03,TMIN,229
BRM00082562,2013-09-19,TMIN,240
BRM00082562,2014-02-17,TMIN,222
BRM00082562,2006-08-18,TMAX,373
BRM00082562,2005-12-04,TMAX,344
BRM00082562,2014-05-10,TMIN,235
BRM00082562,2006-03-06,TMAX,344
BRM00082562,2015-10-31,TMAX,369
BRM00082562,2005-03-16,TMAX,332
BRM00082562,2006-03-29,TMIN,228
BRM00082562,2006-04-16,TMAX,306
BRM00082562,2015-12-21,TMAX,331
BRM00082562,2005-06-24,TMAX,363
BRM00082562,2005-03-16,TMIN,238
BRM00082562,2013-11-30,TMIN,240
BRM00082562,2005-03-15,TMAX,335
BRM00082562,2013-06-19,TMIN,219
BRM00082562,2015-11-24,TMAX,337
BRM00082562,2005-09-20,TMAX,363
BRM00082562,2005-04-21,TMAX,347
BRM00082562,2005-06-03,TMAX,359
BRM00082562,2005-07-21,TMAX,381
BRM00082562,2006-07-11,TMAX,360
BRM00082562,2005-08-22,TMAX,367
BRM00082562,2006-04-24,TMAX,342
BRM00082562,2014-03-28,TMIN,223
BRM00082562,2006-10-10,TMIN,232
BRM00082562,2014-01-07,TMIN,214
BRM00082562,2005-10-03,TMAX,356
BRM00082562,2014-03-22,TMIN,233
BRM00082562,2006-01-08,TMAX,329
BRM00082562,2006-01-08,TMIN,228
BRM00082562,2014-04-10,TMIN,228
BRM00082562,2014-01-16,TMIN,216
BRM00082562,2005-08-28,TMIN,240
BRM00082562,2005-09-06,TMAX,343
BRM00082562,2005-10-27,TMAX,362
BRM00082562,2005-12-14,TMAX,340
BRM00082562,2005-10-27,TMIN,252
BRM00082562,2005-08-28,TMAX,361
BRM00082562,2005-04-09,TMAX,363
BRM00082562,2013-09-12,TMIN,231
BRM00082562,2005-05-20,TMAX,349
BRM00082562,2014-05-01,TMIN,235
BRM00082562,2014-02-18,TMIN,216
BRM00082562,2013-11-21,TMIN,224
BRM00082562,2013-08-31,TMIN,225
BRM00082562,2014-05-25,TMIN,223
BRM00082562,2005-06-13,TMAX,365
BRM00082562,2006-04-24,TMIN,240
BRM00082562,2013-12-13,TMIN,236
BRM00082562,2013-09-20,TMIN,228
BRM00082562,2005-09-12,TMAX,382
BRM00082562,2014-04-04,TMIN,235
BRM00082562,2015-11-02,TMAX,343
BRM00082562,2013-11-14,TMIN,234
BRM00082562,2006-04-04,TMAX,339
BRM00082562,2015-10-20,TMAX,367
BRM00082562,2015-12-23,TMIN,236
BRM00082562,2014-01-06,TMIN,235
BRM00082562,2006-09-30,TMAX,346
BRM00082562,2006-04-14,TMAX,345
BRM00082562,2015-09-03,TMIN,247
BRM00082562,2013-09-03,TMIN,238
BRM00082562,2013-05-02,TMIN,234
BRM00082562,2013-07-26,TMIN,234
BRM00082562,2013-11-24,TMIN,230
BRM00082562,2005-11-09,TMAX,353
BRM00082562,2006-03-06,TMIN,236
BRM00082562,2005-12-09,TMAX,319
BRM00082562,2013-08-23,TMIN,229
BRM00082562,2014-05-07,TMIN,232
