ID,Date,Element,Data_Value
KZ000028766,2011-11-20,TMIN,-175
KZ000028766,2011-05-16,TMAX,176
KZ000028766,2010-06-17,TMAX,355
KZ000028766,2010-09-02,TMAX,159
KZ000028766,2012-09-18,TMIN,80
KZ000028766,2008-10-05,TMIN,38
KZ000028766,2013-06-06,TMIN,130
KZ000028766,2009-03-09,TMIN,-216
KZ000028766,2007-04-01,TMIN,-114
KZ000028766,2015-06-27,TMAX,261
KZ000028766,2013-06-23,TMAX,293
KZ000028766,2013-03-15,TMIN,-156
KZ000028766,2010-08-02,TMIN,104
KZ000028766,2007-12-29,TMAX,-78
KZ000028766,2010-02-03,TMIN,-240
KZ000028766,2006-10-27,TMAX,123
KZ000028766,2013-03-08,TMAX,-32
KZ000028766,2006-10-27,TMIN,25
KZ000028766,2015-11-05,TMAX,5
KZ000028766,2006-09-11,TMIN,111
KZ000028766,2014-02-12,TMAX,-196
KZ000028766,2009-06-23,TMIN,113
KZ000028766,2005-11-23,TMAX,-66
KZ000028766,2008-06-14,TMAX,295
KZ000028766,2010-06-03,TMIN,129
KZ000028766,2005-12-22,TMIN,-168
KZ000028766,2008-05-03,TMAX,71
KZ000028766,2006-05-17,TMAX,232
KZ000028766,2011-08-10,TMAX,273
KZ000028766,2013-03-08,TMIN,-191
KZ000028766,2015-04-22,TMIN,1
KZ000028766,2009-09-21,TMAX,105
KZ000028766,2008-06-14,TMIN,141
KZ000028766,2007-10-16,TMAX,183
KZ000028766,2011-04-13,TMIN,42
KZ000028766,2011-12-19,TMAX,-184
KZ000028766,2011-12-19,TMIN,-264
KZ000028766,2010-06-03,TMAX,271
KZ000028766,2008-03-15,TMIN,-104
KZ000028766,2009-08-30,TMAX,173
KZ000028766,2011-05-01,TMAX,222
KZ000028766,2013-04-01,TMIN,-147
KZ000028766,2014-09-05,TMAX,161
KZ000028766,2014-01-18,TMAX,-48
KZ000028766,2008-11-04,TMAX,70
KZ000028766,2008-03-15,TMAX,-1
KZ000028766,2011-08-10,TMIN,120
KZ000028766,2008-05-03,TMIN,3
KZ000028766,2013-04-01,TMAX,-16
KZ000028766,2014-10-24,TMAX,-44
KZ000028766,2014-09-05,TMIN,110
KZ000028766,2015-06-27,TMIN,147
KZ000028766,2015-10-12,TMIN,-51
KZ000028766,2012-12-08,TMAX,-126
KZ000028766,2015-09-17,TMAX,153
KZ000028766,2012-12-29,TMAX,-79
KZ000028766,2008-12-17,TMAX,-72
KZ000028766,2006-07-02,TMAX,307
KZ000028766,2014-11-22,TMIN,-31
KZ000028766,2005-11-23,TMIN,-104
KZ000028766,2011-09-19,TMIN,101
KZ000028766,2015-09-17,TMIN,43
KZ000028766,2014-11-08,TMAX,-134
KZ000028766,2006-07-02,TMIN,197
KZ000028766,2013-03-15,TMAX,-59
KZ000028766,2008-10-05,TMAX,201
KZ000028766,2011-09-19,TMAX,214
KZ000028766,2013-06-23,TMIN,173
KZ000028766,2013-01-15,TMAX,-160
KZ000028766,2010-06-17,TMIN,186
KZ000028766,2009-10-13,TMAX,77
KZ000028766,2010-01-23,TMIN,-244
KZ000028766,2006-09-11,TMAX,246
KZ000028766,2010-01-05,TMIN,-198
KZ000028766,2015-04-03,TMIN,-143
KZ000028766,2008-03-19,TMAX,-20
KZ000028766,2014-04-18,TMAX,152
KZ000028766,2009-08-15,TMAX,255
KZ000028766,2010-09-06,TMAX,258
KZ000028766,2007-02-21,TMAX,-52
KZ000028766,2012-03-10,TMAX,-87
KZ000028766,2008-05-08,TMAX,195
KZ000028766,2012-03-10,TMIN,-153
KZ000028766,2015-10-12,TMAX,50
KZ000028766,2008-12-17,TMIN,-154
KZ000028766,2009-10-13,TMIN,-63
KZ000028766,2006-07-03,TMAX,241
KZ000028766,2005-07-20,TMAX,280
KZ000028766,2005-09-28,TMIN,1
KZ000028766,2009-02-28,TMIN,-210
KZ000028766,2010-04-16,TMIN,-24
KZ000028766,2010-02-06,TMAX,-267
