ID,Date,Element,Data_Value
BLM00085175,2006-12-22,TMAX,297
BLM00085175,2008-09-01,TMAX,355
BLM00085175,2007-03-01,TMIN,229
BLM00085175,2006-10-19,TMIN,233
BLM00085175,2006-06-02,TMIN,197
BLM00085175,2011-05-29,TMAX,310
BLM00085175,2006-12-22,TMIN,230
BLM00085175,2007-07-15,TMAX,257
BLM00085175,2007-09-19,TMAX,345
BLM00085175,2008-02-21,TMIN,220
BLM00085175,2006-04-24,TMAX,327
BLM00085175,2013-06-23,TMAX,290
BLM00085175,2008-07-30,TMAX,290
BLM00085175,2005-06-15,TMIN,177
BLM00085175,2008-09-10,TMIN,213
BLM00085175,2006-10-17,TMAX,295
BLM00085175,2006-04-24,TMIN,203
BLM00085175,2008-03-25,TMIN,220
BLM00085175,2008-09-10,TMAX,371
BLM00085175,2013-12-14,TMAX,303
BLM00085175,2008-07-30,TMIN,190
BLM00085175,2008-03-25,TMAX,325
BLM00085175,2006-10-19,TMAX,316
BLM00085175,2008-10-13,TMIN,220
BLM00085175,2005-06-11,TMAX,305
BLM00085175,2009-10-17,TMIN,205
BLM00085175,2008-06-17,TMAX,275
BLM00085175,2005-01-23,TMAX,314
BLM00085175,2007-04-08,TMAX,292
BLM00085175,2012-03-29,TMAX,290
BLM00085175,2007-04-08,TMIN,232
BLM00085175,2008-06-17,TMIN,106
BLM00085175,2006-02-28,TMAX,315
BLM00085175,2008-04-10,TMIN,213
BLM00085175,2007-03-01,TMAX,317
BLM00085175,2006-02-28,TMIN,221
BLM00085175,2007-07-15,TMIN,171
BLM00085175,2006-06-02,TMAX,325
BLM00085175,2005-06-15,TMAX,303
BLM00085175,2009-10-17,TMAX,315
BLM00085175,2005-10-10,TMIN,191
BLM00085175,2005-03-02,TMIN,229
BLM00085175,2007-11-05,TMIN,191
BLM00085175,2005-05-09,TMIN,174
BLM00085175,2010-12-23,TMAX,317
BLM00085175,2007-02-10,TMIN,229
BLM00085175,2007-02-20,TMAX,300
BLM00085175,2014-02-15,TMAX,292
BLM00085175,2006-08-20,TMIN,168
BLM00085175,2008-11-12,TMAX,247
BLM00085175,2007-07-12,TMAX,250
BLM00085175,2006-11-27,TMIN,243
BLM00085175,2008-12-12,TMIN,203
BLM00085175,2008-08-03,TMIN,194
BLM00085175,2007-07-27,TMAX,262
BLM00085175,2008-12-12,TMAX,301
BLM00085175,2007-11-05,TMAX,288
BLM00085175,2006-11-04,TMAX,324
BLM00085175,2006-11-04,TMIN,235
BLM00085175,2005-11-03,TMAX,342
BLM00085175,2006-08-08,TMIN,197
BLM00085175,2005-11-03,TMIN,218
BLM00085175,2008-08-26,TMAX,370
BLM00085175,2007-07-12,TMIN,90
BLM00085175,2005-08-02,TMAX,336
BLM00085175,2007-04-05,TMIN,219
BLM00085175,2008-07-26,TMAX,315
BLM00085175,2007-02-20,TMIN,204
BLM00085175,2006-11-25,TMIN,224
BLM00085175,2006-10-28,TMIN,231
BLM00085175,2006-04-12,TMIN,219
BLM00085175,2006-04-12,TMAX,307
BLM00085175,2008-08-26,TMIN,173
BLM00085175,2008-06-11,TMIN,158
BLM00085175,2014-01-19,TMAX,320
BLM00085175,2008-07-17,TMIN,158
BLM00085175,2006-11-25,TMAX,336
BLM00085175,2008-07-17,TMAX,318
BLM00085175,2008-07-26,TMIN,146
BLM00085175,2008-04-15,TMAX,206
BLM00085175,2008-04-15,TMIN,144
BLM00085175,2008-10-13,TMAX,345
BLM00085175,2008-06-11,TMAX,237
BLM00085175,2005-03-02,TMAX,325
BLM00085175,2008-02-21,TMAX,314
BLM00085175,2005-05-09,TMAX,262
BLM00085175,2006-11-06,TMIN,242
BLM00085175,2005-04-01,TMAX,322
BLM00085175,2005-04-01,TMIN,227
BLM00085175,2006-11-06,TMAX,337
BLM00085175,2005-06-03,TMIN,206
BLM00085175,2006-01-06,TMIN,212
BLM00085175,2006-08-12,TMIN,199
BLM00085175,2006-01-06,TMAX,347
BLM00085175,2006-09-22,TMAX,305
BLM00085175,2007-03-23,TMAX,335
BLM00085175,2006-08-12,TMAX,350
BLM00085175,2007-12-13,TMIN,225
BLM00085175,2006-01-17,TMAX,305
BLM00085175,2007-02-10,TMAX,281
BLM00085175,2006-01-17,TMIN,213
BLM00085175,2005-06-03,TMAX,308
BLM00085175,2008-04-10,TMAX,330
BLM00085175,2005-03-11,TMAX,313
BLM00085175,2007-03-23,TMIN,197
BLM00085175,2008-10-31,TMAX,233
BLM00085175,2008-09-01,TMIN,156
BLM00085175,2006-09-22,TMIN,196
BLM00085175,2009-02-20,TMAX,316
BLM00085175,2006-05-12,TMIN,77
BLM00085175,2008-04-03,TMIN,196
BLM00085175,2006-11-29,TMIN,225
BLM00085175,2007-05-14,TMIN,180
BLM00085175,2014-02-23,TMAX,322
BLM00085175,2005-05-15,TMIN,220
BLM00085175,2008-11-02,TMIN,227
BLM00085175,2005-06-11,TMIN,203
BLM00085175,2006-08-08,TMAX,325
BLM00085175,2005-05-03,TMIN,163
BLM00085175,2007-05-14,TMAX,305
BLM00085175,2005-10-05,TMIN,177
BLM00085175,2013-12-28,TMAX,331
BLM00085175,2005-03-11,TMIN,219
BLM00085175,2005-05-03,TMAX,318
BLM00085175,2008-04-30,TMAX,205
BLM00085175,2008-04-30,TMIN,121
BLM00085175,2008-10-31,TMIN,195
BLM00085175,2006-10-17,TMIN,214
BLM00085175,2007-01-10,TMIN,230
BLM00085175,2007-04-07,TMAX,310
BLM00085175,2007-11-09,TMIN,226
BLM00085175,2008-07-15,TMIN,196
BLM00085175,2007-05-15,TMAX,322
BLM00085175,2005-09-26,TMAX,202
BLM00085175,2005-09-26,TMIN,177
BLM00085175,2009-01-16,TMAX,282
BLM00085175,2007-05-15,TMIN,177
BLM00085175,2014-02-03,TMAX,254
BLM00085175,2008-07-15,TMAX,323
BLM00085175,2013-06-11,TMAX,305
BLM00085175,2009-02-03,TMAX,320
BLM00085175,2007-09-22,TMAX,362
BLM00085175,2005-01-08,TMAX,324
BLM00085175,2008-02-13,TMAX,316
BLM00085175,2007-11-10,TMIN,241
BLM00085175,2008-11-28,TMIN,236
BLM00085175,2007-01-27,TMAX,309
BLM00085175,2005-05-27,TMIN,193
BLM00085175,2008-02-22,TMIN,221
BLM00085175,2008-07-07,TMIN,188
BLM00085175,2007-09-22,TMIN,209
BLM00085175,2008-06-29,TMAX,307
BLM00085175,2008-10-04,TMAX,258
BLM00085175,2010-01-07,TMAX,340
BLM00085175,2008-05-12,TMIN,143
BLM00085175,2008-05-15,TMIN,181
BLM00085175,2015-08-18,TMAX,280
BLM00085175,2007-05-30,TMIN,102
BLM00085175,2005-09-05,TMAX,335
BLM00085175,2008-05-15,TMAX,297
BLM00085175,2009-02-28,TMAX,326
BLM00085175,2005-05-28,TMAX,317
BLM00085175,2007-04-13,TMAX,313
BLM00085175,2005-01-13,TMIN,237
