ID,Date,Element,Data_Value
ASN00014627,2012-05-03,TMAX,335
ASN00014627,2005-08-16,TMAX,324
ASN00014627,2009-03-02,TMIN,250
ASN00014627,2012-02-23,TMIN,230
ASN00014627,2012-01-13,TMAX,391
ASN00014627,2011-09-24,TMAX,374
ASN00014627,2010-01-14,TMAX,342
ASN00014627,2012-07-19,TMAX,293
ASN00014627,2007-09-17,TMAX,392
ASN00014627,2007-08-20,TMAX,320
ASN00014627,2008-01-10,TMAX,354
ASN00014627,2008-02-24,TMIN,239
ASN00014627,2012-01-13,TMIN,254
ASN00014627,2014-06-11,TMIN,116
ASN00014627,2005-04-07,TMIN,192
ASN00014627,2014-05-13,TMAX,334
ASN00014627,2006-09-15,TMAX,332
ASN00014627,2010-03-13,TMIN,236
ASN00014627,2009-03-02,TMAX,350
ASN00014627,2012-07-19,TMIN,100
ASN00014627,2012-06-23,TMAX,263
ASN00014627,2009-09-05,TMAX,370
ASN00014627,2010-12-24,TMIN,246
ASN00014627,2014-06-11,TMAX,304
ASN00014627,2005-01-16,TMAX,329
ASN00014627,2010-05-29,TMIN,230
ASN00014627,2012-01-12,TMIN,246
ASN00014627,2009-09-05,TMIN,207
ASN00014627,2010-10-15,TMIN,256
ASN00014627,2005-07-22,TMAX,314
ASN00014627,2012-01-12,TMAX,389
ASN00014627,2009-06-30,TMIN,146
ASN00014627,2011-01-11,TMAX,318
ASN00014627,2006-09-15,TMIN,168
ASN00014627,2010-12-21,TMAX,330
ASN00014627,2011-01-11,TMIN,240
ASN00014627,2014-12-16,TMAX,402
ASN00014627,2012-05-03,TMIN,226
ASN00014627,2015-10-30,TMIN,260
ASN00014627,2005-11-10,TMIN,255
ASN00014627,2008-05-11,TMIN,156
ASN00014627,2010-10-18,TMIN,185
ASN00014627,2008-10-25,TMIN,208
ASN00014627,2005-07-14,TMIN,141
ASN00014627,2008-08-17,TMAX,281
ASN00014627,2008-10-25,TMAX,387
ASN00014627,2007-03-14,TMAX,332
ASN00014627,2007-03-30,TMIN,231
ASN00014627,2010-12-24,TMAX,337
ASN00014627,2009-03-12,TMIN,231
ASN00014627,2008-08-19,TMAX,299
ASN00014627,2005-07-14,TMAX,345
ASN00014627,2007-03-14,TMIN,252
ASN00014627,2007-07-12,TMIN,85
ASN00014627,2015-10-30,TMAX,409
ASN00014627,2005-09-19,TMIN,194
ASN00014627,2006-12-30,TMIN,238
ASN00014627,2008-02-24,TMAX,324
ASN00014627,2005-10-15,TMAX,373
ASN00014627,2005-01-16,TMIN,242
ASN00014627,2008-05-11,TMAX,325
ASN00014627,2006-12-30,TMAX,351
ASN00014627,2014-12-16,TMIN,264
ASN00014627,2011-01-16,TMAX,332
ASN00014627,2008-08-17,TMIN,115
ASN00014627,2012-10-11,TMIN,202
ASN00014627,2010-03-13,TMAX,346
ASN00014627,2009-03-08,TMAX,358
ASN00014627,2009-03-08,TMIN,189
ASN00014627,2007-03-30,TMAX,310
ASN00014627,2007-06-03,TMAX,315
ASN00014627,2015-02-11,TMAX,348
ASN00014627,2007-11-30,TMIN,246
ASN00014627,2007-05-26,TMIN,214
ASN00014627,2010-10-18,TMAX,338
ASN00014627,2010-12-17,TMIN,246
ASN00014627,2007-06-03,TMIN,173
ASN00014627,2007-11-30,TMAX,413
ASN00014627,2005-11-10,TMAX,393
ASN00014627,2008-01-10,TMIN,243
ASN00014627,2012-06-23,TMIN,106
ASN00014627,2007-07-12,TMAX,279
ASN00014627,2005-04-17,TMAX,357
ASN00014627,2006-02-01,TMIN,234
ASN00014627,2006-02-01,TMAX,352
ASN00014627,2007-04-21,TMAX,330
ASN00014627,2007-05-26,TMAX,345
