ID,Date,Element,Data_Value
ASN00013017,2015-08-13,TMAX,222
ASN00013017,2011-09-01,TMAX,298
ASN00013017,2012-12-29,TMAX,393
ASN00013017,2011-06-10,TMIN,37
ASN00013017,2007-08-17,TMAX,213
ASN00013017,2008-09-22,TMIN,145
ASN00013017,2012-10-23,TMIN,218
ASN00013017,2010-02-07,TMAX,367
ASN00013017,2006-05-19,TMIN,126
ASN00013017,2008-01-03,TMAX,401
ASN00013017,2008-02-19,TMAX,394
ASN00013017,2011-09-11,TMAX,230
ASN00013017,2012-08-08,TMIN,151
ASN00013017,2012-05-06,TMAX,288
ASN00013017,2012-12-29,TMIN,228
ASN00013017,2011-11-08,TMAX,362
ASN00013017,2011-11-08,TMIN,223
ASN00013017,2013-09-22,TMIN,151
ASN00013017,2006-08-18,TMAX,254
ASN00013017,2008-01-03,TMIN,252
ASN00013017,2013-08-04,TMAX,240
ASN00013017,2006-08-18,TMIN,58
ASN00013017,2014-03-22,TMAX,357
ASN00013017,2005-07-13,TMIN,85
ASN00013017,2008-11-18,TMIN,168
ASN00013017,2005-05-17,TMAX,275
ASN00013017,2005-05-06,TMIN,167
ASN00013017,2010-11-30,TMIN,146
ASN00013017,2011-06-09,TMIN,107
ASN00013017,2015-08-13,TMIN,51
ASN00013017,2006-02-15,TMIN,241
ASN00013017,2006-02-07,TMIN,238
ASN00013017,2014-05-13,TMAX,285
ASN00013017,2005-10-26,TMIN,174
ASN00013017,2008-09-22,TMAX,222
ASN00013017,2011-07-18,TMIN,98
ASN00013017,2009-10-03,TMAX,252
ASN00013017,2014-03-22,TMIN,208
ASN00013017,2008-06-09,TMIN,68
ASN00013017,2007-08-19,TMAX,211
ASN00013017,2012-10-07,TMIN,166
ASN00013017,2006-08-01,TMAX,260
ASN00013017,2006-08-01,TMIN,87
ASN00013017,2010-03-15,TMIN,200
ASN00013017,2013-02-12,TMAX,334
ASN00013017,2007-08-19,TMIN,61
ASN00013017,2010-03-15,TMAX,290
ASN00013017,2015-10-25,TMAX,383
ASN00013017,2011-09-11,TMIN,42
ASN00013017,2006-05-25,TMIN,141
ASN00013017,2006-04-23,TMIN,102
ASN00013017,2010-02-07,TMIN,247
ASN00013017,2015-06-26,TMAX,195
ASN00013017,2005-01-19,TMIN,246
ASN00013017,2012-08-21,TMIN,116
ASN00013017,2005-03-06,TMIN,206
ASN00013017,2014-09-24,TMAX,233
ASN00013017,2010-07-23,TMIN,59
ASN00013017,2011-04-20,TMAX,309
ASN00013017,2012-01-25,TMAX,370
ASN00013017,2005-08-30,TMAX,239
ASN00013017,2008-10-30,TMIN,221
ASN00013017,2009-12-01,TMIN,188
ASN00013017,2009-08-25,TMIN,98
ASN00013017,2015-12-22,TMIN,248
ASN00013017,2005-08-30,TMIN,148
ASN00013017,2010-07-02,TMAX,173
ASN00013017,2007-07-20,TMAX,210
ASN00013017,2012-04-01,TMIN,226
ASN00013017,2012-04-01,TMAX,383
ASN00013017,2008-07-02,TMAX,248
ASN00013017,2011-03-12,TMAX,344
ASN00013017,2008-10-30,TMAX,369
ASN00013017,2008-09-16,TMAX,289
ASN00013017,2010-09-19,TMAX,177
ASN00013017,2007-12-11,TMAX,184
ASN00013017,2010-02-10,TMAX,396
ASN00013017,2015-10-06,TMAX,346
ASN00013017,2008-08-26,TMIN,93
ASN00013017,2006-03-30,TMAX,289
ASN00013017,2009-12-01,TMAX,376
ASN00013017,2006-03-30,TMIN,224
ASN00013017,2009-03-20,TMIN,250
ASN00013017,2006-11-03,TMAX,326
ASN00013017,2012-08-21,TMAX,304
ASN00013017,2008-07-17,TMAX,237
ASN00013017,2008-07-17,TMIN,66
ASN00013017,2009-08-25,TMAX,263
ASN00013017,2008-06-30,TMIN,105
ASN00013017,2008-07-02,TMIN,95
ASN00013017,2010-11-30,TMAX,296
ASN00013017,2006-02-15,TMAX,394
ASN00013017,2015-07-24,TMAX,177
ASN00013017,2014-01-31,TMAX,417
ASN00013017,2010-02-05,TMAX,391
ASN00013017,2008-04-22,TMIN,244
ASN00013017,2006-05-13,TMAX,225
ASN00013017,2006-12-28,TMIN,179
ASN00013017,2008-02-19,TMIN,275
ASN00013017,2009-02-11,TMAX,346
ASN00013017,2010-07-02,TMIN,31
ASN00013017,2011-07-18,TMAX,232
ASN00013017,2008-06-09,TMAX,215
ASN00013017,2012-04-22,TMAX,222
ASN00013017,2008-04-22,TMAX,318
ASN00013017,2008-01-21,TMAX,379
ASN00013017,2011-03-12,TMIN,188
ASN00013017,2005-04-10,TMIN,223
ASN00013017,2013-09-22,TMAX,359
ASN00013017,2005-04-10,TMAX,369
ASN00013017,2011-09-01,TMIN,148
ASN00013017,2012-02-26,TMAX,379
ASN00013017,2011-09-09,TMIN,87
ASN00013017,2011-06-23,TMAX,191
ASN00013017,2005-02-18,TMIN,245
ASN00013017,2011-09-02,TMIN,145
ASN00013017,2005-11-24,TMIN,263
ASN00013017,2005-11-24,TMAX,387
ASN00013017,2006-05-19,TMAX,264
ASN00013017,2015-10-18,TMAX,389
ASN00013017,2010-02-05,TMIN,206
ASN00013017,2014-09-02,TMIN,105
ASN00013017,2011-02-26,TMAX,370
ASN00013017,2010-09-19,TMIN,65
ASN00013017,2006-05-13,TMIN,95
ASN00013017,2006-02-07,TMAX,367
ASN00013017,2009-07-06,TMAX,208
ASN00013017,2015-07-24,TMIN,125
ASN00013017,2014-05-13,TMIN,163
ASN00013017,2014-01-31,TMIN,254
ASN00013017,2011-09-09,TMAX,203
ASN00013017,2011-09-02,TMAX,306
ASN00013017,2014-04-20,TMAX,287
ASN00013017,2007-05-16,TMAX,230
ASN00013017,2015-07-26,TMAX,165
ASN00013017,2015-03-23,TMAX,311
ASN00013017,2007-05-08,TMIN,151
ASN00013017,2010-04-03,TMIN,212
ASN00013017,2006-09-30,TMAX,345
ASN00013017,2008-06-20,TMAX,171
ASN00013017,2011-11-21,TMAX,185
ASN00013017,2007-04-21,TMAX,297
ASN00013017,2005-04-29,TMAX,318
ASN00013017,2006-09-30,TMIN,197
ASN00013017,2014-07-10,TMIN,25
ASN00013017,2010-04-03,TMAX,346
ASN00013017,2009-02-22,TMIN,259
ASN00013017,2014-07-10,TMAX,172
ASN00013017,2010-11-17,TMAX,290
ASN00013017,2012-12-15,TMAX,376
ASN00013017,2009-06-03,TMAX,218
ASN00013017,2015-11-25,TMIN,265
ASN00013017,2005-11-14,TMAX,325
ASN00013017,2013-02-04,TMIN,221
ASN00013017,2010-12-23,TMAX,374
ASN00013017,2010-04-27,TMIN,152
ASN00013017,2014-10-13,TMAX,332
ASN00013017,2012-08-23,TMAX,218
ASN00013017,2009-09-10,TMIN,112
ASN00013017,2015-01-15,TMIN,192
ASN00013017,2008-06-20,TMIN,37
ASN00013017,2014-11-14,TMAX,277
ASN00013017,2008-03-04,TMIN,234
ASN00013017,2015-05-06,TMIN,74
ASN00013017,2012-09-07,TMIN,91
ASN00013017,2011-07-12,TMAX,108
ASN00013017,2010-01-07,TMIN,237
ASN00013017,2011-02-14,TMIN,231
ASN00013017,2014-11-14,TMIN,202
ASN00013017,2006-04-03,TMIN,224
ASN00013017,2009-10-14,TMAX,296
ASN00013017,2010-01-07,TMAX,323
ASN00013017,2007-09-03,TMAX,269
ASN00013017,2006-06-28,TMAX,223
ASN00013017,2013-02-04,TMAX,384
ASN00013017,2009-05-10,TMAX,247
ASN00013017,2007-02-12,TMAX,422
ASN00013017,2015-11-25,TMAX,371
ASN00013017,2011-03-27,TMIN,128
ASN00013017,2012-09-07,TMAX,218
ASN00013017,2014-03-24,TMAX,330
ASN00013017,2011-11-21,TMIN,162
ASN00013017,2010-01-20,TMAX,381
ASN00013017,2009-03-09,TMIN,146
ASN00013017,2005-09-19,TMIN,134
ASN00013017,2013-01-29,TMAX,331
ASN00013017,2008-10-27,TMIN,162
ASN00013017,2011-04-23,TMIN,149
ASN00013017,2013-01-29,TMIN,191
ASN00013017,2011-09-23,TMIN,155
ASN00013017,2011-02-14,TMAX,350
ASN00013017,2013-10-11,TMIN,152
ASN00013017,2006-03-04,TMAX,372
ASN00013017,2012-10-15,TMAX,364
ASN00013017,2013-10-11,TMAX,317
ASN00013017,2011-06-20,TMIN,79
ASN00013017,2013-11-16,TMIN,230
ASN00013017,2013-11-16,TMAX,341
ASN00013017,2007-05-08,TMAX,236
ASN00013017,2014-04-20,TMIN,161
ASN00013017,2012-12-15,TMIN,254
ASN00013017,2014-10-13,TMIN,174
ASN00013017,2012-10-13,TMAX,312
ASN00013017,2015-09-28,TMAX,289
ASN00013017,2005-11-14,TMIN,186
ASN00013017,2009-07-10,TMAX,273
ASN00013017,2006-06-28,TMIN,81
ASN00013017,2008-11-29,TMIN,174
ASN00013017,2012-10-15,TMIN,215
ASN00013017,2014-10-09,TMAX,381
ASN00013017,2012-10-04,TMAX,333
ASN00013017,2010-01-20,TMIN,240
ASN00013017,2013-01-16,TMAX,457
ASN00013017,2009-09-10,TMAX,316
ASN00013017,2009-03-25,TMAX,366
ASN00013017,2008-12-19,TMIN,213
ASN00013017,2012-04-06,TMAX,324
ASN00013017,2007-03-02,TMAX,405
ASN00013017,2009-04-12,TMAX,313
ASN00013017,2013-10-21,TMIN,200
ASN00013017,2006-12-17,TMAX,334
ASN00013017,2010-07-23,TMAX,175
ASN00013017,2014-02-09,TMAX,401
ASN00013017,2010-11-17,TMIN,127
ASN00013017,2009-07-27,TMAX,160
ASN00013017,2014-08-16,TMAX,186
ASN00013017,2011-06-20,TMAX,206
ASN00013017,2013-10-21,TMAX,288
ASN00013017,2014-08-16,TMIN,32
ASN00013017,2007-07-04,TMAX,192
ASN00013017,2014-10-28,TMAX,375
ASN00013017,2013-11-24,TMAX,353
ASN00013017,2011-06-22,TMAX,179
ASN00013017,2009-07-27,TMIN,41
ASN00013017,2015-05-01,TMAX,243
ASN00013017,2010-05-08,TMAX,245
ASN00013017,2012-01-05,TMIN,232
ASN00013017,2014-02-09,TMIN,252
ASN00013017,2005-05-17,TMIN,116
ASN00013017,2012-01-05,TMAX,379
ASN00013017,2013-08-04,TMIN,64
ASN00013017,2010-08-17,TMAX,225
ASN00013017,2012-02-14,TMIN,249
ASN00013017,2010-05-08,TMIN,90
ASN00013017,2009-04-06,TMAX,275
ASN00013017,2015-07-26,TMIN,97
ASN00013017,2014-03-31,TMIN,225
ASN00013017,2015-05-07,TMAX,236
ASN00013017,2007-03-02,TMIN,248
ASN00013017,2011-03-18,TMIN,226
ASN00013017,2012-02-14,TMAX,403
ASN00013017,2009-02-12,TMAX,353
ASN00013017,2007-04-21,TMIN,207
ASN00013017,2013-08-21,TMIN,57
ASN00013017,2013-08-21,TMAX,218
ASN00013017,2013-01-16,TMIN,282
ASN00013017,2005-08-24,TMAX,208
ASN00013017,2012-10-07,TMAX,370
ASN00013017,2007-08-17,TMIN,51
ASN00013017,2005-12-17,TMAX,346
ASN00013017,2006-10-08,TMAX,339
ASN00013017,2008-04-01,TMAX,347
ASN00013017,2014-10-21,TMIN,218
ASN00013017,2015-01-17,TMAX,404
ASN00013017,2005-12-17,TMIN,192
ASN00013017,2009-03-25,TMIN,196
ASN00013017,2012-08-23,TMIN,74
ASN00013017,2008-03-04,TMAX,380
ASN00013017,2007-09-03,TMIN,115
ASN00013017,2005-08-24,TMIN,125
