ID,Date,Element,Data_Value
ASN00014612,2008-06-14,TMIN,150
ASN00014612,2008-04-10,TMIN,183
ASN00014612,2006-08-28,TMIN,140
ASN00014612,2011-01-06,TMIN,239
ASN00014612,2005-09-04,TMIN,165
ASN00014612,2010-08-04,TMAX,250
ASN00014612,2006-04-13,TMIN,229
ASN00014612,2009-08-19,TMAX,333
ASN00014612,2007-07-27,TMAX,316
ASN00014612,2006-05-26,TMIN,114
ASN00014612,2005-09-04,TMAX,346
ASN00014612,2007-09-28,TMIN,216
ASN00014612,2011-07-08,TMAX,290
ASN00014612,2007-07-13,TMAX,289
ASN00014612,2008-08-18,TMAX,266
ASN00014612,2011-07-09,TMIN,130
ASN00014612,2012-01-26,TMAX,270
ASN00014612,2011-12-04,TMAX,336
ASN00014612,2005-07-11,TMIN,122
ASN00014612,2009-08-19,TMIN,133
ASN00014612,2008-08-18,TMIN,130
ASN00014612,2009-04-08,TMAX,352
ASN00014612,2007-11-16,TMIN,261
ASN00014612,2007-01-25,TMAX,350
ASN00014612,2005-02-03,TMIN,248
ASN00014612,2007-10-18,TMAX,387
ASN00014612,2011-07-09,TMAX,275
ASN00014612,2007-11-09,TMAX,390
ASN00014612,2008-03-21,TMAX,356
ASN00014612,2011-01-11,TMAX,303
ASN00014612,2010-07-05,TMIN,189
ASN00014612,2007-01-25,TMIN,235
ASN00014612,2007-07-27,TMIN,135
ASN00014612,2011-04-19,TMAX,300
ASN00014612,2006-03-19,TMAX,260
ASN00014612,2006-04-02,TMAX,338
ASN00014612,2007-01-16,TMIN,240
ASN00014612,2008-06-14,TMAX,304
ASN00014612,2009-07-04,TMIN,111
ASN00014612,2007-10-15,TMAX,366
ASN00014612,2011-11-18,TMAX,340
ASN00014612,2010-01-23,TMAX,350
ASN00014612,2006-05-31,TMIN,60
ASN00014612,2005-06-28,TMIN,114
ASN00014612,2011-01-11,TMIN,235
ASN00014612,2008-04-19,TMIN,165
ASN00014612,2008-03-21,TMIN,230
ASN00014612,2006-09-26,TMAX,370
ASN00014612,2012-01-06,TMAX,366
ASN00014612,2008-06-21,TMAX,252
ASN00014612,2006-04-03,TMAX,336
ASN00014612,2005-03-24,TMAX,353
ASN00014612,2006-09-26,TMIN,175
ASN00014612,2005-11-26,TMIN,244
ASN00014612,2009-04-08,TMIN,216
ASN00014612,2005-07-27,TMAX,301
ASN00014612,2012-02-01,TMIN,240
ASN00014612,2007-03-05,TMIN,240
ASN00014612,2005-11-26,TMAX,400
ASN00014612,2006-04-03,TMIN,244
ASN00014612,2008-06-21,TMIN,150
ASN00014612,2011-08-21,TMAX,300
ASN00014612,2006-06-10,TMAX,275
ASN00014612,2006-12-13,TMIN,262
ASN00014612,2007-09-23,TMIN,182
ASN00014612,2009-06-16,TMIN,130
ASN00014612,2006-12-13,TMAX,394
ASN00014612,2005-06-17,TMAX,329
ASN00014612,2011-02-23,TMAX,340
ASN00014612,2011-09-30,TMAX,365
ASN00014612,2008-01-30,TMAX,380
ASN00014612,2011-02-28,TMIN,240
ASN00014612,2005-04-18,TMIN,180
ASN00014612,2011-02-28,TMAX,320
ASN00014612,2005-11-06,TMIN,284
ASN00014612,2006-05-31,TMAX,283
ASN00014612,2005-03-16,TMIN,230
ASN00014612,2008-09-22,TMAX,360
ASN00014612,2011-12-24,TMAX,356
ASN00014612,2009-08-24,TMIN,150
ASN00014612,2010-11-15,TMIN,246
ASN00014612,2008-10-18,TMIN,220
ASN00014612,2005-02-14,TMAX,375
ASN00014612,2009-04-03,TMIN,176
ASN00014612,2007-04-14,TMAX,346
ASN00014612,2009-06-21,TMAX,300
ASN00014612,2007-09-01,TMIN,150
ASN00014612,2008-09-25,TMIN,130
ASN00014612,2010-09-06,TMAX,322
ASN00014612,2009-08-24,TMAX,345
ASN00014612,2011-01-06,TMAX,347
ASN00014612,2005-12-19,TMIN,255
ASN00014612,2008-04-01,TMIN,149
ASN00014612,2009-02-17,TMIN,220
ASN00014612,2011-12-18,TMAX,340
ASN00014612,2008-09-11,TMAX,374
ASN00014612,2005-06-04,TMAX,308
ASN00014612,2005-07-11,TMAX,285
ASN00014612,2010-12-31,TMAX,346
ASN00014612,2011-12-24,TMIN,232
ASN00014612,2011-12-18,TMIN,243
ASN00014612,2007-09-23,TMAX,385
ASN00014612,2008-04-01,TMAX,349
ASN00014612,2010-11-15,TMAX,400
ASN00014612,2005-11-06,TMAX,396
ASN00014612,2007-07-13,TMIN,60
ASN00014612,2009-01-13,TMAX,357
ASN00014612,2005-12-19,TMAX,379
ASN00014612,2006-04-13,TMAX,330
ASN00014612,2009-06-16,TMAX,285
ASN00014612,2008-04-03,TMAX,352
ASN00014612,2010-10-13,TMAX,355
ASN00014612,2010-06-01,TMIN,100
ASN00014612,2011-05-06,TMIN,129
ASN00014612,2009-06-02,TMAX,320
ASN00014612,2006-07-14,TMAX,292
ASN00014612,2011-08-27,TMAX,332
ASN00014612,2012-02-01,TMAX,365
ASN00014612,2011-09-30,TMIN,191
ASN00014612,2006-06-13,TMIN,76
ASN00014612,2007-09-28,TMAX,368
ASN00014612,2006-07-14,TMIN,200
ASN00014612,2006-03-19,TMIN,215
ASN00014612,2007-08-19,TMIN,147
ASN00014612,2009-06-01,TMAX,315
ASN00014612,2006-06-20,TMIN,110
ASN00014612,2007-03-11,TMIN,235
ASN00014612,2007-01-16,TMAX,340
ASN00014612,2011-02-23,TMIN,221
ASN00014612,2005-06-17,TMIN,195
ASN00014612,2009-02-20,TMAX,359
ASN00014612,2008-11-03,TMAX,388
ASN00014612,2010-12-31,TMIN,236
ASN00014612,2007-03-05,TMAX,344
ASN00014612,2009-10-02,TMIN,246
ASN00014612,2010-04-20,TMIN,195
ASN00014612,2011-03-04,TMIN,241
ASN00014612,2012-01-26,TMIN,245
ASN00014612,2005-04-22,TMAX,354
ASN00014612,2009-06-01,TMIN,170
ASN00014612,2010-08-20,TMAX,360
ASN00014612,2011-04-16,TMAX,320
ASN00014612,2007-04-14,TMIN,199
ASN00014612,2008-08-17,TMIN,134
ASN00014612,2009-10-28,TMIN,229
ASN00014612,2011-11-18,TMIN,209
ASN00014612,2011-05-27,TMAX,260
ASN00014612,2008-11-03,TMIN,265
ASN00014612,2008-09-25,TMAX,338
ASN00014612,2005-02-07,TMAX,352
ASN00014612,2006-05-26,TMAX,288
ASN00014612,2005-02-07,TMIN,230
ASN00014612,2009-10-19,TMAX,370
ASN00014612,2009-04-18,TMIN,200
ASN00014612,2006-03-20,TMAX,294
ASN00014612,2010-11-25,TMIN,259
ASN00014612,2006-04-20,TMAX,335
ASN00014612,2011-05-31,TMAX,274
ASN00014612,2008-12-13,TMAX,340
ASN00014612,2010-12-29,TMIN,240
ASN00014612,2009-02-06,TMAX,351
ASN00014612,2007-02-24,TMAX,368
ASN00014612,2008-01-12,TMIN,265
ASN00014612,2008-01-21,TMAX,396
ASN00014612,2006-11-06,TMAX,390
ASN00014612,2008-03-08,TMIN,219
ASN00014612,2006-11-06,TMIN,200
ASN00014612,2011-01-31,TMAX,340
ASN00014612,2009-04-24,TMIN,175
ASN00014612,2010-08-08,TMIN,80
ASN00014612,2008-09-22,TMIN,190
ASN00014612,2006-04-20,TMIN,223
ASN00014612,2008-10-30,TMIN,208
ASN00014612,2005-01-07,TMAX,340
ASN00014612,2006-12-10,TMIN,255
ASN00014612,2010-06-14,TMIN,129
ASN00014612,2009-07-06,TMAX,285
ASN00014612,2006-03-05,TMIN,240
ASN00014612,2006-08-20,TMAX,307
ASN00014612,2008-11-22,TMAX,399
ASN00014612,2011-03-12,TMIN,234
ASN00014612,2006-08-14,TMIN,132
ASN00014612,2006-04-29,TMIN,195
ASN00014612,2010-03-03,TMAX,331
ASN00014612,2005-10-08,TMAX,380
ASN00014612,2007-07-16,TMAX,295
ASN00014612,2011-04-16,TMIN,194
ASN00014612,2006-08-14,TMAX,310
ASN00014612,2007-07-16,TMIN,109
ASN00014612,2012-01-16,TMIN,230
ASN00014612,2006-10-11,TMAX,342
ASN00014612,2009-04-02,TMAX,360
ASN00014612,2011-06-04,TMAX,285
ASN00014612,2012-02-04,TMIN,250
ASN00014612,2006-08-20,TMIN,130
ASN00014612,2006-04-29,TMAX,315
ASN00014612,2009-01-26,TMIN,233
ASN00014612,2011-08-25,TMAX,305
ASN00014612,2011-06-08,TMIN,100
ASN00014612,2011-12-16,TMAX,365
ASN00014612,2007-05-20,TMAX,342
ASN00014612,2007-05-20,TMIN,216
ASN00014612,2008-10-08,TMIN,235
ASN00014612,2011-06-08,TMAX,308
ASN00014612,2011-05-31,TMIN,68
ASN00014612,2010-03-03,TMIN,208
ASN00014612,2008-08-21,TMIN,131
ASN00014612,2011-01-20,TMIN,245
ASN00014612,2011-04-28,TMAX,320
ASN00014612,2009-06-15,TMIN,116
ASN00014612,2009-02-23,TMIN,250
ASN00014612,2010-04-03,TMAX,343
ASN00014612,2008-05-15,TMAX,328
ASN00014612,2007-06-23,TMIN,140
ASN00014612,2008-03-24,TMAX,356
ASN00014612,2006-12-09,TMIN,246
ASN00014612,2009-05-06,TMIN,185
ASN00014612,2011-05-20,TMIN,153
ASN00014612,2012-01-16,TMAX,400
ASN00014612,2011-06-07,TMIN,87
ASN00014612,2006-12-27,TMAX,269
ASN00014612,2005-12-24,TMAX,410
ASN00014612,2011-04-28,TMIN,151
ASN00014612,2005-04-14,TMAX,361
ASN00014612,2010-02-04,TMAX,338
ASN00014612,2008-04-02,TMAX,350
ASN00014612,2005-05-18,TMIN,100
ASN00014612,2006-12-27,TMIN,182
ASN00014612,2006-03-16,TMIN,242
ASN00014612,2008-05-16,TMAX,330
ASN00014612,2007-09-01,TMAX,347
ASN00014612,2005-06-29,TMIN,103
ASN00014612,2005-04-14,TMIN,197
ASN00014612,2008-07-08,TMIN,135
ASN00014612,2005-02-08,TMIN,255
ASN00014612,2008-05-01,TMAX,343
ASN00014612,2006-03-05,TMAX,353
ASN00014612,2007-09-11,TMAX,350
ASN00014612,2008-11-30,TMAX,350
ASN00014612,2008-02-15,TMAX,328
ASN00014612,2011-04-29,TMAX,310
ASN00014612,2009-06-28,TMAX,330
ASN00014612,2010-10-14,TMAX,356
ASN00014612,2010-10-14,TMIN,225
ASN00014612,2006-10-29,TMIN,257
ASN00014612,2008-08-01,TMAX,326
ASN00014612,2008-03-08,TMAX,276
ASN00014612,2008-03-24,TMIN,215
ASN00014612,2012-06-05,TMIN,100
ASN00014612,2006-12-03,TMIN,283
ASN00014612,2008-08-20,TMAX,315
ASN00014612,2005-10-27,TMAX,401
ASN00014612,2006-07-05,TMIN,65
ASN00014612,2009-03-20,TMIN,160
ASN00014612,2005-07-08,TMIN,186
ASN00014612,2006-09-06,TMAX,365
ASN00014612,2010-07-24,TMAX,321
ASN00014612,2011-02-06,TMAX,329
ASN00014612,2006-07-29,TMIN,90
ASN00014612,2010-04-23,TMIN,199
ASN00014612,2006-12-23,TMAX,375
ASN00014612,2009-04-13,TMIN,220
ASN00014612,2005-02-13,TMIN,250
ASN00014612,2006-11-16,TMAX,406
ASN00014612,2006-10-29,TMAX,380
ASN00014612,2005-10-27,TMIN,263
ASN00014612,2011-08-03,TMAX,300
ASN00014612,2006-07-29,TMAX,306
ASN00014612,2007-06-07,TMIN,170
ASN00014612,2011-02-06,TMIN,220
ASN00014612,2009-03-20,TMAX,355
ASN00014612,2008-01-22,TMAX,371
ASN00014612,2008-01-22,TMIN,225
ASN00014612,2010-03-22,TMAX,355
ASN00014612,2009-06-15,TMAX,310
ASN00014612,2006-07-05,TMAX,268
ASN00014612,2005-05-19,TMAX,302
ASN00014612,2006-10-11,TMIN,170
ASN00014612,2005-09-12,TMIN,220
ASN00014612,2007-03-19,TMIN,223
ASN00014612,2011-06-07,TMAX,298
ASN00014612,2007-07-05,TMAX,304
ASN00014612,2006-11-14,TMIN,250
ASN00014612,2010-04-25,TMIN,205
ASN00014612,2010-12-29,TMAX,271
ASN00014612,2006-10-04,TMAX,363
ASN00014612,2006-10-04,TMIN,170
ASN00014612,2009-10-01,TMIN,232
ASN00014612,2011-04-29,TMIN,145
ASN00014612,2012-02-04,TMAX,376
ASN00014612,2009-08-28,TMAX,359
ASN00014612,2009-07-08,TMAX,278
ASN00014612,2009-08-28,TMIN,196
ASN00014612,2005-05-10,TMIN,190
ASN00014612,2007-07-30,TMIN,114
ASN00014612,2008-04-07,TMIN,161
ASN00014612,2008-11-22,TMIN,260
ASN00014612,2010-08-10,TMAX,316
ASN00014612,2006-03-12,TMIN,241
ASN00014612,2005-05-22,TMAX,313
ASN00014612,2010-07-24,TMIN,179
ASN00014612,2007-11-25,TMIN,195
ASN00014612,2005-09-12,TMAX,363
ASN00014612,2006-09-06,TMIN,194
ASN00014612,2009-06-28,TMIN,136
ASN00014612,2007-07-05,TMIN,99
ASN00014612,2011-03-28,TMIN,220
ASN00014612,2009-07-12,TMIN,115
ASN00014612,2008-11-18,TMIN,251
ASN00014612,2011-03-14,TMAX,310
ASN00014612,2011-03-12,TMAX,320
ASN00014612,2010-07-07,TMAX,290
ASN00014612,2007-02-18,TMIN,239
ASN00014612,2011-03-14,TMIN,235
ASN00014612,2005-05-22,TMIN,116
ASN00014612,2005-06-21,TMIN,170
ASN00014612,2010-07-07,TMIN,150
ASN00014612,2006-03-12,TMAX,315
ASN00014612,2006-02-05,TMAX,347
ASN00014612,2011-03-25,TMIN,220
ASN00014612,2008-02-14,TMAX,337
ASN00014612,2008-02-14,TMIN,237
ASN00014612,2005-06-06,TMAX,335
ASN00014612,2005-12-15,TMIN,242
ASN00014612,2010-04-08,TMAX,345
ASN00014612,2005-06-06,TMIN,158
ASN00014612,2009-06-04,TMIN,145
ASN00014612,2011-06-15,TMAX,240
ASN00014612,2006-03-15,TMIN,235
ASN00014612,2005-03-29,TMIN,206
ASN00014612,2007-02-18,TMAX,369
ASN00014612,2012-05-25,TMAX,250
ASN00014612,2011-02-01,TMAX,345
ASN00014612,2006-06-29,TMAX,300
ASN00014612,2008-04-04,TMIN,236
ASN00014612,2011-02-01,TMIN,240
ASN00014612,2009-12-06,TMIN,260
ASN00014612,2005-10-24,TMIN,261
ASN00014612,2009-06-21,TMIN,100
ASN00014612,2005-01-13,TMAX,335
ASN00014612,2010-02-16,TMIN,250
ASN00014612,2009-03-26,TMIN,200
ASN00014612,2007-05-09,TMIN,156
ASN00014612,2009-07-06,TMIN,80
ASN00014612,2009-10-26,TMAX,390
ASN00014612,2012-04-04,TMIN,182
ASN00014612,2009-04-24,TMAX,355
ASN00014612,2007-11-16,TMAX,390
ASN00014612,2006-03-15,TMAX,300
ASN00014612,2006-12-31,TMAX,367
ASN00014612,2005-08-19,TMAX,331
ASN00014612,2007-05-09,TMAX,350
ASN00014612,2005-04-22,TMIN,190
ASN00014612,2012-05-25,TMIN,175
ASN00014612,2007-10-13,TMAX,367
ASN00014612,2011-09-20,TMIN,206
ASN00014612,2006-06-09,TMIN,84
ASN00014612,2005-08-19,TMIN,147
ASN00014612,2011-12-12,TMIN,230
ASN00014612,2008-11-10,TMIN,235
ASN00014612,2009-07-13,TMIN,130
ASN00014612,2011-09-18,TMIN,180
ASN00014612,2010-01-23,TMIN,240
ASN00014612,2008-07-27,TMIN,78
ASN00014612,2008-04-02,TMIN,181
ASN00014612,2006-05-18,TMAX,295
ASN00014612,2005-04-27,TMIN,185
ASN00014612,2007-04-17,TMAX,345
ASN00014612,2006-05-18,TMIN,135
ASN00014612,2011-06-18,TMIN,40
ASN00014612,2005-03-24,TMIN,225
ASN00014612,2007-04-17,TMIN,195
ASN00014612,2008-08-17,TMAX,266
ASN00014612,2011-12-25,TMIN,239
ASN00014612,2008-05-16,TMIN,146
ASN00014612,2008-04-19,TMAX,322
ASN00014612,2005-09-18,TMAX,365
ASN00014612,2008-08-01,TMIN,105
ASN00014612,2010-08-23,TMIN,190
ASN00014612,2005-04-18,TMAX,353
ASN00014612,2011-12-25,TMAX,360
ASN00014612,2006-02-25,TMIN,234
ASN00014612,2005-07-27,TMIN,115
ASN00014612,2007-07-26,TMIN,120
ASN00014612,2012-03-26,TMIN,183
ASN00014612,2009-01-07,TMAX,350
ASN00014612,2012-05-01,TMAX,328
ASN00014612,2011-05-15,TMIN,110
ASN00014612,2005-10-31,TMIN,255
ASN00014612,2005-10-31,TMAX,390
ASN00014612,2007-05-21,TMIN,222
ASN00014612,2012-05-01,TMIN,130
ASN00014612,2005-04-27,TMAX,345
ASN00014612,2005-11-03,TMIN,250
ASN00014612,2008-10-30,TMAX,402
ASN00014612,2006-02-25,TMAX,356
ASN00014612,2010-08-04,TMIN,166
ASN00014612,2012-03-26,TMAX,330
ASN00014612,2009-12-06,TMAX,403
ASN00014612,2006-11-16,TMIN,249
ASN00014612,2010-05-23,TMIN,220
ASN00014612,2011-01-27,TMAX,353
ASN00014612,2009-10-26,TMIN,200
ASN00014612,2009-04-03,TMAX,361
ASN00014612,2005-05-30,TMIN,130
ASN00014612,2009-11-07,TMAX,380
ASN00014612,2008-12-19,TMAX,323
ASN00014612,2006-01-03,TMIN,239
ASN00014612,2005-06-16,TMAX,310
ASN00014612,2008-02-11,TMIN,212
ASN00014612,2006-01-03,TMAX,350
ASN00014612,2005-10-04,TMIN,220
ASN00014612,2005-05-30,TMAX,289
ASN00014612,2012-03-19,TMAX,338
ASN00014612,2012-03-31,TMIN,192
ASN00014612,2006-11-08,TMIN,240
ASN00014612,2006-07-13,TMAX,303
ASN00014612,2010-11-26,TMAX,395
ASN00014612,2011-09-20,TMAX,352
ASN00014612,2009-11-26,TMAX,388
ASN00014612,2012-03-31,TMAX,340
ASN00014612,2010-10-06,TMIN,240
ASN00014612,2009-01-15,TMAX,326
ASN00014612,2005-06-16,TMIN,196
ASN00014612,2005-12-24,TMIN,241
ASN00014612,2005-04-16,TMIN,191
ASN00014612,2006-11-08,TMAX,407
ASN00014612,2007-11-25,TMAX,395
ASN00014612,2012-03-19,TMIN,235
ASN00014612,2007-02-24,TMIN,233
ASN00014612,2007-11-24,TMAX,386
