ID,Date,Element,Data_Value
CA001152102,2011-06-17,TMAX,175
CA001152102,2007-11-13,TMAX,61
CA001152102,2010-01-31,TMIN,-36
CA001158692,2006-01-14,TMIN,10
CA001152102,2012-03-26,TMAX,34
CA001143900,2009-05-26,TMIN,80
CA001154203,2013-10-03,TMIN,-15
CA001154203,2007-12-12,TMIN,-125
CA001154909,2005-11-14,TMAX,40
CA001152102,2007-02-11,TMAX,12
CA001145297,2013-10-27,TMAX,93
CA001143900,2005-11-20,TMIN,20
CA001154203,2015-05-23,TMAX,270
CA001154909,2008-08-16,TMAX,370
CA001153034,2012-08-20,TMIN,90
CA001152102,2005-03-27,TMIN,-5
CA001153034,2005-05-22,TMAX,170
CA001158692,2009-09-08,TMAX,190
CA001152102,2009-06-26,TMAX,219
CA001145297,2013-05-04,TMIN,30
CA001154203,2006-12-14,TMIN,-70
CA001145460,2015-06-22,TMIN,80
CA001153034,2005-03-22,TMAX,75
CA001145460,2009-06-06,TMAX,170
CA001154909,2008-08-16,TMIN,120
CA001154203,2007-12-12,TMAX,15
CA001152102,2007-09-28,TMIN,53
CA001154909,2007-06-20,TMIN,110
CA001154203,2006-06-18,TMAX,205
CA001154909,2007-06-20,TMAX,280
CA001143900,2006-08-30,TMIN,105
CA001158692,2009-09-08,TMIN,30
CA001152102,2010-01-23,TMIN,-100
CA001158692,2006-03-30,TMIN,-30
CA001152102,2011-01-29,TMIN,-59
CA001154203,2014-03-03,TMAX,-65
CA001145460,2015-11-03,TMAX,90
CA001152102,2009-06-26,TMIN,71
CA001145297,2013-05-04,TMAX,228
CA001154203,2006-06-18,TMIN,60
CA001145297,2013-10-31,TMAX,90
CA001158692,2006-01-14,TMAX,50
CA001143900,2005-11-28,TMAX,25
CA001154909,2006-10-12,TMAX,165
CA001143900,2007-01-28,TMAX,-15
CA001143900,2005-11-11,TMIN,20
CA001143900,2005-11-11,TMAX,85
CA001145297,2008-12-09,TMAX,35
CA001145297,2013-10-27,TMIN,18
CA001152102,2012-03-26,TMIN,2
CA001145460,2010-10-27,TMAX,115
CA001145460,2008-09-25,TMAX,140
CA001152102,2005-04-18,TMIN,2
CA001143900,2011-03-10,TMIN,10
CA001152102,2006-07-21,TMAX,340
CA001145297,2008-08-14,TMAX,317
CA001145297,2006-10-13,TMAX,167
CA001153034,2007-12-13,TMAX,-45
CA001143900,2013-10-29,TMAX,85
CA001145297,2009-01-15,TMAX,60
CA001153034,2013-06-16,TMIN,45
CA001152105,2015-12-28,TMAX,-57
CA001145297,2014-09-12,TMIN,20
CA001145460,2006-06-22,TMAX,250
CA001158692,2015-01-02,TMAX,-50
CA001143900,2015-04-28,TMIN,50
CA001154909,2007-06-19,TMIN,60
CA001152105,2013-07-04,TMIN,151
CA001152102,2008-07-24,TMAX,264
CA001152102,2005-03-27,TMAX,58
CA001154909,2006-11-02,TMAX,-25
CA001143900,2014-02-28,TMAX,10
CA001145460,2010-10-27,TMIN,45
CA001152102,2005-08-14,TMIN,64
CA001145297,2011-04-22,TMIN,-23
CA001152102,2012-03-27,TMIN,8
CA001152102,2008-08-18,TMIN,150
CA001152102,2005-05-26,TMIN,48
CA001152102,2008-08-18,TMAX,363
CA001154203,2008-01-04,TMIN,-40
CA001145297,2006-01-06,TMAX,37
CA001152102,2009-05-08,TMAX,162
CA001152105,2013-07-04,TMAX,299
CA001143900,2008-05-01,TMIN,-10
CA001153034,2012-09-17,TMAX,235
CA001153034,2013-01-23,TMIN,-150
CA001145460,2005-01-09,TMAX,-50
CA001145297,2005-02-27,TMAX,89
CA001152102,2010-07-09,TMAX,325
CA001143900,2009-11-26,TMIN,30
CA001145297,2015-06-11,TMAX,320
