ID,Date,Element,Data_Value
IN012230300,2011-06-07,TMAX,346
IN012230300,2011-02-20,TMAX,337
IN012230300,2011-08-30,TMIN,227
IN012230300,2015-12-18,TMIN,209
IN012230300,2015-12-06,TMIN,187
IN012230300,2013-07-25,TMAX,302
IN012230300,2007-04-22,TMIN,246
IN012230300,2012-08-27,TMAX,301
IN012230300,2007-04-22,TMAX,400
IN012230300,2011-06-07,TMIN,236
IN012230300,2010-02-11,TMAX,329
IN012230300,2015-09-03,TMAX,367
IN012230300,2009-11-17,TMIN,231
IN012230300,2013-07-04,TMAX,329
IN012230300,2015-12-03,TMIN,210
IN012230300,2009-11-17,TMAX,291
IN012230300,2013-10-20,TMAX,339
IN012230300,2009-02-09,TMIN,211
IN012230300,2013-10-20,TMIN,201
IN012230300,2013-10-31,TMIN,177
IN012230300,2007-07-18,TMIN,236
IN012230300,2014-12-30,TMAX,326
IN012230300,2013-07-25,TMIN,224
IN012230300,2008-08-03,TMAX,309
IN012230300,2010-02-23,TMIN,217
IN012230300,2013-02-09,TMAX,351
IN012230300,2007-01-25,TMIN,198
IN012230300,2006-11-12,TMAX,310
IN012230300,2012-11-17,TMAX,310
IN012230300,2013-07-04,TMIN,226
IN012230300,2007-06-04,TMIN,239
IN012230300,2008-06-23,TMAX,355
IN012230300,2010-11-09,TMAX,296
IN012230300,2007-07-24,TMAX,363
IN012230300,2008-09-30,TMAX,343
IN012230300,2010-12-14,TMAX,307
IN012230300,2009-06-06,TMAX,385
IN012230300,2008-09-13,TMAX,286
IN012230300,2009-11-01,TMAX,345
IN012230300,2006-10-22,TMAX,340
IN012230300,2010-10-30,TMAX,314
IN012230300,2006-06-07,TMAX,349
IN012230300,2006-10-27,TMIN,201
IN012230300,2006-10-27,TMAX,335
IN012230300,2014-03-22,TMAX,381
IN012230300,2010-11-09,TMIN,212
IN012230300,2015-12-06,TMAX,333
IN012230300,2006-07-04,TMIN,230
IN012230300,2014-12-17,TMAX,285
