ID,Date,Element,Data_Value
KZ000035542,2005-01-25,TMAX,-225
KZ000035542,2005-06-27,TMAX,263
KZ000035542,2005-04-29,TMIN,116
KZ000035542,2005-12-25,TMAX,7
KZ000035542,2005-06-07,TMIN,117
KZ000035542,2005-11-02,TMIN,1
KZ000035542,2005-07-02,TMIN,193
KZ000035542,2005-08-14,TMIN,168
KZ000035542,2005-07-17,TMAX,345
KZ000035542,2005-06-12,TMIN,165
KZ000035542,2005-03-18,TMIN,-48
KZ000035542,2005-01-09,TMIN,-46
KZ000035542,2005-03-24,TMIN,-34
KZ000035542,2005-11-02,TMAX,150
KZ000035542,2005-02-01,TMAX,-175
KZ000035542,2005-02-20,TMAX,-24
KZ000035542,2005-07-31,TMIN,203
KZ000035542,2005-06-27,TMIN,120
KZ000035542,2005-08-01,TMAX,311
KZ000035542,2005-05-12,TMAX,265
KZ000035542,2005-02-07,TMAX,-187
KZ000035542,2005-01-26,TMAX,-230
KZ000035542,2005-09-12,TMAX,316
KZ000035542,2005-12-07,TMIN,-152
KZ000035542,2005-12-22,TMAX,-20
KZ000035542,2005-12-25,TMIN,-63
KZ000035542,2005-12-31,TMIN,-150
KZ000035542,2005-01-11,TMAX,11
KZ000035542,2005-01-01,TMIN,-238
KZ000035542,2005-09-22,TMIN,45
KZ000035542,2005-01-23,TMAX,-157
KZ000035542,2005-01-25,TMIN,-252
KZ000035542,2005-03-01,TMIN,-71
KZ000035542,2005-12-07,TMAX,-53
KZ000035542,2005-08-12,TMAX,240
KZ000035542,2005-07-17,TMIN,181
KZ000035542,2005-08-14,TMAX,330
KZ000035542,2005-06-12,TMAX,375
KZ000035542,2005-09-17,TMIN,98
KZ000035542,2005-01-09,TMAX,13
KZ000035542,2005-12-31,TMAX,-63
KZ000035542,2005-11-17,TMAX,53
KZ000035542,2005-08-12,TMIN,120
KZ000035542,2005-04-29,TMAX,225
KZ000035542,2005-05-08,TMAX,160
KZ000035542,2005-01-27,TMIN,-295
KZ000035542,2005-06-07,TMAX,260
KZ000035542,2005-11-08,TMAX,25
KZ000035542,2005-02-24,TMAX,-137
KZ000035542,2005-09-17,TMAX,270
KZ000035542,2005-11-20,TMIN,-70
KZ000035542,2005-08-02,TMIN,190
KZ000035542,2005-05-16,TMIN,142
KZ000035542,2005-06-17,TMAX,305
KZ000035542,2005-10-24,TMIN,-27
KZ000035542,2005-10-15,TMIN,-19
KZ000035542,2005-01-19,TMAX,-94
KZ000035542,2005-11-26,TMIN,-74
KZ000035542,2005-06-18,TMAX,292
KZ000035542,2005-04-23,TMIN,104
KZ000035542,2005-04-30,TMIN,97
KZ000035542,2005-05-08,TMIN,107
KZ000035542,2005-05-05,TMIN,90
KZ000035542,2005-09-04,TMIN,153
KZ000035542,2005-11-08,TMIN,6
KZ000035542,2005-11-12,TMAX,0
KZ000035542,2005-07-18,TMAX,361
KZ000035542,2005-11-12,TMIN,-23
KZ000035542,2005-03-12,TMAX,18
KZ000035542,2005-09-07,TMAX,250
KZ000035542,2005-07-03,TMIN,224
KZ000035542,2005-03-28,TMAX,23
KZ000035542,2005-06-01,TMIN,114
KZ000035542,2005-11-16,TMAX,40
KZ000035542,2005-08-02,TMAX,290
KZ000035542,2005-09-22,TMAX,189
KZ000035542,2005-03-31,TMIN,-133
KZ000035542,2005-11-16,TMIN,-18
KZ000035542,2005-03-18,TMAX,36
KZ000035542,2005-07-03,TMAX,404
KZ000035542,2005-09-10,TMIN,137
KZ000035542,2005-03-14,TMAX,15
KZ000035542,2005-02-20,TMIN,-138
KZ000035542,2005-10-12,TMIN,0
KZ000035542,2005-11-26,TMAX,-45
KZ000035542,2005-03-14,TMIN,-121
KZ000035542,2005-03-28,TMIN,-19
KZ000035542,2005-10-12,TMAX,167
KZ000035542,2005-10-28,TMIN,22
KZ000035542,2005-09-29,TMIN,45
KZ000035542,2005-02-14,TMAX,-205
KZ000035542,2005-12-17,TMIN,-84
KZ000035542,2005-11-28,TMAX,-31
KZ000035542,2005-07-30,TMAX,322
KZ000035542,2005-06-17,TMIN,192
KZ000035542,2005-05-22,TMAX,282
KZ000035542,2005-11-24,TMAX,-24
KZ000035542,2005-07-25,TMAX,360
KZ000035542,2005-06-20,TMIN,154
KZ000035542,2005-07-25,TMIN,214
KZ000035542,2005-03-31,TMAX,-40
KZ000035542,2005-10-31,TMIN,-4
KZ000035542,2005-02-09,TMAX,-150
KZ000035542,2005-09-27,TMIN,17
KZ000035542,2005-03-10,TMAX,20
KZ000035542,2005-01-20,TMIN,-245
KZ000035542,2005-04-30,TMAX,240
KZ000035542,2005-06-01,TMAX,251
KZ000035542,2005-04-19,TMAX,239
KZ000035542,2005-04-19,TMIN,85
KZ000035542,2005-11-04,TMIN,-28
KZ000035542,2005-04-11,TMIN,-4
KZ000035542,2005-07-04,TMIN,157
KZ000035542,2005-07-30,TMIN,207
KZ000035542,2005-01-23,TMIN,-220
KZ000035542,2005-10-31,TMAX,109
KZ000035542,2005-09-12,TMIN,140
KZ000035542,2005-11-11,TMIN,-80
KZ000035542,2005-11-04,TMAX,116
KZ000035542,2005-05-22,TMIN,141
KZ000035542,2005-05-10,TMAX,180
KZ000035542,2005-10-09,TMIN,41
KZ000035542,2005-06-08,TMIN,134
KZ000035542,2005-12-01,TMIN,-73
KZ000035542,2005-10-09,TMAX,141
KZ000035542,2005-10-29,TMIN,38
KZ000035542,2005-06-20,TMAX,329
KZ000035542,2005-08-13,TMIN,110
KZ000035542,2005-02-12,TMAX,-211
KZ000035542,2005-05-16,TMAX,295
KZ000035542,2005-02-14,TMIN,-292
KZ000035542,2005-11-24,TMIN,-89
KZ000035542,2005-07-13,TMIN,129
KZ000035542,2005-02-07,TMIN,-287
KZ000035542,2005-03-23,TMIN,-37
KZ000035542,2005-11-11,TMAX,13
KZ000035542,2005-02-21,TMAX,-25
KZ000035542,2005-08-13,TMAX,291
KZ000035542,2005-08-03,TMAX,301
KZ000035542,2005-02-24,TMIN,-217
KZ000035542,2005-12-22,TMIN,-57
KZ000035542,2005-03-23,TMAX,60
KZ000035542,2005-07-23,TMIN,188
KZ000035542,2005-12-17,TMAX,-7
KZ000035542,2005-09-30,TMIN,61
KZ000035542,2005-10-20,TMAX,195
KZ000035542,2005-10-28,TMAX,115
KZ000035542,2005-05-13,TMAX,233
KZ000035542,2005-01-04,TMAX,-187
KZ000035542,2005-07-23,TMAX,325
KZ000035542,2005-05-30,TMIN,136
KZ000035542,2005-01-04,TMIN,-247
KZ000035542,2005-11-23,TMIN,-84
KZ000035542,2005-05-30,TMAX,271
KZ000035542,2005-11-23,TMAX,11
KZ000035542,2005-11-28,TMIN,-53
KZ000035542,2005-01-19,TMIN,-185
KZ000035542,2005-09-30,TMAX,225
KZ000035542,2005-07-27,TMAX,323
KZ000035542,2005-04-11,TMAX,175
KZ000035542,2005-06-08,TMAX,259
KZ000035542,2005-09-27,TMAX,170
KZ000035542,2005-09-10,TMAX,303
KZ000035542,2005-11-17,TMIN,-55
KZ000035542,2005-09-19,TMAX,300
KZ000035542,2005-07-04,TMAX,347
KZ000035542,2005-07-05,TMAX,355
KZ000035542,2005-02-25,TMAX,-133
KZ000035542,2005-12-01,TMAX,-26
KZ000035542,2005-10-24,TMAX,117
KZ000035542,2005-07-31,TMAX,330
KZ000035542,2005-08-17,TMAX,363
KZ000035542,2005-06-10,TMIN,134
KZ000035542,2005-04-24,TMIN,128
KZ000035542,2005-08-03,TMIN,190
KZ000035542,2005-07-16,TMIN,157
KZ000035542,2005-06-10,TMAX,309
KZ000035542,2005-02-17,TMAX,-185
KZ000035542,2005-11-01,TMAX,105
KZ000035542,2005-07-05,TMIN,216
KZ000035542,2005-07-28,TMIN,200
KZ000035542,2005-07-28,TMAX,361
KZ000035542,2005-10-29,TMAX,85
KZ000035542,2005-04-13,TMAX,120
KZ000035542,2005-03-24,TMAX,10
KZ000035542,2005-11-01,TMIN,-14
KZ000035542,2005-06-26,TMAX,249
KZ000035542,2005-09-04,TMAX,261
KZ000035542,2005-03-19,TMAX,22
KZ000035542,2005-05-25,TMIN,137
KZ000035542,2005-08-10,TMIN,212
KZ000035542,2005-06-24,TMIN,134
KZ000035542,2005-07-10,TMIN,148
KZ000035542,2005-01-22,TMAX,-150
KZ000035542,2005-06-24,TMAX,233
KZ000035542,2005-05-25,TMAX,288
KZ000035542,2005-09-19,TMIN,126
KZ000035542,2005-06-06,TMAX,333
KZ000035542,2005-04-07,TMAX,89
KZ000035542,2005-02-02,TMIN,-230
KZ000035542,2005-10-19,TMIN,56
KZ000035542,2005-04-07,TMIN,-5
KZ000035542,2005-05-31,TMAX,287
KZ000035542,2005-03-13,TMAX,10
KZ000035542,2005-02-15,TMIN,-304
KZ000035542,2005-07-10,TMAX,305
KZ000035542,2005-10-19,TMAX,223
KZ000035542,2005-05-18,TMAX,253
KZ000035542,2005-05-31,TMIN,163
KZ000035542,2005-12-27,TMIN,-114
KZ000035542,2005-01-28,TMAX,-215
KZ000035542,2005-06-14,TMIN,243
KZ000035542,2005-01-28,TMIN,-296
KZ000035542,2005-06-14,TMAX,373
KZ000035542,2005-01-13,TMAX,4
KZ000035542,2005-09-26,TMAX,169
KZ000035542,2005-12-27,TMAX,-69
KZ000035542,2005-04-09,TMIN,-9
KZ000035542,2005-05-01,TMIN,114
KZ000035542,2005-06-11,TMAX,355
KZ000035542,2005-06-28,TMIN,148
KZ000035542,2005-11-27,TMIN,-77
KZ000035542,2005-03-13,TMIN,-75
KZ000035542,2005-01-07,TMIN,-155
KZ000035542,2005-01-11,TMIN,1
KZ000035542,2005-02-06,TMIN,-274
KZ000035542,2005-04-25,TMAX,275
KZ000035542,2005-03-11,TMIN,-59
KZ000035542,2005-04-18,TMIN,136
KZ000035542,2005-04-18,TMAX,230
KZ000035542,2005-05-19,TMAX,295
KZ000035542,2005-04-25,TMIN,147
KZ000035542,2005-02-13,TMAX,-205
KZ000035542,2005-08-10,TMAX,313
