ID,Date,Element,Data_Value
UPM00033312,2015-08-05,TMAX,304
UPM00033312,2005-12-23,TMAX,-40
UPM00033312,2015-06-10,TMAX,262
UPM00033312,2006-03-28,TMIN,17
UPM00033312,2015-04-20,TMAX,83
UPM00033312,2008-07-24,TMIN,164
UPM00033312,2005-02-11,TMIN,-152
UPM00033312,2015-03-27,TMAX,152
UPM00033312,2008-02-07,TMIN,25
UPM00033312,2015-03-23,TMAX,61
UPM00033312,2015-04-28,TMIN,121
UPM00033312,2015-06-27,TMIN,115
UPM00033312,2006-07-05,TMIN,131
UPM00033312,2005-02-11,TMAX,-28
UPM00033312,2006-06-06,TMAX,171
UPM00033312,2015-08-31,TMAX,329
UPM00033312,2006-08-28,TMIN,119
UPM00033312,2015-11-02,TMIN,31
UPM00033312,2015-04-27,TMAX,238
UPM00033312,2015-06-27,TMAX,250
UPM00033312,2006-08-28,TMAX,234
UPM00033312,2006-11-30,TMIN,37
UPM00033312,2005-10-28,TMIN,4
UPM00033312,2014-09-07,TMIN,68
UPM00033312,2015-06-22,TMAX,224
UPM00033312,2005-08-22,TMIN,112
UPM00033312,2012-12-02,TMIN,-40
UPM00033312,2007-08-13,TMAX,248
UPM00033312,2015-01-08,TMIN,-190
UPM00033312,2015-06-16,TMIN,151
UPM00033312,2015-03-23,TMIN,-70
UPM00033312,2014-10-07,TMAX,140
UPM00033312,2015-06-22,TMIN,125
UPM00033312,2007-11-07,TMIN,-31
UPM00033312,2005-08-14,TMIN,152
UPM00033312,2006-10-27,TMIN,37
UPM00033312,2006-07-16,TMAX,179
UPM00033312,2006-02-15,TMIN,-147
UPM00033312,2007-06-14,TMIN,158
UPM00033312,2008-07-19,TMIN,174
UPM00033312,2005-08-04,TMAX,289
UPM00033312,2005-12-12,TMIN,-18
UPM00033312,2012-12-02,TMAX,12
UPM00033312,2015-09-08,TMIN,97
UPM00033312,2014-07-21,TMAX,270
UPM00033312,2006-11-21,TMIN,50
UPM00033312,2006-07-11,TMIN,141
UPM00033312,2015-09-08,TMAX,141
UPM00033312,2015-10-25,TMIN,61
UPM00033312,2005-11-29,TMIN,1
UPM00033312,2009-01-27,TMAX,19
UPM00033312,2008-11-02,TMAX,161
UPM00033312,2007-01-11,TMAX,96
UPM00033312,2015-12-22,TMIN,41
UPM00033312,2006-02-15,TMAX,-56
UPM00033312,2006-05-09,TMAX,145
UPM00033312,2014-08-27,TMIN,130
UPM00033312,2015-09-22,TMAX,191
UPM00033312,2015-03-08,TMAX,98
UPM00033312,2008-07-21,TMIN,145
UPM00033312,2009-04-22,TMIN,-3
UPM00033312,2006-09-27,TMIN,87
UPM00033312,2015-08-17,TMAX,261
UPM00033312,2006-09-27,TMAX,228
UPM00033312,2007-04-28,TMIN,78
UPM00033312,2015-10-25,TMAX,107
UPM00033312,2009-01-27,TMIN,10
UPM00033312,2012-10-13,TMAX,105
UPM00033312,2006-10-27,TMAX,175
UPM00033312,2006-11-21,TMAX,63
UPM00033312,2012-10-13,TMIN,-4
UPM00033312,2015-08-05,TMIN,161
UPM00033312,2008-07-24,TMAX,311
UPM00033312,2007-11-21,TMIN,-99
UPM00033312,2015-09-11,TMAX,195
UPM00033312,2015-12-22,TMAX,86
UPM00033312,2014-10-04,TMAX,161
UPM00033312,2015-06-10,TMIN,122
UPM00033312,2015-09-11,TMIN,91
UPM00033312,2007-05-09,TMAX,143
UPM00033312,2007-03-15,TMAX,90
UPM00033312,2006-05-30,TMAX,153
UPM00033312,2007-01-26,TMIN,-64
UPM00033312,2005-12-12,TMAX,19
UPM00033312,2007-01-11,TMIN,51
