ID,Date,Element,Data_Value
PK000041620,2012-12-21,TMIN,5
PK000041620,2010-03-18,TMIN,140
PK000041620,2012-11-15,TMAX,235
PK000041620,2009-05-09,TMIN,170
PK000041620,2005-11-22,TMAX,215
PK000041620,2012-08-13,TMIN,230
PK000041620,2009-11-14,TMAX,215
PK000041620,2006-03-23,TMAX,230
PK000041620,2012-12-06,TMIN,15
PK000041620,2012-08-13,TMAX,335
PK000041620,2006-01-23,TMIN,-10
PK000041620,2009-03-05,TMIN,70
PK000041620,2011-08-18,TMIN,230
PK000041620,2007-10-13,TMAX,270
PK000041620,2006-09-21,TMIN,145
PK000041620,2007-09-23,TMAX,280
PK000041620,2009-09-04,TMIN,190
PK000041620,2012-08-03,TMIN,240
PK000041620,2011-06-24,TMAX,415
PK000041620,2012-11-10,TMIN,85
PK000041620,2012-09-30,TMAX,315
PK000041620,2008-01-16,TMIN,20
PK000041620,2011-10-08,TMIN,145
PK000041620,2006-04-11,TMAX,230
PK000041620,2006-04-08,TMAX,280
PK000041620,2006-11-05,TMIN,70
PK000041620,2011-09-27,TMAX,325
PK000041620,2011-07-21,TMAX,390
PK000041620,2006-11-05,TMAX,280
PK000041620,2007-04-12,TMAX,335
PK000041620,2011-09-27,TMIN,175
PK000041620,2007-06-21,TMAX,350
PK000041620,2011-10-08,TMAX,290
PK000041620,2013-12-31,TMIN,-50
PK000041620,2008-07-31,TMIN,205
PK000041620,2008-05-05,TMAX,335
PK000041620,2011-08-18,TMAX,340
PK000041620,2009-11-14,TMIN,20
PK000041620,2005-11-21,TMIN,50
PK000041620,2005-11-22,TMIN,50
PK000041620,2007-05-06,TMIN,150
PK000041620,2008-01-16,TMAX,125
PK000041620,2010-12-19,TMAX,170
PK000041620,2005-11-21,TMAX,210
PK000041620,2013-02-21,TMAX,80
PK000041620,2007-06-02,TMAX,355
PK000041620,2005-08-13,TMAX,370
PK000041620,2013-10-24,TMAX,265
PK000041620,2012-09-19,TMAX,305
PK000041620,2005-09-03,TMIN,210
PK000041620,2012-08-23,TMAX,325
PK000041620,2013-01-07,TMAX,140
PK000041620,2006-11-20,TMIN,40
PK000041620,2009-01-17,TMIN,25
PK000041620,2007-06-01,TMIN,165
PK000041620,2008-10-18,TMAX,295
PK000041620,2007-12-14,TMAX,125
PK000041620,2005-09-03,TMAX,370
PK000041620,2006-01-23,TMAX,120
PK000041620,2010-08-31,TMAX,340
PK000041620,2006-03-03,TMAX,235
PK000041620,2010-03-18,TMAX,315
PK000041620,2010-09-22,TMAX,320
PK000041620,2013-03-26,TMAX,245
PK000041620,2006-03-03,TMIN,50
PK000041620,2010-08-23,TMAX,375
PK000041620,2009-05-22,TMIN,220
PK000041620,2006-02-06,TMAX,205
PK000041620,2009-08-24,TMAX,365
PK000041620,2011-05-03,TMIN,200
PK000041620,2006-02-06,TMIN,50
PK000041620,2008-10-12,TMIN,100
PK000041620,2007-12-20,TMAX,140
PK000041620,2009-12-20,TMAX,130
PK000041620,2008-10-09,TMAX,300
PK000041620,2011-11-29,TMAX,195
PK000041620,2008-12-07,TMAX,140
PK000041620,2005-08-22,TMAX,365
PK000041620,2007-09-16,TMIN,180
PK000041620,2008-02-05,TMIN,-50
PK000041620,2007-04-29,TMIN,130
PK000041620,2011-02-13,TMAX,140
PK000041620,2010-12-11,TMAX,190
PK000041620,2012-11-10,TMAX,240
PK000041620,2007-01-27,TMAX,165
PK000041620,2011-06-24,TMIN,250
PK000041620,2007-06-14,TMIN,250
PK000041620,2010-07-05,TMIN,210
PK000041620,2011-07-18,TMIN,180
PK000041620,2014-04-04,TMAX,255
PK000041620,2008-01-23,TMAX,60
PK000041620,2010-08-07,TMIN,210
PK000041620,2011-08-01,TMIN,250
PK000041620,2010-02-19,TMIN,20
PK000041620,2009-04-24,TMAX,285
PK000041620,2006-05-15,TMAX,395
PK000041620,2011-11-29,TMIN,50
PK000041620,2005-02-27,TMAX,120
PK000041620,2007-12-26,TMAX,145
PK000041620,2012-07-14,TMAX,355
PK000041620,2008-01-19,TMIN,-55
PK000041620,2011-11-25,TMIN,70
PK000041620,2005-12-03,TMIN,-15
PK000041620,2007-12-26,TMIN,-45
PK000041620,2012-09-04,TMIN,220
PK000041620,2012-05-24,TMIN,190
PK000041620,2006-01-13,TMAX,200
PK000041620,2007-06-18,TMIN,190
PK000041620,2007-11-01,TMIN,70
PK000041620,2011-11-26,TMAX,200
PK000041620,2012-11-15,TMIN,80
PK000041620,2012-06-29,TMIN,210
PK000041620,2012-05-02,TMIN,145
PK000041620,2006-09-04,TMAX,300
PK000041620,2013-04-27,TMIN,130
PK000041620,2010-08-14,TMIN,230
PK000041620,2010-12-02,TMAX,195
PK000041620,2010-12-26,TMIN,-20
PK000041620,2013-04-27,TMAX,240
PK000041620,2012-10-16,TMIN,120
PK000041620,2006-08-28,TMIN,190
PK000041620,2010-06-09,TMAX,350
PK000041620,2008-01-21,TMAX,80
PK000041620,2006-01-13,TMIN,-5
PK000041620,2005-12-13,TMAX,185
PK000041620,2011-08-01,TMAX,370
PK000041620,2011-06-27,TMIN,250
PK000041620,2013-03-03,TMIN,65
PK000041620,2010-06-09,TMIN,210
PK000041620,2007-04-16,TMIN,130
PK000041620,2007-06-02,TMIN,180
PK000041620,2009-07-20,TMIN,245
PK000041620,2010-04-18,TMAX,350
PK000041620,2011-07-21,TMIN,245
PK000041620,2006-06-21,TMIN,200
PK000041620,2006-10-01,TMIN,135
PK000041620,2008-12-13,TMIN,0
PK000041620,2009-12-14,TMIN,0
PK000041620,2009-01-31,TMAX,140
PK000041620,2009-07-20,TMAX,395
PK000041620,2008-01-23,TMIN,-90
PK000041620,2007-11-01,TMAX,285
PK000041620,2011-05-04,TMAX,340
PK000041620,2007-02-02,TMIN,0
PK000041620,2008-10-22,TMAX,275
PK000041620,2006-09-21,TMAX,315
PK000041620,2011-05-12,TMAX,350
PK000041620,2006-10-01,TMAX,325
PK000041620,2013-03-26,TMIN,80
PK000041620,2011-10-17,TMIN,130
PK000041620,2010-01-26,TMIN,5
PK000041620,2010-11-24,TMAX,210
PK000041620,2009-01-31,TMIN,25
PK000041620,2009-02-09,TMAX,160
PK000041620,2009-05-03,TMAX,290
PK000041620,2007-12-14,TMIN,-50
PK000041620,2006-09-01,TMAX,315
PK000041620,2007-04-16,TMAX,335
PK000041620,2006-07-26,TMAX,395
PK000041620,2006-07-05,TMAX,365
PK000041620,2012-08-04,TMIN,240
PK000041620,2008-07-01,TMAX,355
PK000041620,2009-01-11,TMAX,135
PK000041620,2006-07-05,TMIN,225
PK000041620,2011-11-25,TMAX,205
PK000041620,2010-11-24,TMIN,30
PK000041620,2011-07-06,TMAX,380
PK000041620,2011-06-27,TMAX,390
PK000041620,2008-05-16,TMIN,155
PK000041620,2009-09-04,TMAX,330
PK000041620,2011-02-15,TMAX,120
PK000041620,2009-05-22,TMAX,345
PK000041620,2007-06-14,TMAX,420
PK000041620,2012-08-04,TMAX,365
PK000041620,2010-10-12,TMAX,295
PK000041620,2010-06-25,TMIN,240
PK000041620,2010-08-31,TMIN,225
PK000041620,2011-07-18,TMAX,355
PK000041620,2008-05-16,TMAX,365
PK000041620,2006-04-11,TMIN,120
PK000041620,2008-01-01,TMIN,-100
PK000041620,2011-10-17,TMAX,285
PK000041620,2007-05-25,TMAX,320
PK000041620,2007-08-18,TMIN,220
PK000041620,2008-10-27,TMIN,60
PK000041620,2005-08-22,TMIN,210
PK000041620,2007-10-17,TMAX,275
PK000041620,2012-06-23,TMAX,375
PK000041620,2005-11-16,TMIN,40
PK000041620,2010-11-13,TMIN,55
PK000041620,2013-03-18,TMAX,250
PK000041620,2009-07-17,TMAX,385
PK000041620,2006-04-25,TMIN,160
PK000041620,2012-02-29,TMAX,190
PK000041620,2010-12-15,TMAX,200
PK000041620,2010-11-21,TMIN,30
PK000041620,2006-02-20,TMIN,65
PK000041620,2012-04-12,TMAX,280
PK000041620,2010-12-17,TMAX,180
PK000041620,2010-01-07,TMAX,170
PK000041620,2008-12-06,TMAX,215
PK000041620,2007-08-18,TMAX,375
PK000041620,2010-04-25,TMIN,180
PK000041620,2011-05-12,TMIN,205
PK000041620,2006-09-15,TMIN,180
PK000041620,2015-12-11,TMIN,15
PK000041620,2011-09-02,TMAX,265
PK000041620,2010-01-08,TMAX,175
PK000041620,2007-11-14,TMAX,245
PK000041620,2007-06-25,TMAX,345
PK000041620,2012-02-28,TMIN,60
PK000041620,2008-10-23,TMIN,70
PK000041620,2013-03-03,TMAX,255
PK000041620,2007-03-04,TMIN,10
PK000041620,2009-01-17,TMAX,125
PK000041620,2006-08-16,TMAX,345
PK000041620,2007-03-04,TMAX,175
PK000041620,2013-01-18,TMAX,115
PK000041620,2007-02-03,TMAX,165
PK000041620,2009-08-06,TMIN,270
PK000041620,2011-07-26,TMIN,255
PK000041620,2007-05-29,TMIN,130
PK000041620,2012-07-17,TMAX,370
PK000041620,2010-05-27,TMIN,250
PK000041620,2010-11-13,TMAX,220
PK000041620,2011-07-26,TMAX,360
PK000041620,2010-08-23,TMIN,250
PK000041620,2008-12-31,TMAX,180
PK000041620,2013-03-18,TMIN,80
PK000041620,2010-08-25,TMAX,295
PK000041620,2007-09-23,TMIN,150
PK000041620,2006-09-30,TMIN,155
PK000041620,2006-11-10,TMIN,65
PK000041620,2012-05-17,TMIN,165
PK000041620,2013-03-30,TMIN,85
PK000041620,2010-08-07,TMAX,290
PK000041620,2010-12-15,TMIN,0
PK000041620,2008-10-28,TMAX,285
PK000041620,2007-04-10,TMIN,110
PK000041620,2011-04-21,TMIN,165
PK000041620,2007-04-10,TMAX,320
PK000041620,2006-06-05,TMIN,160
PK000041620,2009-01-03,TMAX,85
PK000041620,2007-08-10,TMIN,195
PK000041620,2011-04-21,TMAX,285
PK000041620,2005-01-18,TMAX,125
PK000041620,2008-10-31,TMAX,260
PK000041620,2009-04-15,TMIN,100
PK000041620,2010-11-21,TMAX,210
PK000041620,2007-09-05,TMAX,375
PK000041620,2006-11-20,TMAX,190
PK000041620,2007-12-20,TMIN,-25
PK000041620,2005-08-13,TMIN,225
PK000041620,2008-04-25,TMAX,315
PK000041620,2010-12-26,TMAX,155
PK000041620,2006-04-25,TMAX,350
PK000041620,2006-08-16,TMIN,185
PK000041620,2007-04-13,TMAX,335
PK000041620,2012-11-29,TMIN,50
PK000041620,2012-11-06,TMAX,240
PK000041620,2006-09-09,TMIN,170
PK000041620,2008-08-20,TMIN,170
PK000041620,2008-08-20,TMAX,375
PK000041620,2008-08-14,TMAX,355
PK000041620,2007-04-13,TMIN,130
PK000041620,2008-06-03,TMAX,350
PK000041620,2006-02-02,TMIN,15
PK000041620,2008-07-04,TMIN,205
PK000041620,2012-11-06,TMIN,85
PK000041620,2009-04-15,TMAX,185
PK000041620,2010-08-25,TMIN,185
PK000041620,2011-07-06,TMIN,240
PK000041620,2006-12-28,TMAX,150
PK000041620,2013-03-30,TMAX,235
PK000041620,2011-12-15,TMAX,170
PK000041620,2007-06-01,TMAX,355
PK000041620,2009-07-01,TMIN,250
PK000041620,2007-06-25,TMIN,185
PK000041620,2012-09-12,TMAX,330
PK000041620,2010-06-20,TMAX,410
PK000041620,2007-12-17,TMIN,-40
PK000041620,2012-09-12,TMIN,215
PK000041620,2006-10-20,TMAX,250
PK000041620,2012-09-19,TMIN,180
PK000041620,2010-12-10,TMAX,185
PK000041620,2007-07-27,TMIN,210
PK000041620,2006-09-07,TMAX,330
PK000041620,2010-01-26,TMAX,180
PK000041620,2007-10-16,TMAX,275
PK000041620,2005-12-03,TMAX,175
PK000041620,2008-08-14,TMIN,165
PK000041620,2006-10-30,TMAX,275
PK000041620,2012-12-10,TMAX,185
PK000041620,2007-04-12,TMIN,120
PK000041620,2012-02-07,TMIN,-60
PK000041620,2012-09-17,TMAX,305
PK000041620,2009-08-06,TMAX,405
PK000041620,2008-10-30,TMIN,60
PK000041620,2013-02-24,TMIN,30
PK000041620,2010-12-19,TMIN,10
PK000041620,2009-07-17,TMIN,255
PK000041620,2008-01-01,TMAX,135
PK000041620,2006-06-05,TMAX,310
PK000041620,2007-05-06,TMAX,365
PK000041620,2008-05-05,TMIN,140
PK000041620,2012-04-18,TMIN,115
PK000041620,2010-02-19,TMAX,225
PK000041620,2010-06-20,TMIN,240
PK000041620,2011-06-10,TMAX,395
PK000041620,2005-10-31,TMAX,260
PK000041620,2007-04-29,TMAX,355
PK000041620,2011-02-15,TMIN,10
PK000041620,2006-09-04,TMIN,160
PK000041620,2011-08-27,TMAX,345
PK000041620,2007-12-17,TMAX,165
PK000041620,2012-12-21,TMAX,185
PK000041620,2008-10-27,TMAX,275
PK000041620,2007-09-05,TMIN,220
PK000041620,2011-06-10,TMIN,270
PK000041620,2013-02-24,TMAX,170
PK000041620,2007-04-04,TMIN,70
PK000041620,2008-11-30,TMIN,25
PK000041620,2007-10-31,TMIN,70
PK000041620,2006-01-17,TMIN,-20
PK000041620,2010-08-14,TMAX,350
PK000041620,2012-06-23,TMIN,235
PK000041620,2012-09-30,TMIN,180
PK000041620,2008-10-22,TMIN,80
PK000041620,2008-10-12,TMAX,320
PK000041620,2006-02-02,TMAX,190
PK000041620,2006-09-30,TMAX,325
PK000041620,2012-08-03,TMAX,405
PK000041620,2006-05-15,TMIN,210
PK000041620,2007-07-27,TMAX,355
PK000041620,2007-03-30,TMAX,315
PK000041620,2010-09-22,TMIN,145
PK000041620,2007-03-30,TMIN,115
PK000041620,2008-10-18,TMIN,80
PK000041620,2009-07-15,TMIN,225
PK000041620,2012-10-26,TMAX,255
PK000041620,2008-05-23,TMAX,305
PK000041620,2012-02-28,TMAX,190
PK000041620,2008-05-23,TMIN,165
PK000041620,2009-07-01,TMAX,380
