ID,Date,Element,Data_Value
MXM00076640,2010-06-30,TMAX,328
MXM00076640,2012-11-10,TMAX,290
MXM00076640,2005-07-11,TMIN,238
MXM00076640,2005-09-11,TMIN,240
MXM00076640,2011-03-27,TMIN,218
MXM00076640,2006-07-10,TMAX,290
MXM00076640,2007-09-15,TMAX,330
MXM00076640,2014-04-18,TMIN,168
MXM00076640,2015-07-03,TMAX,312
MXM00076640,2011-10-01,TMIN,218
MXM00076640,2008-05-20,TMIN,236
MXM00076640,2014-06-04,TMIN,236
MXM00076640,2009-10-08,TMAX,344
MXM00076640,2006-02-27,TMIN,150
MXM00076640,2006-07-15,TMAX,320
MXM00076640,2012-06-22,TMIN,224
MXM00076640,2010-09-13,TMIN,232
MXM00076640,2006-01-21,TMAX,264
MXM00076640,2006-07-15,TMIN,224
MXM00076640,2005-07-03,TMAX,328
MXM00076640,2010-06-30,TMIN,252
MXM00076640,2009-06-12,TMIN,270
MXM00076640,2013-10-30,TMAX,312
MXM00076640,2013-04-04,TMAX,302
MXM00076640,2005-01-02,TMIN,166
MXM00076640,2011-05-05,TMAX,305
MXM00076640,2005-02-03,TMIN,112
MXM00076640,2007-04-27,TMIN,234
MXM00076640,2008-05-09,TMIN,236
MXM00076640,2015-06-25,TMIN,232
MXM00076640,2009-01-01,TMAX,256
MXM00076640,2010-12-22,TMAX,270
MXM00076640,2011-05-05,TMIN,190
MXM00076640,2006-01-21,TMIN,138
MXM00076640,2008-10-03,TMIN,184
MXM00076640,2008-02-09,TMAX,270
MXM00076640,2005-11-30,TMAX,242
MXM00076640,2006-12-12,TMAX,258
MXM00076640,2011-10-08,TMIN,236
MXM00076640,2012-04-27,TMIN,184
MXM00076640,2015-02-01,TMIN,136
MXM00076640,2014-04-18,TMAX,290
MXM00076640,2015-07-03,TMIN,232
MXM00076640,2015-09-24,TMIN,234
MXM00076640,2010-02-27,TMAX,268
MXM00076640,2010-12-22,TMIN,178
MXM00076640,2015-06-25,TMAX,320
MXM00076640,2015-07-08,TMAX,346
MXM00076640,2007-08-11,TMAX,346
