ID,Date,Element,Data_Value
GRM00016719,2014-10-30,TMAX,214
GRM00016719,2015-03-10,TMIN,79
GRM00016719,2015-10-23,TMAX,230
GRM00016719,2014-10-30,TMIN,94
GRM00016719,2015-11-18,TMAX,206
GRM00016719,2015-12-14,TMAX,174
GRM00016719,2015-06-17,TMAX,320
GRM00016719,2015-08-19,TMAX,332
GRM00016719,2015-07-11,TMIN,217
GRM00016719,2015-02-16,TMIN,5
GRM00016719,2014-08-26,TMIN,150
GRM00016719,2015-06-23,TMIN,146
GRM00016719,2015-06-06,TMIN,159
GRM00016719,2015-11-09,TMIN,73
GRM00016719,2015-06-23,TMAX,286
GRM00016719,2015-08-05,TMIN,210
GRM00016719,2015-08-06,TMAX,352
GRM00016719,2009-10-01,TMAX,252
GRM00016719,2014-09-17,TMAX,284
GRM00016719,2015-09-23,TMIN,170
GRM00016719,2014-09-29,TMAX,250
GRM00016719,2015-03-04,TMIN,58
GRM00016719,2015-07-18,TMIN,206
GRM00016719,2014-12-21,TMAX,188
GRM00016719,2014-08-05,TMAX,357
GRM00016719,2014-12-22,TMAX,164
GRM00016719,2015-01-17,TMIN,26
GRM00016719,2015-12-10,TMAX,152
GRM00016719,2015-07-11,TMAX,328
GRM00016719,2015-06-06,TMAX,288
GRM00016719,2015-08-19,TMIN,184
GRM00016719,2009-10-10,TMAX,254
GRM00016719,2014-11-11,TMIN,113
GRM00016719,2015-07-30,TMAX,368
GRM00016719,2015-11-03,TMAX,222
GRM00016719,2015-07-18,TMAX,350
GRM00016719,2009-10-10,TMIN,146
GRM00016719,2015-03-05,TMIN,128
GRM00016719,2009-10-05,TMIN,138
GRM00016719,2015-02-05,TMAX,183
GRM00016719,2015-08-01,TMIN,219
GRM00016719,2014-11-30,TMAX,220
GRM00016719,2014-08-28,TMIN,154
GRM00016719,2015-01-13,TMIN,91
GRM00016719,2014-11-03,TMAX,206
GRM00016719,2015-10-29,TMAX,213
GRM00016719,2015-12-14,TMIN,40
GRM00016719,2015-04-25,TMIN,114
GRM00016719,2015-04-25,TMAX,221
GRM00016719,2014-08-28,TMAX,342
GRM00016719,2014-09-20,TMIN,158
GRM00016719,2015-10-16,TMIN,162
GRM00016719,2015-12-29,TMAX,170
GRM00016719,2014-09-14,TMAX,302
GRM00016719,2014-09-20,TMAX,294
GRM00016719,2015-08-01,TMAX,370
GRM00016719,2015-06-07,TMAX,280
GRM00016719,2015-12-29,TMIN,46
GRM00016719,2014-10-14,TMIN,150
GRM00016719,2015-12-28,TMIN,36
GRM00016719,2015-06-04,TMAX,322
GRM00016719,2015-07-20,TMIN,204
GRM00016719,2015-06-13,TMAX,334
GRM00016719,2014-11-01,TMAX,194
GRM00016719,2015-12-28,TMAX,164
GRM00016719,2015-07-16,TMAX,366
