ID,Date,Element,Data_Value
BRM00083344,2015-08-12,TMIN,93
BRM00083344,2013-11-13,TMIN,156
BRM00083344,2013-05-15,TMIN,163
BRM00083344,2015-12-15,TMIN,146
BRM00083344,2015-12-14,TMIN,167
BRM00083344,2015-10-15,TMIN,176
BRM00083344,2013-06-15,TMIN,150
BRM00083344,2013-08-30,TMIN,134
BRM00083344,2014-01-08,TMIN,164
BRM00083344,2013-05-02,TMIN,154
BRM00083344,2013-06-19,TMIN,160
BRM00083344,2013-09-15,TMIN,156
BRM00083344,2013-09-07,TMIN,134
BRM00083344,2014-02-10,TMIN,144
BRM00083344,2014-12-25,TMIN,160
BRM00083344,2013-07-21,TMIN,156
BRM00083344,2014-05-30,TMIN,150
BRM00083344,2014-03-04,TMIN,167
BRM00083344,2015-08-21,TMIN,112
BRM00083344,2014-01-30,TMIN,163
BRM00083344,2014-05-26,TMIN,150
BRM00083344,2013-12-27,TMIN,171
BRM00083344,2013-10-17,TMIN,164
BRM00083344,2014-03-09,TMIN,163
BRM00083344,2014-05-08,TMIN,150
BRM00083344,2013-06-09,TMIN,156
BRM00083344,2013-12-10,TMIN,163
BRM00083344,2013-12-28,TMIN,171
BRM00083344,2014-01-17,TMIN,148
BRM00083344,2015-10-19,TMIN,170
BRM00083344,2014-04-20,TMIN,144
BRM00083344,2014-02-25,TMIN,153
BRM00083344,2015-11-29,TMIN,191
BRM00083344,2013-10-31,TMIN,165
BRM00083344,2014-02-16,TMIN,152
BRM00083344,2015-11-27,TMIN,174
BRM00083344,2014-03-15,TMIN,150
BRM00083344,2013-10-22,TMIN,156
BRM00083344,2014-02-02,TMIN,130
BRM00083344,2014-09-23,TMIN,132
BRM00083344,2014-02-26,TMIN,150
BRM00083344,2013-08-03,TMIN,98
BRM00083344,2013-05-05,TMIN,150
BRM00083344,2013-11-12,TMIN,152
BRM00083344,2014-05-05,TMIN,142
BRM00083344,2014-04-11,TMIN,161
BRM00083344,2014-03-14,TMIN,152
BRM00083344,2015-08-31,TMIN,124
BRM00083344,2015-08-28,TMIN,140
BRM00083344,2014-01-22,TMIN,152
BRM00083344,2013-12-15,TMIN,186
BRM00083344,2015-10-14,TMIN,152
BRM00083344,2014-01-04,TMIN,152
BRM00083344,2013-09-14,TMIN,134
BRM00083344,2015-10-23,TMIN,172
BRM00083344,2015-12-13,TMIN,174
BRM00083344,2015-09-28,TMIN,142
BRM00083344,2013-06-27,TMIN,152
BRM00083344,2013-09-30,TMIN,156
BRM00083344,2014-05-16,TMIN,165
BRM00083344,2014-05-25,TMIN,165
BRM00083344,2014-03-27,TMIN,175
BRM00083344,2013-10-25,TMIN,114
BRM00083344,2014-04-21,TMIN,158
BRM00083344,2013-11-22,TMIN,130
BRM00083344,2013-12-16,TMIN,177
BRM00083344,2014-03-30,TMIN,163
BRM00083344,2015-11-06,TMIN,180
BRM00083344,2015-09-12,TMIN,127
BRM00083344,2013-05-25,TMIN,171
BRM00083344,2013-07-24,TMIN,132
BRM00083344,2013-05-06,TMIN,137
BRM00083344,2014-02-12,TMIN,146
BRM00083344,2013-10-11,TMIN,130
BRM00083344,2013-06-21,TMIN,140
BRM00083344,2015-11-07,TMIN,183
BRM00083344,2013-08-18,TMIN,140
BRM00083344,2013-07-17,TMIN,154
BRM00083344,2013-07-12,TMIN,124
BRM00083344,2005-09-03,TMIN,135
BRM00083344,2014-04-06,TMIN,171
BRM00083344,2015-09-08,TMIN,126
BRM00083344,2014-06-01,TMIN,122
BRM00083344,2015-09-19,TMIN,142
BRM00083344,2015-07-30,TMIN,108
BRM00083344,2013-08-24,TMIN,132
