ID,Date,Element,Data_Value
RSM00028522,2009-12-26,TMIN,-92
RSM00028522,2005-09-23,TMAX,153
RSM00028522,2011-03-18,TMAX,30
RSM00028522,2009-09-28,TMAX,131
RSM00028522,2011-04-15,TMIN,5
RSM00028522,2013-09-05,TMIN,77
RSM00028522,2012-09-14,TMAX,107
RSM00028522,2009-03-29,TMIN,30
RSM00028522,2009-03-13,TMAX,-4
RSM00028522,2009-03-29,TMAX,92
RSM00028522,2012-02-24,TMIN,-165
RSM00028522,2012-05-01,TMAX,118
RSM00028522,2008-11-15,TMAX,18
RSM00028522,2007-08-15,TMIN,102
RSM00028522,2007-08-15,TMAX,237
RSM00028522,2012-12-14,TMIN,-289
RSM00028522,2006-03-03,TMAX,-38
RSM00028522,2012-05-31,TMAX,273
RSM00028522,2009-04-09,TMAX,3
RSM00028522,2015-09-26,TMAX,161
RSM00028522,2011-07-09,TMAX,287
RSM00028522,2010-11-07,TMAX,6
RSM00028522,2009-11-22,TMAX,-20
RSM00028522,2011-03-01,TMIN,-301
RSM00028522,2006-08-25,TMIN,144
RSM00028522,2012-12-07,TMIN,-153
RSM00028522,2014-11-04,TMIN,-85
RSM00028522,2012-01-06,TMIN,-87
RSM00028522,2008-09-28,TMIN,-10
RSM00028522,2009-09-28,TMIN,88
RSM00028522,2006-08-25,TMAX,255
RSM00028522,2015-09-26,TMIN,55
RSM00028522,2011-10-18,TMIN,9
RSM00028522,2012-02-24,TMAX,-85
RSM00028522,2008-11-23,TMAX,71
RSM00028522,2013-12-12,TMIN,-183
RSM00028522,2011-10-18,TMAX,40
RSM00028522,2011-03-23,TMAX,-7
RSM00028522,2006-11-16,TMIN,-61
RSM00028522,2014-06-01,TMIN,44
RSM00028522,2008-11-23,TMIN,0
RSM00028522,2010-04-29,TMIN,-37
RSM00028522,2010-04-29,TMAX,147
RSM00028522,2015-01-27,TMIN,-223
RSM00028522,2011-08-05,TMIN,83
RSM00028522,2009-08-19,TMAX,266
RSM00028522,2011-08-05,TMAX,225
RSM00028522,2009-12-26,TMAX,-47
RSM00028522,2012-09-21,TMAX,182
RSM00028522,2012-10-25,TMIN,-11
RSM00028522,2007-06-09,TMAX,125
RSM00028522,2012-05-01,TMIN,10
RSM00028522,2012-05-03,TMAX,74
RSM00028522,2011-07-09,TMIN,205
RSM00028522,2006-02-20,TMIN,-230
RSM00028522,2012-12-07,TMAX,56
RSM00028522,2007-06-16,TMAX,266
RSM00028522,2008-09-28,TMAX,41
RSM00028522,2011-03-23,TMIN,-52
RSM00028522,2011-03-25,TMAX,-9
RSM00028522,2012-07-23,TMIN,98
RSM00028522,2006-03-03,TMIN,-156
RSM00028522,2010-07-20,TMAX,253
RSM00028522,2012-09-14,TMIN,63
RSM00028522,2008-03-01,TMAX,-2
RSM00028522,2012-01-18,TMAX,-47
RSM00028522,2013-09-06,TMIN,119
RSM00028522,2012-12-14,TMAX,-206
RSM00028522,2008-12-06,TMIN,-5
RSM00028522,2010-07-20,TMIN,53
RSM00028522,2012-05-31,TMIN,85
RSM00028522,2012-10-25,TMAX,25
RSM00028522,2011-02-19,TMAX,-231
RSM00028522,2009-06-19,TMAX,314
RSM00028522,2009-11-14,TMIN,-41
RSM00028522,2007-03-11,TMAX,-16
RSM00028522,2015-03-26,TMAX,-37
RSM00028522,2009-11-14,TMAX,-8
RSM00028522,2006-02-06,TMIN,-210
RSM00028522,2014-12-20,TMIN,-59
RSM00028522,2015-11-29,TMAX,-32
RSM00028522,2007-04-19,TMAX,74
RSM00028522,2012-05-03,TMIN,10
RSM00028522,2012-07-23,TMAX,256
RSM00028522,2009-04-09,TMIN,-152
RSM00028522,2006-02-20,TMAX,-61
RSM00028522,2011-04-03,TMIN,-142
RSM00028522,2012-01-04,TMIN,-200
RSM00028522,2010-01-22,TMAX,-147
RSM00028522,2011-05-02,TMIN,90
RSM00028522,2011-04-15,TMAX,64
RSM00028522,2012-01-19,TMAX,-80
RSM00028522,2012-09-21,TMIN,54
RSM00028522,2008-11-25,TMAX,-8
RSM00028522,2006-02-06,TMAX,-65
RSM00028522,2012-09-01,TMAX,128
RSM00028522,2008-12-06,TMAX,38
RSM00028522,2012-05-24,TMAX,131
RSM00028522,2012-08-10,TMIN,160
RSM00028522,2012-11-30,TMIN,-280
RSM00028522,2006-03-28,TMAX,-45
RSM00028522,2009-03-27,TMAX,34
RSM00028522,2012-08-10,TMAX,305
RSM00028522,2009-08-29,TMAX,183
RSM00028522,2006-03-28,TMIN,-97
RSM00028522,2009-08-29,TMIN,112
RSM00028522,2011-10-01,TMAX,120
RSM00028522,2012-02-20,TMAX,-60
RSM00028522,2010-01-09,TMIN,-290
RSM00028522,2011-05-17,TMAX,206
RSM00028522,2012-08-06,TMAX,321
RSM00028522,2012-02-20,TMIN,-227
RSM00028522,2008-09-06,TMAX,251
RSM00028522,2007-03-04,TMAX,-30
RSM00028522,2005-10-29,TMAX,-24
RSM00028522,2014-02-02,TMIN,-301
RSM00028522,2010-03-09,TMAX,-45
RSM00028522,2006-11-19,TMAX,-138
RSM00028522,2009-03-27,TMIN,-18
RSM00028522,2011-02-11,TMAX,-68
RSM00028522,2010-09-18,TMAX,239
RSM00028522,2010-08-22,TMAX,151
RSM00028522,2014-10-24,TMIN,-136
RSM00028522,2015-02-03,TMIN,-59
RSM00028522,2010-08-22,TMIN,4
RSM00028522,2010-09-18,TMIN,85
RSM00028522,2009-04-13,TMAX,66
RSM00028522,2009-04-13,TMIN,-72
RSM00028522,2012-01-05,TMIN,-186
RSM00028522,2008-09-06,TMIN,135
RSM00028522,2005-10-29,TMIN,-92
RSM00028522,2011-10-01,TMIN,30
RSM00028522,2006-08-13,TMAX,178
RSM00028522,2012-08-06,TMIN,113
RSM00028522,2015-07-14,TMAX,201
