ID,Date,Element,Data_Value
RSM00034958,2013-01-30,TMAX,-2
RSM00034958,2013-01-07,TMAX,-7
RSM00034958,2012-09-26,TMAX,275
RSM00034958,2012-08-14,TMIN,204
RSM00034958,2012-11-19,TMIN,-13
RSM00034958,2013-03-28,TMIN,4
RSM00034958,2013-06-28,TMIN,173
RSM00034958,2012-09-26,TMIN,114
RSM00034958,2013-01-30,TMIN,-29
RSM00034958,2012-08-31,TMAX,245
RSM00034958,2013-01-20,TMAX,64
RSM00034958,2014-04-28,TMIN,63
RSM00034958,2012-08-31,TMIN,127
RSM00034958,2013-01-07,TMIN,-60
RSM00034958,2012-09-08,TMIN,119
RSM00034958,2012-12-23,TMAX,-47
RSM00034958,2012-12-12,TMIN,-48
RSM00034958,2012-10-27,TMIN,37
RSM00034958,2015-12-13,TMAX,57
RSM00034958,2014-08-05,TMIN,137
RSM00034958,2015-12-07,TMAX,113
RSM00034958,2013-03-23,TMAX,97
RSM00034958,2015-01-26,TMIN,1
RSM00034958,2013-07-15,TMIN,185
RSM00034958,2012-12-06,TMIN,23
RSM00034958,2014-09-14,TMIN,124
RSM00034958,2013-03-28,TMAX,119
RSM00034958,2013-08-14,TMIN,152
RSM00034958,2014-07-27,TMIN,152
RSM00034958,2012-10-25,TMIN,98
RSM00034958,2013-10-10,TMIN,5
RSM00034958,2012-10-25,TMAX,182
RSM00034958,2012-12-23,TMIN,-94
RSM00034958,2012-09-03,TMAX,257
RSM00034958,2013-01-23,TMAX,80
RSM00034958,2012-12-13,TMAX,3
RSM00034958,2014-09-19,TMIN,95
RSM00034958,2012-10-18,TMAX,206
RSM00034958,2014-06-17,TMIN,138
RSM00034958,2014-07-26,TMIN,146
RSM00034958,2015-11-15,TMIN,29
RSM00034958,2012-12-18,TMAX,-66
RSM00034958,2015-02-08,TMAX,-2
RSM00034958,2013-07-12,TMIN,167
RSM00034958,2013-01-23,TMIN,-22
RSM00034958,2012-10-27,TMAX,204
RSM00034958,2015-12-30,TMAX,-50
RSM00034958,2015-11-15,TMAX,81
RSM00034958,2014-07-06,TMIN,206
RSM00034958,2013-07-10,TMIN,179
RSM00034958,2015-11-03,TMIN,49
RSM00034958,2012-11-18,TMAX,39
RSM00034958,2012-11-19,TMAX,90
RSM00034958,2015-12-23,TMIN,55
RSM00034958,2015-11-30,TMIN,37
RSM00034958,2013-06-05,TMIN,125
RSM00034958,2013-07-14,TMIN,164
RSM00034958,2013-02-02,TMIN,-5
RSM00034958,2013-01-16,TMAX,-85
RSM00034958,2013-01-17,TMIN,-139
RSM00034958,2012-12-16,TMIN,-121
RSM00034958,2012-11-16,TMIN,-43
RSM00034958,2012-10-19,TMIN,120
RSM00034958,2012-10-16,TMAX,222
RSM00034958,2013-01-17,TMAX,-11
RSM00034958,2012-08-22,TMAX,215
RSM00034958,2012-10-19,TMAX,191
RSM00034958,2015-04-01,TMIN,1
RSM00034958,2012-12-16,TMAX,-93
RSM00034958,2012-11-16,TMAX,128
RSM00034958,2012-09-11,TMAX,225
RSM00034958,2013-02-02,TMAX,41
RSM00034958,2014-05-17,TMIN,100
RSM00034958,2015-11-29,TMAX,69
RSM00034958,2014-05-04,TMIN,88
RSM00034958,2012-08-06,TMIN,218
RSM00034958,2012-08-06,TMAX,324
RSM00034958,2015-12-20,TMAX,61
RSM00034958,2014-11-27,TMAX,9
RSM00034958,2013-03-23,TMIN,45
RSM00034958,2012-10-02,TMAX,244
RSM00034958,2012-11-28,TMAX,102
RSM00034958,2013-08-27,TMIN,166
RSM00034958,2014-06-28,TMIN,141
RSM00034958,2013-01-21,TMAX,67
RSM00034958,2014-07-03,TMIN,201
