ID,Date,Element,Data_Value
LYM00062062,2009-12-01,TMAX,221
LYM00062062,2008-07-11,TMAX,300
LYM00062062,2009-08-24,TMIN,240
LYM00062062,2009-11-28,TMIN,120
LYM00062062,2009-11-28,TMAX,215
LYM00062062,2009-08-18,TMIN,250
LYM00062062,2005-03-20,TMIN,115
LYM00062062,2014-05-13,TMIN,156
LYM00062062,2014-04-15,TMIN,162
LYM00062062,2008-05-16,TMAX,220
LYM00062062,2006-11-16,TMAX,211
LYM00062062,2007-06-12,TMIN,205
LYM00062062,2008-08-24,TMAX,310
LYM00062062,2007-06-12,TMAX,240
LYM00062062,2009-08-19,TMAX,300
LYM00062062,2007-11-07,TMAX,225
LYM00062062,2006-05-21,TMAX,255
LYM00062062,2007-06-18,TMIN,205
LYM00062062,2014-01-07,TMIN,115
LYM00062062,2006-12-21,TMAX,190
LYM00062062,2006-09-04,TMIN,215
LYM00062062,2005-12-20,TMIN,125
LYM00062062,2008-08-25,TMAX,290
LYM00062062,2007-06-08,TMIN,188
LYM00062062,2005-01-18,TMAX,145
LYM00062062,2014-03-15,TMIN,118
LYM00062062,2008-04-08,TMAX,290
LYM00062062,2007-09-30,TMAX,280
LYM00062062,2013-12-13,TMIN,130
LYM00062062,2006-05-21,TMIN,170
LYM00062062,2008-08-25,TMIN,245
LYM00062062,2009-08-18,TMAX,295
LYM00062062,2007-01-04,TMAX,145
LYM00062062,2014-05-01,TMIN,165
LYM00062062,2007-02-06,TMIN,80
LYM00062062,2014-03-29,TMIN,145
LYM00062062,2009-12-01,TMIN,135
LYM00062062,2010-01-01,TMIN,136
LYM00062062,2007-06-16,TMIN,215
LYM00062062,2014-07-03,TMAX,295
LYM00062062,2009-11-01,TMIN,135
LYM00062062,2013-04-09,TMAX,205
LYM00062062,2006-09-04,TMAX,280
LYM00062062,2005-01-03,TMIN,107
LYM00062062,2007-10-17,TMAX,250
LYM00062062,2013-04-09,TMIN,138
LYM00062062,2009-11-01,TMAX,185
LYM00062062,2014-03-29,TMAX,200
LYM00062062,2009-08-24,TMAX,293
LYM00062062,2005-06-21,TMAX,288
LYM00062062,2014-05-13,TMAX,275
LYM00062062,2006-10-25,TMIN,185
LYM00062062,2006-09-11,TMIN,230
LYM00062062,2010-04-06,TMAX,203
LYM00062062,2007-11-26,TMIN,120
LYM00062062,2007-11-26,TMAX,230
LYM00062062,2008-09-04,TMAX,295
LYM00062062,2014-05-29,TMIN,159
LYM00062062,2008-06-07,TMAX,270
LYM00062062,2013-02-10,TMIN,85
LYM00062062,2007-03-07,TMAX,200
LYM00062062,2014-05-01,TMAX,210
LYM00062062,2007-06-16,TMAX,265
LYM00062062,2007-01-31,TMIN,105
LYM00062062,2008-02-01,TMIN,108
LYM00062062,2007-02-02,TMAX,152
LYM00062062,2010-01-01,TMAX,270
LYM00062062,2006-10-25,TMAX,250
LYM00062062,2014-01-07,TMAX,160
LYM00062062,2007-02-10,TMIN,110
LYM00062062,2005-09-09,TMAX,290
LYM00062062,2007-03-10,TMAX,265
LYM00062062,2009-10-01,TMIN,210
LYM00062062,2006-01-17,TMIN,85
LYM00062062,2007-06-10,TMIN,210
LYM00062062,2007-12-05,TMAX,185
LYM00062062,2007-06-11,TMAX,255
LYM00062062,2006-02-15,TMIN,80
LYM00062062,2008-02-12,TMIN,90
LYM00062062,2013-10-06,TMIN,195
LYM00062062,2005-01-11,TMIN,135
LYM00062062,2007-09-13,TMAX,290
LYM00062062,2008-02-06,TMAX,190
LYM00062062,2007-06-10,TMAX,250
LYM00062062,2014-04-18,TMIN,140
LYM00062062,2006-11-12,TMIN,140
LYM00062062,2014-04-18,TMAX,200
LYM00062062,2008-06-07,TMIN,210
LYM00062062,2006-02-15,TMAX,130
LYM00062062,2009-11-05,TMIN,166
LYM00062062,2015-02-28,TMAX,195
LYM00062062,2005-01-03,TMAX,185
LYM00062062,2014-02-12,TMAX,230
LYM00062062,2008-03-21,TMAX,385
LYM00062062,2008-06-14,TMIN,225
LYM00062062,2007-07-07,TMIN,255
LYM00062062,2013-02-19,TMIN,95
LYM00062062,2015-03-02,TMAX,180
LYM00062062,2013-07-08,TMIN,230
LYM00062062,2013-07-08,TMAX,308
LYM00062062,2009-11-03,TMAX,238
LYM00062062,2010-03-22,TMAX,170
LYM00062062,2007-07-07,TMAX,290
LYM00062062,2009-10-17,TMAX,260
LYM00062062,2006-01-17,TMAX,155
LYM00062062,2007-05-05,TMIN,168
LYM00062062,2005-09-14,TMIN,230
LYM00062062,2007-03-28,TMIN,130
LYM00062062,2009-10-17,TMIN,210
LYM00062062,2012-10-06,TMAX,290
LYM00062062,2007-02-10,TMAX,217
LYM00062062,2013-09-06,TMIN,228
LYM00062062,2013-09-06,TMAX,308
LYM00062062,2014-02-12,TMIN,125
LYM00062062,2005-01-10,TMIN,100
LYM00062062,2013-09-02,TMIN,240
LYM00062062,2008-06-28,TMIN,230
LYM00062062,2008-07-24,TMAX,290
LYM00062062,2007-06-11,TMIN,190
LYM00062062,2005-07-17,TMAX,292
LYM00062062,2009-04-13,TMAX,215
LYM00062062,2009-05-13,TMIN,165
LYM00062062,2005-12-04,TMAX,210
LYM00062062,2013-08-26,TMAX,303
LYM00062062,2013-08-26,TMIN,235
LYM00062062,2010-03-01,TMAX,285
LYM00062062,2007-08-26,TMAX,315
LYM00062062,2006-06-01,TMAX,370
LYM00062062,2008-03-30,TMAX,200
LYM00062062,2007-10-02,TMIN,200
LYM00062062,2007-10-02,TMAX,275
LYM00062062,2010-03-01,TMIN,100
LYM00062062,2012-09-29,TMAX,292
LYM00062062,2013-11-30,TMIN,150
LYM00062062,2006-12-21,TMIN,132
LYM00062062,2006-12-03,TMAX,180
LYM00062062,2005-01-25,TMAX,200
LYM00062062,2008-08-26,TMAX,300
LYM00062062,2006-08-09,TMIN,240
LYM00062062,2013-02-10,TMAX,185
LYM00062062,2008-08-26,TMIN,250
LYM00062062,2008-08-12,TMIN,240
LYM00062062,2006-05-10,TMAX,250
LYM00062062,2009-11-30,TMAX,230
LYM00062062,2009-11-30,TMIN,120
LYM00062062,2013-07-09,TMIN,220
LYM00062062,2006-07-11,TMAX,280
LYM00062062,2008-05-04,TMIN,82
LYM00062062,2008-05-04,TMAX,292
LYM00062062,2013-10-06,TMAX,240
LYM00062062,2009-11-13,TMAX,225
LYM00062062,2007-06-18,TMAX,275
LYM00062062,2010-03-29,TMIN,130
LYM00062062,2008-07-24,TMIN,240
LYM00062062,2005-01-10,TMAX,180
LYM00062062,2006-11-12,TMAX,200
LYM00062062,2008-02-06,TMIN,108
LYM00062062,2005-01-11,TMAX,180
LYM00062062,2006-07-11,TMIN,240
LYM00062062,2009-11-05,TMAX,250
LYM00062062,2013-04-25,TMIN,165
LYM00062062,2013-12-03,TMAX,247
LYM00062062,2008-06-28,TMAX,310
LYM00062062,2008-04-08,TMIN,150
LYM00062062,2007-03-28,TMAX,270
LYM00062062,2013-04-25,TMAX,222
LYM00062062,2009-04-13,TMIN,165
LYM00062062,2008-08-12,TMAX,290
LYM00062062,2006-06-04,TMAX,240
LYM00062062,2006-05-22,TMIN,198
LYM00062062,2009-10-06,TMIN,225
LYM00062062,2006-06-11,TMIN,200
LYM00062062,2005-04-03,TMAX,180
LYM00062062,2006-07-18,TMAX,290
LYM00062062,2006-07-18,TMIN,235
LYM00062062,2013-10-28,TMAX,250
LYM00062062,2006-10-06,TMIN,200
LYM00062062,2007-02-22,TMIN,125
LYM00062062,2008-06-17,TMIN,200
LYM00062062,2008-06-17,TMAX,260
LYM00062062,2006-04-07,TMIN,125
LYM00062062,2008-04-19,TMIN,155
LYM00062062,2006-04-07,TMAX,320
LYM00062062,2007-02-22,TMAX,190
LYM00062062,2005-12-19,TMIN,120
LYM00062062,2005-12-19,TMAX,145
LYM00062062,2007-01-09,TMAX,160
LYM00062062,2006-12-07,TMAX,175
LYM00062062,2006-12-19,TMAX,200
LYM00062062,2006-12-19,TMIN,92
LYM00062062,2014-02-25,TMIN,116
LYM00062062,2008-07-08,TMAX,305
LYM00062062,2007-09-17,TMAX,275
LYM00062062,2007-11-12,TMAX,235
LYM00062062,2006-11-02,TMIN,160
LYM00062062,2009-04-17,TMIN,145
LYM00062062,2008-03-19,TMIN,130
LYM00062062,2006-10-06,TMAX,270
LYM00062062,2014-01-22,TMAX,238
LYM00062062,2013-08-13,TMIN,240
LYM00062062,2008-04-27,TMAX,200
LYM00062062,2008-03-25,TMAX,210
LYM00062062,2007-07-04,TMAX,300
LYM00062062,2008-03-25,TMIN,148
LYM00062062,2009-07-16,TMIN,240
LYM00062062,2009-07-16,TMAX,300
LYM00062062,2013-08-06,TMAX,304
LYM00062062,2007-07-04,TMIN,235
LYM00062062,2013-08-06,TMIN,245
LYM00062062,2007-09-21,TMAX,285
LYM00062062,2014-07-10,TMAX,301
LYM00062062,2013-09-28,TMAX,285
LYM00062062,2008-06-03,TMAX,290
LYM00062062,2013-09-28,TMIN,220
LYM00062062,2009-10-03,TMIN,230
LYM00062062,2013-06-03,TMIN,198
LYM00062062,2007-01-01,TMIN,145
LYM00062062,2008-06-23,TMAX,290
LYM00062062,2013-06-03,TMAX,270
LYM00062062,2006-11-13,TMIN,160
LYM00062062,2013-01-30,TMIN,90
LYM00062062,2009-09-26,TMIN,223
LYM00062062,2007-05-02,TMAX,240
LYM00062062,2007-05-02,TMIN,185
LYM00062062,2009-12-24,TMAX,200
LYM00062062,2005-12-17,TMAX,180
LYM00062062,2005-12-24,TMAX,135
LYM00062062,2009-09-26,TMAX,325
LYM00062062,2013-08-13,TMAX,303
LYM00062062,2007-10-22,TMAX,265
LYM00062062,2007-09-12,TMAX,280
LYM00062062,2008-05-15,TMAX,230
LYM00062062,2013-05-21,TMAX,285
LYM00062062,2009-08-01,TMIN,245
LYM00062062,2008-03-04,TMIN,140
LYM00062062,2009-04-17,TMAX,205
LYM00062062,2006-11-15,TMIN,145
LYM00062062,2009-05-26,TMAX,255
LYM00062062,2006-11-15,TMAX,200
LYM00062062,2013-07-13,TMAX,285
LYM00062062,2006-10-09,TMAX,260
LYM00062062,2009-12-07,TMIN,145
LYM00062062,2012-06-14,TMIN,216
LYM00062062,2005-12-30,TMIN,113
LYM00062062,2005-12-30,TMAX,190
LYM00062062,2007-02-17,TMIN,110
LYM00062062,2008-03-04,TMAX,250
LYM00062062,2006-09-20,TMAX,290
LYM00062062,2007-11-16,TMIN,135
LYM00062062,2008-01-19,TMAX,175
LYM00062062,2015-04-02,TMIN,145
LYM00062062,2015-04-02,TMAX,195
LYM00062062,2008-01-19,TMIN,105
LYM00062062,2009-10-09,TMAX,268
LYM00062062,2009-04-06,TMAX,215
LYM00062062,2010-01-02,TMIN,130
LYM00062062,2007-02-19,TMAX,190
LYM00062062,2007-02-19,TMIN,100
LYM00062062,2009-09-07,TMIN,255
LYM00062062,2006-08-21,TMAX,322
LYM00062062,2013-10-12,TMIN,215
LYM00062062,2013-11-07,TMAX,233
LYM00062062,2008-06-03,TMIN,200
LYM00062062,2007-09-02,TMAX,310
LYM00062062,2007-09-02,TMIN,240
LYM00062062,2006-04-08,TMAX,200
LYM00062062,2006-07-06,TMAX,280
LYM00062062,2006-03-12,TMAX,210
LYM00062062,2013-12-17,TMIN,120
LYM00062062,2006-03-22,TMAX,270
LYM00062062,2007-07-26,TMAX,340
LYM00062062,2006-11-02,TMAX,250
LYM00062062,2014-03-10,TMAX,172
LYM00062062,2013-10-19,TMIN,225
LYM00062062,2006-07-06,TMIN,230
LYM00062062,2013-10-19,TMAX,255
LYM00062062,2007-06-23,TMAX,290
LYM00062062,2006-06-07,TMIN,195
LYM00062062,2013-07-13,TMIN,236
LYM00062062,2013-05-21,TMIN,200
LYM00062062,2006-06-07,TMAX,250
LYM00062062,2005-09-04,TMAX,300
LYM00062062,2009-09-12,TMAX,295
LYM00062062,2008-03-03,TMAX,200
LYM00062062,2009-12-07,TMAX,200
LYM00062062,2008-09-11,TMAX,290
LYM00062062,2007-06-23,TMIN,220
LYM00062062,2013-01-16,TMAX,207
LYM00062062,2007-07-26,TMIN,255
LYM00062062,2006-06-27,TMIN,230
LYM00062062,2006-06-27,TMAX,288
LYM00062062,2009-10-09,TMIN,200
LYM00062062,2009-08-01,TMAX,300
LYM00062062,2007-11-04,TMAX,320
LYM00062062,2007-09-30,TMIN,230
LYM00062062,2014-02-13,TMIN,130
LYM00062062,2006-12-08,TMIN,110
LYM00062062,2014-03-15,TMAX,230
LYM00062062,2006-11-28,TMAX,220
LYM00062062,2008-04-02,TMAX,270
LYM00062062,2015-03-02,TMIN,125
LYM00062062,2006-01-29,TMAX,180
LYM00062062,2007-06-01,TMIN,190
LYM00062062,2006-12-23,TMIN,135
LYM00062062,2014-01-26,TMAX,180
LYM00062062,2014-02-15,TMIN,130
LYM00062062,2007-07-14,TMIN,230
LYM00062062,2006-12-12,TMAX,200
LYM00062062,2006-02-09,TMAX,165
LYM00062062,2014-01-26,TMIN,130
LYM00062062,2007-09-11,TMAX,275
LYM00062062,2014-02-15,TMAX,203
LYM00062062,2013-05-20,TMAX,280
LYM00062062,2014-04-26,TMAX,230
LYM00062062,2007-10-03,TMAX,270
LYM00062062,2007-10-03,TMIN,195
LYM00062062,2006-10-17,TMAX,288
LYM00062062,2007-11-20,TMAX,190
LYM00062062,2012-10-13,TMAX,294
LYM00062062,2009-05-30,TMAX,255
LYM00062062,2006-04-02,TMIN,150
LYM00062062,2013-03-29,TMIN,180
LYM00062062,2006-04-02,TMAX,200
LYM00062062,2014-04-26,TMIN,165
LYM00062062,2009-06-21,TMAX,295
LYM00062062,2007-07-27,TMAX,310
LYM00062062,2006-09-21,TMAX,280
LYM00062062,2006-12-23,TMAX,180
LYM00062062,2014-02-20,TMAX,220
LYM00062062,2014-02-20,TMIN,120
LYM00062062,2013-05-14,TMIN,185
LYM00062062,2013-05-14,TMAX,240
LYM00062062,2009-12-25,TMIN,105
