ID,Date,Element,Data_Value
ASN00005084,2010-06-11,TMAX,258
ASN00005084,2009-07-25,TMIN,165
ASN00005084,2009-09-23,TMAX,288
ASN00005084,2007-05-17,TMIN,201
ASN00005084,2008-01-13,TMIN,262
ASN00005084,2010-06-28,TMIN,173
ASN00005084,2007-07-14,TMAX,231
ASN00005084,2008-03-27,TMAX,288
ASN00005084,2011-10-24,TMAX,317
ASN00005084,2007-01-01,TMAX,369
ASN00005084,2006-10-01,TMIN,198
ASN00005084,2011-10-24,TMIN,222
ASN00005084,2009-02-19,TMIN,271
ASN00005084,2005-11-15,TMAX,275
ASN00005084,2007-01-01,TMIN,255
ASN00005084,2008-07-10,TMIN,169
ASN00005084,2012-10-11,TMIN,235
ASN00005084,2010-08-30,TMIN,204
ASN00005084,2008-03-27,TMIN,232
ASN00005084,2013-01-05,TMIN,263
ASN00005084,2011-06-24,TMAX,256
ASN00005084,2009-08-04,TMAX,270
ASN00005084,2005-11-15,TMIN,207
ASN00005084,2011-08-30,TMAX,294
ASN00005084,2007-04-10,TMAX,331
ASN00005084,2009-06-03,TMAX,278
ASN00005084,2012-10-11,TMAX,317
ASN00005084,2007-05-17,TMAX,300
ASN00005084,2005-11-07,TMAX,271
ASN00005084,2011-04-01,TMAX,321
ASN00005084,2012-02-20,TMAX,354
ASN00005084,2012-10-31,TMAX,308
ASN00005084,2007-07-10,TMIN,158
ASN00005084,2007-07-23,TMIN,181
ASN00005084,2009-05-10,TMIN,204
ASN00005084,2006-10-23,TMIN,245
ASN00005084,2007-08-04,TMIN,151
ASN00005084,2009-06-18,TMIN,161
ASN00005084,2010-06-30,TMAX,243
ASN00005084,2010-06-30,TMIN,171
ASN00005084,2009-03-12,TMIN,269
ASN00005084,2012-02-10,TMIN,277
ASN00005084,2012-09-19,TMAX,275
ASN00005084,2008-08-02,TMIN,167
ASN00005084,2009-06-27,TMIN,193
ASN00005084,2007-07-19,TMAX,254
ASN00005084,2012-10-31,TMIN,232
ASN00005084,2007-09-15,TMAX,266
ASN00005084,2012-04-10,TMAX,352
ASN00005084,2011-07-29,TMIN,197
ASN00005084,2005-10-27,TMIN,186
ASN00005084,2006-10-23,TMAX,352
ASN00005084,2009-07-02,TMAX,202
ASN00005084,2009-06-29,TMAX,250
ASN00005084,2008-09-30,TMAX,282
ASN00005084,2009-05-16,TMAX,276
ASN00005084,2009-09-08,TMIN,171
ASN00005084,2012-12-06,TMIN,249
ASN00005084,2009-07-25,TMAX,263
ASN00005084,2010-09-27,TMIN,226
ASN00005084,2010-07-23,TMIN,198
ASN00005084,2008-05-04,TMIN,240
ASN00005084,2007-12-21,TMAX,354
ASN00005084,2005-02-27,TMIN,265
ASN00005084,2010-08-21,TMAX,232
ASN00005084,2007-04-10,TMIN,259
ASN00005084,2009-06-29,TMIN,207
ASN00005084,2007-12-21,TMIN,226
ASN00005084,2009-03-12,TMAX,332
ASN00005084,2010-07-21,TMAX,256
ASN00005084,2011-04-05,TMAX,331
ASN00005084,2007-07-23,TMAX,249
ASN00005084,2012-04-18,TMAX,337
ASN00005084,2011-12-02,TMIN,212
ASN00005084,2006-01-16,TMIN,243
ASN00005084,2008-01-13,TMAX,340
ASN00005084,2006-03-01,TMIN,233
ASN00005084,2009-03-06,TMAX,362
ASN00005084,2011-04-05,TMIN,266
ASN00005084,2007-03-01,TMIN,230
ASN00005084,2008-05-04,TMAX,324
ASN00005084,2010-02-07,TMIN,225
ASN00005084,2012-07-31,TMAX,249
ASN00005084,2013-01-05,TMAX,341
ASN00005084,2012-07-31,TMIN,137
