ID,Date,Element,Data_Value
FMC00914419,2005-05-06,TMIN,244
FMC00914419,2005-01-19,TMIN,244
FMC00914419,2005-05-05,TMAX,317
FMC00914419,2005-01-19,TMAX,317
FMC00914419,2005-01-01,TMIN,228
FMC00914419,2005-05-18,TMIN,256
FMC00914419,2005-01-03,TMAX,311
FMC00914419,2005-05-03,TMAX,317
FMC00914419,2005-05-13,TMAX,317
FMC00914419,2005-01-01,TMAX,317
FMC00914419,2005-06-03,TMAX,311
FMC00914419,2005-05-14,TMAX,317
FMC00914419,2005-01-17,TMIN,244
FMC00914419,2005-06-12,TMIN,244
FMC00914419,2005-06-13,TMAX,317
FMC00914419,2005-01-26,TMIN,239
FMC00914419,2005-01-06,TMIN,233
FMC00914419,2005-06-05,TMIN,244
FMC00914419,2005-01-11,TMIN,233
FMC00914419,2005-06-16,TMAX,317
FMC00914419,2005-01-31,TMIN,228
FMC00914419,2005-01-26,TMAX,306
FMC00914419,2005-01-15,TMAX,311
FMC00914419,2005-06-16,TMIN,233
FMC00914419,2005-05-26,TMAX,317
FMC00914419,2005-06-14,TMIN,239
FMC00914419,2005-05-01,TMIN,233
FMC00914419,2005-01-12,TMAX,311
FMC00914419,2005-06-02,TMIN,239
FMC00914419,2005-05-09,TMAX,311
FMC00914419,2005-05-25,TMAX,306
FMC00914419,2005-06-14,TMAX,317
FMC00914419,2005-06-05,TMAX,322
FMC00914419,2005-01-24,TMAX,311
FMC00914419,2005-05-06,TMAX,317
FMC00914419,2005-06-24,TMAX,322
FMC00914419,2005-06-13,TMIN,239
FMC00914419,2005-06-02,TMAX,311
FMC00914419,2005-05-21,TMAX,306
FMC00914419,2005-05-15,TMAX,322
FMC00914419,2005-01-22,TMIN,239
FMC00914419,2005-01-21,TMAX,322
FMC00914419,2005-05-28,TMIN,250
FMC00914419,2005-01-23,TMAX,317
FMC00914419,2005-06-26,TMAX,317
FMC00914419,2005-01-07,TMIN,222
FMC00914419,2005-05-04,TMAX,311
FMC00914419,2005-01-21,TMIN,239
FMC00914419,2005-06-25,TMAX,317
FMC00914419,2005-05-11,TMIN,244
FMC00914419,2005-05-04,TMIN,239
FMC00914419,2005-05-02,TMAX,317
FMC00914419,2005-05-27,TMAX,311
FMC00914419,2005-05-31,TMIN,239
FMC00914419,2005-01-09,TMIN,228
FMC00914419,2005-05-27,TMIN,244
FMC00914419,2005-05-24,TMAX,317
FMC00914419,2005-05-02,TMIN,228
FMC00914419,2005-05-28,TMAX,317
FMC00914419,2005-06-25,TMIN,239
FMC00914419,2005-06-12,TMAX,317
FMC00914419,2005-05-29,TMAX,306
FMC00914419,2005-01-05,TMAX,311
FMC00914419,2005-05-13,TMIN,244
FMC00914419,2005-01-08,TMIN,222
FMC00914419,2005-06-28,TMAX,317
FMC00914419,2005-06-23,TMIN,239
FMC00914419,2005-06-26,TMIN,239
FMC00914419,2005-01-14,TMAX,311
FMC00914419,2005-06-01,TMAX,300
FMC00914419,2005-01-09,TMAX,311
FMC00914419,2005-01-11,TMAX,311
FMC00914419,2005-06-10,TMIN,233
FMC00914419,2005-05-15,TMIN,244
FMC00914419,2005-01-14,TMIN,222
FMC00914419,2005-06-28,TMIN,239
FMC00914419,2005-06-23,TMAX,317
FMC00914419,2005-01-06,TMAX,311
FMC00914419,2005-05-26,TMIN,244
FMC00914419,2005-05-09,TMIN,239
FMC00914419,2005-01-02,TMIN,233
FMC00914419,2005-01-24,TMIN,233
FMC00914419,2005-05-17,TMAX,322
FMC00914419,2005-01-17,TMAX,317
FMC00914419,2005-01-18,TMAX,317
FMC00914419,2005-01-13,TMIN,261
