ID,Date,Element,Data_Value
ZA000067743,2007-12-27,TMIN,195
ZA000067743,2015-06-08,TMAX,270
ZA000067743,2014-07-15,TMIN,69
ZA000067743,2014-12-24,TMIN,208
ZA000067743,2012-05-26,TMIN,82
ZA000067743,2014-05-23,TMAX,303
ZA000067743,2013-06-04,TMIN,55
ZA000067743,2013-12-29,TMAX,314
ZA000067743,2008-02-14,TMAX,328
ZA000067743,2012-05-26,TMAX,289
ZA000067743,2005-11-21,TMAX,340
ZA000067743,2005-11-21,TMIN,198
ZA000067743,2014-07-27,TMIN,80
ZA000067743,2009-08-18,TMIN,95
ZA000067743,2013-07-08,TMAX,273
ZA000067743,2015-06-08,TMIN,70
ZA000067743,2008-02-14,TMIN,165
ZA000067743,2013-12-29,TMIN,210
ZA000067743,2014-05-29,TMIN,90
ZA000067743,2010-05-13,TMAX,322
ZA000067743,2014-10-12,TMIN,205
ZA000067743,2007-12-26,TMAX,274
ZA000067743,2007-08-30,TMIN,154
ZA000067743,2015-05-11,TMAX,298
ZA000067743,2010-11-30,TMAX,332
ZA000067743,2015-05-06,TMIN,91
ZA000067743,2015-05-06,TMAX,299
ZA000067743,2013-06-01,TMIN,90
ZA000067743,2007-01-10,TMAX,305
ZA000067743,2015-05-11,TMIN,105
ZA000067743,2012-08-03,TMAX,291
ZA000067743,2007-01-10,TMIN,207
ZA000067743,2013-09-22,TMAX,376
ZA000067743,2014-12-24,TMAX,301
ZA000067743,2015-05-15,TMAX,310
ZA000067743,2015-05-15,TMIN,110
ZA000067743,2013-07-08,TMIN,79
ZA000067743,2010-09-22,TMAX,368
ZA000067743,2007-12-26,TMIN,195
ZA000067743,2011-09-12,TMAX,336
ZA000067743,2008-08-14,TMIN,104
ZA000067743,2006-07-31,TMAX,250
ZA000067743,2013-10-06,TMAX,350
ZA000067743,2014-05-23,TMIN,126
ZA000067743,2006-07-31,TMIN,110
ZA000067743,2015-04-28,TMIN,115
ZA000067743,2012-06-20,TMAX,280
ZA000067743,2013-06-05,TMIN,73
ZA000067743,2011-09-12,TMIN,131
ZA000067743,2007-01-01,TMIN,201
ZA000067743,2014-05-29,TMAX,290
ZA000067743,2005-05-19,TMIN,140
ZA000067743,2010-02-11,TMIN,190
ZA000067743,2010-02-11,TMAX,321
ZA000067743,2010-04-13,TMAX,290
ZA000067743,2014-02-05,TMIN,195
ZA000067743,2011-08-11,TMAX,304
ZA000067743,2013-08-09,TMAX,294
ZA000067743,2014-02-20,TMIN,160
ZA000067743,2014-01-12,TMIN,200
ZA000067743,2015-09-22,TMIN,150
ZA000067743,2011-05-27,TMAX,243
ZA000067743,2015-09-22,TMAX,345
ZA000067743,2012-03-26,TMIN,174
ZA000067743,2008-01-16,TMAX,280
ZA000067743,2014-01-12,TMAX,325
ZA000067743,2014-02-05,TMAX,281
ZA000067743,2012-08-03,TMIN,101
ZA000067743,2015-09-21,TMAX,370
ZA000067743,2009-07-15,TMIN,90
ZA000067743,2012-08-02,TMAX,286
ZA000067743,2010-02-18,TMIN,195
ZA000067743,2015-09-21,TMIN,148
ZA000067743,2008-01-02,TMIN,194
ZA000067743,2007-06-13,TMIN,119
ZA000067743,2010-03-09,TMIN,161
ZA000067743,2013-08-09,TMIN,136
ZA000067743,2014-04-12,TMIN,155
ZA000067743,2013-08-28,TMIN,113
ZA000067743,2010-02-18,TMAX,300
ZA000067743,2015-08-25,TMAX,335
ZA000067743,2014-12-26,TMIN,205
ZA000067743,2013-06-04,TMAX,300
ZA000067743,2014-12-26,TMAX,275
ZA000067743,2008-01-16,TMIN,199
ZA000067743,2007-05-26,TMAX,287
ZA000067743,2013-12-06,TMAX,332
ZA000067743,2013-12-06,TMIN,198
ZA000067743,2013-10-06,TMIN,176
ZA000067743,2014-01-07,TMIN,210
ZA000067743,2008-02-11,TMIN,170
ZA000067743,2008-02-11,TMAX,286
ZA000067743,2012-04-15,TMAX,285
ZA000067743,2014-11-26,TMAX,395
ZA000067743,2014-11-26,TMIN,210
ZA000067743,2012-09-10,TMAX,349
ZA000067743,2013-07-22,TMAX,260
ZA000067743,2015-04-28,TMAX,305
ZA000067743,2007-12-31,TMAX,205
ZA000067743,2006-04-04,TMIN,152
ZA000067743,2006-04-04,TMAX,305
ZA000067743,2013-07-22,TMIN,96
ZA000067743,2014-04-07,TMAX,290
ZA000067743,2014-02-24,TMIN,200
ZA000067743,2013-11-22,TMIN,200
ZA000067743,2007-12-12,TMAX,291
ZA000067743,2007-12-12,TMIN,193
ZA000067743,2008-07-27,TMAX,257
ZA000067743,2014-02-20,TMAX,330
ZA000067743,2009-08-10,TMAX,270
ZA000067743,2013-08-31,TMAX,348
ZA000067743,2007-05-26,TMIN,84
ZA000067743,2014-05-25,TMIN,114
ZA000067743,2014-05-25,TMAX,290
ZA000067743,2013-08-31,TMIN,144
ZA000067743,2012-06-21,TMIN,106
ZA000067743,2013-10-12,TMIN,185
ZA000067743,2008-05-28,TMIN,100
ZA000067743,2013-10-02,TMIN,144
ZA000067743,2008-02-04,TMIN,182
ZA000067743,2013-06-01,TMAX,316
ZA000067743,2009-12-03,TMIN,208
ZA000067743,2012-06-21,TMAX,280
ZA000067743,2013-06-05,TMAX,301
ZA000067743,2009-09-14,TMAX,350
