ID,Date,Element,Data_Value
NPM00044477,2013-12-06,TMIN,95
NPM00044477,2014-07-26,TMAX,294
NPM00044477,2013-12-06,TMAX,224
NPM00044477,2014-07-11,TMIN,216
NPM00044477,2014-09-13,TMAX,282
NPM00044477,2014-09-11,TMIN,200
NPM00044477,2014-12-07,TMIN,102
NPM00044477,2014-07-26,TMIN,215
NPM00044477,2014-09-13,TMIN,200
NPM00044477,2015-06-29,TMAX,284
NPM00044477,2015-06-29,TMIN,205
NPM00044477,2013-12-09,TMAX,220
NPM00044477,2015-10-28,TMAX,253
NPM00044477,2014-07-11,TMAX,288
NPM00044477,2014-09-11,TMAX,272
NPM00044477,2014-05-18,TMAX,298
NPM00044477,2014-04-20,TMAX,298
NPM00044477,2015-06-17,TMIN,208
NPM00044477,2014-03-22,TMIN,108
NPM00044477,2015-02-17,TMIN,100
NPM00044477,2015-06-28,TMAX,244
NPM00044477,2013-12-10,TMIN,100
NPM00044477,2015-10-28,TMIN,150
NPM00044477,2015-01-14,TMAX,212
NPM00044477,2015-08-18,TMIN,210
NPM00044477,2014-09-30,TMIN,172
NPM00044477,2014-08-02,TMIN,210
NPM00044477,2014-08-02,TMAX,292
NPM00044477,2015-08-18,TMAX,270
NPM00044477,2014-09-30,TMAX,268
NPM00044477,2015-10-25,TMIN,114
NPM00044477,2015-01-14,TMIN,72
NPM00044477,2013-12-10,TMAX,210
NPM00044477,2015-09-27,TMIN,175
NPM00044477,2015-10-25,TMAX,250
NPM00044477,2015-12-21,TMIN,62
NPM00044477,2015-06-08,TMIN,216
NPM00044477,2015-06-17,TMAX,291
NPM00044477,2015-06-08,TMAX,295
NPM00044477,2014-01-09,TMIN,57
NPM00044477,2014-11-29,TMAX,202
NPM00044477,2014-04-06,TMAX,260
NPM00044477,2014-01-09,TMAX,186
NPM00044477,2015-02-17,TMAX,225
NPM00044477,2014-04-20,TMIN,176
NPM00044477,2015-05-16,TMAX,275
NPM00044477,2014-08-17,TMIN,200
NPM00044477,2015-06-19,TMAX,280
NPM00044477,2015-05-04,TMAX,289
NPM00044477,2013-12-09,TMIN,98
