ID,Date,Element,Data_Value
IN005030100,2015-12-26,TMIN,100
IN005030100,2015-12-31,TMAX,338
IN005030100,2015-12-29,TMIN,145
IN005030100,2015-12-31,TMIN,137
IN005030100,2015-12-22,TMIN,92
IN005030100,2015-12-09,TMAX,300
IN005030100,2015-12-12,TMAX,262
IN005030100,2015-12-21,TMAX,273
IN005030100,2015-12-27,TMIN,119
IN005030100,2015-12-29,TMAX,340
IN005030100,2015-12-23,TMIN,97
IN005030100,2015-12-25,TMIN,87
IN005030100,2015-12-30,TMAX,330
IN005030100,2015-12-15,TMAX,277
IN005030100,2015-12-18,TMAX,270
IN005030100,2015-12-08,TMAX,327
IN005030100,2015-12-08,TMIN,146
IN005030100,2015-12-26,TMAX,273
IN005030100,2015-12-30,TMIN,148
IN005030100,2015-12-15,TMIN,81
IN005030100,2015-12-25,TMAX,262
IN005030100,2015-12-12,TMIN,102
IN005030100,2015-12-24,TMIN,100
IN005030100,2015-12-17,TMAX,273
IN005030100,2015-12-22,TMAX,270
IN005030100,2015-12-20,TMIN,88
IN005030100,2015-12-10,TMIN,166
IN005030100,2015-12-27,TMAX,310
IN005030100,2015-12-20,TMAX,260
IN005030100,2015-12-19,TMIN,87
IN005030100,2015-12-11,TMAX,256
IN005030100,2015-12-10,TMAX,300
IN005030100,2015-12-21,TMIN,95
IN005030100,2015-12-13,TMAX,261
IN005030100,2015-12-28,TMIN,127
IN005030100,2015-12-09,TMIN,156
IN005030100,2015-12-11,TMIN,134
IN005030100,2015-12-18,TMIN,115
IN005030100,2015-12-19,TMAX,273
IN005030100,2015-12-28,TMAX,324
IN005030100,2015-12-24,TMAX,241
IN005030100,2015-12-14,TMAX,264
IN005030100,2015-12-23,TMAX,270
IN005030100,2015-12-17,TMIN,98
IN005030100,2015-12-14,TMIN,86
IN005030100,2015-12-13,TMIN,90
