ID,Date,Element,Data_Value
SP000008410,2015-12-02,TMAX,191
SP000008410,2011-08-08,TMAX,394
SP000008410,2007-06-06,TMAX,340
SP000008410,2005-05-26,TMAX,357
SP000008410,2006-03-04,TMAX,164
SP000008410,2011-03-04,TMAX,125
SP000008410,2015-02-12,TMAX,182
SP000008410,2006-03-04,TMIN,94
SP000008410,2011-08-08,TMIN,202
SP000008410,2007-07-05,TMAX,377
SP000008410,2010-08-14,TMIN,207
SP000008410,2009-04-24,TMIN,92
SP000008410,2007-07-09,TMIN,191
SP000008410,2005-02-24,TMIN,46
SP000008410,2014-11-02,TMAX,252
SP000008410,2007-05-24,TMAX,247
SP000008410,2009-09-27,TMIN,170
SP000008410,2007-05-24,TMIN,144
SP000008410,2008-05-09,TMAX,227
SP000008410,2008-05-09,TMIN,130
SP000008410,2006-01-27,TMAX,106
SP000008410,2005-09-12,TMIN,142
SP000008410,2008-11-03,TMIN,82
SP000008410,2005-08-08,TMIN,240
SP000008410,2005-09-12,TMAX,307
SP000008410,2014-03-12,TMIN,68
SP000008410,2009-01-27,TMIN,45
SP000008410,2012-12-05,TMAX,151
SP000008410,2015-03-07,TMAX,234
SP000008410,2006-03-06,TMAX,160
SP000008410,2010-11-08,TMIN,91
SP000008410,2010-12-16,TMAX,86
SP000008410,2010-12-16,TMIN,5
SP000008410,2015-08-07,TMIN,272
SP000008410,2015-03-07,TMIN,1
SP000008410,2010-01-09,TMAX,94
SP000008410,2010-09-04,TMIN,209
SP000008410,2006-03-06,TMIN,6
SP000008410,2010-01-09,TMIN,3
SP000008410,2005-05-26,TMIN,156
SP000008410,2015-02-12,TMIN,79
SP000008410,2012-12-05,TMIN,42
SP000008410,2015-08-07,TMAX,400
SP000008410,2010-08-14,TMAX,356
SP000008410,2011-03-04,TMIN,68
SP000008410,2010-10-17,TMIN,133
SP000008410,2009-04-24,TMAX,297
SP000008410,2005-01-21,TMAX,205
SP000008410,2005-01-21,TMIN,44
SP000008410,2007-07-09,TMAX,396
SP000008410,2009-08-19,TMAX,389
SP000008410,2013-02-14,TMAX,210
SP000008410,2006-11-20,TMIN,66
SP000008410,2015-06-11,TMIN,177
SP000008410,2009-11-27,TMIN,72
SP000008410,2009-11-27,TMAX,180
SP000008410,2010-11-13,TMAX,197
SP000008410,2011-10-18,TMAX,276
SP000008410,2008-07-22,TMIN,194
SP000008410,2008-07-22,TMAX,391
SP000008410,2009-12-22,TMIN,107
SP000008410,2010-10-14,TMAX,208
SP000008410,2015-06-11,TMAX,262
SP000008410,2015-11-17,TMAX,238
SP000008410,2007-02-05,TMIN,80
SP000008410,2014-11-18,TMIN,61
SP000008410,2009-06-17,TMIN,197
SP000008410,2012-02-17,TMAX,161
SP000008410,2012-07-21,TMIN,189
SP000008410,2015-04-25,TMIN,115
SP000008410,2010-04-18,TMAX,179
SP000008410,2014-11-14,TMAX,200
SP000008410,2013-06-18,TMIN,120
SP000008410,2010-11-08,TMAX,152
SP000008410,2010-08-02,TMIN,218
SP000008410,2010-08-02,TMAX,375
SP000008410,2008-05-24,TMAX,232
SP000008410,2013-01-27,TMIN,106
SP000008410,2007-02-05,TMAX,173
SP000008410,2006-07-05,TMIN,174
SP000008410,2006-07-05,TMAX,338
SP000008410,2009-03-23,TMAX,244
SP000008410,2013-02-21,TMAX,143
SP000008410,2010-11-24,TMIN,100
SP000008410,2008-05-24,TMIN,139
SP000008410,2010-11-24,TMAX,126
SP000008410,2010-04-18,TMIN,121
SP000008410,2014-06-04,TMAX,323
SP000008410,2008-01-22,TMAX,214
SP000008410,2008-02-13,TMAX,181
SP000008410,2008-05-06,TMIN,141
SP000008410,2013-10-11,TMAX,304
SP000008410,2013-10-11,TMIN,125
SP000008410,2015-11-17,TMIN,71
SP000008410,2007-01-22,TMAX,129
SP000008410,2013-06-03,TMAX,336
SP000008410,2011-01-24,TMAX,122
SP000008410,2011-01-24,TMIN,71
SP000008410,2013-06-03,TMIN,121
SP000008410,2014-11-18,TMAX,193
SP000008410,2012-07-21,TMAX,405
SP000008410,2008-05-06,TMAX,326
SP000008410,2013-01-08,TMIN,1
SP000008410,2011-02-10,TMAX,189
SP000008410,2014-12-12,TMIN,2
SP000008410,2006-11-20,TMAX,204
SP000008410,2011-11-02,TMAX,223
SP000008410,2011-11-02,TMIN,148
SP000008410,2012-04-02,TMIN,132
SP000008410,2008-01-22,TMIN,56
SP000008410,2014-06-04,TMIN,132
SP000008410,2013-02-21,TMIN,83
SP000008410,2012-04-02,TMAX,206
SP000008410,2010-01-30,TMIN,41
SP000008410,2010-01-30,TMAX,143
SP000008410,2011-09-30,TMIN,184
SP000008410,2011-02-23,TMIN,77
SP000008410,2010-10-14,TMIN,139
SP000008410,2007-03-07,TMIN,123
SP000008410,2011-02-23,TMAX,210
SP000008410,2010-03-28,TMAX,239
SP000008410,2011-10-18,TMIN,127
SP000008410,2011-06-01,TMIN,171
SP000008410,2008-08-31,TMIN,186
SP000008410,2008-08-31,TMAX,327
SP000008410,2007-03-07,TMAX,241
SP000008410,2005-07-26,TMIN,194
SP000008410,2008-02-13,TMIN,61
SP000008410,2014-11-14,TMIN,130
SP000008410,2015-04-25,TMAX,199
SP000008410,2007-10-01,TMIN,157
SP000008410,2006-11-04,TMAX,235
SP000008410,2005-02-24,TMAX,175
SP000008410,2007-04-10,TMAX,237
SP000008410,2007-04-10,TMIN,122
SP000008410,2013-09-15,TMAX,330
SP000008410,2009-09-16,TMAX,243
SP000008410,2007-06-06,TMIN,163
SP000008410,2009-09-16,TMIN,185
SP000008410,2009-07-08,TMIN,159
SP000008410,2014-11-02,TMIN,99
SP000008410,2013-03-25,TMIN,70
SP000008410,2013-03-18,TMIN,55
SP000008410,2005-01-07,TMAX,160
SP000008410,2014-02-28,TMAX,170
SP000008410,2007-10-01,TMAX,306
SP000008410,2008-11-03,TMAX,194
SP000008410,2005-07-06,TMIN,192
SP000008410,2009-09-27,TMAX,288
SP000008410,2005-08-04,TMAX,406
SP000008410,2005-08-04,TMIN,204
SP000008410,2012-09-12,TMAX,382
SP000008410,2012-10-12,TMIN,177
SP000008410,2005-02-04,TMAX,150
SP000008410,2009-12-23,TMAX,197
SP000008410,2015-12-02,TMIN,44
SP000008410,2012-10-12,TMAX,258
SP000008410,2014-03-08,TMIN,56
SP000008410,2011-09-18,TMAX,319
SP000008410,2011-09-18,TMIN,182
SP000008410,2005-07-06,TMAX,384
SP000008410,2007-04-08,TMAX,223
SP000008410,2007-04-08,TMIN,53
SP000008410,2009-12-23,TMIN,109
SP000008410,2014-03-08,TMAX,229
SP000008410,2015-11-20,TMAX,260
SP000008410,2013-03-25,TMAX,157
SP000008410,2010-07-09,TMAX,391
SP000008410,2005-07-26,TMAX,340
SP000008410,2013-12-11,TMAX,190
SP000008410,2010-11-13,TMIN,69
SP000008410,2007-11-12,TMAX,202
SP000008410,2010-06-20,TMAX,292
SP000008410,2007-11-12,TMIN,59
SP000008410,2013-06-18,TMAX,220
SP000008410,2013-12-11,TMIN,-4
SP000008410,2010-06-20,TMIN,162
SP000008410,2009-04-30,TMAX,233
SP000008410,2011-09-30,TMAX,309
SP000008410,2009-12-22,TMAX,167
SP000008410,2009-04-30,TMIN,87
SP000008410,2012-09-26,TMIN,163
SP000008410,2012-09-26,TMAX,215
SP000008410,2009-07-01,TMAX,396
SP000008410,2010-07-09,TMIN,198
SP000008410,2014-02-28,TMIN,56
SP000008410,2009-03-30,TMAX,150
SP000008410,2009-07-08,TMAX,347
SP000008410,2010-10-17,TMAX,236
SP000008410,2013-08-29,TMAX,285
SP000008410,2013-08-29,TMIN,181
SP000008410,2005-07-30,TMAX,360
SP000008410,2005-07-30,TMIN,147
SP000008410,2012-02-17,TMIN,0
SP000008410,2013-09-15,TMIN,194
SP000008410,2008-10-27,TMAX,258
SP000008410,2008-10-27,TMIN,117
SP000008410,2009-03-23,TMIN,63
SP000008410,2010-03-28,TMIN,79
SP000008410,2013-03-18,TMAX,186
SP000008410,2009-07-01,TMIN,201
SP000008410,2013-01-26,TMIN,98
SP000008410,2009-03-30,TMIN,58
SP000008410,2013-02-14,TMIN,30
SP000008410,2010-09-04,TMAX,361
SP000008410,2010-11-03,TMIN,86
SP000008410,2007-07-05,TMIN,201
SP000008410,2011-05-29,TMIN,174
SP000008410,2013-10-05,TMAX,306
SP000008410,2015-01-07,TMAX,155
SP000008410,2012-08-12,TMAX,381
SP000008410,2015-07-07,TMAX,443
SP000008410,2013-12-02,TMIN,12
SP000008410,2013-06-23,TMAX,375
SP000008410,2012-08-30,TMAX,353
SP000008410,2012-06-11,TMAX,328
SP000008410,2013-10-20,TMAX,268
SP000008410,2013-06-23,TMIN,164
SP000008410,2014-03-18,TMAX,258
SP000008410,2015-01-02,TMIN,-12
SP000008410,2013-10-20,TMIN,134
SP000008410,2014-09-08,TMAX,314
SP000008410,2013-04-30,TMIN,79
SP000008410,2005-07-16,TMIN,219
SP000008410,2014-09-08,TMIN,198
SP000008410,2005-07-16,TMAX,386
SP000008410,2009-09-24,TMAX,308
SP000008410,2009-09-24,TMIN,163
SP000008410,2015-07-07,TMIN,219
SP000008410,2014-07-09,TMIN,174
SP000008410,2005-09-25,TMAX,311
SP000008410,2005-09-25,TMIN,145
SP000008410,2005-09-20,TMIN,91
SP000008410,2006-06-25,TMIN,190
SP000008410,2006-06-25,TMAX,316
SP000008410,2009-08-12,TMIN,208
SP000008410,2009-02-13,TMAX,207
SP000008410,2008-08-20,TMAX,381
SP000008410,2014-09-04,TMAX,354
SP000008410,2014-09-04,TMIN,182
SP000008410,2009-12-07,TMIN,49
SP000008410,2006-09-18,TMAX,337
SP000008410,2015-01-07,TMIN,-10
SP000008410,2009-12-07,TMAX,140
SP000008410,2015-11-20,TMIN,65
SP000008410,2014-10-16,TMIN,166
SP000008410,2011-05-29,TMAX,291
SP000008410,2013-10-05,TMIN,136
SP000008410,2014-10-16,TMAX,257
SP000008410,2014-07-09,TMAX,387
SP000008410,2010-06-09,TMAX,191
SP000008410,2012-06-11,TMIN,185
SP000008410,2014-03-18,TMIN,47
SP000008410,2015-12-25,TMAX,181
SP000008410,2012-08-30,TMIN,173
SP000008410,2015-12-25,TMIN,14
SP000008410,2007-03-23,TMIN,3
SP000008410,2015-10-23,TMIN,117
SP000008410,2015-10-23,TMAX,261
SP000008410,2015-10-30,TMIN,102
SP000008410,2015-10-30,TMAX,261
SP000008410,2005-08-01,TMIN,172
SP000008410,2009-06-11,TMIN,160
SP000008410,2006-07-27,TMAX,370
SP000008410,2009-06-11,TMAX,391
SP000008410,2009-05-14,TMIN,116
SP000008410,2012-08-08,TMIN,229
SP000008410,2009-05-14,TMAX,271
SP000008410,2013-08-31,TMIN,182
SP000008410,2006-07-27,TMIN,220
SP000008410,2007-08-16,TMAX,343
SP000008410,2007-12-09,TMAX,140
SP000008410,2007-08-16,TMIN,186
SP000008410,2012-04-10,TMAX,232
SP000008410,2012-09-16,TMIN,161
SP000008410,2005-08-26,TMAX,354
SP000008410,2005-08-01,TMAX,338
