ID,Date,Element,Data_Value
RSM00025123,2008-04-15,TMIN,-252
RSM00025123,2010-05-21,TMAX,216
RSM00025123,2009-01-16,TMAX,-253
RSM00025123,2015-04-18,TMAX,-101
RSM00025123,2011-12-29,TMIN,-376
RSM00025123,2007-10-17,TMAX,-46
RSM00025123,2008-05-13,TMAX,75
RSM00025123,2007-10-17,TMIN,-98
RSM00025123,2015-07-31,TMAX,115
RSM00025123,2013-07-05,TMIN,25
RSM00025123,2013-10-06,TMIN,-86
RSM00025123,2010-03-12,TMIN,-354
RSM00025123,2006-08-14,TMAX,162
RSM00025123,2009-06-15,TMIN,19
RSM00025123,2006-06-05,TMAX,126
RSM00025123,2006-11-16,TMIN,-103
RSM00025123,2009-08-14,TMAX,247
RSM00025123,2015-05-31,TMAX,134
RSM00025123,2015-08-21,TMAX,140
RSM00025123,2013-08-13,TMIN,83
RSM00025123,2014-08-07,TMIN,142
RSM00025123,2011-01-15,TMAX,-178
RSM00025123,2010-12-23,TMIN,-348
RSM00025123,2011-07-18,TMAX,186
RSM00025123,2009-07-02,TMAX,137
RSM00025123,2014-12-18,TMIN,-366
RSM00025123,2012-03-24,TMAX,-80
RSM00025123,2012-10-18,TMAX,-70
RSM00025123,2007-06-22,TMIN,176
RSM00025123,2009-07-02,TMIN,95
RSM00025123,2015-07-31,TMIN,51
RSM00025123,2007-02-20,TMIN,-343
RSM00025123,2011-05-02,TMIN,-123
RSM00025123,2015-08-21,TMIN,61
RSM00025123,2006-10-24,TMAX,-115
RSM00025123,2012-02-03,TMAX,-334
RSM00025123,2012-01-01,TMAX,-275
RSM00025123,2005-11-23,TMAX,-300
RSM00025123,2015-04-18,TMIN,-172
RSM00025123,2011-05-02,TMAX,-40
RSM00025123,2010-11-13,TMAX,-155
RSM00025123,2010-02-05,TMAX,-293
RSM00025123,2015-01-22,TMAX,-366
RSM00025123,2010-12-23,TMAX,-256
RSM00025123,2006-12-20,TMAX,-297
RSM00025123,2009-08-12,TMAX,184
RSM00025123,2012-11-05,TMAX,-81
RSM00025123,2007-09-07,TMAX,77
RSM00025123,2014-10-17,TMIN,-63
RSM00025123,2012-10-18,TMIN,-106
RSM00025123,2011-07-18,TMIN,90
RSM00025123,2015-07-20,TMIN,170
RSM00025123,2015-01-22,TMIN,-388
RSM00025123,2015-05-21,TMAX,67
RSM00025123,2011-04-23,TMAX,-18
RSM00025123,2012-07-06,TMAX,229
RSM00025123,2015-05-21,TMIN,-56
RSM00025123,2014-12-18,TMAX,-321
RSM00025123,2015-01-09,TMIN,-267
RSM00025123,2013-09-20,TMIN,-4
RSM00025123,2012-02-23,TMAX,-316
RSM00025123,2009-08-20,TMAX,63
RSM00025123,2011-02-12,TMAX,-416
RSM00025123,2006-09-25,TMIN,1
RSM00025123,2009-07-04,TMIN,104
RSM00025123,2015-05-31,TMIN,45
RSM00025123,2007-12-04,TMIN,-193
RSM00025123,2009-12-17,TMAX,-242
RSM00025123,2015-07-26,TMAX,182
RSM00025123,2014-08-12,TMIN,82
RSM00025123,2008-09-01,TMAX,74
RSM00025123,2012-05-07,TMAX,50
RSM00025123,2009-01-28,TMAX,-288
RSM00025123,2006-10-03,TMAX,11
RSM00025123,2013-09-24,TMIN,-24
RSM00025123,2015-09-14,TMIN,75
RSM00025123,2011-05-06,TMIN,-144
RSM00025123,2005-12-16,TMAX,-304
RSM00025123,2012-03-23,TMAX,-98
RSM00025123,2008-06-29,TMIN,10
RSM00025123,2011-06-30,TMIN,70
RSM00025123,2012-03-23,TMIN,-201
RSM00025123,2012-06-06,TMIN,46
RSM00025123,2012-06-06,TMAX,151
RSM00025123,2015-07-20,TMAX,266
RSM00025123,2008-10-02,TMIN,-53
RSM00025123,2008-06-29,TMAX,151
RSM00025123,2008-10-02,TMAX,-8
RSM00025123,2011-11-01,TMAX,-130
RSM00025123,2005-11-12,TMAX,-147
RSM00025123,2007-05-28,TMAX,60
RSM00025123,2014-01-30,TMIN,-295
RSM00025123,2009-09-20,TMAX,129
RSM00025123,2015-07-26,TMIN,147
RSM00025123,2011-10-22,TMAX,-120
RSM00025123,2011-06-30,TMAX,206
