ID,Date,Element,Data_Value
TI000038869,2015-04-08,TMAX,62
TI000038869,2013-12-24,TMAX,-97
TI000038869,2014-08-06,TMAX,228
TI000038869,2015-09-05,TMAX,196
TI000038869,2015-03-19,TMAX,15
TI000038869,2014-05-02,TMAX,146
TI000038869,2015-05-12,TMAX,120
TI000038869,2014-12-24,TMAX,-56
TI000038869,2014-02-21,TMAX,0
TI000038869,2013-08-12,TMAX,241
TI000038869,2015-11-14,TMAX,25
TI000038869,2015-11-21,TMAX,33
TI000038869,2014-03-28,TMAX,36
TI000038869,2015-11-29,TMAX,25
TI000038869,2015-03-22,TMAX,54
TI000038869,2015-07-21,TMAX,171
TI000038869,2014-10-09,TMAX,79
TI000038869,2015-04-12,TMAX,97
TI000038869,2014-05-30,TMAX,130
TI000038869,2014-08-11,TMAX,226
TI000038869,2015-09-01,TMAX,181
TI000038869,2013-08-09,TMAX,256
TI000038869,2014-06-26,TMAX,212
TI000038869,2014-08-02,TMAX,229
TI000038869,2014-09-30,TMAX,166
TI000038869,2014-02-09,TMAX,-98
TI000038869,2014-11-30,TMAX,-10
TI000038869,2013-11-14,TMAX,-2
TI000038869,2015-10-13,TMAX,177
TI000038869,2015-06-01,TMAX,152
TI000038869,2014-12-10,TMAX,-40
TI000038869,2013-07-18,TMAX,242
TI000038869,2014-11-12,TMAX,12
TI000038869,2014-02-17,TMAX,-45
TI000038869,2013-12-06,TMAX,14
TI000038869,2014-02-23,TMAX,-20
TI000038869,2013-08-08,TMAX,240
TI000038869,2015-12-17,TMAX,-49
TI000038869,2014-12-29,TMAX,-115
TI000038869,2014-11-16,TMAX,6
TI000038869,2015-08-22,TMAX,205
TI000038869,2014-12-06,TMAX,5
TI000038869,2014-08-25,TMAX,128
TI000038869,2014-09-10,TMAX,192
TI000038869,2015-11-06,TMAX,32
TI000038869,2014-08-16,TMAX,167
TI000038869,2015-07-27,TMAX,189
TI000038869,2013-11-28,TMAX,47
TI000038869,2014-11-10,TMAX,12
TI000038869,2015-03-20,TMAX,25
TI000038869,2015-02-11,TMAX,-17
TI000038869,2015-01-13,TMAX,-37
TI000038869,2015-09-07,TMAX,145
TI000038869,2015-09-11,TMAX,195
TI000038869,2013-11-10,TMAX,20
TI000038869,2013-08-17,TMAX,174
TI000038869,2014-08-05,TMAX,227
TI000038869,2014-06-07,TMAX,179
TI000038869,2014-04-12,TMAX,44
TI000038869,2014-07-31,TMAX,233
TI000038869,2015-02-21,TMAX,-19
TI000038869,2015-03-23,TMAX,61
TI000038869,2015-07-25,TMAX,196
TI000038869,2014-10-25,TMAX,82
TI000038869,2014-05-08,TMAX,176
TI000038869,2014-11-19,TMAX,29
TI000038869,2015-07-04,TMAX,264
TI000038869,2014-08-09,TMAX,223
TI000038869,2015-09-04,TMAX,198
TI000038869,2015-07-05,TMAX,225
TI000038869,2015-05-13,TMAX,120
TI000038869,2013-08-14,TMAX,183
TI000038869,2015-03-29,TMAX,80
TI000038869,2014-05-03,TMAX,142
TI000038869,2013-12-12,TMAX,-38
TI000038869,2014-07-17,TMAX,208
TI000038869,2014-09-23,TMAX,176
TI000038869,2014-07-05,TMAX,195
TI000038869,2014-03-01,TMAX,-28
TI000038869,2015-01-15,TMAX,-40
TI000038869,2015-04-04,TMAX,38
TI000038869,2013-06-07,TMAX,194
TI000038869,2014-04-23,TMAX,92
TI000038869,2014-08-13,TMAX,236
TI000038869,2015-09-28,TMAX,130
TI000038869,2015-08-20,TMAX,222
TI000038869,2015-02-10,TMAX,-33
TI000038869,2015-09-30,TMAX,152
TI000038869,2015-08-15,TMAX,213
TI000038869,2014-02-01,TMAX,-14
TI000038869,2015-01-10,TMAX,-18
TI000038869,2013-08-11,TMAX,254
