ID,Date,Element,Data_Value
IN001170800,2015-12-14,TMIN,229
IN001170800,2015-12-19,TMAX,344
IN001170800,2015-12-24,TMAX,327
IN001170800,2015-12-08,TMAX,334
IN001170800,2015-12-13,TMAX,364
IN001170800,2015-12-25,TMIN,134
IN001170800,2015-12-19,TMIN,199
IN001170800,2015-12-18,TMAX,344
IN001170800,2015-12-21,TMAX,340
IN001170800,2015-12-23,TMIN,192
IN001170800,2015-12-21,TMIN,212
IN001170800,2015-12-30,TMIN,143
IN001170800,2015-12-28,TMIN,130
IN001170800,2015-12-18,TMIN,200
IN001170800,2015-12-27,TMAX,297
IN001170800,2015-12-29,TMIN,135
IN001170800,2015-12-08,TMIN,159
IN001170800,2015-12-10,TMIN,169
IN001170800,2015-12-26,TMIN,104
IN001170800,2015-12-26,TMAX,289
IN001170800,2015-12-13,TMIN,226
IN001170800,2015-12-25,TMAX,297
IN001170800,2015-12-14,TMAX,364
IN001170800,2015-12-27,TMIN,111
IN001170800,2015-12-28,TMAX,331
IN001170800,2015-12-29,TMAX,345
IN001170800,2015-12-22,TMIN,208
IN001170800,2015-12-24,TMIN,180
IN001170800,2015-12-31,TMAX,351
IN001170800,2015-12-31,TMIN,154
IN001170800,2015-12-15,TMIN,224
IN001170800,2015-12-17,TMAX,360
IN001170800,2015-12-30,TMAX,351
IN001170800,2009-02-05,TMIN,214
IN001170800,2015-12-12,TMAX,354
IN001170800,2015-12-20,TMIN,214
IN001170800,2015-12-12,TMIN,228
IN001170800,2015-12-10,TMAX,348
IN001170800,2009-02-05,TMAX,357
IN001170800,2015-12-20,TMAX,344
IN001170800,2015-12-17,TMIN,208
IN001170800,2015-12-22,TMAX,339
IN001170800,2015-12-23,TMAX,337
IN001170800,2015-12-11,TMAX,349
IN001170800,2015-12-11,TMIN,221
IN001170800,2015-12-15,TMAX,364
