ID,Date,Element,Data_Value
RSM00024962,2011-10-05,TMAX,36
RSM00024962,2009-12-19,TMAX,-408
RSM00024962,2009-02-07,TMAX,-422
RSM00024962,2011-12-20,TMIN,-470
RSM00024962,2010-04-09,TMIN,-282
RSM00024962,2014-01-12,TMIN,-432
RSM00024962,2009-10-28,TMAX,-116
RSM00024962,2013-04-10,TMAX,25
RSM00024962,2009-10-28,TMIN,-241
RSM00024962,2011-07-26,TMAX,248
RSM00024962,2010-05-01,TMAX,44
RSM00024962,2012-10-21,TMAX,-83
RSM00024962,2013-02-27,TMAX,-246
RSM00024962,2008-09-16,TMIN,-82
RSM00024962,2015-06-07,TMAX,224
RSM00024962,2010-03-29,TMAX,-36
RSM00024962,2009-08-20,TMAX,232
RSM00024962,2010-08-08,TMIN,90
RSM00024962,2012-02-23,TMIN,-445
RSM00024962,2011-10-05,TMIN,-9
RSM00024962,2012-02-14,TMIN,-395
RSM00024962,2010-05-24,TMAX,273
RSM00024962,2008-10-28,TMIN,-72
RSM00024962,2006-06-14,TMAX,221
RSM00024962,2012-02-23,TMAX,-324
RSM00024962,2008-09-06,TMAX,148
RSM00024962,2012-05-13,TMAX,146
RSM00024962,2010-04-22,TMAX,127
RSM00024962,2014-04-21,TMAX,104
RSM00024962,2014-03-25,TMIN,-225
RSM00024962,2014-03-25,TMAX,-4
RSM00024962,2007-03-16,TMIN,-350
RSM00024962,2010-05-24,TMIN,74
RSM00024962,2007-11-13,TMAX,-258
RSM00024962,2013-02-27,TMIN,-370
RSM00024962,2011-08-20,TMAX,262
RSM00024962,2005-11-12,TMIN,-136
RSM00024962,2009-01-31,TMIN,-486
RSM00024962,2006-09-13,TMIN,18
RSM00024962,2007-12-06,TMIN,-254
RSM00024962,2014-10-16,TMIN,-172
RSM00024962,2008-05-08,TMIN,-28
RSM00024962,2006-09-13,TMAX,127
RSM00024962,2012-07-31,TMIN,97
RSM00024962,2011-08-18,TMAX,195
RSM00024962,2013-03-16,TMAX,-160
RSM00024962,2010-06-14,TMIN,98
RSM00024962,2012-07-31,TMAX,319
RSM00024962,2013-03-02,TMAX,-230
RSM00024962,2011-09-11,TMIN,-67
RSM00024962,2009-07-31,TMAX,296
RSM00024962,2009-10-08,TMAX,15
RSM00024962,2010-02-22,TMIN,-456
RSM00024962,2008-11-17,TMIN,-405
RSM00024962,2013-11-05,TMAX,-184
RSM00024962,2006-08-11,TMAX,235
RSM00024962,2010-08-20,TMAX,200
RSM00024962,2015-01-17,TMAX,-243
RSM00024962,2008-04-06,TMIN,-194
RSM00024962,2007-04-07,TMAX,32
RSM00024962,2011-03-26,TMAX,8
RSM00024962,2013-03-02,TMIN,-418
RSM00024962,2009-02-07,TMIN,-500
RSM00024962,2011-03-26,TMIN,-254
RSM00024962,2015-06-04,TMIN,79
RSM00024962,2008-12-14,TMAX,-491
RSM00024962,2009-02-18,TMAX,-324
RSM00024962,2008-09-06,TMIN,88
RSM00024962,2013-09-20,TMIN,-89
RSM00024962,2011-05-22,TMAX,202
RSM00024962,2005-08-29,TMAX,92
RSM00024962,2011-11-14,TMIN,-317
RSM00024962,2012-05-13,TMIN,-5
RSM00024962,2009-01-02,TMIN,-390
RSM00024962,2007-06-20,TMAX,216
RSM00024962,2015-06-04,TMAX,199
RSM00024962,2007-10-27,TMIN,-228
RSM00024962,2011-11-14,TMAX,-220
RSM00024962,2015-04-08,TMIN,-224
RSM00024962,2009-05-30,TMAX,224
RSM00024962,2009-10-13,TMAX,-9
RSM00024962,2008-10-28,TMAX,-45
RSM00024962,2015-09-26,TMAX,63
