ID,Date,Element,Data_Value
BRM00083208,2007-07-28,TMIN,156
BRM00083208,2006-03-12,TMIN,205
BRM00083208,2013-06-21,TMIN,190
BRM00083208,2007-04-04,TMIN,206
BRM00083208,2010-11-11,TMIN,189
BRM00083208,2013-05-12,TMIN,217
BRM00083208,2013-11-07,TMIN,210
BRM00083208,2014-12-05,TMAX,296
BRM00083208,2010-05-26,TMIN,217
BRM00083208,2005-11-26,TMIN,223
BRM00083208,2006-01-04,TMAX,282
BRM00083208,2009-01-27,TMAX,298
BRM00083208,2005-11-15,TMAX,308
BRM00083208,2008-02-02,TMAX,284
BRM00083208,2005-04-10,TMIN,220
BRM00083208,2005-05-17,TMIN,201
BRM00083208,2011-09-04,TMIN,215
BRM00083208,2012-09-25,TMAX,313
BRM00083208,2015-09-05,TMAX,333
BRM00083208,2012-01-27,TMAX,286
BRM00083208,2009-03-11,TMIN,203
BRM00083208,2008-11-13,TMAX,311
BRM00083208,2007-06-05,TMIN,159
BRM00083208,2008-11-13,TMIN,220
BRM00083208,2010-12-19,TMIN,204
BRM00083208,2006-03-02,TMIN,220
BRM00083208,2010-10-26,TMAX,293
BRM00083208,2013-06-21,TMAX,292
BRM00083208,2011-05-07,TMIN,214
BRM00083208,2005-11-26,TMAX,284
BRM00083208,2006-11-11,TMIN,184
BRM00083208,2010-08-11,TMIN,175
BRM00083208,2013-07-19,TMIN,197
BRM00083208,2010-08-02,TMAX,328
BRM00083208,2013-09-24,TMIN,157
BRM00083208,2005-02-23,TMIN,202
BRM00083208,2011-12-15,TMAX,290
BRM00083208,2008-02-02,TMIN,211
BRM00083208,2006-04-01,TMIN,220
BRM00083208,2009-10-25,TMIN,220
BRM00083208,2011-12-13,TMIN,215
BRM00083208,2010-08-02,TMIN,187
BRM00083208,2008-08-28,TMIN,212
BRM00083208,2014-01-26,TMIN,207
BRM00083208,2010-05-01,TMIN,203
BRM00083208,2008-06-07,TMIN,158
BRM00083208,2006-12-18,TMIN,215
BRM00083208,2008-08-28,TMAX,340
BRM00083208,2007-03-01,TMIN,211
BRM00083208,2007-11-22,TMAX,305
BRM00083208,2015-04-14,TMAX,306
BRM00083208,2008-03-27,TMIN,206
BRM00083208,2007-11-22,TMIN,218
BRM00083208,2011-08-23,TMIN,127
BRM00083208,2015-02-04,TMAX,311
BRM00083208,2008-08-09,TMAX,328
BRM00083208,2008-11-11,TMAX,292
BRM00083208,2007-04-12,TMIN,215
BRM00083208,2009-05-01,TMAX,309
BRM00083208,2010-02-14,TMIN,219
BRM00083208,2012-03-05,TMAX,314
BRM00083208,2005-02-04,TMIN,189
BRM00083208,2010-10-26,TMIN,211
BRM00083208,2005-08-13,TMIN,170
BRM00083208,2005-03-18,TMIN,216
BRM00083208,2008-08-03,TMIN,195
BRM00083208,2013-12-21,TMIN,214
BRM00083208,2014-02-05,TMIN,205
BRM00083208,2012-02-03,TMAX,287
BRM00083208,2008-06-13,TMIN,187
BRM00083208,2008-08-09,TMIN,206
BRM00083208,2013-11-25,TMIN,203
BRM00083208,2012-03-05,TMIN,213
BRM00083208,2014-01-03,TMIN,219
BRM00083208,2005-05-16,TMIN,210
BRM00083208,2008-05-16,TMIN,190
BRM00083208,2013-03-31,TMIN,210
BRM00083208,2015-02-03,TMAX,328
BRM00083208,2006-03-21,TMIN,206
BRM00083208,2006-04-01,TMAX,303
BRM00083208,2005-11-12,TMAX,305
BRM00083208,2008-08-25,TMIN,199
BRM00083208,2013-12-19,TMAX,287
BRM00083208,2005-11-12,TMIN,218
BRM00083208,2010-02-11,TMIN,210
BRM00083208,2014-09-20,TMAX,347
BRM00083208,2008-10-01,TMAX,342
BRM00083208,2009-04-08,TMAX,301
BRM00083208,2009-04-08,TMIN,205
BRM00083208,2008-10-01,TMIN,215
BRM00083208,2012-07-10,TMIN,178
BRM00083208,2006-11-22,TMAX,313
BRM00083208,2012-12-01,TMIN,209
BRM00083208,2010-03-06,TMIN,225
BRM00083208,2006-09-16,TMAX,332
BRM00083208,2006-04-18,TMIN,160
BRM00083208,2007-06-20,TMIN,191
BRM00083208,2014-10-02,TMAX,351
BRM00083208,2014-09-03,TMIN,220
BRM00083208,2005-09-28,TMIN,212
BRM00083208,2010-03-06,TMAX,298
BRM00083208,2007-01-12,TMIN,219
BRM00083208,2008-12-08,TMIN,198
BRM00083208,2010-02-11,TMAX,251
BRM00083208,2011-06-05,TMIN,165
BRM00083208,2012-05-03,TMIN,170
BRM00083208,2006-09-16,TMIN,235
BRM00083208,2007-10-20,TMIN,204
BRM00083208,2013-07-11,TMAX,300
BRM00083208,2013-05-03,TMIN,208
BRM00083208,2014-09-09,TMIN,218
BRM00083208,2005-02-14,TMIN,215
BRM00083208,2007-01-04,TMIN,218
BRM00083208,2012-08-26,TMIN,148
BRM00083208,2010-10-02,TMAX,330
BRM00083208,2010-10-02,TMIN,205
BRM00083208,2007-01-04,TMAX,298
BRM00083208,2007-04-30,TMIN,204
BRM00083208,2013-12-27,TMIN,217
BRM00083208,2005-10-04,TMAX,334
BRM00083208,2008-09-16,TMAX,323
BRM00083208,2005-10-04,TMIN,220
BRM00083208,2011-08-04,TMAX,290
BRM00083208,2013-02-14,TMIN,198
BRM00083208,2010-08-20,TMIN,182
BRM00083208,2010-09-25,TMIN,221
BRM00083208,2011-05-30,TMIN,176
BRM00083208,2010-08-20,TMAX,344
BRM00083208,2010-11-03,TMIN,204
BRM00083208,2005-04-01,TMIN,209
BRM00083208,2010-10-16,TMIN,215
BRM00083208,2013-03-01,TMIN,209
BRM00083208,2013-03-01,TMAX,287
BRM00083208,2009-01-22,TMIN,202
BRM00083208,2011-08-04,TMIN,109
BRM00083208,2011-07-28,TMIN,188
BRM00083208,2007-03-25,TMIN,211
BRM00083208,2015-07-21,TMAX,316
BRM00083208,2011-03-04,TMAX,293
BRM00083208,2009-02-11,TMIN,210
BRM00083208,2009-06-28,TMIN,194
BRM00083208,2006-10-27,TMIN,223
BRM00083208,2009-02-11,TMAX,311
BRM00083208,2011-04-06,TMIN,215
BRM00083208,2011-04-06,TMAX,280
BRM00083208,2009-06-07,TMIN,176
BRM00083208,2010-11-24,TMIN,212
BRM00083208,2013-09-13,TMIN,196
BRM00083208,2005-08-16,TMIN,185
BRM00083208,2005-04-30,TMIN,181
BRM00083208,2011-12-28,TMAX,305
BRM00083208,2007-01-25,TMIN,221
BRM00083208,2011-02-09,TMIN,206
BRM00083208,2011-05-23,TMIN,191
BRM00083208,2009-07-31,TMIN,168
BRM00083208,2007-01-25,TMAX,297
BRM00083208,2007-07-02,TMIN,171
BRM00083208,2009-10-11,TMIN,224
BRM00083208,2010-02-21,TMIN,215
BRM00083208,2009-06-30,TMIN,193
BRM00083208,2009-06-30,TMAX,311
BRM00083208,2012-09-25,TMIN,206
BRM00083208,2005-01-08,TMIN,227
BRM00083208,2014-02-23,TMIN,217
BRM00083208,2014-11-23,TMIN,215
BRM00083208,2014-02-07,TMIN,198
BRM00083208,2009-08-02,TMIN,188
BRM00083208,2007-03-14,TMIN,204
BRM00083208,2005-09-20,TMIN,206
BRM00083208,2013-11-09,TMAX,301
BRM00083208,2011-10-25,TMIN,210
BRM00083208,2006-05-13,TMIN,112
BRM00083208,2006-12-15,TMIN,215
BRM00083208,2006-08-31,TMAX,325
BRM00083208,2006-08-31,TMIN,227
BRM00083208,2006-02-09,TMIN,220
BRM00083208,2009-08-09,TMIN,184
BRM00083208,2009-03-21,TMAX,292
BRM00083208,2007-03-09,TMIN,204
BRM00083208,2005-05-26,TMAX,288
BRM00083208,2009-03-21,TMIN,207
BRM00083208,2005-05-26,TMIN,192
BRM00083208,2008-03-19,TMIN,190
BRM00083208,2015-08-04,TMAX,334
BRM00083208,2009-03-27,TMIN,211
BRM00083208,2010-05-24,TMIN,206
BRM00083208,2007-09-12,TMIN,212
BRM00083208,2010-05-24,TMAX,313
BRM00083208,2013-09-24,TMAX,304
BRM00083208,2007-12-26,TMIN,204
BRM00083208,2015-08-31,TMAX,355
BRM00083208,2007-12-26,TMAX,308
BRM00083208,2012-07-09,TMIN,148
BRM00083208,2007-09-23,TMIN,220
BRM00083208,2014-08-23,TMIN,173
BRM00083208,2014-08-23,TMAX,344
BRM00083208,2009-04-09,TMIN,204
BRM00083208,2009-11-01,TMIN,206
BRM00083208,2006-01-04,TMIN,209
BRM00083208,2010-01-29,TMAX,303
BRM00083208,2013-09-14,TMAX,325
BRM00083208,2009-08-20,TMAX,331
BRM00083208,2005-03-02,TMIN,226
BRM00083208,2009-10-12,TMAX,336
BRM00083208,2011-06-20,TMIN,175
BRM00083208,2011-03-22,TMIN,209
BRM00083208,2006-10-28,TMAX,320
BRM00083208,2014-12-27,TMAX,294
BRM00083208,2014-01-27,TMIN,206
BRM00083208,2009-02-26,TMAX,292
BRM00083208,2009-02-26,TMIN,214
BRM00083208,2012-10-06,TMIN,217
BRM00083208,2013-03-17,TMIN,215
BRM00083208,2011-05-15,TMIN,189
BRM00083208,2009-11-19,TMAX,338
BRM00083208,2006-05-11,TMAX,270
BRM00083208,2007-12-07,TMIN,200
BRM00083208,2013-11-30,TMIN,211
BRM00083208,2006-10-28,TMIN,225
BRM00083208,2011-03-22,TMAX,300
BRM00083208,2006-03-17,TMAX,264
BRM00083208,2015-06-13,TMAX,358
BRM00083208,2012-05-23,TMAX,276
BRM00083208,2010-02-12,TMIN,203
BRM00083208,2009-07-03,TMIN,189
BRM00083208,2011-07-14,TMIN,195
BRM00083208,2013-11-30,TMAX,300
BRM00083208,2011-08-11,TMIN,220
BRM00083208,2011-04-18,TMAX,321
BRM00083208,2006-05-11,TMIN,125
BRM00083208,2011-04-18,TMIN,198
BRM00083208,2012-04-24,TMAX,305
BRM00083208,2007-06-10,TMIN,189
BRM00083208,2013-02-08,TMAX,281
BRM00083208,2011-12-18,TMIN,207
BRM00083208,2013-02-08,TMIN,218
