ID,Date,Element,Data_Value
UKM00003414,2015-10-13,TMAX,131
UKM00003414,2014-10-03,TMIN,105
UKM00003414,2014-06-30,TMIN,65
UKM00003414,2013-09-27,TMAX,186
UKM00003414,2008-06-23,TMAX,182
UKM00003414,2011-08-15,TMIN,75
UKM00003414,2015-07-01,TMIN,171
UKM00003414,2005-01-29,TMAX,79
UKM00003414,2008-07-23,TMAX,244
UKM00003414,2011-08-15,TMAX,211
UKM00003414,2011-12-14,TMAX,60
UKM00003414,2014-03-10,TMAX,124
UKM00003414,2011-06-11,TMAX,154
UKM00003414,2011-11-07,TMIN,-33
UKM00003414,2011-03-19,TMAX,131
UKM00003414,2010-12-28,TMIN,14
UKM00003414,2014-06-01,TMAX,202
UKM00003414,2015-08-03,TMAX,207
UKM00003414,2007-11-19,TMIN,0
UKM00003414,2005-04-20,TMIN,38
UKM00003414,2008-11-18,TMAX,106
UKM00003414,2011-06-11,TMIN,18
UKM00003414,2015-12-19,TMIN,116
UKM00003414,2010-09-22,TMAX,198
UKM00003414,2014-10-17,TMAX,181
UKM00003414,2008-12-21,TMAX,122
UKM00003414,2011-10-15,TMIN,7
UKM00003414,2008-07-07,TMAX,186
UKM00003414,2014-06-30,TMAX,208
UKM00003414,2013-10-14,TMAX,124
UKM00003414,2012-03-23,TMAX,155
UKM00003414,2011-12-25,TMIN,85
UKM00003414,2011-05-12,TMAX,157
UKM00003414,2007-05-31,TMAX,173
UKM00003414,2015-10-13,TMIN,46
UKM00003414,2014-06-01,TMIN,60
UKM00003414,2005-04-24,TMAX,153
UKM00003414,2015-02-28,TMIN,49
UKM00003414,2012-08-03,TMIN,82
UKM00003414,2011-07-07,TMIN,119
UKM00003414,2011-07-01,TMIN,84
UKM00003414,2008-08-13,TMIN,-3
UKM00003414,2008-09-01,TMIN,-16
UKM00003414,2012-04-27,TMAX,81
UKM00003414,2006-05-07,TMIN,74
UKM00003414,2007-11-19,TMAX,84
UKM00003414,2015-09-17,TMAX,165
UKM00003414,2013-11-29,TMAX,103
UKM00003414,2011-02-23,TMIN,62
UKM00003414,2010-10-18,TMAX,144
UKM00003414,2009-08-27,TMIN,113
UKM00003414,2010-10-18,TMIN,78
UKM00003414,2015-12-19,TMAX,152
UKM00003414,2006-10-13,TMIN,9
UKM00003414,2015-10-10,TMAX,133
UKM00003414,2014-12-17,TMIN,56
UKM00003414,2006-01-24,TMAX,31
UKM00003414,2006-03-26,TMAX,143
UKM00003414,2009-11-16,TMAX,123
UKM00003414,2006-03-12,TMIN,-20
UKM00003414,2009-12-22,TMIN,-74
UKM00003414,2013-04-22,TMIN,32
UKM00003414,2009-12-22,TMAX,35
UKM00003414,2014-09-12,TMIN,69
UKM00003414,2013-07-20,TMIN,157
UKM00003414,2014-09-12,TMAX,191
UKM00003414,2010-11-23,TMAX,73
UKM00003414,2006-10-13,TMAX,134
UKM00003414,2012-07-21,TMAX,195
UKM00003414,2006-03-26,TMIN,84
UKM00003414,2009-02-05,TMIN,-12
UKM00003414,2009-12-10,TMAX,94
