ID,Date,Element,Data_Value
BOM00026878,2010-01-07,TMIN,-89
BOM00026878,2006-06-15,TMIN,141
BOM00026878,2013-04-30,TMAX,186
BOM00026878,2010-01-07,TMAX,-3
BOM00026878,2009-02-20,TMAX,-23
BOM00026878,2015-01-01,TMIN,-73
BOM00026878,2013-04-12,TMAX,132
BOM00026878,2008-07-06,TMIN,155
BOM00026878,2010-05-16,TMIN,124
BOM00026878,2007-05-15,TMIN,138
BOM00026878,2009-01-11,TMIN,-83
BOM00026878,2015-09-06,TMIN,95
BOM00026878,2013-12-26,TMAX,55
BOM00026878,2012-03-13,TMAX,67
BOM00026878,2006-12-08,TMIN,32
BOM00026878,2014-10-31,TMAX,50
BOM00026878,2011-04-17,TMAX,104
BOM00026878,2015-08-30,TMAX,234
BOM00026878,2014-08-25,TMAX,141
BOM00026878,2015-09-06,TMAX,139
BOM00026878,2015-06-05,TMIN,82
BOM00026878,2012-03-13,TMIN,-5
BOM00026878,2006-06-15,TMAX,220
BOM00026878,2015-08-31,TMIN,107
BOM00026878,2015-06-24,TMAX,270
BOM00026878,2006-03-09,TMAX,-56
BOM00026878,2007-06-12,TMIN,127
BOM00026878,2007-07-03,TMAX,247
BOM00026878,2009-03-20,TMAX,19
BOM00026878,2006-01-30,TMIN,-12
BOM00026878,2010-08-19,TMIN,141
BOM00026878,2009-05-22,TMIN,127
BOM00026878,2010-04-06,TMIN,68
BOM00026878,2006-01-30,TMAX,15
BOM00026878,2007-03-23,TMAX,131
BOM00026878,2014-11-19,TMAX,6
BOM00026878,2007-03-23,TMIN,45
BOM00026878,2005-12-24,TMAX,-63
BOM00026878,2007-05-16,TMIN,156
BOM00026878,2015-06-15,TMAX,265
BOM00026878,2015-12-15,TMAX,3
BOM00026878,2011-05-11,TMAX,232
BOM00026878,2009-03-20,TMIN,-28
BOM00026878,2014-09-04,TMIN,62
BOM00026878,2007-11-06,TMAX,-12
BOM00026878,2009-05-22,TMAX,218
BOM00026878,2009-01-11,TMAX,-28
BOM00026878,2009-02-10,TMAX,8
BOM00026878,2009-08-18,TMIN,156
BOM00026878,2013-01-08,TMAX,-52
BOM00026878,2010-08-18,TMAX,229
BOM00026878,2015-02-23,TMIN,11
BOM00026878,2009-10-14,TMAX,158
BOM00026878,2007-10-19,TMAX,103
BOM00026878,2008-07-06,TMAX,223
BOM00026878,2007-05-15,TMAX,278
BOM00026878,2006-12-08,TMAX,49
BOM00026878,2007-07-06,TMIN,123
BOM00026878,2015-08-30,TMIN,90
BOM00026878,2006-08-21,TMIN,132
BOM00026878,2008-10-03,TMIN,88
BOM00026878,2012-11-25,TMIN,-39
BOM00026878,2007-12-04,TMIN,7
BOM00026878,2006-09-12,TMAX,185
BOM00026878,2005-09-16,TMAX,186
BOM00026878,2007-03-29,TMAX,168
BOM00026878,2006-09-12,TMIN,61
BOM00026878,2006-10-12,TMIN,60
BOM00026878,2010-09-07,TMAX,164
BOM00026878,2006-03-09,TMIN,-216
BOM00026878,2006-05-29,TMAX,137
BOM00026878,2005-08-26,TMAX,236
BOM00026878,2006-08-21,TMAX,213
BOM00026878,2007-03-29,TMIN,15
BOM00026878,2009-08-18,TMAX,265
BOM00026878,2015-12-19,TMAX,78
BOM00026878,2008-04-20,TMIN,58
BOM00026878,2008-02-02,TMAX,28
BOM00026878,2010-12-24,TMAX,6
BOM00026878,2011-02-28,TMAX,-50
BOM00026878,2008-04-20,TMAX,104
BOM00026878,2006-10-12,TMAX,121
BOM00026878,2014-09-04,TMAX,184
BOM00026878,2012-11-04,TMIN,55
BOM00026878,2010-12-24,TMIN,-27
BOM00026878,2006-05-08,TMAX,164
BOM00026878,2007-06-12,TMAX,222
