ID,Date,Element,Data_Value
PEM00084425,2014-05-02,TMIN,235
PEM00084425,2013-11-07,TMIN,210
PEM00084425,2010-02-16,TMIN,200
PEM00084425,2013-07-03,TMIN,220
PEM00084425,2015-10-20,TMIN,228
PEM00084425,2008-06-02,TMIN,169
PEM00084425,2009-01-05,TMIN,216
PEM00084425,2013-05-20,TMIN,220
PEM00084425,2015-04-26,TMIN,220
PEM00084425,2012-09-20,TMIN,238
PEM00084425,2015-05-14,TMIN,218
PEM00084425,2014-10-26,TMIN,210
PEM00084425,2015-07-01,TMIN,216
PEM00084425,2013-04-04,TMIN,231
PEM00084425,2013-07-08,TMIN,200
PEM00084425,2015-01-06,TMIN,201
PEM00084425,2011-05-28,TMIN,227
PEM00084425,2011-11-18,TMIN,194
PEM00084425,2014-10-22,TMIN,235
PEM00084425,2010-10-08,TMIN,240
PEM00084425,2008-06-16,TMIN,194
PEM00084425,2015-12-18,TMIN,230
PEM00084425,2015-04-17,TMIN,214
PEM00084425,2012-01-30,TMIN,226
PEM00084425,2012-03-31,TMIN,238
PEM00084425,2013-05-11,TMIN,220
PEM00084425,2009-11-12,TMIN,202
PEM00084425,2015-03-11,TMIN,216
PEM00084425,2014-03-18,TMIN,234
PEM00084425,2012-06-27,TMIN,200
PEM00084425,2010-03-30,TMIN,200
PEM00084425,2014-10-15,TMIN,218
PEM00084425,2015-10-29,TMIN,220
PEM00084425,2006-03-16,TMIN,193
PEM00084425,2015-10-27,TMIN,230
PEM00084425,2014-05-05,TMIN,228
PEM00084425,2013-11-06,TMIN,215
PEM00084425,2010-11-04,TMIN,225
PEM00084425,2008-07-07,TMIN,191
PEM00084425,2012-02-29,TMIN,218
PEM00084425,2012-02-28,TMIN,220
PEM00084425,2014-12-20,TMIN,215
PEM00084425,2010-08-04,TMIN,215
PEM00084425,2015-04-22,TMIN,210
PEM00084425,2012-08-02,TMIN,215
PEM00084425,2014-04-09,TMIN,215
PEM00084425,2014-10-18,TMIN,220
PEM00084425,2015-12-24,TMIN,220
PEM00084425,2013-12-02,TMIN,215
PEM00084425,2014-12-21,TMIN,218
PEM00084425,2015-12-26,TMIN,228
PEM00084425,2013-07-20,TMIN,228
PEM00084425,2012-08-08,TMIN,229
PEM00084425,2011-09-12,TMIN,208
PEM00084425,2012-05-04,TMIN,223
PEM00084425,2008-06-22,TMIN,170
PEM00084425,2014-04-19,TMIN,215
PEM00084425,2008-11-26,TMIN,210
PEM00084425,2008-03-22,TMIN,184
PEM00084425,2008-06-20,TMIN,172
PEM00084425,2011-03-08,TMIN,220
PEM00084425,2014-03-26,TMIN,220
PEM00084425,2008-12-13,TMIN,184
PEM00084425,2012-03-24,TMIN,220
PEM00084425,2008-08-11,TMIN,180
PEM00084425,2014-11-10,TMIN,208
PEM00084425,2015-06-18,TMIN,212
PEM00084425,2014-11-26,TMIN,228
PEM00084425,2015-04-10,TMIN,226
PEM00084425,2010-05-03,TMIN,200
PEM00084425,2015-05-02,TMIN,218
PEM00084425,2014-03-17,TMIN,230
PEM00084425,2009-09-19,TMIN,204
PEM00084425,2011-10-27,TMIN,215
PEM00084425,2012-12-25,TMIN,215
PEM00084425,2009-02-19,TMIN,184
PEM00084425,2015-01-22,TMIN,205
PEM00084425,2008-05-30,TMIN,190
PEM00084425,2011-03-20,TMIN,212
PEM00084425,2014-04-20,TMIN,210
PEM00084425,2012-11-26,TMIN,230
PEM00084425,2009-01-13,TMIN,180
PEM00084425,2011-04-17,TMIN,215
PEM00084425,2013-08-23,TMIN,220
PEM00084425,2013-06-14,TMIN,215
PEM00084425,2014-04-30,TMIN,225
PEM00084425,2015-03-09,TMIN,214
PEM00084425,2015-04-09,TMIN,218
PEM00084425,2009-07-23,TMIN,200
PEM00084425,2014-09-24,TMIN,220
PEM00084425,2011-10-06,TMIN,224
PEM00084425,2015-11-06,TMIN,225
PEM00084425,2008-08-20,TMIN,205
PEM00084425,2009-11-13,TMIN,190
PEM00084425,2010-08-29,TMIN,235
PEM00084425,2014-06-23,TMIN,215
PEM00084425,2013-10-31,TMIN,250
PEM00084425,2010-01-09,TMIN,210
PEM00084425,2010-11-15,TMIN,235
PEM00084425,2008-06-03,TMIN,160
PEM00084425,2010-03-07,TMIN,204
PEM00084425,2009-09-27,TMIN,200
PEM00084425,2012-03-13,TMIN,223
PEM00084425,2013-12-18,TMIN,230
PEM00084425,2012-02-20,TMIN,185
PEM00084425,2012-03-01,TMIN,220
PEM00084425,2015-01-26,TMIN,220
PEM00084425,2010-12-18,TMIN,210
PEM00084425,2009-02-21,TMIN,187
PEM00084425,2015-06-11,TMIN,218
PEM00084425,2012-04-19,TMIN,238
PEM00084425,2013-08-09,TMIN,220
PEM00084425,2013-05-31,TMIN,220
PEM00084425,2009-02-07,TMIN,190
PEM00084425,2012-06-10,TMIN,201
PEM00084425,2008-11-15,TMIN,200
PEM00084425,2012-06-09,TMIN,186
PEM00084425,2012-02-07,TMIN,214
PEM00084425,2014-09-08,TMIN,220
PEM00084425,2011-11-09,TMIN,214
PEM00084425,2011-09-08,TMIN,220
PEM00084425,2014-11-18,TMIN,220
PEM00084425,2010-04-04,TMIN,185
PEM00084425,2011-03-30,TMIN,230
PEM00084425,2013-06-05,TMIN,200
PEM00084425,2013-03-28,TMIN,220
PEM00084425,2008-06-06,TMIN,180
PEM00084425,2012-04-18,TMIN,225
PEM00084425,2008-03-26,TMIN,195
PEM00084425,2012-07-22,TMIN,181
PEM00084425,2012-11-02,TMIN,227
PEM00084425,2008-08-31,TMIN,190
PEM00084425,2015-01-12,TMIN,212
PEM00084425,2013-10-19,TMIN,230
PEM00084425,2010-01-06,TMIN,190
PEM00084425,2012-06-14,TMIN,228
PEM00084425,2015-01-28,TMIN,220
PEM00084425,2014-07-23,TMIN,198
PEM00084425,2014-05-29,TMIN,220
PEM00084425,2010-05-29,TMIN,198
PEM00084425,2013-05-21,TMIN,215
PEM00084425,2014-09-15,TMIN,230
PEM00084425,2012-10-01,TMIN,218
PEM00084425,2013-03-01,TMIN,230
PEM00084425,2011-08-07,TMIN,205
PEM00084425,2008-07-23,TMIN,188
PEM00084425,2015-05-15,TMIN,220
PEM00084425,2011-02-23,TMIN,221
PEM00084425,2009-02-03,TMIN,202
PEM00084425,2013-01-08,TMIN,213
PEM00084425,2012-05-12,TMIN,228
PEM00084425,2013-09-12,TMIN,200
PEM00084425,2009-09-09,TMIN,213
PEM00084425,2015-07-28,TMIN,240
PEM00084425,2013-08-20,TMIN,215
PEM00084425,2014-02-20,TMIN,230
PEM00084425,2008-05-13,TMIN,190
PEM00084425,2014-09-06,TMIN,215
PEM00084425,2010-08-11,TMIN,210
PEM00084425,2014-09-27,TMIN,240
PEM00084425,2014-07-04,TMIN,218
PEM00084425,2012-04-12,TMIN,221
PEM00084425,2013-02-13,TMIN,232
PEM00084425,2008-11-12,TMIN,180
PEM00084425,2014-09-11,TMIN,220
PEM00084425,2012-03-30,TMIN,223
PEM00084425,2012-03-19,TMIN,234
PEM00084425,2008-05-31,TMIN,200
PEM00084425,2013-04-05,TMIN,235
PEM00084425,2012-03-06,TMIN,218
PEM00084425,2013-10-11,TMIN,232
PEM00084425,2012-04-28,TMIN,227
PEM00084425,2015-11-25,TMIN,239
PEM00084425,2008-05-09,TMIN,194
PEM00084425,2013-06-11,TMIN,220
PEM00084425,2013-12-20,TMIN,237
PEM00084425,2008-04-02,TMIN,200
PEM00084425,2014-02-18,TMIN,232
PEM00084425,2013-05-12,TMIN,230
PEM00084425,2010-03-11,TMIN,188
PEM00084425,2011-10-12,TMIN,236
PEM00084425,2014-01-14,TMIN,204
PEM00084425,2015-06-25,TMIN,214
PEM00084425,2011-03-03,TMIN,212
PEM00084425,2008-12-07,TMIN,170
PEM00084425,2013-12-19,TMIN,235
PEM00084425,2014-06-11,TMIN,228
PEM00084425,2015-05-11,TMIN,222
PEM00084425,2012-06-02,TMIN,215
PEM00084425,2015-01-01,TMIN,222
PEM00084425,2012-11-09,TMIN,234
PEM00084425,2012-10-18,TMIN,224
PEM00084425,2013-07-29,TMIN,210
PEM00084425,2013-08-31,TMIN,185
PEM00084425,2008-07-08,TMIN,182
PEM00084425,2015-11-26,TMIN,240
PEM00084425,2014-01-29,TMIN,213
PEM00084425,2008-03-25,TMIN,175
PEM00084425,2013-02-05,TMIN,230
PEM00084425,2013-08-06,TMIN,216
PEM00084425,2011-05-29,TMIN,214
PEM00084425,2008-01-31,TMIN,210
PEM00084425,2014-05-19,TMIN,210
PEM00084425,2012-05-11,TMIN,234
PEM00084425,2012-09-19,TMIN,228
PEM00084425,2014-05-10,TMIN,227
PEM00084425,2011-02-19,TMIN,227
PEM00084425,2014-12-27,TMIN,220
PEM00084425,2013-05-28,TMIN,210
PEM00084425,2010-03-12,TMIN,202
PEM00084425,2013-08-01,TMIN,220
PEM00084425,2014-08-17,TMIN,200
PEM00084425,2015-12-13,TMIN,230
PEM00084425,2009-12-14,TMIN,200
PEM00084425,2008-10-14,TMIN,184
PEM00084425,2008-07-16,TMIN,188
PEM00084425,2015-07-08,TMIN,220
PEM00084425,2012-05-16,TMIN,210
PEM00084425,2015-04-28,TMIN,222
PEM00084425,2012-07-20,TMIN,178
PEM00084425,2013-04-25,TMIN,190
PEM00084425,2014-02-19,TMIN,228
PEM00084425,2010-08-19,TMIN,205
PEM00084425,2012-09-27,TMIN,210
PEM00084425,2010-07-23,TMIN,202
PEM00084425,2014-07-06,TMIN,201
PEM00084425,2010-01-26,TMIN,180
PEM00084425,2011-10-26,TMIN,210
PEM00084425,2012-09-28,TMIN,190
PEM00084425,2015-07-11,TMIN,222
PEM00084425,2011-09-14,TMIN,210
PEM00084425,2008-10-19,TMIN,205
PEM00084425,2013-05-10,TMIN,221
PEM00084425,2013-11-19,TMIN,221
PEM00084425,2011-09-28,TMIN,210
PEM00084425,2015-04-07,TMIN,216
PEM00084425,2015-01-21,TMIN,210
PEM00084425,2014-03-27,TMIN,215
PEM00084425,2014-06-15,TMIN,225
PEM00084425,2008-04-29,TMIN,200
PEM00084425,2013-08-24,TMIN,230
PEM00084425,2014-03-22,TMIN,220
PEM00084425,2012-08-18,TMIN,220
PEM00084425,2008-10-26,TMIN,205
PEM00084425,2010-09-13,TMIN,218
PEM00084425,2011-10-20,TMIN,210
PEM00084425,2010-10-26,TMIN,235
PEM00084425,2013-08-13,TMIN,205
PEM00084425,2008-11-21,TMIN,220
PEM00084425,2008-04-13,TMIN,187
PEM00084425,2015-11-28,TMIN,230
PEM00084425,2008-10-08,TMIN,190
PEM00084425,2008-04-01,TMIN,183
PEM00084425,2015-02-12,TMIN,220
PEM00084425,2012-12-03,TMIN,210
PEM00084425,2012-07-07,TMIN,220
PEM00084425,2008-08-06,TMIN,190
PEM00084425,2013-12-17,TMIN,221
PEM00084425,2015-10-31,TMIN,250
PEM00084425,2012-09-23,TMIN,220
PEM00084425,2013-07-31,TMIN,225
PEM00084425,2014-11-13,TMIN,218
PEM00084425,2010-08-22,TMIN,215
PEM00084425,2015-10-07,TMIN,230
PEM00084425,2014-09-02,TMIN,218
PEM00084425,2011-01-18,TMIN,223
PEM00084425,2009-10-16,TMIN,194
PEM00084425,2012-08-29,TMIN,210
PEM00084425,2014-03-04,TMIN,230
PEM00084425,2009-10-16,TMAX,330
PEM00084425,2012-03-27,TMIN,220
PEM00084425,2012-04-03,TMIN,220
PEM00084425,2008-08-10,TMIN,182
PEM00084425,2015-03-26,TMIN,224
PEM00084425,2008-09-07,TMIN,198
PEM00084425,2014-06-25,TMIN,218
PEM00084425,2015-12-09,TMIN,220
PEM00084425,2012-03-04,TMIN,222
PEM00084425,2014-10-13,TMIN,215
PEM00084425,2010-02-10,TMIN,198
PEM00084425,2008-07-11,TMIN,180
PEM00084425,2013-02-11,TMIN,220
PEM00084425,2012-11-23,TMIN,232
PEM00084425,2011-09-25,TMIN,216
PEM00084425,2013-02-07,TMIN,238
PEM00084425,2008-11-23,TMIN,202
PEM00084425,2013-07-11,TMIN,214
PEM00084425,2015-02-03,TMIN,214
PEM00084425,2008-11-06,TMIN,170
PEM00084425,2010-12-04,TMIN,235
PEM00084425,2015-06-27,TMIN,212
PEM00084425,2008-03-28,TMIN,197
PEM00084425,2014-06-04,TMIN,225
PEM00084425,2014-07-29,TMIN,190
PEM00084425,2011-03-19,TMIN,220
PEM00084425,2010-06-24,TMIN,190
PEM00084425,2009-07-12,TMIN,194
PEM00084425,2013-10-09,TMIN,228
PEM00084425,2013-04-28,TMIN,210
PEM00084425,2015-02-21,TMIN,216
PEM00084425,2008-08-15,TMIN,200
PEM00084425,2008-06-21,TMIN,183
PEM00084425,2012-05-22,TMIN,225
PEM00084425,2012-09-08,TMIN,228
PEM00084425,2008-08-28,TMIN,194
PEM00084425,2015-10-19,TMIN,220
PEM00084425,2009-12-15,TMIN,189
PEM00084425,2008-07-13,TMIN,190
PEM00084425,2014-04-14,TMIN,227
PEM00084425,2012-02-26,TMIN,225
PEM00084425,2010-12-12,TMIN,230
PEM00084425,2011-05-04,TMIN,214
PEM00084425,2011-04-13,TMIN,225
PEM00084425,2010-09-03,TMIN,215
PEM00084425,2014-11-17,TMIN,218
PEM00084425,2013-09-02,TMIN,188
PEM00084425,2008-10-15,TMIN,185
PEM00084425,2014-09-21,TMIN,228
PEM00084425,2015-09-28,TMIN,235
PEM00084425,2013-09-05,TMIN,200
PEM00084425,2013-04-14,TMIN,238
PEM00084425,2012-08-27,TMIN,217
PEM00084425,2012-05-19,TMIN,212
PEM00084425,2009-12-02,TMIN,188
PEM00084425,2015-06-01,TMIN,220
PEM00084425,2015-05-27,TMIN,216
PEM00084425,2010-08-27,TMIN,221
PEM00084425,2008-07-02,TMIN,198
PEM00084425,2015-05-29,TMIN,215
PEM00084425,2015-04-23,TMIN,208
PEM00084425,2011-09-09,TMIN,220
PEM00084425,2015-04-11,TMIN,218
PEM00084425,2014-06-06,TMIN,225
PEM00084425,2013-05-02,TMIN,225
PEM00084425,2008-06-29,TMIN,168
