ID,Date,Element,Data_Value
FRM00007790,2011-09-02,TMAX,290
FRM00007790,2013-12-21,TMAX,174
FRM00007790,2013-12-21,TMIN,73
FRM00007790,2005-12-17,TMIN,35
FRM00007790,2007-10-19,TMAX,194
FRM00007790,2015-07-17,TMAX,315
FRM00007790,2014-05-14,TMAX,235
FRM00007790,2006-03-08,TMIN,18
FRM00007790,2012-07-07,TMIN,194
FRM00007790,2014-08-31,TMIN,189
FRM00007790,2015-07-20,TMIN,223
FRM00007790,2012-07-08,TMAX,300
FRM00007790,2013-11-25,TMAX,152
FRM00007790,2011-08-02,TMAX,276
FRM00007790,2005-09-29,TMAX,236
FRM00007790,2013-10-14,TMAX,216
FRM00007790,2007-10-23,TMAX,185
FRM00007790,2006-09-19,TMIN,175
FRM00007790,2015-07-15,TMAX,317
FRM00007790,2006-09-19,TMAX,252
FRM00007790,2013-12-20,TMAX,172
FRM00007790,2012-01-27,TMAX,135
FRM00007790,2008-06-11,TMIN,157
FRM00007790,2008-08-08,TMIN,207
FRM00007790,2005-12-07,TMIN,46
FRM00007790,2007-12-27,TMIN,34
FRM00007790,2006-01-17,TMIN,28
FRM00007790,2009-08-19,TMAX,326
FRM00007790,2007-11-21,TMIN,90
FRM00007790,2011-12-20,TMAX,111
FRM00007790,2005-02-02,TMAX,113
FRM00007790,2013-12-20,TMIN,63
FRM00007790,2015-07-14,TMIN,216
FRM00007790,2012-01-27,TMIN,46
FRM00007790,2008-08-19,TMIN,175
FRM00007790,2006-05-18,TMAX,238
FRM00007790,2014-08-31,TMAX,281
FRM00007790,2009-01-08,TMAX,115
FRM00007790,2013-09-18,TMAX,246
FRM00007790,2005-12-07,TMAX,145
FRM00007790,2015-12-14,TMIN,68
FRM00007790,2013-02-11,TMAX,113
FRM00007790,2015-11-11,TMIN,97
FRM00007790,2013-03-29,TMAX,170
FRM00007790,2007-06-21,TMAX,270
FRM00007790,2014-12-21,TMAX,176
FRM00007790,2012-03-24,TMAX,192
FRM00007790,2015-07-15,TMIN,208
FRM00007790,2012-01-07,TMAX,162
FRM00007790,2013-12-26,TMIN,78
FRM00007790,2015-10-31,TMAX,190
FRM00007790,2006-08-09,TMAX,291
FRM00007790,2013-12-26,TMAX,153
FRM00007790,2005-12-17,TMAX,146
FRM00007790,2012-01-07,TMIN,59
FRM00007790,2012-08-20,TMIN,225
FRM00007790,2008-05-20,TMIN,144
FRM00007790,2015-05-11,TMAX,263
FRM00007790,2015-12-22,TMIN,72
FRM00007790,2006-09-14,TMIN,199
FRM00007790,2011-07-03,TMAX,273
FRM00007790,2009-02-09,TMAX,146
FRM00007790,2012-08-20,TMAX,335
FRM00007790,2011-01-01,TMAX,147
FRM00007790,2009-03-11,TMAX,171
FRM00007790,2006-05-29,TMIN,155
FRM00007790,2013-09-29,TMAX,226
FRM00007790,2015-10-04,TMAX,251
FRM00007790,2008-09-26,TMAX,222
FRM00007790,2012-04-03,TMAX,178
FRM00007790,2008-05-20,TMAX,176
FRM00007790,2012-12-29,TMIN,35
FRM00007790,2015-08-29,TMIN,178
FRM00007790,2013-10-14,TMIN,136
FRM00007790,2006-09-14,TMAX,234
FRM00007790,2012-06-27,TMAX,310
FRM00007790,2011-03-25,TMIN,67
FRM00007790,2011-02-20,TMIN,71
FRM00007790,2009-02-12,TMAX,110
FRM00007790,2008-08-19,TMAX,292
FRM00007790,2009-07-16,TMIN,188
FRM00007790,2013-02-11,TMIN,40
FRM00007790,2006-08-09,TMIN,193
FRM00007790,2010-10-20,TMIN,80
FRM00007790,2008-09-26,TMIN,131
