ID,Date,Element,Data_Value
CA002203914,2010-12-06,TMAX,-209
CA002203914,2014-11-20,TMAX,-144
CA002203914,2009-09-19,TMIN,3
CA002203912,2006-04-15,TMAX,-170
CA002203914,2009-11-23,TMIN,-267
CA002203912,2008-06-07,TMIN,36
CA002203914,2013-03-10,TMIN,-307
CA002203914,2008-10-29,TMIN,-220
CA002203912,2005-07-01,TMIN,11
CA002203914,2007-09-27,TMAX,6
CA002203914,2011-03-06,TMAX,-116
CA002203914,2015-06-11,TMIN,16
CA002203914,2014-01-11,TMAX,-200
CA002203912,2007-07-03,TMAX,122
CA002203914,2011-03-06,TMIN,-218
CA002203914,2011-07-18,TMAX,144
CA002203914,2015-11-19,TMAX,-193
CA002203912,2008-10-06,TMIN,-20
CA002203912,2005-05-24,TMIN,-24
CA002203914,2013-03-10,TMAX,-199
CA002203914,2013-12-19,TMAX,-252
CA002203914,2013-12-19,TMIN,-314
CA002203914,2009-09-02,TMAX,168
CA002203914,2015-04-27,TMAX,1
CA002203914,2011-05-22,TMIN,22
CA002203912,2008-06-07,TMAX,156
CA002203914,2014-11-22,TMIN,-275
CA002203914,2010-09-22,TMIN,-2
CA002203914,2015-06-11,TMAX,145
CA002203912,2008-05-12,TMIN,-69
CA002203912,2008-09-30,TMIN,-20
CA002203912,2006-03-25,TMAX,-205
CA002203912,2006-12-16,TMAX,-260
CA002203914,2010-02-11,TMAX,-151
CA002203914,2015-03-24,TMAX,-109
CA002203914,2012-06-16,TMIN,97
CA002203914,2012-08-25,TMAX,176
CA002203914,2015-06-30,TMAX,185
CA002203914,2009-01-11,TMAX,-286
CA002203912,2008-05-12,TMAX,-10
CA002203912,2008-05-09,TMAX,-28
CA002203914,2014-01-11,TMIN,-289
CA002203914,2007-04-20,TMAX,-27
CA002203914,2008-10-29,TMAX,-159
CA002203914,2010-08-27,TMAX,174
CA002203914,2013-10-16,TMAX,21
CA002203914,2011-05-22,TMAX,146
CA002203912,2007-06-22,TMAX,146
CA002203912,2005-07-13,TMIN,59
CA002203912,2005-09-08,TMAX,43
CA002203914,2013-10-16,TMIN,-25
CA002203914,2015-11-19,TMIN,-281
CA002203912,2008-02-02,TMAX,-340
CA002203912,2007-06-22,TMIN,54
CA002203914,2006-06-21,TMAX,198
CA002203914,2010-06-06,TMIN,-26
CA002203914,2009-06-15,TMIN,18
CA002203914,2009-11-23,TMAX,-217
CA002203914,2010-02-11,TMIN,-230
CA002203914,2010-09-22,TMAX,26
CA002203914,2012-10-18,TMAX,-27
CA002203914,2006-06-21,TMIN,60
CA002203914,2011-03-26,TMIN,-228
CA002203914,2007-07-13,TMAX,168
CA002203914,2014-11-09,TMIN,-157
CA002203914,2009-11-20,TMAX,-158
CA002203912,2007-06-01,TMAX,70
CA002203914,2012-12-16,TMIN,-278
CA002203912,2010-12-01,TMIN,-233
CA002203914,2014-12-28,TMIN,-297
CA002203912,2008-05-09,TMIN,-54
CA002203914,2014-10-25,TMAX,-61
CA002203912,2010-07-06,TMIN,69
CA002203914,2013-08-02,TMAX,253
CA002203914,2012-07-09,TMAX,161
CA002203912,2010-02-17,TMAX,-169
CA002203914,2014-07-29,TMAX,77
CA002203912,2006-10-12,TMIN,-13
CA002203912,2008-11-16,TMAX,-94
CA002203914,2007-03-02,TMAX,-291
CA002203914,2007-03-02,TMIN,-353
CA002203912,2007-07-25,TMIN,77
CA002203914,2008-02-02,TMAX,-263
CA002203912,2007-03-10,TMIN,-370
CA002203914,2009-02-03,TMAX,-282
CA002203912,2007-03-10,TMAX,-304
CA002203914,2014-12-03,TMAX,-227
CA002203914,2006-10-14,TMAX,-8
CA002203914,2014-12-28,TMAX,-190
CA002203912,2010-02-17,TMIN,-254
CA002203914,2005-04-24,TMIN,-106
CA002203914,2013-09-27,TMAX,11
CA002203912,2005-05-02,TMIN,-116
CA002203912,2006-09-14,TMIN,17
CA002203914,2011-08-13,TMIN,93
CA002203912,2005-05-02,TMAX,-51
CA002203914,2015-09-06,TMAX,51
CA002203914,2011-07-29,TMAX,243
CA002203914,2006-10-18,TMAX,-50
CA002203912,2006-02-28,TMAX,-272
CA002203914,2013-03-30,TMIN,-247
CA002203914,2010-08-14,TMIN,82
CA002203914,2015-04-03,TMIN,-283
CA002203914,2015-02-20,TMIN,-197
CA002203914,2015-07-03,TMAX,144
CA002203914,2013-03-27,TMAX,-170
CA002203914,2014-12-03,TMIN,-310
CA002203914,2008-06-14,TMAX,61
CA002203912,2007-08-11,TMAX,83
CA002203914,2010-06-18,TMIN,15
CA002203914,2010-09-11,TMIN,61
CA002203914,2010-12-06,TMIN,-304
CA002203914,2013-08-02,TMIN,109
CA002203914,2010-09-05,TMAX,102
CA002203912,2006-02-28,TMIN,-314
CA002203914,2007-10-13,TMIN,-110
CA002203914,2014-06-30,TMAX,228
CA002203912,2010-03-31,TMAX,-128
CA002203914,2010-06-18,TMAX,96
CA002203912,2008-02-08,TMIN,-365
CA002203912,2008-03-16,TMAX,-282
CA002203914,2006-02-11,TMIN,-220
CA002203912,2010-03-31,TMIN,-163
CA002203914,2012-04-07,TMAX,-118
CA002203914,2006-02-11,TMAX,-131
CA002203912,2008-03-16,TMIN,-359
CA002203914,2015-07-03,TMIN,124
CA002203914,2015-02-20,TMAX,-140
CA002203912,2007-08-11,TMIN,47
CA002203914,2010-08-27,TMIN,88
CA002203912,2006-09-14,TMAX,128
CA002203912,2010-07-07,TMAX,116
CA002203914,2013-03-27,TMIN,-258
CA002203912,2005-12-21,TMAX,-142
CA002203914,2015-03-24,TMIN,-254
CA002203912,2007-06-01,TMIN,1
CA002203914,2009-05-17,TMAX,32
CA002203914,2013-09-27,TMIN,-13
CA002203914,2007-10-13,TMAX,-44
CA002203912,2005-12-21,TMIN,-245
CA002203914,2013-04-22,TMIN,-129
CA002203912,2008-11-29,TMAX,-109
CA002203912,2006-11-23,TMIN,-205
CA002203912,2008-12-05,TMAX,-220
CA002203914,2012-11-04,TMIN,-166
CA002203914,2013-08-06,TMIN,132
CA002203914,2005-01-01,TMAX,-90
CA002203914,2012-10-24,TMIN,-116
CA002203914,2009-10-29,TMAX,-51
CA002203914,2009-11-20,TMIN,-242
CA002203914,2012-12-04,TMIN,-317
CA002203914,2009-09-02,TMIN,41
CA002203914,2014-03-17,TMAX,-143
CA002203914,2007-11-30,TMAX,-149
CA002203912,2010-10-05,TMIN,-17
CA002203914,2014-09-28,TMAX,38
CA002203914,2007-04-20,TMIN,-122
CA002203914,2011-08-25,TMIN,67
CA002203914,2009-10-29,TMIN,-79
CA002203912,2008-02-02,TMIN,-384
CA002203914,2009-09-19,TMAX,29
CA002203914,2010-04-25,TMIN,-74
CA002203914,2015-07-30,TMAX,120
CA002203914,2007-11-30,TMIN,-192
CA002203914,2012-06-16,TMAX,212
CA002203914,2011-07-29,TMIN,84
CA002203914,2012-11-09,TMAX,-111
CA002203914,2014-07-31,TMAX,66
CA002203914,2014-07-29,TMIN,37
CA002203912,2010-09-17,TMIN,24
CA002203914,2011-08-22,TMAX,100
CA002203914,2011-08-22,TMIN,64
CA002203914,2014-09-12,TMIN,-16
CA002203914,2009-02-17,TMAX,-154
CA002203914,2006-11-11,TMAX,-206
CA002203914,2010-01-20,TMIN,-331
CA002203914,2007-03-31,TMIN,-253
CA002203914,2006-10-14,TMIN,-47
CA002203914,2007-07-13,TMIN,102
CA002203914,2012-05-31,TMIN,-15
CA002203914,2010-09-11,TMAX,142
CA002203914,2013-11-10,TMIN,-59
CA002203914,2013-04-22,TMAX,-44
CA002203912,2010-12-01,TMAX,-164
CA002203914,2014-11-09,TMAX,-108
CA002203914,2007-05-04,TMIN,-183
CA002203912,2006-12-16,TMIN,-290
CA002203914,2013-08-06,TMAX,190
CA002203914,2007-11-20,TMAX,-162
CA002203914,2012-05-31,TMAX,75
CA002203914,2007-05-04,TMAX,-88
CA002203914,2008-02-02,TMIN,-397
CA002203914,2006-11-11,TMIN,-268
CA002203912,2007-07-25,TMAX,123
CA002203912,2006-10-12,TMAX,36
CA002203914,2007-12-29,TMIN,-259
CA002203912,2010-12-11,TMAX,-218
CA002203914,2014-11-20,TMIN,-216
CA002203912,2005-02-01,TMAX,-248
CA002203912,2008-04-15,TMAX,-132
CA002203914,2006-04-21,TMAX,-114
CA002203914,2009-11-08,TMIN,-137
CA002203914,2012-11-07,TMIN,-213
CA002203914,2005-03-09,TMIN,-328
CA002203914,2014-02-19,TMAX,-336
CA002203914,2006-11-02,TMAX,-107
CA002203914,2005-07-10,TMAX,182
CA002203914,2009-03-27,TMAX,-212
CA002203912,2005-08-08,TMIN,90
CA002203914,2014-02-19,TMIN,-392
CA002203914,2009-07-28,TMAX,248
CA002203912,2010-06-03,TMAX,42
CA002203914,2014-07-21,TMAX,192
CA002203914,2013-03-02,TMIN,-352
CA002203912,2010-10-05,TMAX,8
CA002203912,2006-05-26,TMIN,2
CA002203914,2010-02-15,TMAX,-152
CA002203912,2008-02-08,TMAX,-344
CA002203914,2009-07-28,TMIN,112
CA002203914,2015-10-06,TMIN,-47
CA002203912,2005-08-08,TMAX,136
CA002203914,2012-12-21,TMIN,-358
CA002203914,2014-04-09,TMIN,-262
CA002203914,2012-10-12,TMIN,-60
CA002203914,2009-09-28,TMIN,-38
CA002203912,2006-04-15,TMIN,-243
CA002203914,2009-04-24,TMAX,-10
CA002203912,2010-10-16,TMAX,-61
CA002203912,2010-01-24,TMIN,-266
CA002203914,2012-04-04,TMIN,-270
CA002203914,2015-10-06,TMAX,-20
CA002203914,2009-07-14,TMIN,24
CA002203912,2005-11-30,TMIN,-255
CA002203912,2005-11-30,TMAX,-170
CA002203914,2009-11-08,TMAX,-110
CA002203912,2010-10-16,TMIN,-97
CA002203914,2008-02-12,TMIN,-327
CA002203914,2005-07-10,TMIN,110
CA002203914,2013-03-02,TMAX,-218
CA002203912,2007-08-31,TMAX,94
CA002203914,2012-04-04,TMAX,-157
CA002203914,2009-02-24,TMIN,-283
CA002203912,2007-01-13,TMAX,-272
CA002203914,2010-02-15,TMIN,-222
CA002203914,2010-11-27,TMAX,-106
CA002203914,2014-07-09,TMAX,76
CA002203914,2007-09-17,TMAX,57
CA002203914,2013-12-05,TMAX,-87
CA002203914,2007-10-14,TMIN,-76
CA002203914,2013-05-27,TMAX,71
