ID,Date,Element,Data_Value
MXM00076695,2005-05-11,TMAX,386
MXM00076695,2012-11-12,TMAX,325
MXM00076695,2015-01-22,TMAX,339
MXM00076695,2008-07-25,TMIN,220
MXM00076695,2011-01-22,TMIN,202
MXM00076695,2010-09-02,TMIN,240
MXM00076695,2009-12-18,TMAX,315
MXM00076695,2008-04-17,TMIN,140
MXM00076695,2005-04-24,TMIN,215
MXM00076695,2005-11-02,TMAX,295
MXM00076695,2015-02-08,TMAX,293
MXM00076695,2014-07-08,TMIN,215
MXM00076695,2009-03-23,TMIN,172
MXM00076695,2006-07-07,TMAX,356
MXM00076695,2014-12-07,TMAX,298
MXM00076695,2014-11-01,TMAX,298
MXM00076695,2010-09-09,TMIN,238
MXM00076695,2014-09-07,TMAX,352
MXM00076695,2011-08-11,TMAX,372
MXM00076695,2012-06-26,TMIN,248
MXM00076695,2009-06-25,TMAX,365
MXM00076695,2012-05-13,TMIN,250
MXM00076695,2006-08-03,TMIN,234
MXM00076695,2013-07-07,TMIN,232
MXM00076695,2005-09-21,TMIN,223
MXM00076695,2013-10-27,TMAX,321
MXM00076695,2011-07-25,TMAX,336
MXM00076695,2008-04-17,TMAX,325
MXM00076695,2011-10-08,TMAX,332
MXM00076695,2008-07-25,TMAX,372
MXM00076695,2009-06-25,TMIN,234
MXM00076695,2014-10-24,TMIN,242
MXM00076695,2007-10-13,TMAX,312
MXM00076695,2011-06-06,TMIN,225
MXM00076695,2012-02-08,TMAX,276
MXM00076695,2014-04-15,TMAX,411
MXM00076695,2015-09-06,TMIN,230
MXM00076695,2007-09-22,TMAX,330
MXM00076695,2005-06-01,TMAX,364
MXM00076695,2005-08-31,TMIN,246
MXM00076695,2009-03-23,TMAX,330
MXM00076695,2012-10-25,TMIN,200
MXM00076695,2007-08-12,TMAX,340
MXM00076695,2011-04-12,TMIN,230
MXM00076695,2007-06-28,TMIN,218
MXM00076695,2015-12-28,TMAX,354
MXM00076695,2006-05-25,TMIN,222
MXM00076695,2005-04-24,TMAX,340
MXM00076695,2007-09-22,TMIN,210
MXM00076695,2006-05-25,TMAX,350
MXM00076695,2011-10-08,TMIN,215
