ID,Date,Element,Data_Value
CA004055699,2008-02-29,TMIN,-190
CA004051147,2007-10-04,TMAX,80
CA004051147,2006-03-01,TMIN,-130
CA004055699,2006-07-21,TMIN,120
CA004055699,2005-12-19,TMIN,-235
CA004055699,2005-04-20,TMIN,-20
CA004050774,2006-02-10,TMIN,-135
CA004051147,2006-12-22,TMAX,-30
CA004050774,2006-12-15,TMIN,-140
CA004055699,2007-10-09,TMAX,130
CA004051147,2008-02-11,TMIN,-270
CA004051147,2006-07-21,TMAX,290
CA004051147,2006-07-21,TMIN,100
CA004051147,2006-12-22,TMIN,-130
CA004055699,2007-08-01,TMIN,90
CA004051147,2006-04-05,TMIN,-20
CA004051147,2008-08-17,TMAX,260
CA004051147,2006-05-04,TMIN,-50
CA004055699,2007-10-09,TMIN,-20
CA004051147,2006-09-27,TMIN,20
CA004051147,2006-11-27,TMAX,-140
CA004050774,2006-10-08,TMIN,25
CA004055699,2007-10-20,TMIN,-25
CA004050774,2005-10-27,TMIN,35
CA004051147,2006-09-27,TMAX,105
CA004051147,2009-06-08,TMAX,130
CA004055699,2006-02-20,TMIN,-175
CA004055699,2008-08-12,TMAX,210
CA004055699,2007-08-05,TMAX,250
CA004055699,2006-03-10,TMIN,-115
CA004051147,2009-06-25,TMIN,100
CA004051147,2006-02-06,TMAX,-90
CA004055699,2008-03-17,TMIN,-190
CA004055699,2006-09-23,TMAX,150
CA004055699,2006-02-20,TMAX,-50
CA004055699,2008-03-05,TMIN,-215
CA004051147,2005-09-13,TMIN,40
CA004051147,2007-10-04,TMIN,-40
CA004051147,2006-09-01,TMAX,220
CA004055699,2008-04-02,TMAX,80
CA004051147,2008-02-11,TMAX,-90
CA004051147,2006-11-27,TMIN,-210
CA004055699,2005-04-12,TMIN,-10
CA004055699,2007-10-20,TMAX,70
CA004055699,2005-12-19,TMAX,-65
CA004050774,2005-09-24,TMIN,0
CA004051147,2006-03-01,TMAX,-100
CA004051147,2007-04-27,TMAX,200
CA004051147,2008-06-14,TMAX,200
CA004051147,2006-05-26,TMAX,90
CA004055699,2007-01-16,TMIN,-155
CA004051147,2008-08-17,TMIN,150
CA004055699,2008-03-17,TMAX,-20
CA004050774,2006-10-08,TMAX,105
CA004051147,2005-09-24,TMAX,170
CA004050774,2005-03-18,TMAX,-55
CA004055699,2008-10-12,TMIN,-65
CA004051147,2009-02-06,TMAX,-30
CA004051147,2005-03-14,TMIN,-135
CA004055699,2006-11-19,TMAX,40
CA004051147,2005-03-12,TMAX,-75
CA004051147,2005-05-04,TMAX,180
CA004051147,2008-04-02,TMAX,20
CA004055699,2006-01-15,TMIN,-100
CA004055699,2006-05-11,TMAX,185
CA004055699,2005-09-10,TMAX,145
CA004051147,2005-03-12,TMIN,-150
CA004051147,2007-09-22,TMIN,40
CA004050774,2005-03-18,TMIN,-120
CA004055699,2006-07-21,TMAX,310
CA004050774,2006-10-21,TMAX,10
CA004051147,2007-04-17,TMAX,170
CA004051147,2005-10-29,TMIN,25
CA004051147,2007-09-22,TMAX,205
CA004051147,2009-02-06,TMIN,-120
CA004050774,2005-03-31,TMIN,-20
CA004050774,2005-10-31,TMIN,-55
